,X,Y,fire_id,acres,discovery_date,state,park_name,park_id
0,-107.9006103,34.95145556,2111874,0.67,2021-06-02,NM,,
1,-119.6407128,37.54983513,2111886,0.1,2021-06-03,CA,,
2,-106.41191,35.86118577,2112036,0.1,2021-06-04,NM,,
3,-119.5821128,37.74164315,2979120,0.1,2021-06-04,CA,,
4,-122.0584139,43.08333537,3037268,0.0,2020-07-27,OR,Crater Lake,CRLA
5,-81.30339301,25.88943469,3037429,6323.89,2021-04-03,FL,,
6,-105.6819101,37.88699611,3037492,0.1,2020-05-29,CO,,
7,-107.9007103,34.88773555,3037525,0.1,2020-07-22,NM,,
8,-93.18652681,36.06991652,3037551,28.76,2020-04-20,AR,,
9,-124.1514269,41.72449867,3038220,0.1,2020-07-05,CA,,
10,-108.9458111,40.48529623,3038482,0.11,2020-06-26,CO,,
11,-92.75504668,35.97316652,3038541,670.39,2020-11-17,AR,,
12,-81.17993298,26.03160473,3038644,0.1,2020-07-16,FL,,
13,-112.0353112,35.99967546,3038771,0.1,2020-09-13,AZ,Grand Canyon,GRCA
14,-114.6631117,35.86714528,3039378,0.1,2020-08-28,AZ,,
15,-82.01490353,34.14880661,3039568,0.1,2021-03-06,SC,,
16,-112.0689112,36.03522546,3039619,0.1,2020-06-11,AZ,Grand Canyon,GRCA
17,-119.5751128,37.72871515,3039672,0.1,2020-05-27,CA,,
18,-112.8555111,31.95134487,3039788,0.25,2021-04-20,AZ,,
19,-75.56400167,35.8410072,3039793,0.25,2021-02-17,NC,,
20,-119.5575128,37.86605516,3039938,0.1,2020-07-02,CA,,
21,-80.80064559,25.39272709,3040075,0.35,2021-03-19,FL,,
22,-110.6335619,43.69523979,3040119,0.1,2020-10-03,WY,Grand Teton,GRTE
23,-124.1511579,41.72441468,3040189,0.1,2020-07-05,CA,,
24,-119.8175128,37.66978512,3040227,0.1,2020-07-17,CA,,
25,-106.6167101,35.93700577,3040257,0.25,2020-06-16,NM,,
26,-119.5305127,37.62889514,3040722,30.19,2020-08-24,CA,,
27,-116.1429118,34.08661498,3040882,0.1,2021-01-20,CA,,
28,-119.6430128,37.88156516,3040948,1970.29,2020-08-11,CA,,
29,-148.904025,63.73210164,3041144,20.63,2021-03-31,AK,Denali,DENA
30,-108.9272111,40.48180623,3041391,0.1,2020-06-26,CO,,
31,-118.7686125,36.55456509,3041564,0.1,2020-10-25,CA,,
32,-148.903725,63.73203164,3041587,18.95,2020-04-20,AK,Denali,DENA
33,-111.7613111,34.6482053,3042072,0.75,2021-03-08,AZ,,
34,-110.5264786,43.81088981,3042075,0.1,2020-09-21,WY,Grand Teton,GRTE
35,-105.2715101,38.90009628,3042128,0.1,2020-05-11,CO,,
36,-118.0879144,48.57272614,3042234,0.1,2020-07-31,WA,,
37,-112.742111,31.99225488,3043066,0.25,2020-06-27,AZ,,
38,-121.3871804,40.50133824,3043076,0.3,2020-07-27,CA,,
39,-91.53617091,37.36110893,3043090,97.34,2021-03-10,MO,,
40,-106.6022101,35.83575576,3043098,0.7,2020-05-30,NM,,
41,-80.79886285,25.28327455,3043108,0.1,2021-02-15,FL,,
42,-113.2173116,37.45411556,3043150,0.1,2020-05-30,UT,,
43,-80.93576288,25.13715451,3043163,0.1,2020-09-06,FL,,
44,-112.1260114,37.68273566,3043542,0.1,2020-06-16,UT,,
45,-113.5780116,36.56318543,3043733,4.0,2020-07-25,AZ,,
46,-94.20793673,30.33611536,3043824,0.35,2020-06-17,TX,,
47,-117.2792122,36.40060517,3044012,0.3,2020-06-29,CA,,
48,-118.5931012,34.09983784,3044092,0.25,2020-10-26,CA,,
49,-114.8122118,36.1581653,3044176,0.1,2020-05-22,NV,,
50,-80.82117296,28.92275545,3044309,1170.78,2020-03-01,FL,,
51,-103.5523845,29.15034886,3044539,5.0,2021-03-14,TX,Big Bend,BIBE
52,-122.0216139,43.06705538,3045159,0.1,2020-07-27,OR,Crater Lake,CRLA
53,-110.6202786,43.70698979,3045189,0.1,2020-10-05,WY,Grand Teton,GRTE
54,-114.5863117,35.84285528,3045249,0.1,2020-08-10,AZ,,
55,-112.1809114,37.62543565,3045339,0.1,2020-06-23,UT,,
56,-119.4619128,37.79021516,3045439,0.1,2020-07-03,CA,,
57,-122.1798139,42.95034535,3045538,0.1,2020-08-16,OR,Crater Lake,CRLA
58,-92.63565577,36.02320057,3045780,534.56,2021-03-09,AR,,
59,-84.52482397,36.70327722,3045801,1.86,2020-04-11,KY,,
60,-80.80644316,33.83165658,3046020,318.85,2021-04-06,SC,Congaree,CONG
61,-80.65691281,25.39877458,3046131,60.8,2020-06-17,FL,,
62,-123.4272152,48.09727552,3046215,0.1,2020-07-02,WA,,
63,-122.1174139,42.97969536,3046469,0.1,2020-07-18,OR,Crater Lake,CRLA
64,-114.4290353,36.30782768,3046540,0.04,2020-06-08,NV,,
65,-114.7164117,35.75299526,3046628,0.1,2020-06-10,NV,,
66,-112.9525111,32.09343489,3047023,0.5,2020-05-13,AZ,,
67,-121.5189934,40.42474523,3047132,0.3,2020-08-17,CA,,
68,-118.3295124,36.49632511,3047166,0.1,2020-07-31,CA,,
69,-118.8799125,36.69283509,3047300,0.5,2020-08-04,CA,Kings Canyon,KICA
70,-83.83421415,35.60458685,3047703,0.1,2021-03-06,TN,,
71,-118.6611125,36.85767513,3048093,2.2,2020-07-29,CA,Kings Canyon,KICA
72,-119.5158128,37.73330515,3048240,0.1,2020-08-23,CA,,
73,-94.68244687,30.6173354,3048445,55.16,2020-10-22,TX,,
74,-81.229933,26.22078478,3048688,0.1,2020-08-18,FL,,
75,-80.90326289,25.97827472,3048728,0.01,2021-03-13,FL,,
76,-112.0851112,36.05587546,3048752,0.1,2021-04-14,AZ,Grand Canyon,GRCA
77,-80.74590284,25.59630463,3048775,13.91,2020-08-04,FL,,
78,-80.86170287,25.53334461,3048817,646.33,2020-07-04,FL,,
79,-112.9828111,32.05799488,3048897,0.1,2020-07-09,AZ,,
80,-80.6504128,25.36775457,3049182,1650.61,2020-01-08,FL,,
81,-114.7047117,36.13567531,3049295,0.1,2020-05-24,NV,,
82,-93.1615968,36.06966652,3049466,700.26,2020-03-05,AR,,
83,-116.2413118,34.08014497,3049532,0.1,2020-08-19,CA,,
84,-103.4576103,43.87800708,3049616,88.81,2020-04-24,SD,,
85,-108.8939111,40.73506627,3049644,0.1,2020-08-30,CO,,
86,-81.07720292,25.21520453,3049659,66918.68,2021-03-03,FL,,
87,-121.4088014,40.50474424,3050058,0.2,2020-08-02,CA,,
88,-112.5729114,36.33078547,3050067,8356.75,2020-07-16,AZ,Grand Canyon,GRCA
89,-124.1493668,41.72179603,3050130,0.1,2020-07-05,CA,,
90,-118.6128125,36.40139508,3050368,0.2,2020-09-05,CA,,
91,-117.2314122,36.48080518,3050392,0.1,2021-04-09,CA,,
92,-121.6668146,46.98685566,3050620,0.1,2020-08-02,WA,Mount Rainier,MORA
93,-124.3726152,47.60061539,3050767,0.1,2020-06-28,WA,,
94,-94.04881706,36.44577655,3050892,232.69,2021-03-29,AR,,
95,-118.6808125,36.76883512,3051140,0.5,2020-08-16,CA,Kings Canyon,KICA
96,-80.96168292,26.24450479,3051226,1.62,2021-01-08,FL,,
97,-80.74393283,25.22054453,3051270,64.5,2020-08-20,FL,,
98,-116.1572118,33.98883497,3051286,0.1,2020-08-10,CA,,
99,-80.6216698,25.37778258,3051379,2.14,2021-04-06,FL,,
100,-112.4064113,36.27317547,3051550,0.5,2020-11-04,AZ,Grand Canyon,GRCA
101,-112.1661114,37.60759565,3051743,0.1,2020-08-18,UT,,
102,-119.6005128,37.73240515,3051887,0.1,2020-07-24,CA,,
103,-80.58398278,25.30260456,3051898,43751.44,2020-02-18,FL,,
104,-118.3660703,47.97353407,3052112,0.5,2020-07-24,WA,,
105,-118.4484124,36.4196751,3052239,8422.87,2020-08-16,CA,,
106,-118.1283144,48.71643614,3052248,0.1,2020-07-12,WA,,
107,-103.0369089,29.52464489,3052400,0.1,2020-05-03,TX,Big Bend,BIBE
108,-106.5582101,35.83653576,3052528,151.44,2021-04-08,NM,,
109,-112.9559339,37.27225265,3052544,0.1,2020-07-23,UT,,
110,-117.0934122,36.12522515,3052919,0.5,2020-08-21,CA,,
111,-81.11311295,25.9110047,3053004,1.39,2021-04-18,FL,,
112,-103.4393103,43.62713705,3053051,1.26,2021-01-12,SD,,
113,-114.5621116,35.22474521,3053069,0.1,2020-09-05,AZ,,
114,-114.327512,39.03833866,3053226,0.0,2020-07-23,NV,Great Basin,GRBA
115,-105.6473101,37.92045612,3053379,73.05,2020-07-31,CO,,
116,-92.63109237,36.03466471,3053487,22.07,2020-02-27,AR,,
117,-118.1233144,48.59206614,3053555,0.1,2020-03-23,WA,,
