,park_name,light_pollution_ratio,lon,lat,year
0,Acadia,0.43,-68.22,44.35,2006
1,Acadia,0.45,-68.22,44.35,2006
2,Acadia,0.43,-68.22,44.35,2006
3,Acadia,0.31,-68.22,44.35,2007
10,Arches,0.05,-109.57,38.70,2001
11,Arches,0.13,-109.57,38.70,2003
12,Arches,0.14,-109.57,38.70,2008
13,Arches,0.11,-109.57,38.70,2009
14,Arches,0.16,-109.57,38.70,2009
18,Badlands,0.16,-102.23,43.87,2006
19,Badlands,0.20,-102.34,43.40,2011
20,Badlands,0.25,-102.57,43.67,2011
21,Badlands,0.15,-102.57,43.67,2011
22,Badlands,0.10,-102.23,43.87,2011
27,Big Bend,0.05,-103.16,29.31,2003
28,Big Bend,< 0.04,-103.31,29.25,2003
29,Big Bend,< 0.04,-103.38,29.21,2003
30,Big Bend,0.06,-103.31,29.25,2004
31,Big Bend,< 0.04,-103.31,29.25,2007
32,Big Cypress,0.63,-81.15,25.87,2014
33,Big Cypress,0.85,-81.28,26.09,2014
34,Big Cypress,0.91,-81.15,25.87,2014
35,Big Cypress,2.06,-80.92,26.23,2014
36,Biscayne,66.83,-80.31,25.60,2014
37,Biscayne,11.20,-80.17,25.52,2014
38,Biscayne,13.05,-80.18,25.52,2014
39,Black Canyon of the Gunnison,0.12,-107.73,38.57,2004
40,Black Canyon of the Gunnison,0.19,-107.73,38.57,2008
41,Black Canyon of the Gunnison,0.26,-107.73,38.57,2008
45,Bryce Canyon,< 0.04,-112.16,37.60,2003
46,Bryce Canyon,0.08,-112.24,37.47,2004
47,Bryce Canyon,0.10,-112.24,37.47,2004
48,Bryce Canyon,0.06,-112.16,37.60,2005
49,Bryce Canyon,0.12,-112.16,37.61,2006
50,Bryce Canyon,0.07,-112.24,37.47,2007
51,Bryce Canyon,0.08,-112.24,37.47,2007
52,Bryce Canyon,0.13,-112.14,37.67,2007
53,Bryce Canyon,0.06,-112.24,37.47,2007
54,Bryce Canyon,0.10,-112.17,37.61,2007
55,Bryce Canyon,0.09,-112.17,37.61,2007
67,Canyonlands,< 0.04,-109.86,38.31,2003
68,Canyonlands,0.04,-109.86,38.31,2011
69,Capitol Reef,< 0.04,-111.09,37.86,2006
70,Capitol Reef,< 0.04,-111.09,37.86,2007
71,Carlsbad Caverns,0.46,-104.44,32.18,2007
72,Carlsbad Caverns,0.34,-104.44,32.18,2008
