,park_id,park_name,state,abandoned_wells_count
34,DRTO,Dry Tortugas National Park,FL,0
37,BRCA,Bryce Canyon National Park,UT,1
40,YELL,Yellowstone National Park,WY,0
50,SEQU,Sequoia National Park,CA,0
56,MACA,Mammoth Cave National Park,KY,1313
62,GRBA,Great Basin National Park,NV,2
71,CANY,Canyonlands National Park,UT,2
88,BISC,Biscayne National Park,FL,0
91,GUMO,Guadalupe Mountains National Park,TX,5
98,JEFF,Gateway Arch National Park,MO,410
116,KICA,Kings Canyon National Park,CA,0
139,CARE,Capitol Reef National Park,UT,3
152,PINN,Pinnacles National Park,CA,50
175,LAVO,Lassen Volcanic National Park,CA,0
187,MORA,Mount Rainier National Park,WA,0
196,YOSE,Yosemite National Park,CA,0
204,WICA,Wind Cave National Park,SD,1
212,NOCA,North Cascades National Park,WA,0
214,NPSA,National Park of American Samoa,AS,0
215,VOYA,Voyageurs National Park,MN,0
216,CONG,Congaree National Park,SC,0
220,HALE,Haleakala National Park,HI,0
224,CAVE,Carlsbad Caverns National Park,NM,198
226,ZION,Zion National Park,UT,0
233,THRO,Theodore Roosevelt National Park,ND,1585
234,CRLA,Crater Lake National Park,OR,0
236,GLAC,Glacier National Park,MT,4
245,GRTE,Grand Teton National Park,WY,0
249,GRSA,Great Sand Dunes National Park,CO,0
254,BLCA,Black Canyon of the Gunnison National Park,CO,1
260,BIBE,Big Bend National Park,TX,0
268,ARCH,Arches National Park,UT,2
273,GRCA,Grand Canyon National Park,AZ,1
279,HAVO,Hawai'i Volcanoes National Park,HI,0
282,CUVA,Cuyahoga Valley National Park,OH,10
283,WRST,Wrangell-St. Elias National Park,AK,0
285,GLBA,Glacier Bay National Park,AK,0
287,KATM,Katmai National Park,AK,0
288,KEFJ,Kenai Fjords National Park,AK,0
296,GAAR,Gates of the Arctic National Park,AK,0
298,KOVA,Kobuk Valley National Park,AK,0
302,LACL,Lake Clark National Park,AK,0
307,JOTR,Joshua Tree National Park,CA,6
311,EVER,Everglades National Park,FL,8
314,BADL,Badlands National Park,SD,0
319,PEFO,Petrified Forest National Park,AZ,2
327,VIIS,Virgin Islands National Park,VI,0
330,OLYM,Olympic National Park,WA,0
334,REDW,Redwood National Park,CA,0
335,SHEN,Shenandoah National Park,VA,0
336,ACAD,Acadia National Park,ME,0
349,GRSM,Great Smoky Mountains National Park,NC,0
355,ISRO,Isle Royale National Park,MI,0
359,WHSA,White Sands National Park,NM,0
362,DEVA,Death Valley National Park,CA,0
364,INDU,Indiana Dunes National Park,IN,18
371,HOSP,Hot Springs National Park,AR,18
403,CHIS,Channel Islands National Park,CA,1920
406,DENA,Denali National Park,AK,0
415,MEVE,Mesa Verde National Park,CO,98
418,ROMO,Rocky Mountain National Park,CO,2
424,SAGU,Saguaro National Park,AZ,0
