X,Y,OBJECTID,ABCDMisc,ADSPermissionState,CalculatedAcres,ContainmentDateTime,ControlDateTime,CreatedBySystem,CreatedOnDateTime,IncidentSize,DiscoveryAcres,DispatchCenterID,EstimatedCostToDate,FinalAcres,FinalFireReportApprovedByTitle,FinalFireReportApprovedByUnit,FinalFireReportApprovedDate,FireBehaviorGeneral,FireCode,FireDepartmentID,FireDiscoveryDateTime,FireMgmtComplexity,FireOutDateTime,FSJobCode,FSOverrideCode,GACC,IncidentName,IncidentShortDescription,IncidentTypeCategory,IncidentTypeKind,InitialLatitude,InitialLongitude,InitialResponseDateTime,IsFireCauseInvestigated,IsFSAssisted,IsReimbursable,IsTrespass,LocalIncidentIdentifier,ModifiedOnDateTime,PercentContained,POOCity,POOCounty,POODispatchCenterID,POOFips,POOJurisdictionalAgency,POOJurisdictionalUnit,POOJurisdictionalUnitParentUnit,POOLandownerCategory,POOLandownerKind,POOProtectingAgency,POOProtectingUnit,POOState,PredominantFuelGroup,PredominantFuelModel,UniqueFireIdentifier,FORID,InitialResponseAgencies,FireCauseID,FireCauseGeneralID,FireCauseSpecificID,FireCauseSpecificDetailID,FireCauseAgeCategoryID,FireCauseActivityGroupID,GlobalID,IsCauseProhibited,ModifiedBySystem,RelatedIrwinIDs,Status,AcresBIA,AcresBLM,AcresBOR,AcresDOD,AcresDOE,AcresNPS,AcresUSFS,AcresUSFWS,AcresForeign,AcresTribal,AcresCity,AcresCounty,AcresState,AcresPrivate,AcresANCSA,AcresOtherLocal,AcresOtherFederal
-107.9006103,34.95145556,2111874,,CERTIFIED,0.87,2021/06/09 18:04:00+00,2021/06/14 16:00:00+00,wildcad,1.62268E+12,0.2,,NMABC,,0.67,,,2021/09/30 17:17:50+00,,N12A,,2021/06/02 22:13:00+00,,2021/06/21 22:30:00+00,PP,1522,SWCC,KAPUKA,,WF,FI,34.92439,-107.8985,2021/06/02 22:13:00+00,,1,,1,222,2021/09/30 17:20:46+00,,,Cibola,NMABC,35006,NPS,NMEMP,,NPS,Federal,NPS,NMEMP,US-NM,Grass-Shrub,GS2,2021-NMEMP-000222,{0DAD3551-55BD-4A44-BFAF-9348EB1943DC},,1,1,1,,,,{0CA9241D-CB32-4E5F-8708-E059ACFB83AA},,INFORM_Inspector,{92356EE9-9344-421C-BC48-CEFE2BC404FE},Certified,0,0,0,0,0,0.67,0,0,0,0,0,0,0,0,0,0,0
-119.6407128,37.54983513,2111886,,CERTIFIED,0.1,,,wildcad,1.62268E+12,0.1,,CAYPCC,,0.1,,,2021/06/07 22:12:51+00,,N11J,,2021/06/03 01:23:00+00,,2021/06/04 21:00:00+00,,,OSCC,Loop,,WF,FI,37.54983,-119.6407,2021/06/03 01:30:00+00,,0,,0,18,2021/06/07 22:12:51+00,,,Mariposa,CAYPCC,6043,NPS,CAYNP,,NPS,Federal,NPS,CAYNP,US-CA,Slash,SB3,2021-CAYNP-000018,{432C21F6-A6EC-42A4-9292-2B5F23D3707D},,2,2,,,,,{B9D02261-12FC-4B2D-921D-5B7921665F42},,INFORM_Inspector,{61B87894-6A67-4D72-8CC3-652C67094704},Certified,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0
-106.41191,35.86118577,2112036,,CERTIFIED,0.1,2021/06/04 17:30:00+00,2021/06/04 18:40:00+00,wildcad,1.62277E+12,0.1,,NMSFC,,0.1,,,2021/06/09 16:19:34+00,,N13J,,2021/06/04 00:13:00+00,,2021/06/05 19:05:00+00,PP,1522,SWCC,Upper Frijoles,,WF,FI,35.86353,-106.409,2021/06/04 00:30:00+00,,0,,0,170,2021/06/09 16:19:34+00,,,Sandoval,NMSFC,35043,NPS,NMBAP,,NPS,Federal,NPS,NMBAP,US-NM,Timber,TL8,2021-NMBAP-000170,{4374B048-A583-4B4A-AC44-C584E9DD1E25},,1,1,1,,,,{473090F0-E973-42A8-9573-A8ABF3257C49},,INFORM_Inspector,{5673145F-85C4-4144-AC69-BA9343E39964},Certified,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0
-119.5821128,37.74164315,2979120,,CERTIFIED,0.1,,,wildcad,1.62278E+12,0.1,,CAYPCC,,0.1,,,2021/06/04 17:48:16+00,,N13S,,2021/06/04 02:57:00+00,,2021/06/04 05:15:00+00,,,OSCC,Housekeeping,,WF,FI,37.74167,-119.5822,2021/06/04 05:00:00+00,,0,,1,19,2021/06/04 17:48:17+00,,,Mariposa,CAYPCC,6043,NPS,CAYNP,,NPS,Federal,NPS,CAYNP,US-CA,Timber,TL1,2021-CAYNP-000019,{2E720543-02D0-4D97-981F-C813DF8A7E7E},,3,10,,,,,{3DC6C1F6-DFCB-402B-BE31-21C23128E187},,INFORM_Inspector,{067EDDE9-F76F-41E2-8AFB-A7FC9EC12A3E},Certified,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0
-122.0584139,43.08333537,3037268,,CERTIFIED,0.1,2020/07/28 03:43:00+00,2020/07/28 16:56:00+00,wildcad,1.59589E+12,0.1,,ORLFC,,0,,,2020/08/02 16:49:00+00,,NBW8,,2020/07/27 20:32:00+00,,2020/07/30 15:15:00+00,PP,1502,NWCC,Manzanita,,WF,FI,43.14839,-122.1743,2020/07/27 20:55:00+00,,1,,0,200236,2020/08/02 16:49:01+00,,,Klamath,ORLFC,41035,NPS,ORCLP,,NPS,Federal,NPS,ORCLP,US-OR,Timber,TU1,2020-ORCLP-200236,{3DF60804-9770-48A7-94C9-6CB541CFE9DC},,1,1,1,,,,{DF042214-1D59-4105-9B35-A9FE8169AF96},,INFORM_Inspector,{5307E32B-3797-44D4-A62A-02E7EBC1BAE7},Certified,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-81.30339301,25.88943469,3037429,,FIREREPORTING,6323.89,2021/09/22 22:00:00+00,2021/09/22 22:00:00+00,wildcad,1.61729E+12,6318,,FLFIC,,6323.89,,,,,,,2021/04/03 19:21:00+00,,2021/09/22 22:00:00+00,,,SACC,Ochopee,,RX,FI,25.88943,-81.30339,,,0,,0,322,2021/10/03 15:54:32+00,,,Collier,FLFIC,12021,NPS,FLBCP,,,,NPS,FLBCP,US-FL,,,2021-FLBCP-000322,{473D248B-BC8A-44EF-8158-BA8B32C667EF},,2,2,,,,,{0DAFDEF3-3DCB-4B53-849F-C2B564BED504},,wildcad,{BA86C958-9C5A-4133-878D-038D9F62A9AD},Complete,0,0,0,0,0,6247.18,0,0,0,0,0,0,0,76.71,0,0,0
-105.6819101,37.88699611,3037492,,CERTIFIED,0.1,2020/05/29 15:50:00+00,2020/05/29 17:20:00+00,wildcad,1.59076E+12,0.1,,COPBC,,0.1,,,2020/08/04 20:41:23+00,,M48J,,2020/05/29 01:46:00+00,,2020/05/29 19:18:00+00,PP,1502,RMCC,Alpine,,WF,FI,37.90662,-105.649,2020/05/29 02:00:00+00,,1,,0,527,2020/08/04 20:41:24+00,,,Saguache,COPBC,8109,NPS,COGSP,,NPS,Federal,NPS,COGSP,US-CO,Brush,SH1,2020-COGSP-000527,{2D531A0C-94DB-4618-AD54-34C823345672},,1,1,1,,,,{EE2A4D0A-B759-4C66-8E50-A719D7F95781},,INFORM_Inspector,{21672329-0806-4E08-B795-03DD53A46B03},Certified,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0
-107.9007103,34.88773555,3037525,,CERTIFIED,0.1,2020/07/28 00:28:00+00,2020/07/28 00:28:00+00,wildcad,1.59546E+12,0.1,,NMABC,,0.1,,,2021/09/30 17:07:27+00,,NAZ4,,2020/07/22 19:43:00+00,,2020/07/28 00:28:00+00,PP,1502,SWCC,LAVA,,WF,FI,34.91925,-107.9095,2020/07/22 19:50:00+00,1,1,,0,318,2021/09/30 17:10:23+00,,,Cibola,NMABC,35006,NPS,NMEMP,,NPS,Federal,NPS,NMEMP,US-NM,Timber,TU1,2020-NMEMP-000318,{02A829F8-DD39-4575-A9DA-123FA4B70B4F},,1,1,1,,,,{041378DA-F63D-4A53-B2D3-C303937DFD53},,INFORM_Inspector,{F97663BF-4D0D-4A8E-B462-03FC2CC715AA},Certified,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0
-93.18652681,36.06991652,3037551,,CERTIFIED,28.76,2020/04/21 21:00:00+00,2020/04/26 17:00:00+00,wildcad,1.58751E+12,34,,ARAOC,,28.76,,,2020/12/10 22:30:43+00,,M2JZ,,2020/04/20 22:16:00+00,,2020/04/26 17:00:00+00,PP,1502,SACC,Dogwood Ridge,,WF,FI,36.06991,-93.18652,2020/04/21 18:42:00+00,1,1,,0,597,2020/12/10 22:30:44+00,,,Newton,ARAOC,5101,NPS,ARBUP,,NPS,Federal,NPS,ARBUP,US-AR,Timber,TL6,2020-ARBUP-000597,{E43708E8-5308-4369-A727-5B8D6F068B92},,3,13,,,,,{85A34313-963B-49BB-9BB7-95B5CED462B0},,INFORM_Inspector,{08C7E0EC-4056-4F29-8BAE-0410436279BC},Certified,0,0,0,0,0,28.76,0,0,0,0,0,0,0,0,0,0,0
-88.54972742,34.43028441,3037679,,CERTIFIED,39.1,,,wildcad,1.61447E+12,30,,MSMIC,,39.1,,,2021/11/04 15:51:07+00,,,,2021/02/24 20:28:24+00,,2021/02/25 01:00:00+00,,,SACC,NPS 20 Mile Overlook,,RX,FI,34.430278,-88.549722,,,0,,0,58,2021/11/04 15:51:08+00,,,Lee,MSMIC,28081,NPS,MSNAP,,,,NPS,MSNAP,US-MS,,,2021-MSNAP-000058,{2C4E9213-2A34-4C38-B793-F1C4045CA0CA},,2,2,,,,,{977ECCB5-FD49-416E-9A60-5BC09376FB7D},,INFORM_Inspector,{91FA9014-DD38-47D4-8519-04B322C84BA0},Certified,0,0,0,0,0,30.87,0,0,0,0,0,0,0,8.23,0,0,0
