parkName,stateAbbrev,stateName,type,totalDeferredMaintenance2019,nonTransportation2019,transportation2019,nonHistoric2019,historic2019,amphitheater2019,aviation2019,buildings2019,communicationsSystem2019,constructedWaterway2019,damLeveeDike2019,electricalSystem2019,fortification2019,fuelSystem2019,heatingCoolingSystems2019,interpretiveMedia2019,maintainedArcheologicalSite2019,maintainedLandscape2019,marinaWaterfrontSystem2019,missileSiloTower2019,monumentMemorial2019,parkingLot2019,pavedRoads2019,railroadSystem2019,roadBridge2019,roadTunnel2019,ship2019,solidWasteSystem2019,trails2019,trailBridge2019,trailTunnel2019,unpavedRoads2019,wasteWaterSystem2019,waterSystems2019,totalDeferredMaintenance2018,nonTransportation2018,transportation2018,nonHistoric2018,historic2018,amphitheater2018,aviation2018,buildings2018,communicationsSystem2018,constructedWaterway2018,damLeveeDike2018,electricalSystem2018,fortification2018,fuelSystem2018,heatingCoolingSystems2018,interpretiveMedia2018,maintainedArcheologicalSite2018,maintainedLandscape2018,marinaWaterfrontSystem2018,missileSiloTower2018,monumentMemorial2018,parkingLot2018,pavedRoads2018,railroadSystem2018,roadBridge2018,roadTunnel2018,ship2018,solidWasteSystem2018,trails2018,trailBridge2018,trailTunnel2018,unpavedRoads2018,wasteWaterSystem2018,waterSystems2018,totalDeferredMaintenance2017,nonTransportation2017,transportation2017,nonHistoric2017,historic2017,amphitheater2017,aviation2017,buildings2017,communicationsSystem2017,constructedWaterway2017,damLeveeDike2017,electricalSystem2017,fortification2017,fuelSystem2017,heatingCoolingSystems2017,interpretiveMedia2017,maintainedArcheologicalSite2017,maintainedLandscape2017,marinaWaterfrontSystem2017,missileSiloTower2017,monumentMemorial2017,parkingLot2017,pavedRoads2017,railroadSystem2017,roadBridge2017,roadTunnel2017,ship2017,solidWasteSystem2017,trails2017,trailBridge2017,trailTunnel2017,unpavedRoads2017,wasteWaterSystem2017,waterSystems2017,totalDeferredMaintenance2016,nonTransportation2016,transportation2016,nonHistoric2016,historic2016,amphitheater2016,aviation2016,buildings2016,communicationsSystem2016,constructedWaterway2016,damLeveeDike2016,electricalSystem2016,fortification2016,fuelSystem2016,heatingCoolingSystems2016,interpretiveMedia2016,maintainedArcheologicalSite2016,maintainedLandscape2016,marinaWaterfrontSystem2016,missileSiloTower2016,monumentMemorial2016,parkingLot2016,railroadSystem2016,roadBridge2016,roadTunnel2016,pavedRoads2016,ship2016,solidWasteSystem2016,trailBridge2016,trailTunnel2016,trails2016,unpavedRoads2016,wasteWaterSystem2016,waterSystems2016,totalDeferredMaintenance2015,nonTransportation2015,transportation2015,nonHistoric2015,historic2015,amphitheater2015,aviation2015,buildings2015,communicationsSystem2015,constructedWaterway2015,damLeveeDike2015,electricalSystem2015,fortification2015,fuelSystem2015,heatingCoolingSystems2015,interpretiveMedia2015,maintainedArcheologicalSite2015,maintainedLandscape2015,marinaWaterfrontSystem2015,missileSiloTower2015,monumentMemorial2015,parkingLot2015,railroadSystem2015,roadBridge2015,roadTunnel2015,pavedRoads2015,ship2015,solidWasteSystem2015,trailBridge2015,trailTunnel2015,trails2015,unpavedRoads2015,wasteWaterSystem2015,waterSystems2015
Acadia National Park,ME,Maine,park,92644120.86,50683690.12,41960430.74,49006059.96,43638060.9,687845.14,0,28207436.58,356148.47,0,48657.62,3198372.52,0,0,0,582720,0,1967242.86,958140.51,0,0,5968548.31,28515969.84,0,7475912.591,0,0,0,6057446.86,0,0,4789318.212,3387793.62,442567.73,65829758.16,41281375.43,24548382.73,28562831.1,37266927.06,687845.14,0,12389876.7,356148.47,0,48657.62,1139131.36,0,0,0,477805.62,0,2038752.48,1088844.8,0,0,3460215.2,16341899.26,0,4777542.378,0,0,0,9387016.66,0,0,10737793.2,2060397.79,837831.49,59858098.61,39998027.94,19860070.67,23734288.2,36123810.41,687845.14,0,10534988.22,356148.47,0,48657.62,1210053.94,0,0,0,117805.62,0,1841934.43,1692855.23,0,0,1915503.578,12416018.97,0,5528548.121,0,0,0,9763251.26,0,0,10903836.58,2002819.94,837831.49,71029340.7,39885100.55,31144240.15,28141981.2,42887359.5,12974,0,10516716.19,60105.62,0,48657.63,1210054.67,0,0,0,133779.11,0,2569448.16,1658462.76,0,0,4385592.923,0,5634540.657,0,21124106.57,0,0,0,0,9786676.56,11047574.38,2002819.98,837831.49,68250049.04,39246216.11,29003832.94,28627681.38,39622367.66,12974,0,9780670.82,32665.62,0,48657.63,1182811.36,0,0,0,196352.84,0,2451276.15,1092092.33,0,0,5532130.003,0,6570982.089,0,16900720.85,0,0,0,0,10131388.56,11383024.8,1937512.51,858321.49
Arches National Park,UT,Utah,park,11182712.19,3518250.49,7664461.704,11025576.09,157136.109,0,0,1536221.32,0,0,58419.56,94451.72,0,0,0,0,0,175413.3,0,0,0,1472774.616,6019337.637,0,172349.451,0,0,0,902810.32,0,0,606817.98,9139.87,90289.42,24399380.7,3558119.23,20841261.47,24286457.31,112923.389,0,0,1411124.69,0,0,0,149352.72,0,0,0,0,0,220056.69,0,0,0,1512631.452,18947157.55,0,381472.47,0,0,0,1125420.86,0,0,606817.98,9139.87,8144.42,25648543.32,4803767.072,20844776.25,25391096.74,257446.58,0,0,1174453.15,0,0,0,149352.72,0,0,0,0,0,282083.15,0,0,0,2177767.565,18407943.68,0,259065,0,0,0,1314634.08,0,0,1289809.832,100937.37,413652.97,24678597.64,4488702.188,20189895.45,24421151.06,257446.58,11476.92,0,910321.77,0,0,0,149352.72,0,0,0,0,0,172690.67,0,0,0,1929190.959,0,259065,0,18001639.49,0,0,0,0,1312294.01,1311290.748,102485,468008.55,19886458.94,3707958.618,16178500.32,19719197.8,167261.14,11476.92,0,628394.69,0,0,0,149352.72,0,0,0,0,0,138482.98,0,0,0,3069769.387,0,259065,0,12849665.94,0,0,0,0,1241961.4,1041067.458,4536.9,391438.75
Badlands National Park,SD,South Dakota,park,33811635.54,11139480.2,22672155.34,9155757.241,24655878.3,0,0,6887830.28,26926,0,27867.2,299264.7,0,145841.63,0,400456.29,0,1679507.97,0,0,116.04,2971077.408,19716172.69,0,0,0,0,0,623859.47,0,0,417860.2155,224467.9,202516.38,33453532.47,11708793.7,21744738.77,9930705.481,23522826.99,0,0,6387062.98,98926,0,6470.6,112168.34,0,145971.86,0,400456.29,0,766312.66,0,0,113.22,2811523.514,18947942.25,0,0,0,0,0,696676.76,0,0,983235.213,211163.76,202516.38,26514500.58,6489587.533,20024913.05,8688073.446,17826427.14,1095.03,0,2031247.1,22487,0,6470.6,0,0,0,0,172995.88,0,458797.36,0,0,0,2608771.29,17416141.76,0,0,0,0,0,298748.9,0,0,1050847.533,165428.6,425193.25,25869135.5,5999357.949,19869777.55,8002423.199,17866712.3,0,0,1516734.99,0,0,0,81184.5,0,8300,0,172611.52,0,395524.62,0,0,0,2122152.561,0,0,0,17747624.99,0,0,0,0,85112.46,1338447.159,317743.85,296441.82,17498477.9,6516368.776,10982109.13,5419248.724,12079229.18,0,0,1934381.1,0,0,0,0,0,6500,0,143576.73,0,183436.62,0,0,0,687872.5416,0,0,0,10294236.59,0,0,0,0,130749.92,2082516.926,197994.06,176557.38
Big Bend National Park,TX,Texas,park,124438101.9,50475358.43,73962743.49,115625409.8,8812692.167,47780.05,0,13734108.97,0,0,0,0,0,7749.37,0,380192.61,46944.38,1246386.44,0,0,0,3178724.918,65766069.92,0,5016315.15,1633.5,0,24612.7,1879420.75,0,0,1828990.733,1478034.44,29801137.99,89657789.94,21974344.62,67683445.32,82183936.75,7473853.185,47100.64,0,7632827.42,45100,0,0,0,0,94718.62,0,218119.63,37391.57,459120.6,0,0,0,2811042.522,59919794.15,0,4950975.15,1633.5,0,24612.7,2086971.36,0,0,1572303.96,2331457.93,7424620.19,100421335.3,20617222.42,79804112.9,95005994.95,5415340.369,7325.24,0,5052423.27,45100,0,0,0,0,106002.94,0,155638.12,0,845659.48,0,0,0,3361660.731,75626784.41,0,807500.259,8167.5,0,0,1938010.76,0,0,1955937.552,2458994.09,8052130.97,89480405.26,12985775.8,76494629.46,84268660.26,5211745.002,7325.24,0,4341782.19,0,0,0,0,0,174591.54,0,150869.81,0,862176.16,0,0,0,3312516.897,0,807500.259,8167.5,72366444.81,0,0,0,0,1487088.32,1972532.156,2516662.07,1472748.31,86815056.71,11430912.62,75384144.09,81857325.85,4957730.855,0,0,4071593.8,0,0,0,0,0,39460.06,0,118691.16,0,641473.06,0,0,0,4622304.788,0,807500.259,8167.5,69946171.54,0,0,0,0,1499907.33,1191994.907,2395043.99,1472748.31
Biscayne National Park,FL,Florida,park,1416475.091,353672.39,1062802.701,1416475.091,0,0,0,105221.36,0,0,0,50000,0,90401.76,0,0,0,79950,14621.05,0,0,534932.613,527870.088,0,0,0,0,0,0,0,0,0,0,13478.22,1480962.357,263469.12,1217493.237,1473726.647,7235.71,0,0,211727.71,0,0,0,0,0,0,0,0,0,30000,14264.44,0,0,393985.3527,823507.884,0,0,0,0,0,7476.97,0,0,0,0,0,12527745.55,10394509.46,2133236.09,6829434.45,5698311.1,0,0,6953719.49,167494.59,92057.74,0,401314.42,0,0,0,114201.72,0,219021.58,1217712.02,0,0,359155.6486,1774080.441,0,0,0,0,0,306948.24,119124.87,0,0,19522,205837.79,12069391,9974950.37,2094440.625,7038309.895,5031081.1,0,0,6320949.56,118538.3,26571.34,0,471710.42,0,205497.02,0,114201.72,0,203490.58,1252019.06,0,0,357661.953,0,0,0,1736778.672,0,0,108729.87,0,291890.64,0,0,283796.86,9849278.976,7447479.24,2401799.736,5734425.556,4114853.42,0,0,5079985.51,118538.3,26571.34,0,75000,0,195225.3,0,42701.72,0,15639.84,1246119.06,0,0,684596.0642,0,0,0,1717203.672,0,0,108729.87,0,278282.86,0,0,260685.44
Black Canyon of the Gunnison National Park,CO,Colorado,park,5031186.477,1770181.503,3261004.974,5010534.782,20651.6955,263887.46,0,799999.61,61000,0,0,22882.37,0,0,0,14529.6,0,151034.67,0,0,0,603705.6225,2657299.352,0,0,0,0,0,322004.88,0,0,84646.053,0,0,7790635.909,2179333.315,5611302.594,7762328.633,28307.2755,263887.46,0,962029,62000,0,0,22882.37,0,0,0,14529.6,0,181579.5,0,0,0,470412.8325,5141278.278,0,0,0,0,0,421176.72,0,0,159378.948,0,38591.31,6508999.12,1567208.708,4941790.412,6475134.475,33864.645,263887.46,0,465522.16,0,0,0,22882.37,0,0,0,0,0,67703.47,0,0,0,224347.914,4717442.498,0,0,0,0,0,446936.89,0,0,208795.158,0,38591.31,6745170.789,1523881.008,5221289.781,6712871.752,32299.0365,263887.46,0,402514.25,0,0,0,37928.92,0,0,0,6921.46,0,48330.59,0,0,0,418028.256,0,0,0,4803261.525,0,0,0,0,437254.28,168134.1975,0,38591.31,6514685.916,1264826.506,5249859.41,6443086.206,71599.71,263887.46,0,470513.2,0,0,0,37804.92,0,0,0,6921.46,0,2847.86,0,0,0,728000.2352,0,0,0,4521859.175,0,0,0,0,246592.66,206336.646,0,29922.3
Bryce Canyon National Park,UT,Utah,park,26376095.28,10251896.23,16124199.05,22981844.71,3394250.574,107684,0,4008125.43,16000,0,0,0,0,46169.35,0,0,0,1211819.22,0,0,0,5068548.486,11055650.57,0,0,0,0,0,2733761.27,0,0,0,428418.37,1276200.33,25787576.66,11896268.33,13891308.33,22540666.53,3246910.126,107684,0,4826368.83,16000,0,0,0,0,46169.35,0,0,0,1223344.82,0,0,0,3621203.726,10270104.6,0,0,0,0,0,2955331.83,0,0,0,973788.37,1323862.87,27126866.6,13552905.22,13573961.38,23958939.51,3167927.099,107684,0,5776659.75,16000,0,0,0,0,46169.35,0,0,0,1984893.18,0,0,0,4521275.334,9052686.05,0,0,0,0,0,2900129.44,0,0,0,973788.37,1323862.87,27478962.82,12420493.55,15058469.27,25119156.18,2359806.645,0,0,7431534.63,16000,0,0,0,0,5039.04,0,0,0,1778713.66,0,0,0,4490367.868,0,0,0,10568101.4,0,0,0,0,1483746.14,0,556542,654579.99,37111153.43,16863925.69,20247227.74,34965390.39,2145763.04,13295.44,0,8196454.86,0,0,0,0,0,5039.04,0,0,0,2053270.98,0,0,0,5279468.108,0,0,0,14967759.63,0,0,0,0,1274783.38,94149.3065,3026899.88,1635075
Canyonlands National Park,UT,Utah,park,24187570.5,7034066.633,17153503.87,22843253.67,1344316.832,0,0,1868065.65,0,0,0,304693.68,0,230700.44,0,0,19293.2,789554.44,0,0,0,1214859.452,15962630.34,0,252423,0,0,0,1692705.55,0,0,1187001.81,383244.01,183602.73,21005442.92,6595430.073,14410012.85,19785814.43,1219628.497,0,0,1788837.92,0,0,0,304693.68,0,230700.44,0,0,19293.2,687795.04,0,0,0,1064614.348,13390189.28,0,231618.15,0,0,0,1621192.77,0,0,1000865.16,383244.01,183602.73,40671343.95,7639721.788,33031622.16,39275072.5,1396271.444,7496.9,0,2380649.08,395230.42,0,0,419779.78,0,179024.55,0,0,74182.6,771307.38,0,0,0,2222860.88,30578534.98,0,230226.3,0,0,0,1581475.11,0,0,1137227.928,386800.16,233359.48,45179990.5,7683729.448,37496261.06,43701899.67,1478090.831,7496.9,0,2172308.6,395230.42,0,0,419779.78,0,146521.03,0,0,120413.8,1037305.88,0,0,0,2502699.147,0,220941,0,34772620.91,0,0,0,0,1510146.76,1465436.988,210111.56,152189.33,43144249.82,6138284.67,37005965.15,41789333.09,1354916.731,7496.9,0,1733950.34,395230.42,0,0,386779.78,0,71216.97,0,0,120413.8,793127.77,0,0,0,2573132.935,0,220941,0,34211891.22,0,0,0,0,1331590.41,1143918.78,2370.17,152189.33
Capitol Reef National Park,UT,Utah,park,11415258.95,3648918.594,7766340.359,4517932.749,6897326.204,41531.02,0,937848.26,86563,0,0,0,0,0,0,438750,0,830609.05,0,0,0,1248297.777,6533098.281,0,27641.25,0,0,0,481112.42,0,0,226973.1645,511935.93,50898.8,8977333.906,3841523.677,5135810.23,4563364.979,4413968.927,39429.04,0,855368.95,86563,0,0,0,0,0,0,439135.24,0,786182.51,0,0,0,1238491.274,3938598.405,0,1417.5,0,0,0,634534.9,0,0,248135.157,511935.93,98701.2,8379815.685,3954116.195,4425699.49,3832851.508,4546964.177,0,0,996768.97,86563,0,0,0,0,0,0,444635.24,0,786182.51,0,0,0,543998.1566,3880283.833,0,1417.5,0,0,0,618545.11,0,0,203504.1948,461693.93,257382.44,7738003.734,3521856.521,4216147.213,3400038.531,4337965.203,0,0,1067039.36,86562,0,0,0,0,0,0,202310.64,0,692174.96,0,0,0,546251.7629,0,1417.5,0,3668477.95,0,0,0,0,404764.99,199817.901,386151.93,384193.94,3836949.19,2955341.61,881607.5802,3231191.98,605757.21,0,0,1045313.87,14809.49,0,0,0,0,0,0,236812.24,0,339140.03,0,0,0,617444.316,0,1417.5,0,262745.7642,0,0,0,0,341169.95,217169.37,7557.93,699657.73
Carlsbad Caverns National Park,NM,New Mexico,park,39708808.36,37112103.92,2596704.44,34805758.01,4903050.356,45329.82,0,23142311.69,274734.98,710162.06,0,3216102.35,0,374570.86,0,378898.8,0,346643.22,0,0,0,1052913.26,1544098.64,0,0,0,0,0,2265790.24,0,0,1286140.194,3651756.96,1372636.75,39868411.65,38562224.01,1306187.64,37514705.03,2353706.621,18126,0,22173610.39,268328.37,553782.59,0,8216028.64,0,327987.61,0,378898.8,0,36872.6,0,0,0,810066.261,496421.379,0,0,0,0,0,2197203.06,0,0,1622913.84,1824488.21,943683.9,46819347.65,43936930.25,2882417.4,44351526.26,2467821.394,12150,0,27814752.92,268328.37,0,0,8216028.64,0,327987.61,0,314358,0,551793.18,0,0,0,859617.279,2022800.121,0,0,0,0,0,2068925.72,0,0,1594433.7,1824488.21,943683.9,44044498.95,43474484.52,570014.4285,41689629.57,2354869.38,12150,0,28210302.07,211764,0,0,8216028.64,0,277987.61,0,487038,0,551793.18,0,0,0,197733.177,0,0,0,372281.2515,0,0,0,0,1404375.65,1594433.7,1078677.77,1429933.9,44411003.07,41989238.75,2421764.317,41698570.29,2712432.78,0,0,25788351.84,251764,0,0,8277006.96,0,234587.61,0,172680,0,550593.18,0,0,0,416482.119,0,0,0,2005282.198,0,0,0,0,2014826.91,2169533.7,1099960.65,1429933.9
