Park Name,State,Fact Sheet, Buildings ,  Trail Miles  ,  Housing Units  ,  Campgrounds  ,  Unpaved Road Miles  ,  Water Systems  ,  Waste Water Systems  ,  Paved Road Miles  ,  All Other Assets  , DM&R ,Additional Park Units Included in Calculations (if Applicable)
Abraham Lincoln Birthplace National Historical Park,Kentucky,"<a href=""https://www.nps.gov/subjects/infrastructure/upload/Abraham-Lincoln-Birthplace-National-Historical-Park-Deferred-Maintenance-and-Repairs-Fact-Sheet.pdf"">Abraham Lincoln Birthplace National Historical Park Fact Sheet</a>",13,4,2,0,0,3,2,1,13,"$2,969,795 ",
Acadia National Park,Maine,"<a href=""https://www.nps.gov/subjects/infrastructure/upload/Acadia-National-Park-Deferred-Maintenance-and-Repairs-Fact-Sheet.pdf"">Acadia National Park Fact Sheet</a>",214,153,71,6,82,17,18,57,56,"$119,512,309 ",
Adams National Historical Park,Massachusetts,"<a href=""https://www.nps.gov/subjects/infrastructure/upload/Adams-National-Historical-Park-Deferred-Maintenance-and-Repairs-Fact-Sheet.pdf"">Adams National Historical Park Fact Sheet</a>",13,0,0,0,0,0,0,0,9,"$226,077 ",
African Burial Ground National Monument,New York,"<a href=""https://www.nps.gov/subjects/infrastructure/upload/African-Burial-Ground-National-Monument-Deferred-Maintenance-and-Repairs-Fact-Sheet.pdf"">African Burial Ground National Monument Fact Sheet</a>",2,0,0,0,0,1,0,0,4, $-   ,
Agate Fossil Beds National Monument,Nebraska,"<a href=""https://www.nps.gov/subjects/infrastructure/upload/Agate-Fossil-Beds-National-Monument-Deferred-Maintenance-and-Repairs-Fact-Sheet.pdf"">Agate Fossil Beds National Monument Fact Sheet</a>",7,2,7,0,3,1,1,4,9,"$4,806,023 ",
Ala Kahakai National Historic Trail,Hawaii,"<a href=""https://www.nps.gov/subjects/infrastructure/upload/Ala-Kahakai-National-Historic-Trail-Deferred-Maintenance-and-Repairs-Fact-Sheet.pdf"">Ala Kahakai National Historic Trail Fact Sheet</a>",0,3,0,0,0,0,0,0,0, $-   ,
Alagnak Wild River,Alaska,"<a href=""https://www.nps.gov/subjects/infrastructure/upload/Alagnak-Wild-River-Deferred-Maintenance-and-Repairs-Fact-Sheet.pdf"">Alagnak Wild River Fact Sheet</a>",1,0,0,0,0,0,0,0,1, $-   ,
Alaska Public Lands Information Center Anchorage,Alaska,"<a href=""https://www.nps.gov/subjects/infrastructure/upload/Alaska-Public-Lands-Information-Center-Anchorage-Deferred-Maintenance-and-Repairs-Fact-Sheet.pdf"">Alaska Public Lands Information Center Anchorage Fact Sheet</a>",2,0,0,0,0,0,0,0,1,"$4,963 ",
Alaska Regional Support Office,Alaska,"<a href=""https://www.nps.gov/subjects/infrastructure/upload/Alaska-Regional-Support-Office-Deferred-Maintenance-and-Repairs-Fact-Sheet.pdf"">Alaska Regional Support Office Fact Sheet</a>",5,0,0,0,0,0,0,0,2,"$205,200 ",
Alibates Flint Quarries National Monument,Texas,"<a href=""https://www.nps.gov/subjects/infrastructure/upload/Alibates-Flint-Quarries-Deferred-Maintenance-and-Repairs-Fact-Sheet.pdf"">Alibates Flint Quarries National Monument Fact Sheet</a>",3,1,0,0,2,1,1,2,4,"$2,117,285 ",
Allegheny Portage Railroad National Historic Site,Pennsylvania,"<a href=""https://www.nps.gov/subjects/infrastructure/upload/Allegheny-Portage-Railroad-National-Historic-Site-Deferred-Maintenance-and-Repairs-Fact-Sheet.pdf"">Allegheny Portage Railroad National Historic Site Fact Sheet</a>",13,16,1,0,0,0,1,1,51,"$15,163,919 ",
American Memorial Park,Northern Mariana Islands,"<a href=""https://www.nps.gov/subjects/infrastructure/upload/American-Memorial-Park-Deferred-Maintenance-and-Repairs-Fact-Sheet.pdf"">American Memorial Park Fact Sheet</a>",13,3,0,0,0,1,0,2,18,"$29,066,545 ",
Amistad National Recreation Area,Texas,"<a href=""https://www.nps.gov/subjects/infrastructure/upload/Amistad-National-Recreation-Area-Deferred-Maintenance-and-Repairs-Fact-Sheet.pdf"">Amistad National Recreation Area Fact Sheet</a>",57,12,0,11,9,5,4,11,40,"$25,407,784 ",
Andersonville National Historic Site,Georgia,"<a href=""https://www.nps.gov/subjects/infrastructure/upload/Andersonville-National-Historic-Site-Deferred-Maintenance-and-Repairs-Fact-Sheet.pdf"">Andersonville National Historic Site Fact Sheet</a>",12,0,0,0,0,3,3,5,72,"$17,923,290 ",
Andrew Johnson National Historic Site,Tennessee,"<a href=""https://www.nps.gov/subjects/infrastructure/upload/Andrew-Johnson-National-Historic-Site-Deferred-Maintenance-and-Repairs-Fact-Sheet.pdf"">Andrew Johnson National Historic Site Fact Sheet</a>",10,0,0,0,0,0,0,0,10,"$6,730,530 ",
