NUMBER,NAME,SHORT,TYPE,STATE,REGION,CODE
107,Ebey's Landing National Historical Reserve,Ebey's Landing,National Historical Reserve,WA,Pacific West,EBLA
236,Lake Roosevelt National Recreation Area,Lake Roosevelt,National Recreation Area,WA,Pacific West,LARO
239,Lewis and Clark National Historical Park,Lewis and Clark,National Historical Park,OR,Pacific West,LEWI
294,Olympic National Park,Olympic,National Park,WA,Pacific West,OLYM
348,Santa Monica Mountains National Recreation Area,Santa Monica Mountains,National Recreation Area,CA,Pacific West,SAMO
375,Tule Springs Fossil Beds National Monument,Tule Springs Fossil Beds,National Monument,NV,Pacific West,TUSK
2,Acadia National Park,Acadia,National Park,ME,Northeast,ACAD
9,Amistad National Recreation Area,Amistad,National Recreation Area,TX,Intermountain,AMIS
16,Appalachian National Scenic Trail,Appalachian,National Scenic Trail,"CT, GA, MA, MD, ME, NC, NH, NJ, NY, PA, TN, VA, VT, WV",Northeast,APPA
21,Assateague Island National Seashore,Assateague Island,National Seashore,"MD, VA",Northeast,ASIS
29,Big Cypress National Preserve,Big Cypress,National Preserve,FL,Southeast,BICY
31,Big South Fork National River and Recreation Area,Big South Fork,National River and Recreation Area,"KY, TN",Southeast,BISO
38,Blue Ridge Parkway,Blue Ridge,Parkway,"NC, VA",Southeast,BLRI
39,Bluestone National Scenic River,Bluestone,National Scenic River,WV,Northeast,BLUE
55,Cape Hatteras National Seashore,Cape Hatteras,National Seashore,NC,Southeast,CAHA
57,Cape Lookout National Seashore,Cape Lookout,National Seashore,NC,Southeast,CALO
76,Chattahoochee River National Recreation Area,Chattahoochee River,National Recreation Area,GA,Southeast,CHAT
78,Chickamauga and Chattanooga National Military Park,Chickamauga and Chattanooga,National Military Park,GA,Southeast,CHCH
77,Chesapeake and Ohio Canal National Historical Park,Chesapeake and Ohio Canal,National Historical Park,"DC, MD, WV",National Capital,CHOH
94,Cumberland Island National Seashore,Cumberland Island,National Seashore,GA,Southeast,CUIS
115,Everglades National Park,Everglades,National Park,FL,Southeast,EVER
117,Fire Island National Seashore,Fire Island,National Seashore,NY,Northeast,FIIS
136,Fort Raleigh National Historic Site,Fort Raleigh,National Historic Site,NC,Southeast,FORA
156,Gauley River National Recreation Area,Gauley River,National Recreation Area,WV,Northeast,GARI
179,Great Smoky Mountains National Park,Great Smoky Mountains,National Park,"TN, NC",Southeast,GRSM
204,Independence National Historical Park,Independence,National Historical Park,PA,Northeast,INDE
206,Isle Royale National Park,Isle Royale,National Park,MI,Midwest,ISRO
235,Lake Meredith National Recreation Area,Lake Meredith,National Recreation Area,TX,Intermountain,LAMR
247,Lowell National Historical Park,Lowell,National Historical Park,MA,Northeast,LOWE
265,Mississippi National River and Recreation Area,Mississippi,National River and Recreation Area,MN,Midwest,MISS
286,Nez Perce National Historical Park,Nez Perce,National Historical Park,"ID, MT, OR, WA",Pacific West,NEPE
285,New River Gorge National River,New River Gorge,National River,WV,Northeast,NERI
292,Obed Wild and Scenic River,Obed,Wild and Scenic River,TN,Southeast,OBED
316,Poverty Point National Monument,Poverty Point,National Monument,LA,Southeast,POPO
324,Redwood National Park,Redwood,National Park,CA,Pacific West,REDW
326,Rio Grande Wild and Scenic River,Rio Grande,Wild and Scenic River,TX,Intermountain,RIGR
346,San Juan National Historic Site,San Juan,National Historic Site,PR,Southeast,SAJU
353,Shenandoah National Park,Shenandoah,National Park,VA,Northeast,SHEN
