,parkName,stateAbbrev,stateName,type,totalDeferredMaintenance2019,nonTransportation2019,transportation2019,nonHistoric2019,historic2019,amphitheater2019,aviation2019,boundary2019,buildings2019,communicationsSystem2019,constructedWaterway2019,damLeveeDike2019,electricalSystem2019,fortification2019,fuelSystem2019,heatingCoolingSystems2019,interpretiveMedia2019,maintainedArcheologicalSite2019,maintainedLandscape2019,marinaWaterfrontSystem2019,missileSiloTower2019,monumentMemorial2019,parkingLot2019,pavedRoads2019,railroadSystem2019,roadBridge2019,roadTunnel2019,ship2019,solidWasteSystem2019,trails2019,trailBridge2019,trailTunnel2019,unpavedRoads2019,wasteWaterSystem2019,waterSystems2019,footnote2for2019,footnote3for2019,totalDeferredMaintenance2018,nonTransportation2018,transportation2018,nonHistoric2018,historic2018,amphitheater2018,aviation2018,boundary2018,buildings2018,communicationsSystem2018,constructedWaterway2018,damLeveeDike2018,electricalSystem2018,fortification2018,fuelSystem2018,heatingCoolingSystems2018,interpretiveMedia2018,maintainedArcheologicalSite2018,maintainedLandscape2018,marinaWaterfrontSystem2018,missileSiloTower2018,monumentMemorial2018,parkingLot2018,pavedRoads2018,railroadSystem2018,roadBridge2018,roadTunnel2018,ship2018,solidWasteSystem2018,trails2018,trailBridge2018,trailTunnel2018,unpavedRoads2018,wasteWaterSystem2018,waterSystems2018,footnote2for2018,footnote3for2018,totalDeferredMaintenance2017,nonTransportation2017,transportation2017,nonHistoric2017,historic2017,amphitheater2017,aviation2017,boundary2017,buildings2017,communicationsSystem2017,constructedWaterway2017,damLeveeDike2017,electricalSystem2017,fortification2017,fuelSystem2017,heatingCoolingSystems2017,interpretiveMedia2017,maintainedArcheologicalSite2017,maintainedLandscape2017,marinaWaterfrontSystem2017,missileSiloTower2017,monumentMemorial2017,parkingLot2017,pavedRoads2017,railroadSystem2017,roadBridge2017,roadTunnel2017,ship2017,solidWasteSystem2017,trails2017,trailBridge2017,trailTunnel2017,unpavedRoads2017,wasteWaterSystem2017,waterSystems2017,footnote2for2017,footnote3for2017,totalDeferredMaintenance2016,nonTransportation2016,transportation2016,nonHistoric2016,historic2016,amphitheater2016,aviation2016,boundary2016,buildings2016,communicationsSystem2016,constructedWaterway2016,damLeveeDike2016,electricalSystem2016,fortification2016,fuelSystem2016,heatingCoolingSystems2016,interpretiveMedia2016,maintainedArcheologicalSite2016,maintainedLandscape2016,marinaWaterfrontSystem2016,missileSiloTower2016,monumentMemorial2016,parkingLot2016,railroadSystem2016,roadBridge2016,roadTunnel2016,pavedRoads2016,ship2016,solidWasteSystem2016,trailBridge2016,trailTunnel2016,trails2016,unpavedRoads2016,wasteWaterSystem2016,waterSystems2016,footnote2for2016,footnote3for2016,totalDeferredMaintenance2015,nonTransportation2015,transportation2015,nonHistoric2015,historic2015,amphitheater2015,aviation2015,boundary2015,buildings2015,communicationsSystem2015,constructedWaterway2015,damLeveeDike2015,electricalSystem2015,fortification2015,fuelSystem2015,heatingCoolingSystems2015,interpretiveMedia2015,maintainedArcheologicalSite2015,maintainedLandscape2015,marinaWaterfrontSystem2015,missileSiloTower2015,monumentMemorial2015,parkingLot2015,railroadSystem2015,roadBridge2015,roadTunnel2015,pavedRoads2015,ship2015,solidWasteSystem2015,trailBridge2015,trailTunnel2015,trails2015,unpavedRoads2015,wasteWaterSystem2015,waterSystems2015,footnote2for2015,footnote3for2015
0,Abraham Lincoln Birthplace National Historic Site,KY,Kentucky,park,1717777.399,1094886.44,622890.9585,1213210.293,504567.106,0.0,0.0,0.0,751387.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,212041.38,0.0,0,0.0,357177.6,265713.3585,0.0,0.0,0.0,0.0,0.0,131457.7,0.0,0.0,0.0,0.0,0.0,,,1400720.499,814424.63,586295.8686,911876.4469,488844.0517,0.0,0.0,0.0,515962.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,179007.65,0.0,0,0.0,338490.5144,247805.3542,0.0,0.0,0.0,0.0,0.0,55604.6,0.0,0.0,63850.14,0.0,0.0,,,1152025.007,803051.33,348973.677,713915.801,438109.206,0.0,0.0,0.0,523098.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,179007.65,0.0,0.0,0.0,121714.9643,227258.7127,0.0,0.0,0.0,0.0,0.0,37094.7,0.0,0.0,63850.14,0.0,0.0,,,4402682.673,4049552.346,353130.327,1352746.247,3049936.426,0.0,0.0,0.0,3551325.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,413425.94,0.0,0.0,0.0,122364.5805,0.0,0.0,0.0,230765.7465,0.0,0.0,0.0,0.0,62615.27,22185.5355,0.0,0.0,,,7609672.705,5917839.156,1691833.549,2432911.78,5176760.924,0.0,0.0,0.0,4968065.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,795724.51,0.0,0.0,0.0,1468979.283,0.0,0.0,0.0,222854.2664,0.0,0.0,0.0,0.0,77900.64,22185.5355,53963.2,0.0,,
1,Acadia National Park,ME,Maine,park,92644120.86,50683690.12,41960430.74,49006059.96,43638060.9,687845.14,0.0,0.0,28207436.58,356148.47,0.0,48657.62,3198372.52,0.0,0.0,0.0,582720.0,0.0,1967242.86,958140.51,0,0.0,5968548.31,28515969.84,0.0,7475912.591,0.0,0.0,0.0,6057446.86,0.0,0.0,4789318.212,3387793.62,442567.73,,,65829758.16,41281375.43,24548382.73,28562831.1,37266927.06,687845.14,0.0,0.0,12389876.7,356148.47,0.0,48657.62,1139131.36,0.0,0.0,0.0,477805.62,0.0,2038752.48,1088844.8,0,0.0,3460215.2,16341899.26,0.0,4777542.378,0.0,0.0,0.0,9387016.66,0.0,0.0,10737793.2,2060397.79,837831.49,,,59858098.61,39998027.94,19860070.67,23734288.2,36123810.41,687845.14,0.0,0.0,10534988.22,356148.47,0.0,48657.62,1210053.94,0.0,0.0,0.0,117805.62,0.0,1841934.43,1692855.23,0.0,0.0,1915503.578,12416018.97,0.0,5528548.121,0.0,0.0,0.0,9763251.26,0.0,0.0,10903836.58,2002819.94,837831.49,,,71029340.7,39885100.55,31144240.15,28141981.2,42887359.5,12974.0,0.0,0.0,10516716.19,60105.62,0.0,48657.63,1210054.67,0.0,0.0,0.0,133779.11,0.0,2569448.16,1658462.76,0.0,0.0,4385592.923,0.0,5634540.657,0.0,21124106.57,0.0,0.0,0.0,0.0,9786676.56,11047574.38,2002819.98,837831.49,,,68250049.04,39246216.11,29003832.94,28627681.38,39622367.66,12974.0,0.0,138468.0,9780670.82,32665.62,0.0,48657.63,1182811.36,0.0,0.0,0.0,196352.84,0.0,2451276.15,1092092.33,0.0,0.0,5532130.003,0.0,6570982.089,0.0,16900720.85,0.0,0.0,0.0,0.0,10131388.56,11383024.8,1937512.51,858321.49,,
2,Adams National Historical Park,MA,Massachusetts,park,649429.53,649429.53,0.0,113998.48,535431.05,0.0,0.0,0.0,531662.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,117766.57,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,527249.33,527249.33,0.0,115338.28,411911.05,0.0,0.0,0.0,420842.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,106406.37,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,709918.71,709918.71,0.0,343679.6,366239.11,0.0,0.0,0.0,366239.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,343679.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,424024.15,424024.15,0.0,101557.96,322466.19,0.0,0.0,0.0,331398.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92626.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,273992.53,273992.53,0.0,71470.81,202521.72,0.0,0.0,0.0,211453.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62538.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
3,African Burial Ground National Monument,NY,New York,park,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,204.72,204.72,0.0,204.72,0.0,0.0,0.0,0.0,204.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,204.72,204.72,0.0,204.72,0.0,0.0,0.0,0.0,204.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
4,Agate Fossil Beds National Monument,NE,Nebraska,park,2985392.794,719416.66,2265976.134,2985392.794,0.0,0.0,0.0,0.0,589655.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80134.0,0.0,18839.59,0.0,0,0.0,230479.722,2035496.412,0.0,0.0,0.0,0.0,0.0,30787.73,0.0,0.0,0.0,0.0,0.0,,,1658814.277,572505.83,1086308.447,1657620.277,1194.0,0.0,0.0,37679.18,424655.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80134.0,0.0,0.0,0.0,0,0.0,236808.2336,849500.2138,0.0,0.0,0.0,0.0,0.0,30036.8,0.0,0.0,0.0,0.0,0.0,,,2141767.735,309474.5,1832293.235,2141767.735,0.0,0.0,0.0,37679.18,191661.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80134.0,0.0,0.0,0.0,0.0,0.0,103844.5445,1728448.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,2217976.083,358379.46,1859596.623,2187432.633,30543.45,0.0,0.0,56518.77,204726.69,17000.0,0.0,0.0,0.0,0.0,0.0,0.0,80134.0,0.0,0.0,0.0,0.0,0.0,131068.584,0.0,0.0,0.0,1728528.039,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,2186083.877,315488.29,1870595.587,2156734.427,29349.45,0.0,0.0,56518.77,178835.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80134.0,0.0,0.0,0.0,0.0,0.0,156051.2369,0.0,0.0,0.0,1714544.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
5,Ala Kahakai National Historic Trail,HI,Hawaii,park,709492.0,709492.0,0.0,0.0,709492.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,709492.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,106307.5,106307.5,0.0,106307.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,106307.5,0.0,0.0,0.0,,,106307.5,106307.5,0.0,106307.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,106307.5,0.0,0.0,0.0,,
6,Alagnak Wild River,AK,Alaska,park,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
7,Alaska Public Lands Information Center Anchorage,AK,Alaska,park,180980.06,180980.06,0.0,137762.63,43217.43,0.0,0.0,0.0,43217.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,137762.63,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,180980.06,180980.06,0.0,137762.63,43217.43,0.0,0.0,0.0,43217.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,137762.63,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,180980.06,180980.06,0.0,137762.63,43217.43,0.0,0.0,0.0,43217.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,137762.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,393653.16,393653.16,0.0,137762.63,255890.53,0.0,0.0,0.0,255890.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,137762.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,1234862.62,1234862.62,0.0,960089.85,274772.77,0.0,0.0,0.0,274772.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,960089.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
8,Alaska Regional Support Office,AK,Alaska,park,152000.0,152000.0,0.0,152000.0,0.0,0.0,0.0,0.0,0.0,152000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
9,Aleutian Islands World War II National Monument,AK,Alaska,park,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TRUE,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TRUE,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TRUE,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TRUE,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TRUE,
