Park Name,Visitors(2022)
Acadia,3970260
American Samoa,1887
Arches,1460652
Badlands,1006809
Big Bend,514107
Biscayne,701023
Black Canyon of the Gunnison,297257
Bryce Canyon,2354660
Canyonlands,779147
Capitol Reef,1227608
Carlsbad Caverns,390932
Channel Islands,323245
Congaree,204522
Crater Lake,527259
Cuyahoga Valley,2913312
Death Valley,1128862
Denali,427562
Dry Tortugas,78488
Everglades,1155193
Gates of the Arctic,9457
Gateway Arch,1618774
Glacier,2908458
Glacier Bay,545758
Grand Canyon,4732101
Grand Teton,2806223
Great Basin,142115
Great Sand Dunes,493428
Great Smoky Mountains,12937633
Guadalupe Mountains,219987
Haleakalā,1087616
Hawaiʻi Volcanoes,1580961
Hot Springs,2646133
Indiana Dunes,2834180
Isle Royale,25454
Joshua Tree,3058294
Katmai,33908
Kenai Fjords,389943
Kings Canyon,640986
Kobuk Valley,16925
Lake Clark,18187
Lassen Volcanic,446291
Mammoth Cave,663147
Mesa Verde,499790
Mount Rainier,1622395
New River Gorge,1593523
North Cascades,30154
Olympic,2432972
Petrified Forest,505209
Pinnacles,275023
Redwood,458400
Rocky Mountain,4300424
Saguaro,908194
Sequoia,1153198
Shenandoah,1449300
Theodore Roosevelt,668679
Virgin Islands,196752
Voyageurs,221434
White Sands,705127
Wind Cave,607418
Wrangell–St. Elias,65236
Yellowstone,3290242
Yosemite,3667550
Zion,4692417
