Year,National Park,Spending
2020,Acadia NP,8224
2020,Arches NP,1994
2020,Badlands NP,4538
2020,Big Bend NP,7345
2020,Biscayne NP,4360
2020,Black Canyon of the Gunnison NP,1926
2020,Bryce Canyon NP,3361
2020,Canyonlands NP,6399
2020,Capitol Reef NP,2427
2020,Carlsbad Caverns NP,5874
2020,Channel Islands NP,7647
2020,Congaree NP,1922
2020,Crater Lake NP,5512
2020,Cuyahoga Valley NP,10992
2020,Death Valley NP,8976
2020,Denali NP&Pres,14795
2020,Dry Tortugas NP,2124
2020,Everglades NP,17037
2020,Gates of the Arctic NP&Pres,3209
2020,Gateway Arch NP,10165
2020,Glacier Bay NP&Pres,5145
2020,Glacier NP,13959
2020,Grand Canyon NP,21798
2020,Grand Teton NP,12678
2020,Great Basin NP,2830
2020,Great Sand Dunes NP&Pres,2373
2020,Great Smoky Mountains NP,19616
2020,Guadalupe Mountains NP,2967
2020,Haleakala NP,5668
2020,Hawaii Volcanoes NP,7974
2020,Hot Springs NP,4683
2020,Indiana Dunes NP,9408
2020,Isle Royale NP,4465
2020,Joshua Tree NP,6327
2020,"Katmai NP&Pres, Aniakchak NM&Pres & Alagnak WR",4375
2020,Kenai Fjords NP,4115
2020,Lake Clark NP&Pres,3537
2020,Lassen Volcanic NP,5442
2020,Mammoth Cave NP,6673
2020,Mesa Verde NP,6592
2020,Mount Rainier NP,12880
2020,National Park of American Samoa,2029
2020,New River Gorge NR,7665
2020,"North Cascades NP, Lake Chelan NRA, Ross Lake NRA",7633
2020,Olympic NP,13275
2020,Petrified Forest NP,3632
2020,Pinnacles NP,3638
2020,Redwood NP,9185
2020,Rocky Mountain NP,12916
2020,Saguaro NP,3608
2020,Sequoia NP & Kings Canyon NP,17252
2020,Shenandoah NP,12422
2020,Theodore Roosevelt NP & International Peace Garden,3198
2020,Virgin Islands NP,5123
2020,Voyageurs NP,4454
2020,"West. Arctic Parklands - Bering Land Bridge NPres, Noatak NPres, Cape
Krusenstern NM, Kobuk Valley NP",3908
2020,White Sands NM,1650
2020,Wind Cave NP,2604
2020,Wrangell-Saint Elias NP&Pres,5856
2020,Yellowstone NP,35727
2020,Yosemite NP,31201
2020,Zion NP,7803
