Year,Park Name,Spending,Visitation,temp_avg,precip_sum,visibility,uvindex,severerisk
2011,Acadia,8269,2374645,46.89232876712329,22.794999999999998,8.591506849315069,5.761643835616439,
2012,Acadia,8183,2431052,47.80491803278688,40.778,8.823770491803279,5.830601092896175,
2013,Acadia,7866,2254922,46.003287671232876,20.232,8.608493151,5.720547945205479,
2014,Acadia,7866,2563129,45.793150684931504,49.318,8.822191780821917,5.7095890410958905,
2015,Acadia,7837,2811184,45.32547945205479,33.863,8.722191780821918,5.926027397260274,
2016,Acadia,8022,3303393,46.52322404371585,36.667,9.071857923497268,5.8497267759562845,
2017,Acadia,8144,3509271,46.42876712328767,21.915,8.830684932,5.717808219178083,
2018,Acadia,8129,3537575,46.17068493150685,37.005,8.737808219178083,5.109589041095891,
2019,Acadia,8169,3437286,45.19945205479452,53.799,8.826301369863014,5.175342465753425,
2020,Acadia,8224,2669034,47.380874316939895,36.568,8.736885246,5.811475409836065,
2021,Acadia,8514,4069098,47.881917808219185,37.126,9.064383561643835,5.668493150684932,
2022,Acadia,8777,3970260,47.76246575342466,20.951999999999998,8.713150684931508,5.679452055,11.530898876404494
2023,Acadia,8777,,47.94931506849315,38.426,8.593698630136988,5.353424657534247,10.383561643835616
2024,Acadia,9461,,,,,,
2011,American Samoa,1951,8716,80.88273973,66.225,14.097513812154697,7.476712328767123,
2012,American Samoa,1951,10440,80.91065573770491,40.982,9.548881789137381,6.939890710382514,
2013,American Samoa,1944,17919,81.63616438356165,107.591,10.447397260273974,6.923287671232877,
2014,American Samoa,1944,13953,81.11287671232877,90.145,10.504109589041096,6.956164383561644,
2015,American Samoa,1925,13892,80.60383561643836,67.435,10.408219178082192,7.013698630136986,
2016,American Samoa,1933,28892,82.20874316939891,107.969,10.474863387978143,7.1502732240437155,
2017,American Samoa,2013,69468,81.54712328767124,120.798,10.441095890410958,6.876712328767123,
2018,American Samoa,2009,28626,81.14739726027398,153.208,10.453698630136985,7.254794520547946,
2019,American Samoa,2021,60006,81.69150684931508,143.902,10.465205479452056,7.027397260273973,
2020,American Samoa,2029,4819,81.90027322404372,202.426,10.40983606557377,6.9316939890710385,
2021,American Samoa,1417,8495,81.63397260273973,110.894,10.658082191780823,7.457534246575342,
2022,American Samoa,1452,1887,81.59945205479451,115.053,10.669041095890412,9.010958904,30.68820224719101
2023,American Samoa,1452,,81.91753424657534,129.837,10.564109589041097,8.745205479452055,28.684931506849313
2024,American Samoa,1562,,,,,,
2011,Arches,1981,1040758,52.90301369863013,6.638,9.820273973,7.405479452054794,
2012,Arches,1981,1070577,56.03934426229509,3.442,9.819398907103825,7.535519126,
2013,Arches,1917,1082866,51.619452054794515,7.016,9.664931506849316,7.383561643835616,
2014,Arches,1917,1284767,55.431232876712336,7.146,9.793424657534246,7.389041095890411,
2015,Arches,1898,1399247,55.60712328767123,8.453,9.76510989,7.317808219178082,
2016,Arches,1938,1585718,56.499453551912566,4.877,9.781420765027322,7.407103825136612,
2017,Arches,1972,1539028,57.34931506849315,3.9909999999999997,9.786027397260273,7.361643835616438,
2018,Arches,1968,1663557,56.22438356164384,6.37,9.711538461538462,7.298630136986302,
2019,Arches,1978,1659702,53.70493150684931,8.167,9.647397260273973,7.3342465753424655,
2020,Arches,1994,1238083,55.17732240437159,3.106,9.720491803278689,7.412568306010929,
2021,Arches,2107,1806865,55.74739726027397,7.588,9.790958904,7.383561643835616,
2022,Arches,2183,1460652,54.80876712328767,6.6290000000000004,9.866849315068494,7.410958904109589,11.418539325842696
2023,Arches,2183,,54.78410959,5.287,9.822739726027399,7.531506849315068,10
2024,Arches,2365,,,,,,
2011,Badlands,4575,870741,46.526575342465755,15.988,9.328493150684931,6.509589041,
2012,Badlands,4485,883406,50.98524590163934,13.653,9.607103825136614,6.770491803278689,
2013,Badlands,4337,892372,46.31095890410959,20.113,9.348767123287672,6.586301369863014,
2014,Badlands,4337,868094,45.798630136986304,18.624,9.415342465753424,6.465753424657534,
2015,Badlands,4294,989354,48.834794520547945,21.275,9.405205479452055,6.536986301369863,
2016,Badlands,4317,996263,49.547814207650276,14.176,9.513114754,6.680327868852459,
2017,Badlands,4424,1054325,48.57835616438356,12.8,9.518630136986301,6.6657534246575345,
2018,Badlands,4415,1008942,45.839999999999996,28.837,9.160547945,6.4,
2019,Badlands,4435,970998,44.15534246575343,22.685,9.052054794520547,6.2164383561643834,
2020,Badlands,4538,916932,48.83387978142077,49.8,9.502732240437158,6.672131147540983,
2021,Badlands,4580,1224226,49.39013698630137,27.293,9.421917808219177,6.523287671232877,
2022,Badlands,4537,1006809,47.092602739726026,14.357,9.485479452054795,6.523287671232877,16.72752808988764
2023,Badlands,4537,,47.86493150684932,17.197,9.309863014,6.394520547945206,13.32876712328767
2024,Badlands,4800,,,,,,
2011,Big Bend,7387,361862,70.02273973,3.9539999999999997,,8.608219178082193,
2012,Big Bend,7387,292055,69.32349726775956,11.471,,8.278688524590164,
2013,Big Bend,6989,316953,66.75808219178083,12.98,,8.197260273972603,
2014,Big Bend,6989,314102,67.59808219178082,12.816,,8.238356164383562,
2015,Big Bend,6939,381747,66.99178082191781,14.758,,8.098630136986301,
2016,Big Bend,7003,388290,68.58661202185793,18.697,,8.090163934,
2017,Big Bend,7272,440276,69.27041095890411,14.348,,8.180821917808219,
2018,Big Bend,7255,440091,67.88520547945205,14.044,,8.060273973,
2019,Big Bend,7290,463832,68.15972602739726,10.691,,8.252054794520548,
2020,Big Bend,7345,393907,69.13114754,10.346,,8.442622950819672,
2021,Big Bend,7479,581220,68.54027397260275,9.683,,8.487671232876712,
2022,Big Bend,7718,514107,68.37205479452055,4.583,34.88005617977528,8.567123287671233,18.117977528089888
2023,Big Bend,7718,,69.92767123,28.064999999999998,11.016986301369862,8.263013698630138,14.753424657534246
2024,Big Bend,8235,,,,,,
2011,Biscayne,4461,476077,76.23232876712329,50.836999999999996,9.670684932,7.3342465753424655,
2012,Biscayne,4384,495613,75.68989071038251,84.24,13.40464480874317,7.043715846994536,
2013,Biscayne,4254,486848,76.44109589041096,57.341,9.688493150684932,6.967123287671233,
2014,Biscayne,4254,525745,76.18438356164383,49.306,9.662191780821919,7.079452054794521,
2015,Biscayne,4211,508164,77.76986301369863,54.597,9.655068493150685,6.953424657534247,
2016,Biscayne,4234,514709,76.70327868852459,60.952,9.654371584699453,6.7923497267759565,
2017,Biscayne,4280,446961,77.01698630136987,49.39,9.636164383561644,7.279452054794521,
2018,Biscayne,4290,469253,76.70109589041097,61.123,9.749589041,4.701369863013698,
2019,Biscayne,4317,708522,77.48931506849314,51.339999999999996,9.750136986,5.435616438356164,
2020,Biscayne,4360,402770,77.74016393442623,71.673,9.671311475409837,7.3743169398907105,
2021,Biscayne,4439,705655,77.04273972602739,48.812,9.698356164383561,7.071232876712329,
2022,Biscayne,4500,701023,77.20657534246575,55.342,9.736438356164385,7.454794520547945,65.19662921348315
2023,Biscayne,4500,,77.74136986301369,57.453,9.682465753424657,7.728767123287671,41.73972602739726
2024,Biscayne,4789,,,,,,
2011,Black Canyon of the Gunnison,1701,168336,42.281643835616435,0.967,9.704109589041096,7.652054794520548,
2012,Black Canyon of the Gunnison,1701,192570,45.41994535519126,0.733,9.742896174863388,7.658469945355192,
2013,Black Canyon of the Gunnison,1647,175852,41.985205479452055,1.299,9.558082191780823,7.493150684931507,
2014,Black Canyon of the Gunnison,1647,183045,44.003287671232876,1.068,9.721917808219178,7.457534246575342,
2015,Black Canyon of the Gunnison,1751,209166,44.389589041095896,1.245,9.683287671232877,7.3561643835616435,
2016,Black Canyon of the Gunnison,1779,238018,44.095628415300546,0.922,9.723497267759564,7.420765027322404,
2017,Black Canyon of the Gunnison,1905,307143,45.709041095890406,0.988,9.754520547945205,7.534246575342466,
2018,Black Canyon of the Gunnison,1901,308962,45.23780821917808,0.683,9.749041096,7.254794520547946,
2019,Black Canyon of the Gunnison,1911,432818,42.418082191780826,0.907,9.659178082191781,7.210958904109589,
2020,Black Canyon of the Gunnison,1926,341620,44.9068306,0.56,9.655191256830602,7.4289617486338795,
2021,Black Canyon of the Gunnison,1964,308910,44.92821917808219,16.995,9.729315068493152,7.323287671232877,
2022,Black Canyon of the Gunnison,2019,297257,43.50136986,18.237,10.319178082191781,7.4301369863013695,11.292134831460674
2023,Black Canyon of the Gunnison,2019,,43.26136986,16.527,9.712602739726027,7.295890410958904,10
2024,Black Canyon of the Gunnison,2175,,,,,,
2011,Bryce Canyon,3531,1296000,41.73205479452055,12.177,9.529395604395605,7.7835616438356166,
2012,Bryce Canyon,3531,1385352,44.72622950819672,9.733,9.620218579234972,7.715846994535519,
2013,Bryce Canyon,3268,1311875,41.892876712328764,17.022,9.511780821917808,7.646575342465753,
2014,Bryce Canyon,3268,1435741,43.74219178082192,14.166,9.638356164383561,7.704109589041096,
2015,Bryce Canyon,3232,1745804,43.09068493150685,17.84,9.452328767123287,7.605479452054794,
2016,Bryce Canyon,3279,2365110,42.72759563,11.648,9.496174863387978,7.642076503,
2017,Bryce Canyon,3329,2571684,44.02082191780822,9.948,9.537260273972603,7.736986301369863,
2018,Bryce Canyon,3323,2679478,44.02109589041096,9.929,9.613972602739725,7.241095890410959,
2019,Bryce Canyon,3338,2594904,40.464109589041094,14.167,9.246849315068493,7.208219178082191,
2020,Bryce Canyon,3361,1464655,43.229234972677595,4.844,9.669945355191258,7.480874317,
2021,Bryce Canyon,3602,2104600,43.49917808219178,11.084,9.537260273972603,7.2246575342465755,
2022,Bryce Canyon,3702,2354660,42.60931506849315,8.171,9.719178082191782,7.328767123287672,11.882022471910112
2023,Bryce Canyon,3702,,40.08054794520548,10.887,9.403835616438357,7.156164383561644,10
2024,Bryce Canyon,3966,,,,,,
