,Park Name,REGION,Factors 1,Factors 2,Factors 3,Factors 4,Factors 5,Composite Index,Rank,Status
<<<<<<< HEAD
0,Yellowstone,Intermountain,0.21599584022668494,0.2837035199189357,0.007843851692927143,0.07610428744777738,0.05603384451040135,0.6396813437967266,1.0,Above
1,Grand Canyon,Intermountain,0.2871805582798798,0.212190445700671,0.09473366356406594,0.024076385741100617,0.015321288341352147,0.6335023416270695,2.0,Above
2,Glacier,Intermountain,0.32288574456251967,0.09620102070159897,0.14559906060532823,0.0,0.010643032093390379,0.5753288579628373,3.0,Above
3,Yosemite,Pacific West,0.17782796322562355,0.2714689880257463,0.013884517940885644,0.0667422086366148,0.0413127214003013,0.5712363992291716,4.0,Above
4,Crater Lake,Pacific West,0.296500521703335,0.05762692598146194,0.13906830234372083,0.0013236750092395211,0.0077124777470206065,0.5022319027847779,5.0,Above
5,Denali,Alaska,0.3395547041900359,0.0,0.03129981110699572,0.07266220891459362,0.04412435944903319,0.48764108366065845,6.5,Above
6,Denali,Alaska,0.3395547041900359,0.0,0.03129981110699572,0.07266220891459362,0.04412435944903319,0.48764108366065845,6.5,Above
7,Theodore Roosevelt,Midwest,0.0567382087058943,0.08567168677062978,0.16322916369851853,0.11156160438999684,0.023003158386798204,0.4402038219518377,8.0,Above
8,Grand Teton,Intermountain,0.15466361406518586,0.14137969334312922,0.04744017893204867,0.04885968584180929,0.047315960379726234,0.43965913256189926,9.0,Above
9,Great Smoky Mountains,Southeast,0.11819772713562811,0.23333573970124363,0.017253388075362253,0.052615949087141956,0.016493670949815912,0.43789647494919187,10.0,Above
10,Channel Islands,Pacific West,0.032442188742869436,0.10331275293286256,0.16184566050972388,0.1337084126408769,0.00018995570194852527,0.4314989705282813,11.0,Above
11,Mount Rainier,Pacific West,0.1847393065406042,0.11811889166289556,0.0,0.07775109429502478,0.04853450018741277,0.4291437926859373,12.0,Above
12,Kings Canyon,Pacific West,0.19434735624740093,0.09592515614180842,0.08297652774255666,0.024642812558815088,0.012319689869085774,0.41021154255966685,13.0,Above
13,Gateway Arch,Midwest,0.11306338640540889,0.17507262923113592,0.04707046738971663,0.06962396819323842,0.004396150727948295,0.40922660194744814,14.0,Above
14,Mammoth Cave,Southeast,0.010656410655103277,0.13347857172042002,0.1463109341264192,0.09208649404904794,0.016642891259527465,0.3991753018105179,15.0,Above
15,Olympic,Pacific West,0.11742838395858202,0.140251869271071,0.015903162327180902,0.05715257945447935,0.02300714424540449,0.35374313925671785,16.0,Above
16,Everglades,Southeast,0.07134580732891183,0.14332590343119408,0.04421605820247585,0.044715275017360445,0.04374350952958074,0.3473465535095229,17.0,Above
17,Rocky Mountain,Intermountain,0.10834030548123849,0.12991121022216226,0.020453880792308952,0.054896141604554666,0.02689032924927316,0.3404918673495375,18.0,Above
18,Shenandoah,Northeast,0.07648110626355799,0.14975938855358567,0.05912202755109436,0.029894358226979965,0.016614941757436167,0.3318718223526541,19.0,Above
19,Sequoia,Pacific West,0.09749634214674659,0.12631630543998254,0.024413035754266624,0.053272932783214474,0.02721738927532352,0.3287160053995338,20.0,Above
20,Zion,Intermountain,0.11338731485281447,0.10877010387467034,0.0161457648937526,0.05822605529620429,0.028051357173262178,0.3245805960907039,21.0,Above
21,New River Gorge,Northeast,0.029916318610008825,0.12517665147429222,0.08670359466126848,0.07148682234969064,0.0,0.31328338709526016,22.0,Below
22,Indiana Dunes,Midwest,0.06382844720194446,0.126784502035503,0.06561347183155242,0.02897299032708001,0.023702061172062003,0.30890147256814193,23.0,Below
23,Hawaii Volcanoes,Pacific West,0.06680941241454726,0.12296258181956472,0.037883330568263276,0.04473907597226054,0.03208203333773712,0.30447643411237296,24.0,Below
24,Big Bend,Intermountain,0.06400664467550685,0.14128748627967977,0.06789709968411069,0.02257317598869767,0.007159125076082195,0.30292353170407715,25.0,Below
25,Mesa Verde,Intermountain,0.05169565237718243,0.10796622373281249,0.05209916753574047,0.04752876972759027,0.04360099701697996,0.30289081039030563,26.0,Below
26,Cuyahoga Valley,Midwest,0.07929469469926172,0.13663794477756508,0.026767537462371174,0.045728628006624146,0.004468091618620784,0.2928968965644429,27.0,Below
27,Kobuk Valley,Alaska,0.14975967023818557,0.026041329444174578,0.0011052850279499498,0.07282184626936093,0.03914986431835192,0.288877995298023,28.0,Below
28,Redwood,Pacific West,0.07655328480199494,0.10271886916039959,0.03231814078613717,0.04757276525786582,0.028884505337529134,0.28804756534392667,29.0,Below
29,Joshua Tree,Pacific West,0.07295565551136299,0.11786549815121738,0.029067334466642197,0.04690989441771011,0.018148278457210253,0.2849466610041429,30.0,Below
30,Canyonlands,Intermountain,0.07744248193044169,0.10488781415806792,0.037349572464362345,0.04340066924673203,0.020514855087513308,0.2835953928871173,31.0,Below
31,Carlsbad Caverns,Intermountain,0.00731395357624709,0.12946294115510415,0.07223334952985205,0.03925267699543617,0.032080176661172355,0.2803430979178118,32.0,Below
32,North Cascades,Pacific West,0.10129101096396952,0.08046608184016579,0.018683261901040436,0.055580908599241516,0.024094183940936806,0.2801154472453541,33.0,Below
33,Great Sand Dunes,Intermountain,0.0009213689815118379,0.0883152714706129,0.07834477584710264,0.03128294717945761,0.07980419955163315,0.2786685630303181,34.5,Below
34,Great Sand Dunes,Intermountain,0.0009213689815118379,0.0883152714706129,0.07834477584710264,0.03128294717945761,0.07980419955163315,0.2786685630303181,34.5,Below
35,Great Basin,Pacific West,0.09819615648318125,0.07642852382210237,0.03506231827441832,0.045819004565116325,0.018564181143574013,0.27407018428839225,36.0,Below
36,Acadia,Northeast,0.03901431403400196,0.14982105248006358,0.03994717695158123,0.035515645446116705,0.009352698126340608,0.2736508870381041,37.0,Below
37,Lassen Volcanic,Pacific West,0.08839481451096812,0.084205171588017,0.023722027331970826,0.052428955144128035,0.02486980413609543,0.2736207727111794,38.0,Below
38,Death Valley,Pacific West,0.07212399866475354,0.10789193746730717,0.028858929728850794,0.045882148937193515,0.015921902487431857,0.2706789172855369,39.0,Below
39,Hot Springs,Midwest,0.0630491490847827,0.11429949636574092,0.0468635136715577,0.03476094310080189,0.006328990133313308,0.2653020923561965,40.0,Below
40,Kenai Fjords,Alaska,0.10777118561855299,0.058330924931424714,0.013144788924584207,0.059546135806882124,0.02419084474179398,0.262983880023238,41.0,Below
41,Wrangell St Elias,Alaska,0.08239963403445856,0.08108454364735539,0.024922387329559596,0.05133204947977496,0.02315300833610313,0.26289162282725165,42.5,Below
42,Wrangell St Elias,Alaska,0.08239963403445856,0.08108454364735539,0.024922387329559596,0.05133204947977496,0.02315300833610313,0.26289162282725165,42.5,Below
43,Petrified Forest,Intermountain,0.05280508031327581,0.10802646668643498,0.037197464095804156,0.04225352829242481,0.02177205762330455,0.26205459701124434,44.0,Below
44,Haleakala,Pacific West,0.052752020438589745,0.11053904964201074,0.037112877066133504,0.04137034196200752,0.01996330084689501,0.2617375899556365,45.0,Below
45,Pinnacles,Pacific West,0.05722600429995864,0.08638116331447096,0.04106409060274253,0.04669653501665067,0.030144230757347318,0.26151202399117013,46.0,Below
46,Gates of the Arctic,Alaska,0.0896996943121427,0.05714556507523625,0.02428343886354714,0.05492807967369141,0.034706078326067244,0.26076285625068474,47.5,Below
47,Gates of the Arctic,Alaska,0.0896996943121427,0.05714556507523625,0.02428343886354714,0.05492807967369141,0.034706078326067244,0.26076285625068474,47.5,Below
48,Bryce Canyon,Intermountain,0.0616481704784401,0.10664658467925955,0.03040705734940219,0.04447163198260603,0.015668677499961446,0.2588421219896693,49.0,Below
49,Badlands,Midwest,0.06635954065015336,0.0947143551080114,0.030559982961462024,0.04613286892578951,0.020842525585257343,0.2586092732306737,50.0,Below
50,Arches,Intermountain,0.05521207649115385,0.09087321525336745,0.0379321393655577,0.044189266784172704,0.030389406226743323,0.258596104120995,51.0,Below
51,Lake Clark,Alaska,0.11552589644256735,0.04345274027848617,0.010033997644102151,0.06560197696382103,0.02284794000536449,0.25746255133434115,52.5,Below
52,Lake Clark,Alaska,0.11552589644256735,0.04345274027848617,0.010033997644102151,0.06560197696382103,0.02284794000536449,0.25746255133434115,52.5,Below
53,Glacier Bay,Alaska,0.07343617450135613,0.09837184199675111,0.023889990886540317,0.04832112003024674,0.013165437701543173,0.25718456511643745,54.5,Below
54,Glacier Bay,Alaska,0.07343617450135613,0.09837184199675111,0.023889990886540317,0.04832112003024674,0.013165437701543173,0.25718456511643745,54.5,Below
55,Virgin Islands,Southeast,0.03448284066130972,0.10816214727549293,0.047177689862530646,0.036640163990972634,0.0268591358580429,0.25332197764834885,56.0,Below
56,Voyageurs,Midwest,0.05778104916001205,0.09801251562761049,0.04203628127381208,0.038556254161661786,0.016928876641197313,0.2533149768642937,57.0,Below
57,Wind Cave,Midwest,0.0763405293063258,0.0820250000248914,0.024321424649070784,0.04961889129905321,0.01801060255874223,0.2503164478380834,58.0,Below
58,Biscayne,Southeast,0.0461293134319341,0.10110303175542054,0.038619559940169725,0.04023471606484092,0.0195357273775053,0.24562234856987059,59.0,Below
59,Capitol Reef,Intermountain,0.0641324163160533,0.08767292684703137,0.029114953239247014,0.04620270253541307,0.017186133746579315,0.2443091326843241,60.0,Below
60,Saguaro,Intermountain,0.041162568587876265,0.1048899726763421,0.040381864941161125,0.03878328011977106,0.019033180360199204,0.24425086668534976,61.0,Below
61,Dry Tortugas,Southeast,0.04697334551502399,0.1043218881338341,0.03581802924954554,0.040902680840502005,0.014632225673953687,0.24264816941285933,62.0,Below
62,Black Canyon of the Gunnison,Intermountain,0.05520819396164986,0.0834115494090175,0.03529210876816338,0.04411132900168769,0.024071866673000097,0.2420950478135185,63.0,Below
63,Katmai,Alaska,0.07162974501749352,0.08337639200302037,0.02471244793737059,0.04807933159311838,0.01423869849511835,0.2420366150461212,64.5,Below
64,Katmai,Alaska,0.07162974501749352,0.08337639200302037,0.02471244793737059,0.04807933159311838,0.01423869849511835,0.2420366150461212,64.5,Below
65,Congaree,Southeast,0.01421151066474995,0.09425224641555174,0.05918263764724935,0.032875446803108846,0.041299257923829,0.24182109945448887,66.0,Below
66,Guadalupe Mountains,Intermountain,0.0,0.11247507227339494,0.062081990639869376,0.0285735843867694,0.03557033567486779,0.2387009829749015,67.0,Below
67,Isle Royale,Midwest,0.03750401305589986,0.10905619409420465,0.03694852953800898,0.03723651805449557,0.006565741903419677,0.22731099664602875,68.0,Below
68,White Sands,Intermountain,0.03518275380935594,0.100836188710224,0.03844164288301314,0.03745916702903243,0.010977848491382869,0.22289760092300837,69.0,Below
69,American Samoa,Pacific West,0.03338595539504506,0.10060278822632701,0.03748231569266416,0.03693829777953821,0.006405993831097809,0.21481535092467224,70.0,Below
=======
