Park Name,Year,Visitation
Acadia NP,2022,3970260
Acadia NP,2021,4069098
Acadia NP,2020,2669034
Acadia NP,2019,3437286
Acadia NP,2018,3537575
Acadia NP,2017,3509271
Acadia NP,2016,3303393
Acadia NP,2015,2811184
Acadia NP,2014,2563129
Acadia NP,2013,2254922
Acadia NP,2012,2431052
Acadia NP,2011,2374645
Arches NP,2022,1460652
Arches NP,2021,1806865
Arches NP,2020,1238083
Arches NP,2019,1659702
Arches NP,2018,1663557
Arches NP,2017,1539028
Arches NP,2016,1585718
Arches NP,2015,1399247
Arches NP,2014,1284767
Arches NP,2013,1082866
Arches NP,2012,1070577
Arches NP,2011,1040758
Badlands NP,2022,1006809
Badlands NP,2021,1224226
Badlands NP,2020,916932
Badlands NP,2019,970998
Badlands NP,2018,1008942
Badlands NP,2017,1054325
Badlands NP,2016,996263
Badlands NP,2015,989354
Badlands NP,2014,868094
Badlands NP,2013,892372
Badlands NP,2012,883406
Badlands NP,2011,870741
Big Bend NP,2022,514107
Big Bend NP,2021,581220
Big Bend NP,2020,393907
Big Bend NP,2019,463832
Big Bend NP,2018,440091
Big Bend NP,2017,440276
Big Bend NP,2016,388290
Big Bend NP,2015,381747
Big Bend NP,2014,314102
Big Bend NP,2013,316953
Big Bend NP,2012,292055
Big Bend NP,2011,361862
Biscayne NP,2022,701023
Biscayne NP,2021,705655
Biscayne NP,2020,402770
Biscayne NP,2019,708522
Biscayne NP,2018,469253
Biscayne NP,2017,446961
Biscayne NP,2016,514709
Biscayne NP,2015,508164
Biscayne NP,2014,525745
Biscayne NP,2013,486848
Biscayne NP,2012,495613
Biscayne NP,2011,476077
Black Canyon of the Gunnison NP,2022,297257
Black Canyon of the Gunnison NP,2021,308910
Black Canyon of the Gunnison NP,2020,341620
Black Canyon of the Gunnison NP,2019,432818
Black Canyon of the Gunnison NP,2018,308962
Black Canyon of the Gunnison NP,2017,307143
Black Canyon of the Gunnison NP,2016,238018
Black Canyon of the Gunnison NP,2015,209166
Black Canyon of the Gunnison NP,2014,183045
Black Canyon of the Gunnison NP,2013,175852
Black Canyon of the Gunnison NP,2012,192570
Black Canyon of the Gunnison NP,2011,168336
Bryce Canyon NP,2022,2354660
Bryce Canyon NP,2021,2104600
Bryce Canyon NP,2020,1464655
Bryce Canyon NP,2019,2594904
Bryce Canyon NP,2018,2679478
Bryce Canyon NP,2017,2571684
Bryce Canyon NP,2016,2365110
Bryce Canyon NP,2015,1745804
Bryce Canyon NP,2014,1435741
Bryce Canyon NP,2013,1311875
