Year,National Park,Spending
2024,Acadia NP,9461
2024,Arches NP,2365
2024,Badlands NP,4800
2024,Big Bend NP,8235
2024,Biscayne NP,4789
2024,Black Canyon of the Gunnison NP,2175
2024,Bryce Canyon NP,3966
2024,Canyonlands NP,7286
2024,Capitol Reef NP,2880
2024,Carlsbad Caverns NP,6481
2024,Channel Islands NP,8314
2024,Congaree NP,1934
2024,Crater Lake NP,5949
2024,Cuyahoga Valley NP,12299
2024,Death Valley NP,10559
2024,Denali NP&Pres,16603
2024,Dry Tortugas NP,2386
2024,Everglades NP,19211
2024,Gates of the Arctic NP&Pres,3622
2024,Gateway Arch NP,11374
2024,Glacier Bay NP&Pres,5954
2024,Glacier NP,16226
2024,Grand Canyon NP,24753
2024,Grand Teton NP,14396
2024,Great Basin NP,3099
2024,Great Sand Dunes NP&Pres,2946
2024,Great Smoky Mountains NP,22124
2024,Guadalupe Mountains NP,3347
2024,Haleakala NP,6388
2024,Hawaii Volcanoes NP,9028
2024,Hot Springs NP,6001
2024,Indiana Dunes NP,10392
2024,Isle Royale NP,5021
2024,Joshua Tree NP,7161
2024,"Katmai NP&Pres, Aniakchak NM&Pres & Alagnak WR",5149
2024,Kenai Fjords NP,4606
2024,Lake Clark NP&Pres,3959
2024,Lassen Volcanic NP,5777
2024,Mammoth Cave NP,7523
2024,Mesa Verde NP,7308
2024,Mount Rainier NP,13624
2024,National Park of American Samoa,1562
2024,New River Gorge NP&Pres,8600
2024,"North Cascades NP, Lake Chelan NRA, Ross Lake NRA",7783
2024,Olympic NP,14265
2024,Petrified Forest NP,4267
2024,Pinnacles NP,4079
2024,Redwood NP,10271
2024,Rocky Mountain NP,14809
2024,Saguaro NP,4579
2024,Sequoia NP & Kings Canyon NP,18670
2024,Shenandoah NP,13976
2024,Theodore Roosevelt NP & International Peace Garden,3491
2024,Virgin Islands NP,5615
2024,Voyageurs NP,4734
2024,"West. Arctic Parklands - Noatak NPres, Cape Krusenstern NM, Kobuk Valley NP",2956
2024,White Sands NP,2046
2024,Wind Cave NP,3149
2024,Wrangell-Saint Elias NP&Pres,6779
2024,Yellowstone NP,39884
2024,Yosemite NP,32680
2024,Zion NP,9115
