,Year,Park Name,Spending,Visitation,temp_avg,precip_sum,visibility,uvindex,severerisk,acres,count,dmr,light_pollution_ratio
0,2011,Acadia,8269,2374645.0,46.89232876712329,22.795,8.591506849315069,5.761643835616439,,0.1,1.0,,
1,2012,Acadia,8183,2431052.0,47.80491803278688,40.778,8.823770491803279,5.830601092896175,,,,,
2,2013,Acadia,7866,2254922.0,46.00328767123288,20.232,8.608493151,5.720547945205479,,0.1,1.0,,
3,2014,Acadia,7866,2563129.0,45.793150684931504,49.318,8.822191780821917,5.7095890410958905,,0.3,3.0,,
4,2015,Acadia,7837,2811184.0,45.32547945205479,33.863,8.722191780821918,5.926027397260274,,,,68250049.04,
5,2016,Acadia,8022,3303393.0,46.52322404371585,36.667,9.071857923497268,5.8497267759562845,,1.0,10.0,71029340.7,
6,2017,Acadia,8144,3509271.0,46.42876712328767,21.915,8.830684932,5.717808219178083,,0.2,2.0,59858098.61,
7,2018,Acadia,8129,3537575.0,46.17068493150685,37.005,8.737808219178083,5.109589041095891,,0.2,2.0,65829758.16,
8,2019,Acadia,8169,3437286.0,45.19945205479452,53.799,8.826301369863014,5.175342465753425,,0.3,2.0,92644120.86,
9,2020,Acadia,8224,2669034.0,47.380874316939895,36.568,8.736885246,5.811475409836065,,,,,
10,2021,Acadia,8514,4069098.0,47.88191780821919,37.126,9.064383561643837,5.668493150684932,,,,,
11,2022,Acadia,8777,3970260.0,47.76246575342466,20.952,8.713150684931508,5.679452055,11.530898876404494,,,,
12,2023,Acadia,8777,,47.94931506849315,38.426,8.593698630136988,5.353424657534247,10.383561643835616,,,119512309.0,
13,2024,Acadia,9461,,,,,,,,,,
14,2011,American Samoa,1951,8716.0,80.88273973,66.225,14.097513812154697,7.476712328767123,,,,,
15,2012,American Samoa,1951,10440.0,80.91065573770491,40.982,9.54888178913738,6.939890710382514,,,,,
16,2013,American Samoa,1944,17919.0,81.63616438356165,107.591,10.447397260273974,6.923287671232877,,,,,
17,2014,American Samoa,1944,13953.0,81.11287671232877,90.145,10.504109589041096,6.956164383561644,,,,,
18,2015,American Samoa,1925,13892.0,80.60383561643836,67.435,10.408219178082192,7.013698630136986,,,,922729.8685,
19,2016,American Samoa,1933,28892.0,82.20874316939891,107.969,10.474863387978145,7.150273224043716,,,,819076.8285,
20,2017,American Samoa,2013,69468.0,81.54712328767124,120.798,10.441095890410958,6.876712328767123,,,,956927.516,
21,2018,American Samoa,2009,28626.0,81.14739726027398,153.208,10.453698630136984,7.254794520547946,,,,1353626.016,
22,2019,American Samoa,2021,60006.0,81.69150684931508,143.902,10.465205479452056,7.027397260273973,,,,1656843.706,
23,2020,American Samoa,2029,4819.0,81.90027322404372,202.426,10.40983606557377,6.931693989071039,,,,,
24,2021,American Samoa,1417,8495.0,81.63397260273973,110.894,10.658082191780824,7.457534246575342,,,,,
25,2022,American Samoa,1452,1887.0,81.59945205479451,115.053,10.669041095890412,9.010958904,30.68820224719101,,,,
26,2023,American Samoa,1452,,81.91753424657534,129.837,10.564109589041095,8.745205479452055,28.684931506849317,,,424205.0,
27,2024,American Samoa,1562,,,,,,,,,,
28,2011,Arches,1981,1040758.0,52.90301369863013,6.638,9.820273973,7.405479452054794,,,,,
29,2012,Arches,1981,1070577.0,56.03934426229509,3.442,9.819398907103825,7.535519126,,,,,
30,2013,Arches,1917,1082866.0,51.61945205479452,7.016,9.664931506849316,7.383561643835616,,,,,
31,2014,Arches,1917,1284767.0,55.431232876712336,7.146,9.793424657534246,7.389041095890411,,,,,
32,2015,Arches,1898,1399247.0,55.60712328767123,8.453,9.76510989,7.317808219178082,,,,19886458.94,
33,2016,Arches,1938,1585718.0,56.499453551912566,4.877,9.781420765027322,7.407103825136612,,,,24678597.64,
