Park Name,Size(Acres)
Wrangell St Elias,8323147.59
Gates of the Arctic,7523897.74
Denali,4740911.72
Katmai,3674529.68
Death Valley,3372401.96
Glacier Bay,3224840.31
Lake Clark,2619733.21
Yellowstone,2219790.71
Kobuk Valley,1750716.5
Everglades,1508537.9
Grand Canyon,1217403.32
Glacier,1013572.41
Olympic,922650.86
Big Bend,801163.21
Joshua Tree,789745.47
Yosemite,761266.19
Kenai Fjords,669982.99
Isle Royale,571790.11
Great Smoky Mountains,521490.13
North Cascades,504780.94
Kings Canyon,461901.2
Sequoia,404051.17
Canyonlands,337597.83
Hawaii Volcanoes,323431.38
Grand Teton,309994.66
Rocky Mountain,265828.41
Channel Islands,249561
Badlands,242755.94
Mount Rainier,235625
Voyageurs,218200.17
Shenandoah,199045.23
Crater Lake,183224.05
Capitol Reef,181971
Biscayne,172924.07
Great Sand Dunes,149027.9
Zion,146597.6
Redwood,112512.05
Lassen Volcanic,106372.36
Petrified Forest,93532.57
Saguaro,91439.71
Guadalupe Mountains,86415.97
Great Basin,77180
Arches,76518.98
Theodore Roosevelt,70446.89
Dry Tortugas,64701.22
Mammoth Cave,52830.19
Mesa Verde,52121.93
Acadia,47389.67
Carlsbad Caverns,46766.45
Bryce Canyon,35835.08
Black Canyon of the Gunnison,32950.03
Cuyahoga Valley,32860.73
Haleakala,29093.67
Wind Cave,28295.03
Pinnacles,26605.73
Congaree,26545.86
Virgin Islands,14688.87
American Samoa,9000
Hot Springs,5549.75
Gateway Arch,90.9
