park_name,2015,2016,2017,2018,2019,2023
Acadia National Park,68250049.04,71029340.7,59858098.61,65829758.16,92644120.86,119512309
Arches National Park,19886458.94,24678597.64,25648543.32,24399380.7,11182712.19,10383642
Badlands National Park,17498477.9,25869135.5,26514500.58,33453532.47,33811635.54,56616515
Big Bend National Park,86815056.71,89480405.26,100421335.3,89657789.94,124438101.9,138503994
Biscayne National Park,9849278.976,12069391.0,12527745.55,1480962.357,1416475.091,90287062
Black Canyon of the Gunnison National Park,6514685.916,6745170.789,6508999.12,7790635.909,5031186.477,12141882
Bryce Canyon National Park,37111153.43,27478962.82,27126866.6,25787576.66,26376095.28,16764043
Canyonlands National Park,43144249.82,45179990.5,40671343.95,21005442.92,24187570.5,61328080
Capitol Reef National Park,3836949.19,7738003.734,8379815.685,8977333.906,11415258.95,20121952
Carlsbad Caverns National Park,44411003.07,44044498.95,46819347.65,39868411.65,39708808.36,53137425
Channel Islands National Park,16702721.73,13453019.38,13692363.82,11268023.62,11908599.55,91720174
Congaree National Park,4270067.851,3907896.207,3803872.649,6832408.034,8031958.955,22686243
Crater Lake National Park,83979593.58,85318818.13,94080987.97,100440129.0,142814506.5,193452740
Cuyahoga Valley National Park,40824920.07,44387747.34,45813356.39,51863771.46,55967201.28,162176038
Death Valley National Park,0.0,140121726.3,139335915.2,128869756.3,153205891.6,234669196
Denali National Park and Preserve,52628328.74,50336451.13,54733275.37,51784799.83,61373701.94,57016565
Dry Tortugas National Park,56336687.99,58828779.16,60259376.99,62868146.95,30937411.36,155126578
Everglades National Park,78218847.68,78190173.58,90906801.86,74724664.25,88648654.49,252779892
Gates of the Arctic National Park and Preserve,928026.61,832622.57,944371.77,922236.1,919268.86,1049162
Great Sand Dunes National Park and Preserve,8032789.254,8868083.684,10396934.13,8069390.129,8437838.129,8930666
Glacier Bay National Park and Preserve,11310667.61,13716151.55,9442527.78,13009732.15,17664216.87,27516175
Glacier National Park,179807896.8,148262903.2,153838276.0,131189893.6,179273366.5,100798673
Grand Canyon National Park,371589415.2,353354523.8,329437053.8,313866912.6,314444838.6,829025955
Grand Teton National Park,207816744.3,190800484.5,178630524.7,181005620.9,166881527.1,180094978
Great Basin National Park,16942598.92,16945076.24,17450741.12,14925849.45,17867376.71,23094383
Great Smoky Mountains National Park,232283727.4,211192042.0,215451902.1,235895972.7,202014159.4,301341925
Guadalupe Mountains National Park,5533476.34,5503664.412,6411208.105,5865024.421,7940150.057,48522419
Haleakala National Park,22331454.2,22384766.31,21107901.62,24382236.31,26014699.23,73318870
Hawaii Volcanoes National Park,78932237.43,76214949.36,85545253.57,92735494.03,107336432.9,201852756
Hot Springs National Park,19595323.08,19960757.51,12360491.16,14939420.44,14158542.95,30263112
Indiana Dunes National Park,27110696.64,25394949.83,26556235.84,27797754.55,28333844.98,46119113
Isle Royale National Park,15470123.56,14877294.24,17676294.17,17881876.68,12514386.59,57704535
Gateway Arch National Park,0.0,25846163.66,24446749.24,24551305.93,31260655.9,37775929
Joshua Tree National Park,60715374.49,35494526.33,46796158.68,65923906.77,44380237.93,133581292
Katmai National Park and Preserve,12003876.46,9292783.938,9138087.8,9910310.224,7872323.5,6979450
Kenai Fjords National Park,4148151.11,2445318.885,1756716.512,1678524.496,1742049.046,1920001
Lake Clark National Park and Preserve,1584185.312,2100013.482,1444822.512,1882239.692,3331116.84,4210183
Lassen Volcanic National Park,23818372.55,21446177.99,22448749.77,33426800.71,41384974.72,74155972
Mammoth Cave National Park,82111316.82,94505148.76,78043316.12,92411480.74,118411234.8,93046249
Mesa Verde National Park,56939227.4,65733321.27,70749005.37,76307054.68,68345103.5,133924292
Mount Rainier National Park,285391146.2,152128455.2,175819974.9,186278439.8,208753022.5,251516261
National Park of American Samoa,922729.8685,819076.8285,956927.516,1353626.016,1656843.706,424205
New River Gorge National River,17839450.59,22295247.76,21318668.18,21079427.55,17816393.21,80746829
North Cascades National Park,21840957.41,26273465.56,18826842.19,22526305.14,24807949.83,46330395
Olympic National Park,139821329.5,152227793.5,120719515.4,126501263.0,122829260.0,195605878
Petrified Forest National Park,55692239.77,46888756.21,43991502.19,47989929.19,68245961.48,92530731
