park_name,year,acres
Acadia,2010,0.1
Acadia,2011,0.1
Acadia,2013,0.1
Acadia,2014,0.30000000000000004
Acadia,2016,1.0
Acadia,2017,0.2
Acadia,2018,0.2
Acadia,2019,0.30000000000000004
Badlands,2012,3.1
Badlands,2013,0.2
Badlands,2017,1.6
Badlands,2018,3.2
Badlands,2021,2375.4300000000003
Badlands,2022,120.97999999999999
Big Bend,2009,0.1
Big Bend,2010,122.5
Big Bend,2011,2226.1
Big Bend,2012,0.5
Big Bend,2013,2.0
Big Bend,2014,5.699999999999999
Big Bend,2015,62.4
Big Bend,2016,2090.5
Big Bend,2017,1252.0
Big Bend,2018,1356.0
Big Bend,2019,199.1
Big Bend,2020,299.31
Big Bend,2021,1347.66
Big Bend,2022,34.73
Big Bend,2023,24.509999999999998
Big Bend,2024,6.0
Biscayne,2017,0.30000000000000004
Biscayne,2020,1.07
Biscayne,2022,0.5
Black Canyon of the Gunnison,2011,8.9
Black Canyon of the Gunnison,2013,0.2
Black Canyon of the Gunnison,2016,0.1
Black Canyon of the Gunnison,2018,0.1
Black Canyon of the Gunnison,2021,0.2
Canyonlands,2011,0.1
Canyonlands,2013,3.7
Canyonlands,2014,0.2
Canyonlands,2015,0.1
Canyonlands,2016,23.1
Canyonlands,2017,0.2
Canyonlands,2018,0.1
Canyonlands,2019,0.2
Canyonlands,2020,0.1
Canyonlands,2022,0.1
Canyonlands,2023,0.1
Carlsbad Caverns,2010,17734.0
Carlsbad Caverns,2011,30489.5
Carlsbad Caverns,2016,20.1
Carlsbad Caverns,2023,0.1
Congaree,2016,0.1
Congaree,2018,1.0
Congaree,2020,45.019999999999996
Congaree,2021,492.20000000000005
Congaree,2022,627.66
Crater Lake,2010,2.4
Crater Lake,2011,1230.3999999999999
Crater Lake,2012,0.30000000000000004
Crater Lake,2013,4.8
Crater Lake,2014,322.70000000000005
Crater Lake,2015,20853.7
Crater Lake,2016,1073.4
Crater Lake,2017,15826.699999999999
Crater Lake,2018,3326.2
Crater Lake,2019,1.3
