,X,Y,fire_id,acres,discovery_date,state,park_name,park_id
4,-122.0584139,43.08333537,3037268,0.0,2020-07-27,OR,Crater Lake,CRLA
13,-112.0353112,35.99967546,3038771,0.1,2020-09-13,AZ,Grand Canyon,GRCA
16,-112.0689112,36.03522546,3039619,0.1,2020-06-11,AZ,Grand Canyon,GRCA
22,-110.6335619,43.69523979,3040119,0.1,2020-10-03,WY,Grand Teton,GRTE
29,-148.904025,63.73210164,3041144,20.63,2021-03-31,AK,Denali,DENA
32,-148.903725,63.73203164,3041587,18.95,2020-04-20,AK,Denali,DENA
34,-110.5264786,43.81088981,3042075,0.1,2020-09-21,WY,Grand Teton,GRTE
51,-103.5523845,29.15034886,3044539,5.0,2021-03-14,TX,Big Bend,BIBE
52,-122.0216139,43.06705538,3045159,0.1,2020-07-27,OR,Crater Lake,CRLA
53,-110.6202786,43.70698979,3045189,0.1,2020-10-05,WY,Grand Teton,GRTE
57,-122.1798139,42.95034535,3045538,0.1,2020-08-16,OR,Crater Lake,CRLA
60,-80.80644316,33.83165658,3046020,318.85,2021-04-06,SC,Congaree,CONG
63,-122.1174139,42.97969536,3046469,0.1,2020-07-18,OR,Crater Lake,CRLA
69,-118.8799125,36.69283509,3047300,0.5,2020-08-04,CA,Kings Canyon,KICA
71,-118.6611125,36.85767513,3048093,2.2,2020-07-29,CA,Kings Canyon,KICA
76,-112.0851112,36.05587546,3048752,0.1,2021-04-14,AZ,Grand Canyon,GRCA
88,-112.5729114,36.33078547,3050067,8356.75,2020-07-16,AZ,Grand Canyon,GRCA
92,-121.6668146,46.98685566,3050620,0.1,2020-08-02,WA,Mount Rainier,MORA
95,-118.6808125,36.76883512,3051140,0.5,2020-08-16,CA,Kings Canyon,KICA
100,-112.4064113,36.27317547,3051550,0.5,2020-11-04,AZ,Grand Canyon,GRCA
107,-103.0369089,29.52464489,3052400,0.1,2020-05-03,TX,Big Bend,BIBE
114,-114.327512,39.03833866,3053226,0.0,2020-07-23,NV,Great Basin,GRBA
124,-114.3623137,48.87590656,3054703,0.1,2020-07-23,MT,Glacier,GLAC
135,-114.2744137,48.77182656,3055342,0.1,2020-07-23,MT,Glacier,GLAC
141,-118.9575126,36.74007509,3055604,0.1,2020-08-12,CA,Kings Canyon,KICA
142,-114.3636137,48.88194656,3055777,0.1,2020-07-23,MT,Glacier,GLAC
149,-112.1983113,36.33878549,3056684,0.8,2020-07-16,AZ,Grand Canyon,GRCA
155,-103.4723531,29.08763561,3057250,0.16,2020-10-04,TX,Big Bend,BIBE
161,-122.1441139,42.90979535,3058346,0.1,2020-08-14,OR,Crater Lake,CRLA
166,-122.1441139,43.05994536,3059001,0.25,2020-07-27,OR,Crater Lake,CRLA
169,-118.5573125,36.71784512,3059153,1316.04,2020-08-21,CA,Kings Canyon,KICA
170,-103.2395089,29.36171485,3059281,6.87,2020-06-17,TX,Big Bend,BIBE
171,-102.9849088,29.42517487,3059313,272.47,2020-07-18,TX,Big Bend,BIBE
174,-80.81932316,33.83088658,3059639,17.12,2020-06-03,SC,Congaree,CONG
178,-110.6097599,43.83178548,3060514,0.1,2020-07-14,WY,Grand Teton,GRTE
180,-150.8725501,63.8537993,3060545,0.64,2020-06-02,AK,Denali,DENA
187,-110.6543453,43.79825647,3061172,0.1,2020-08-24,WY,Grand Teton,GRTE
190,-114.219012,39.00583867,3061343,0.3,2020-11-07,NV,Great Basin,GRBA
192,-151.0227251,63.89322127,3061440,673.48,2020-06-18,AK,Denali,DENA
197,-122.1614139,42.86546535,3061850,0.1,2020-07-27,OR,Crater Lake,CRLA
201,-114.2782137,48.78001656,3062851,0.1,2020-07-23,MT,Glacier,GLAC
204,-112.0198112,36.03329546,3063400,0.3,2020-11-24,AZ,Grand Canyon,GRCA
206,-103.0775089,29.38817486,3063643,0.1,2020-11-26,TX,Big Bend,BIBE
208,-80.82746968,33.84325066,3063680,172.22,2021-03-11,SC,Congaree,CONG
217,-112.0735112,36.03715546,3064655,0.1,2020-06-29,AZ,Grand Canyon,GRCA
219,-110.6153119,43.84150648,3065210,0.1,2020-08-08,WY,Grand Teton,GRTE
224,-87.27931162,41.60086883,3065679,424.58,2021-04-02,IN,Indiana Dunes,INDU
230,-112.0351112,35.99878546,3066429,0.1,2020-06-19,AZ,Grand Canyon,GRCA
234,-122.0452139,42.95083537,3066807,0.1,2020-08-27,OR,Crater Lake,CRLA
247,-93.10188667,34.51966623,3068289,136.62,2021-03-08,AR,Hot Springs,HOSP
250,-112.1210112,36.00898545,3069120,4.83,2020-01-07,AZ,Grand Canyon,GRCA
276,-118.5159125,36.87090514,3072701,0.1,2020-07-22,CA,Kings Canyon,KICA
279,-87.2083116,41.62556383,3073069,0.0,2020-07-29,IN,Indiana Dunes,INDU
280,-122.1417139,42.91046535,3073141,0.1,2020-08-14,OR,Crater Lake,CRLA
290,-110.7331949,43.61584744,3074471,0.1,2020-08-24,WY,Grand Teton,GRTE
292,-80.77565715,33.81627958,3074859,1.13,2021-03-12,SC,Congaree,CONG
297,-114.3612137,48.87426656,3075212,0.1,2020-07-23,MT,Glacier,GLAC
299,-113.6066115,35.88444535,3075719,0.5,2020-09-13,AZ,Grand Canyon,GRCA
302,-87.00861655,41.67806385,3076021,0.03,2020-07-07,IN,Indiana Dunes,INDU
304,-80.82881317,33.84094658,3076218,27.9,2020-11-03,SC,Congaree,CONG
315,-103.2306089,29.35714485,3077989,0.48,2020-06-21,TX,Big Bend,BIBE
322,-122.1640053,42.86685751,3078432,0.05,2020-07-10,OR,Crater Lake,CRLA
323,-80.33118271,25.51944462,3078656,1.07,2020-06-11,FL,Biscayne,BISC
335,-103.0487089,29.51397488,3080985,2.0,2020-05-05,TX,Big Bend,BIBE
340,-114.2356137,48.73140656,3081315,0.1,2020-07-23,MT,Glacier,GLAC
349,-103.3169089,29.27042483,3082921,17.03,2020-06-18,TX,Big Bend,BIBE
351,-122.1665457,43.03418354,3083250,0.25,2020-07-27,OR,Crater Lake,CRLA
374,-112.1151112,36.06378546,3086326,0.1,2020-04-01,AZ,Grand Canyon,GRCA
376,-103.0526089,29.50022488,3086429,0.1,2020-06-18,TX,Big Bend,BIBE
379,-109.867111,38.3677959,3087212,0.1,2020-06-06,UT,Canyonlands,CANY
384,-114.3459137,48.85576656,3088038,0.1,2020-07-23,MT,Glacier,GLAC
385,-122.1481139,43.05960536,3088085,0.25,2020-07-27,OR,Crater Lake,CRLA
386,-110.640712,43.91250648,3088122,0.1,2020-07-04,WY,Grand Teton,GRTE
399,-122.0393139,42.87959536,3090312,0.1,2020-07-24,OR,Crater Lake,CRLA
402,-114.2062137,48.70925657,3090610,0.1,2020-07-23,MT,Glacier,GLAC
