park_name,year,lon,lat,light_pollution_ratio
Acadia,2006,-68.22,44.35,0.4366666666666667
Acadia,2007,-68.22,44.35,0.31
Arches,2001,-109.57,38.7,0.05
Arches,2003,-109.57,38.7,0.13
Arches,2008,-109.57,38.7,0.14
Arches,2009,-109.57,38.7,0.135
Badlands,2006,-102.23,43.87,0.16
Badlands,2011,-102.57,43.67,0.2
Badlands,2011,-102.34,43.4,0.2
Badlands,2011,-102.23,43.87,0.1
Big Bend,2003,-103.38,29.21,0.0
Big Bend,2003,-103.31,29.25,0.0
Big Bend,2003,-103.16,29.31,0.05
Big Bend,2004,-103.31,29.25,0.06
Big Bend,2007,-103.31,29.25,0.0
Big Cypress,2014,-81.28,26.09,0.85
Big Cypress,2014,-81.15,25.87,0.77
Big Cypress,2014,-80.92,26.23,2.06
Biscayne,2014,-80.31,25.6,66.83
Biscayne,2014,-80.18,25.52,13.05
Biscayne,2014,-80.17,25.52,11.2
Black Canyon of the Gunnison,2004,-107.73,38.57,0.12
Black Canyon of the Gunnison,2008,-107.73,38.57,0.225
Bryce Canyon,2003,-112.16,37.6,0.0
Bryce Canyon,2004,-112.24,37.47,0.09
Bryce Canyon,2005,-112.16,37.6,0.06
Bryce Canyon,2006,-112.16,37.61,0.12
Bryce Canyon,2007,-112.24,37.47,0.07
Bryce Canyon,2007,-112.17,37.61,0.095
Bryce Canyon,2007,-112.14,37.67,0.13
Canyonlands,2003,-109.86,38.31,0.0
Canyonlands,2011,-109.86,38.31,0.04
Capitol Reef,2006,-111.09,37.86,0.0
Capitol Reef,2007,-111.09,37.86,0.0
Carlsbad Caverns,2007,-104.44,32.18,0.46
Carlsbad Caverns,2008,-104.44,32.18,0.315
Channel Islands,2014,-119.57,34.02,1.545
Crater Lake,2007,-122.05,42.93,0.02
Crater Lake,2009,-122.17,42.95,0.0
Death Valley,2001,-117.58,36.64,0.0
Death Valley,2001,-116.73,36.22,0.33
Death Valley,2003,-117.57,36.69,0.0
Death Valley,2003,-117.48,36.58,0.0
Death Valley,2003,-117.45,37.01,0.02
Death Valley,2003,-116.73,36.22,0.25666666666666665
Death Valley,2004,-117.45,37.01,0.06
Death Valley,2004,-117.09,36.22,0.2
Death Valley,2004,-117.05,36.36,0.08
Death Valley,2004,-116.85,36.51,0.07
Death Valley,2004,-116.84,36.5,0.08
Death Valley,2004,-116.73,36.22,0.38
Death Valley,2005,-116.73,36.22,0.34
Death Valley,2006,-117.57,36.67,0.0
Death Valley,2006,-116.89,35.71,0.46
Death Valley,2006,-116.85,36.51,0.08
Death Valley,2007,-117.77,36.8,0.06
Death Valley,2007,-116.73,36.22,0.44
Death Valley,2008,-116.88,36.48,0.09
Death Valley,2008,-116.73,36.22,0.44
Death Valley,2011,-117.77,37.23,0.05
Death Valley,2011,-116.73,36.22,0.34
Denali,2010,-150.69,62.67,0.0
Denali,2010,-149.19,63.71,0.02
Denali,2010,-149.09,63.76,0.06
Denali,2010,-148.91,63.73,0.07
Dry Tortugas,2010,-82.87,24.63,0.13
El Leoncito,2013,-69.27,-31.72,0.13
Everglades,2010,-81.39,25.84,2.46
Everglades,2010,-80.94,25.14,0.53
Everglades,2014,-81.09,25.12,0.475
Everglades,2014,-80.78,25.44,2.87
Everglades,2014,-80.77,25.66,6.053333333333334
Glacier,2009,-114.14,48.6,0.23
Glacier,2009,-113.44,48.74,0.22
Grand Canyon,2007,-112.15,36.07,0.1
Grand Canyon,2007,-112.05,36.19,0.095
Grand Canyon,2007,-111.85,36.03,0.05
Grand Canyon,2008,-112.05,36.2,0.03333333333333333
Grand Canyon,2008,-111.85,36.03,0.07
Grand Canyon,2008,-111.83,36.04,0.0
Grand Teton,2010,-110.72,43.63,0.15
Grand Teton,2010,-110.71,43.77,0.07
Grand Teton,2010,-110.68,43.61,0.09
Great Basin,2004,-114.3,39.03,0.0
Great Basin,2005,-114.31,38.91,0.05
Great Basin,2006,-114.31,38.91,0.055
Great Sand Dunes,2005,-105.69,37.67,0.14
Great Sand Dunes,2006,-105.69,37.67,0.125
