park_name,light_pollution_ratio,lon,lat,year
Acadia,0.43,-68.22,44.35,2006
Acadia,0.45,-68.22,44.35,2006
Acadia,0.43,-68.22,44.35,2006
Acadia,0.31,-68.22,44.35,2007
Arches,0.05,-109.57,38.70,2001
Arches,0.13,-109.57,38.70,2003
Arches,0.14,-109.57,38.70,2008
Arches,0.11,-109.57,38.70,2009
Arches,0.16,-109.57,38.70,2009
Badlands,0.16,-102.23,43.87,2006
Badlands,0.20,-102.34,43.40,2011
Badlands,0.25,-102.57,43.67,2011
Badlands,0.15,-102.57,43.67,2011
Badlands,0.10,-102.23,43.87,2011
Big Bend,0.05,-103.16,29.31,2003
Big Bend,< 0.04,-103.31,29.25,2003
Big Bend,< 0.04,-103.38,29.21,2003
Big Bend,0.06,-103.31,29.25,2004
Big Bend,< 0.04,-103.31,29.25,2007
Big Cypress,0.63,-81.15,25.87,2014
Big Cypress,0.85,-81.28,26.09,2014
Big Cypress,0.91,-81.15,25.87,2014
Big Cypress,2.06,-80.92,26.23,2014
Biscayne,66.83,-80.31,25.60,2014
Biscayne,11.20,-80.17,25.52,2014
Biscayne,13.05,-80.18,25.52,2014
Black Canyon of the Gunnison,0.12,-107.73,38.57,2004
Black Canyon of the Gunnison,0.19,-107.73,38.57,2008
Black Canyon of the Gunnison,0.26,-107.73,38.57,2008
Bryce Canyon,< 0.04,-112.16,37.60,2003
Bryce Canyon,0.08,-112.24,37.47,2004
Bryce Canyon,0.10,-112.24,37.47,2004
Bryce Canyon,0.06,-112.16,37.60,2005
Bryce Canyon,0.12,-112.16,37.61,2006
Bryce Canyon,0.07,-112.24,37.47,2007
Bryce Canyon,0.08,-112.24,37.47,2007
Bryce Canyon,0.13,-112.14,37.67,2007
Bryce Canyon,0.06,-112.24,37.47,2007
Bryce Canyon,0.10,-112.17,37.61,2007
Bryce Canyon,0.09,-112.17,37.61,2007
Canyonlands,< 0.04,-109.86,38.31,2003
Canyonlands,0.04,-109.86,38.31,2011
Capitol Reef,< 0.04,-111.09,37.86,2006
Capitol Reef,< 0.04,-111.09,37.86,2007
