name,datetime,temp,precip,visibility,uvindex,severerisk
American Samoa National Park,2010-01-01,83.4,0.201,9.6,5,
American Samoa National Park,2010-01-02,82.9,1.272,9.5,5,
American Samoa National Park,2010-01-03,80.2,0.319,9,5,
American Samoa National Park,2010-01-04,82.2,0.252,9.8,4,
American Samoa National Park,2010-01-05,83.9,0.012,10.4,5,
American Samoa National Park,2010-01-06,82.1,0.032,10.7,7,
American Samoa National Park,2010-01-07,83,0.193,10.6,9,
American Samoa National Park,2010-01-08,83.7,0,10.7,10,
American Samoa National Park,2010-01-09,83.6,0,10.9,10,
American Samoa National Park,2010-01-10,82.8,0.272,10.2,10,
American Samoa National Park,2010-01-11,83.2,0.031,10.4,9,
American Samoa National Park,2010-01-12,84.9,0.189,10.7,10,
American Samoa National Park,2010-01-13,85.3,0.012,10.4,10,
American Samoa National Park,2010-01-14,83,0.122,9.9,7,
American Samoa National Park,2010-01-15,82.5,0.303,9.8,7,
American Samoa National Park,2010-01-16,83.4,0.039,10.8,10,
American Samoa National Park,2010-01-17,85.3,0,10.8,8,
American Samoa National Park,2010-01-18,87.4,0.091,11,9,
American Samoa National Park,2010-01-19,87.5,0.008,10.9,5,
American Samoa National Park,2010-01-20,87.3,0.088,10.8,10,
American Samoa National Park,2010-01-21,86.6,0.02,10.7,6,
American Samoa National Park,2010-01-22,85.2,0.031,10.6,6,
American Samoa National Park,2010-01-23,85.4,0.031,10.7,5,
American Samoa National Park,2010-01-24,81.4,4.986,5.9,3,
American Samoa National Park,2010-01-25,82.4,0.512,8.3,5,
American Samoa National Park,2010-01-26,83.6,0.248,7.1,4,
American Samoa National Park,2010-01-27,85.1,2.488,6.7,5,
American Samoa National Park,2010-01-28,86.4,2.984,10.8,6,
American Samoa National Park,2010-01-29,85.1,0.132,10.9,7,
American Samoa National Park,2010-01-30,83.9,0.012,10.7,4,
American Samoa National Park,2010-01-31,83.5,4.188,7.9,5,
American Samoa National Park,2010-02-01,86.3,0.359,11,10,
American Samoa National Park,2010-02-02,83.3,0.209,8.7,9,
American Samoa National Park,2010-02-03,83.9,0.161,10,6,
American Samoa National Park,2010-02-04,84.2,0.012,10.8,10,
American Samoa National Park,2010-02-05,83,0.136,11,8,
American Samoa National Park,2010-02-06,83.3,0.028,10.9,10,
American Samoa National Park,2010-02-07,83.8,0.02,10.9,10,
American Samoa National Park,2010-02-08,83.6,0.091,10.9,9,
American Samoa National Park,2010-02-09,82.2,0.63,9.1,9,
American Samoa National Park,2010-02-10,82.9,0.189,9.3,10,
American Samoa National Park,2010-02-11,82.8,0.112,10.9,9,
American Samoa National Park,2010-02-12,81.9,0.953,5.6,3,
American Samoa National Park,2010-02-13,82.8,0.772,6.6,2,
American Samoa National Park,2010-02-14,84.9,1.72,10.4,7,
American Samoa National Park,2010-02-15,81,0.358,9,3,
American Samoa National Park,2010-02-16,82,2.512,10.6,3,
American Samoa National Park,2010-02-17,84.6,0.324,10.4,4,
American Samoa National Park,2010-02-18,84.6,0.24,10.7,8,
American Samoa National Park,2010-02-19,83.6,0.02,10.6,10,
American Samoa National Park,2010-02-20,83.2,0.11,10.9,10,
American Samoa National Park,2010-02-21,82.8,0.012,10.3,10,
American Samoa National Park,2010-02-22,81.2,0.079,9.7,8,
American Samoa National Park,2010-02-23,82,0.012,10.9,6,
American Samoa National Park,2010-02-24,83.4,0.044,10.9,10,
American Samoa National Park,2010-02-25,83.4,0.04,10.9,10,
American Samoa National Park,2010-02-26,82.7,0.039,10.6,7,
American Samoa National Park,2010-02-27,82.5,0.048,10.6,9,
American Samoa National Park,2010-02-28,84.1,0.088,11,10,
American Samoa National Park,2010-03-01,83.8,0.208,10.7,10,
American Samoa National Park,2010-03-02,84.4,0.22,10.9,6,
American Samoa National Park,2010-03-03,85.3,0.031,10.6,5,
American Samoa National Park,2010-03-04,84.6,0.012,10.6,4,
American Samoa National Park,2010-03-05,83.4,0.02,10.9,7,
American Samoa National Park,2010-03-06,82.3,0.048,10.9,8,
American Samoa National Park,2010-03-07,82.4,0.132,10.6,8,
American Samoa National Park,2010-03-08,82.7,0.142,10.6,6,
American Samoa National Park,2010-03-09,81.7,0.176,10.3,4,
American Samoa National Park,2010-03-10,83.6,0.189,10.6,9,
American Samoa National Park,2010-03-11,84.1,0.1,10.9,8,
American Samoa National Park,2010-03-12,84.7,0.076,11,9,
American Samoa National Park,2010-03-13,84.6,0.012,11,7,
American Samoa National Park,2010-03-14,85.2,0.12,11,5,
American Samoa National Park,2010-03-15,85.1,0.008,10.9,8,
American Samoa National Park,2010-03-16,84.5,0,10.9,10,
American Samoa National Park,2010-03-17,84.1,0,10.9,10,
American Samoa National Park,2010-03-18,84.6,0,10.8,9,
American Samoa National Park,2010-03-19,84.8,0.039,10.9,9,
American Samoa National Park,2010-03-20,84.5,0,11,10,
American Samoa National Park,2010-03-21,84,0.048,10.8,8,
American Samoa National Park,2010-03-22,83.8,0.128,10.8,5,
American Samoa National Park,2010-03-23,81.9,0.1,10.9,6,
American Samoa National Park,2010-03-24,83.4,0.108,10.9,7,
American Samoa National Park,2010-03-25,84.6,0.02,10.9,10,
American Samoa National Park,2010-03-26,84.7,0.012,10.9,10,
American Samoa National Park,2010-03-27,83.8,0,10.5,4,
American Samoa National Park,2010-03-28,83.9,3.15,9.4,5,
American Samoa National Park,2010-03-29,83.4,0.071,11,5,
American Samoa National Park,2010-03-30,82.2,0.228,10.8,6,
American Samoa National Park,2010-03-31,83.5,0.036,10.9,4,
American Samoa National Park,2010-04-01,82.9,0,10.9,6,
American Samoa National Park,2010-04-02,82.8,0.016,10.9,8,
American Samoa National Park,2010-04-03,84.6,0.111,10.6,4,
American Samoa National Park,2010-04-04,84,0.22,10.9,3,
American Samoa National Park,2010-04-05,85.3,0.02,10.9,8,
American Samoa National Park,2010-04-06,84.8,0.196,10.9,9,
American Samoa National Park,2010-04-07,84.6,0.331,10.5,8,
American Samoa National Park,2010-04-08,81.9,0.65,10,5,
American Samoa National Park,2010-04-09,84.5,0.244,10.9,4,
American Samoa National Park,2010-04-10,82.3,0.012,10.8,4,
American Samoa National Park,2010-04-11,83.3,0.523,10.9,5,
American Samoa National Park,2010-04-12,83.3,0.468,10.7,4,
American Samoa National Park,2010-04-13,79.6,1.252,8,3,
American Samoa National Park,2010-04-14,81.7,2.047,10.2,7,
American Samoa National Park,2010-04-15,83.1,0.272,10.6,4,
American Samoa National Park,2010-04-16,82.6,0.433,10.6,4,
American Samoa National Park,2010-04-17,82,0.338,9.4,4,
American Samoa National Park,2010-04-18,81.3,0.792,10.3,5,
American Samoa National Park,2010-04-19,82.5,0.444,10.9,7,
American Samoa National Park,2010-04-20,83.4,0.348,11,8,
American Samoa National Park,2010-04-21,84.2,0.012,10.9,7,
American Samoa National Park,2010-04-22,81.5,0.437,10.6,8,
American Samoa National Park,2010-04-23,80,0.164,9.8,6,
American Samoa National Park,2010-04-24,82.1,0.079,10.8,5,
American Samoa National Park,2010-04-25,82.5,0.136,10.9,4,
American Samoa National Park,2010-04-26,82.6,0.204,10.7,5,
American Samoa National Park,2010-04-27,83.3,0.402,10.9,4,
American Samoa National Park,2010-04-28,83,0.071,10.8,5,
American Samoa National Park,2010-04-29,80.2,0.528,7.6,6,
American Samoa National Park,2010-04-30,81.2,0.116,10.9,6,
American Samoa National Park,2010-05-01,83,0.02,10.9,7,
American Samoa National Park,2010-05-02,82,0,10.9,8,
American Samoa National Park,2010-05-03,82.3,0.201,10.5,8,
American Samoa National Park,2010-05-04,82.8,0.531,10,6,
American Samoa National Park,2010-05-05,83.9,0.76,10.8,7,
American Samoa National Park,2010-05-06,82.5,0,10.4,6,
American Samoa National Park,2010-05-07,81,0.279,9.6,7,
American Samoa National Park,2010-05-08,82.5,0.079,10.3,6,
American Samoa National Park,2010-05-09,82.9,0.461,10.3,6,
American Samoa National Park,2010-05-10,82.8,0.012,10.7,5,
American Samoa National Park,2010-05-11,80.3,0.559,9.8,3,
American Samoa National Park,2010-05-12,81.3,0.1,10.9,8,
American Samoa National Park,2010-05-13,82.2,0.064,10.9,7,
American Samoa National Park,2010-05-14,84.1,0,10.9,6,
American Samoa National Park,2010-05-15,83.3,0.064,10.9,4,
American Samoa National Park,2010-05-16,83.6,0.068,11,8,
American Samoa National Park,2010-05-17,82.6,0,10.6,5,
American Samoa National Park,2010-05-18,84,0.02,10.7,8,
American Samoa National Park,2010-05-19,84.4,0.044,10.9,8,
American Samoa National Park,2010-05-20,84.1,0.012,10.8,8,
American Samoa National Park,2010-05-21,83.2,0.071,9.9,8,
American Samoa National Park,2010-05-22,84.1,0.276,10.8,6,
American Samoa National Park,2010-05-23,83.1,0.2,10.3,6,
American Samoa National Park,2010-05-24,82.5,0.051,10.4,4,
American Samoa National Park,2010-05-25,82.7,0.051,10.8,6,
American Samoa National Park,2010-05-26,82.1,0.14,11,7,
American Samoa National Park,2010-05-27,83.9,0.071,10.6,7,
American Samoa National Park,2010-05-28,83.1,0.031,10.1,5,
American Samoa National Park,2010-05-29,83.3,0.118,10.3,7,
American Samoa National Park,2010-05-30,84,0.012,10.8,7,
American Samoa National Park,2010-05-31,82.5,0.118,10.3,8,
American Samoa National Park,2010-06-01,83.3,0,10,6,
American Samoa National Park,2010-06-02,82.5,0.059,10.5,7,
American Samoa National Park,2010-06-03,82.5,0.012,10.4,8,
American Samoa National Park,2010-06-04,82.9,0,10.6,7,
American Samoa National Park,2010-06-05,80.8,0,10.2,7,
American Samoa National Park,2010-06-06,81.4,0,9.6,6,
American Samoa National Park,2010-06-07,80.7,0,10.1,6,
American Samoa National Park,2010-06-08,81.8,0,11,8,
American Samoa National Park,2010-06-09,81.1,0.409,10.4,7,
American Samoa National Park,2010-06-10,80.5,0.012,8.4,8,
American Samoa National Park,2010-06-11,82,0,10.9,6,
American Samoa National Park,2010-06-12,81,0.031,9.5,7,
American Samoa National Park,2010-06-13,80.9,0.083,10.8,6,
American Samoa National Park,2010-06-14,81.1,0.02,10.5,4,
American Samoa National Park,2010-06-15,82.5,0.236,10.8,6,
American Samoa National Park,2010-06-16,81.3,0.631,9.9,6,
American Samoa National Park,2010-06-17,81.7,0.08,9.2,6,
American Samoa National Park,2010-06-18,82.2,0.016,10.4,7,
American Samoa National Park,2010-06-19,80.5,0.012,10.5,6,
American Samoa National Park,2010-06-20,80.5,0.008,9.7,6,
American Samoa National Park,2010-06-21,81.6,0.004,10.8,7,
American Samoa National Park,2010-06-22,82.3,0.02,10.4,6,
American Samoa National Park,2010-06-23,81.3,0.181,10.6,6,
American Samoa National Park,2010-06-24,80.1,0.112,10.3,3,
American Samoa National Park,2010-06-25,81.9,0.012,10.9,6,
American Samoa National Park,2010-06-26,82.9,0.031,9.9,7,
American Samoa National Park,2010-06-27,82.9,0,10.9,7,
American Samoa National Park,2010-06-28,82.7,0.012,10.4,7,
American Samoa National Park,2010-06-29,82.3,0.059,10.8,7,
American Samoa National Park,2010-06-30,81,0,10.9,8,
American Samoa National Park,2010-07-01,80.9,0,10.8,8,
American Samoa National Park,2010-07-02,78.1,0.378,8.9,7,
American Samoa National Park,2010-07-03,79.3,0,10.8,7,
American Samoa National Park,2010-07-04,80.2,0.012,10.5,6,
American Samoa National Park,2010-07-05,81.1,0.036,9.9,7,
American Samoa National Park,2010-07-06,81.6,0.048,10.8,7,
American Samoa National Park,2010-07-07,82.2,0.169,10.6,7,
American Samoa National Park,2010-07-08,83.1,0.059,10.8,7,
American Samoa National Park,2010-07-09,82.9,0.016,10.6,7,
American Samoa National Park,2010-07-10,80.4,0.256,9.7,7,
American Samoa National Park,2010-07-11,81.1,0.063,10.6,3,
American Samoa National Park,2010-07-12,81,0.969,10.5,2,
American Samoa National Park,2010-07-13,82.1,0.201,10.8,4,
American Samoa National Park,2010-07-14,79.5,0.988,9.8,6,
American Samoa National Park,2010-07-15,80,0.048,10.9,8,
American Samoa National Park,2010-07-16,82.1,0.071,10.2,8,
American Samoa National Park,2010-07-17,81.6,0.016,10.9,8,
American Samoa National Park,2010-07-18,81.7,0.088,10.7,8,
American Samoa National Park,2010-07-19,80.6,0.26,9.7,7,
American Samoa National Park,2010-07-20,81.3,0.032,10.9,7,
American Samoa National Park,2010-07-21,80.1,0.008,10,8,
American Samoa National Park,2010-07-22,80.5,0.071,10.4,8,
American Samoa National Park,2010-07-23,82.2,0.039,10.8,8,
American Samoa National Park,2010-07-24,81.9,0,10.8,8,
American Samoa National Park,2010-07-25,81.7,0.012,10.9,7,
American Samoa National Park,2010-07-26,81.6,0.091,10.5,8,
American Samoa National Park,2010-07-27,81.9,0,10.4,8,
American Samoa National Park,2010-07-28,80.9,0.039,10.6,8,
American Samoa National Park,2010-07-29,81.6,0.024,10.7,8,
American Samoa National Park,2010-07-30,81.1,0.142,10.5,8,
American Samoa National Park,2010-07-31,78.9,1.409,8.8,5,
American Samoa National Park,2010-08-01,76.9,0.02,10.3,4,
American Samoa National Park,2010-08-02,75.7,0,10.9,8,
American Samoa National Park,2010-08-03,78.2,0,10.6,8,
American Samoa National Park,2010-08-04,80.9,0,10.9,7,
American Samoa National Park,2010-08-05,82.2,0.02,10.7,7,
American Samoa National Park,2010-08-06,82,0,10.8,8,
American Samoa National Park,2010-08-07,80.9,0.055,10.2,7,
American Samoa National Park,2010-08-08,81.4,0.059,10.8,9,
American Samoa National Park,2010-08-09,81.9,0,10.8,9,
American Samoa National Park,2010-08-10,80.5,1.252,9.8,7,
American Samoa National Park,2010-08-11,79.5,0,10.9,9,
American Samoa National Park,2010-08-12,78.7,0.074,10.1,6,
American Samoa National Park,2010-08-13,78.7,0.012,10.7,8,
American Samoa National Park,2010-08-14,79.2,0.024,10,6,
American Samoa National Park,2010-08-15,77.8,0.354,8.8,7,
American Samoa National Park,2010-08-16,81.3,0.092,10.9,9,
American Samoa National Park,2010-08-17,80.5,0.02,10.3,8,
American Samoa National Park,2010-08-18,80.8,0.048,10.9,8,
American Samoa National Park,2010-08-19,79.9,0,10.9,9,
American Samoa National Park,2010-08-20,81.1,0.799,10,9,
American Samoa National Park,2010-08-21,81.5,0,10.8,9,
American Samoa National Park,2010-08-22,82,0,10.8,9,
American Samoa National Park,2010-08-23,80.4,0,10.7,9,
American Samoa National Park,2010-08-24,81,0.453,10.7,9,
American Samoa National Park,2010-08-25,81.7,0,10.9,9,
American Samoa National Park,2010-08-26,82.2,0.012,10.9,9,
American Samoa National Park,2010-08-27,80.9,0,10.5,9,
American Samoa National Park,2010-08-28,80.9,0.311,10.8,9,
