UNIT_CODE,UNIT_NAME,UNIT_TYPE,STATE,Abandoned Wells within 30 miles,active_wells_in_parks,at_risk
AMME,American Memorial Park,Park,MP,0,,
CEBE,Cedar Creek and Belle Grove National Historical Park,National Historical Park,VA,0,,
LIBI,Little Bighorn Battlefield National Monument,National Monument,MT,3,,
CAVO,Capulin Volcano National Monument,National Monument,NM,0,,
FOBO,Fort Bowie National Historic Site,National Historic Site,AZ,1,,
GICL,Gila Cliff Dwellings National Monument,National Monument,NM,0,,
TUZI,Tuzigoot National Monument,National Monument,AZ,0,,
WOTR,Wolf Trap National Park for the Performing Arts,Other Designation,VA,0,,
CASA,Castillo de San Marcos National Monument,National Monument,FL,0,,
TICA,Timpanogos Cave National Monument,National Monument,UT,0,,
THIS,Theodore Roosevelt Island National Memorial,National Memorial,DC,0,,
TUPE,Tupelo National Battlefield,National Battlefield,MS,1,,
BRCR,Brices Cross Roads National Battlefield Site,National Battlefield Site,MS,0,,
PORE,Point Reyes National Seashore,National Seashore,CA,0,,
FOSU,Fort Sumter and Fort Moultrie National Historical Park,National Historical Park,SC,0,,
TONT,Tonto National Monument,National Monument,AZ,0,,
HOFR,Home of Franklin D. Roosevelt National Historic Site,National Historic Site,NY,0,,
NISI,Ninety Six National Historic Site,National Historic Site,SC,0,,
BUIS,Buck Island Reef National Monument,National Monument,VI,0,,
CAWO,Carter G. Woodson National Historic Site,National Historic Site,MD,0,,
BOHA,Boston Harbor Islands National Recreation Area,National Recreation Area,MA,0,,
SUCR,Sunset Crater Volcano National Monument,National Monument,AZ,0,,
MABE,Mary McLeod Bethune Council House National Historic Site,National Historic Site,DC,0,,
FOTH,Ford's Theatre National Historic Site,National Historic Site,DC,0,,
BRVB,Brown v. Board of Education National Historic Site,National Historic Site,KS,10,,
PISP,Pipe Spring National Monument,National Monument,AZ,0,,
ELMO,El Morro National Monument,National Monument,NM,0,,
ANJO,Andrew Johnson National Historic Site,National Historic Site,TN,0,,
SAPA,Saint Paul's Church National Historic Site,National Historic Site,NY,6,,
CACL,Castle Clinton National Monument,National Monument,NY,6,,
FOBU,Fossil Butte National Monument,National Monument,WY,4,,
HOVE,Hovenweep National Monument,National Monument,UT,142,,
FOUN,Fort Union National Monument,National Monument,NM,0,,
ABLI,Abraham Lincoln Birthplace National Historical Park,National Historical Park,KY,335,,
DRTO,Dry Tortugas National Park,National Park,FL,0,0,0
FOFR,Fort Frederica National Monument,National Monument,GA,0,,
MANZ,Manzanar National Historic Site,National Historic Site,CA,0,,
BRCA,Bryce Canyon National Park,National Park,UT,1,0,0
JODR,"John D. Rockefeller, Jr., Memorial Parkway",National Parkway,WY,0,,
EDIS,Thomas Edison National Historical Park,National Historical Park,NJ,6,,
YELL,Yellowstone National Park,National Park,WY,0,0,0
HUTR,Hubbell Trading Post National Historic Site,National Historic Site,AZ,0,,
CHAM,Chamizal National Memorial,National Memorial,TX,0,,
PUHE,Pu'ukohola Heiau National Historic Site,National Historic Site,HI,0,,
ULSG,Ulysses S. Grant National Historic Site,National Historic Site,MO,283,,
CANA,Canaveral National Seashore,National Seashore,FL,0,,
AFBG,African Burial Ground National Monument,National Monument,NY,6,,
CABR,Cabrillo National Monument,National Monument,CA,25,,
CLBA,Clara Barton National Historic Site,National Historic Site,MD,0,,
FOWA,Fort Washington Park,Other Designation,MD,0,,
SEQU,Sequoia National Park,National Park,CA,0,0,0
KALA,Kalaupapa National Historical Park,National Historical Park,HI,0,,
TUAI,Tuskegee Airmen National Historic Site,National Historic Site,AL,9,,
SARI,Salt River Bay National Historical Park and Ecological Preserve,National Historical Park,VI,0,,
EDAL,Edgar Allan Poe National Historic Site,National Historic Site,PA,0,,
BOAF,Boston African American National Historic Site,National Historic Site,MA,0,,
MACA,Mammoth Cave National Park,National Park,KY,1313,0,1
EUON,Eugene O'Neill National Historic Site,National Historic Site,CA,27,,
ADAM,Adams National Historical Park,National Historical Park,MA,0,,
NAVA,Navajo National Monument,National Monument,AZ,0,,
THST,Thomas Stone National Historic Site,National Historic Site,MD,0,,
CARI,Cane River Creole National Historical Park,National Historical Park,LA,55,,
GRBA,Great Basin National Park,National Park,NV,2,0,0
GRPO,Grand Portage National Monument,National Monument,MI,0,,
FOPO,Fort Point National Historic Site,National Historic Site,CA,1,,
SAMA,Salem Maritime National Historic Site,National Historic Site,MA,0,,
WAMO,Washington Monument,National Memorial,DC,0,,
JEFM,Thomas Jefferson Memorial,National Memorial,DC,0,,
MOCR,Moores Creek National Battlefield,National Battlefield,NC,0,,
HOBE,Horseshoe Bend National Military Park,National Military Park,AL,0,,
FOMA,Fort Matanzas National Monument,National Monument,FL,0,,
CANY,Canyonlands National Park,National Park,UT,2,0,0
WHHO,White House,Other Designation,DC,0,,
BOWA,Booker T. Washington National Monument,National Monument,VA,0,,
JELA,Jean Lafitte National Historical Park and Preserve,National Historical Park and Preserve,LA,712,,
JECA,Jewel Cave National Monument,National Monument,SD,29,,
FOLS,Fort Larned National Historic Site,National Historic Site,KS,426,,
RORI,Rosie the Riveter/World War II Home Front National Historical Park,National Historical Park,CA,7,,
FOST,Fort Stanwix National Monument,National Monument,NY,25,,
THKO,Thaddeus Kosciuszko National Memorial,National Memorial,PA,0,,
PEVI,Perry's Victory and International Peace Memorial,National Memorial,OH,0,,
JAGA,James A. Garfield National Historic Site,National Historic Site,OH,6,,
RABR,Rainbow Bridge National Monument,National Monument,UT,0,,
NABR,Natural Bridges National Monument,National Monument,UT,0,,
PIMA,Hohokam Pima National Monument,National Monument,AZ,0,,
GUIS,Gulf Islands National Seashore,National Seashore,FL,151,,
APCO,Appomattox Court House National Historical Park,National Historical Park,VA,0,,
PIPE,Pipestone National Monument,National Monument,MN,0,,
BISC,Biscayne National Park,National Park,FL,0,0,0
ARPO,Arkansas Post National Memorial,National Memorial,AR,30,,
MORU,Mount Rushmore National Memorial,National Memorial,SD,0,,
