"OPERATION OF THE NAT'L PARK SYSTEM
Parks, Offices and Programs","FY09
Pk Base
1 FTE","FY09
Total
2 FTE","FY 2009
Final","FY 2010
Enacted","FY 2011
Transfers","FY 2011
Fixed Cost
incl. Planned
3 Absorptions","FY 2011
Management
4 Efficiencies","FY 2011
Program
Changes","FY 2011
President's
Request"
National Park Service Park Units,,,,,,,,,
Abraham Lincoln Birthplace NHP,14,16,1088,1362,0,[23],-8,0,1354
Acadia NP,83,130,7615,8269,0,[152],-80,0,8189
Adams NHP,33,40,3207,3418,0,[90],-12,0,3406
African Burial Grounds NM,1,6,44,2014,0,[0],0,0,2014
Agate Fossil Beds NM,7,8,871,970,0,[9],-8,0,962
Allegheny Portage Railroad NHS,23,25,2186,2149,0,[44],-20,0,2129
Amistad NRA,37,38,4103,4171,0,[100],-47,0,4124
Andersonville NHS,16,19,1380,1479,0,[30],-14,0,1465
Andrew Johnson NHS,10,10,938,1005,0,[15],-8,0,997
Antietam NB,42,59,3589,3590,0,[82],-25,0,3565
Apostle Islands NL,33,43,3181,3148,0,[116],-34,0,3114
Appalachian NST,8,8,1456,1519,0,[0],0,205,1724
Appomattox Court House NHP,19,21,1375,1835,0,[35],-12,0,1823
Arches NP,14,25,1886,1981,0,[136],-18,0,1963
Arkansas Post NMem,9,9,853,901,0,[14],-11,0,890
Arlington House,16,16,1065,1095,0,[24],-6,0,1089
Assateague Island NS,55,72,5197,5467,0,[89],-42,0,5425
Aztec Ruins NM,15,23,1209,1252,0,[24],-12,170,1410
Badlands NP,48,75,4405,4575,0,[88],-45,0,4530
Baltimore-Washington Parkway,14,14,1623,1648,0,[25],-22,0,1626
Bandelier NM,32,72,3049,3433,0,[63],-30,0,3403
Bent's Old Fort NHS,14,17,1189,1239,0,[23],-11,141,1369
Big Bend NP,72,108,7053,7387,0,[131],-73,0,7314
Big Cypress National Preserve,63,84,6506,7163,0,[121],-7,480,7636
Big Hole NB,8,9,608,629,0,[13],-13,121,737
Big South Fork Natl River & RA,52,62,4458,4565,0,[94],-50,0,4515
Big Thicket National Preserve,23,37,2655,2746,0,[56],-25,336,3057
Bighorn Canyon NRA,29,44,3482,3766,0,[65],-38,0,3728
Biscayne NP,37,45,4183,4461,0,[80],-9,221,4673
Black Canyon of the Gunnison NP,17,21,1666,1701,0,[30],-12,0,1689
Blue Ridge Parkway,178,215,16222,16743,0,[348],-144,0,16599
Bluestone NSR,0,0,74,76,0,[1],0,0,76
Booker T Washington NM,11,11,959,981,0,[22],-9,0,972
Boston African American NHS,9,9,794,809,0,[12],-3,0,806
Boston Harbor Islands NRA,14,14,1200,1220,0,[83],-5,0,1215
Boston NHP,82,88,9868,9967,0,[170],-73,0,9894
Brown v. Board of Education NHS,14,14,1322,1348,0,[35],-12,0,1336
Bryce Canyon NP,39,69,3405,3531,0,[75],-35,0,3496
Buffalo National River,63,101,5661,6007,0,[173],-57,80,6030
Cabrillo NM,19,24,1697,1749,0,[35],-11,363,2101
