Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,"OPERATION OF THE NATIONAL PARK SYSTEM
ORGANIZATIONS","FY 2016
Park Base
FTE^{1}","FY 2016
Total FTE^{2}","FY 2016
Final^{6}","FY 2017 CR
Baseline","Fixed Costs
& Internal
Transfers","Program
Changes","FY 2018
Request","Fixed Costs
& Internal
Transfe rs"
,FY 2016,,,,Fixed Costs,,,,,,,,,,,
"OPERATION OF THE NATIONAL PARK SYSTEM
ORGANIZATIONS",Park Base,FY 2016,FY 2016,FY 2017 CR,& Internal,Program,FY 2018,,,,,,,,,
,FTE^{1},Total FTE^{2},Final^{6},Baseline,Transfe rs,Changes,Request,,,,,,,,,
Parks,,,,,,,,,,,,,,,,
Abraham Lincoln Birthplace NHS,16,17,"1,351","1,348",20,-94,"1,274",,,,,,,,,
Acadia NP,74,149,"8,144","8,129",119,-564,"7,684",,,,,,,,,
Adams NHP,21,22,"2,511","2,506",32,-174,"2,364",,,,,,,,,
African Burial Grounds NM,7,7,"1,985","1,981",13,-137,"1,857",,,,,,,,,
Agate Fossil Beds NM,8,8,927,925,13,-64,874,,,,,,,,,
Allegheny Portage Railroad NHS,19,21,"2,102","2,098",27,-146,"1,979",,,,,,,,,
Amistad NRA,35,38,"4,140","4,132",53,-287,"3,898",,,,,,,,,
Andersonville NHS,10,11,"1,469","1,466",16,-102,"1,380",,,,,,,,,
Andrew Johnson NHS,10,10,989,987,13,-68,932,,,,,,,,,
Antietam NB,30,35,"3,550","3,543",54,-246,"3,351",,,,,,,,,
Apostle Islands NL,29,42,"3,069","3,063",49,-213,"2,899",,,,,,,,,
Appalachian NST,5,9,"1,575","1,572",11,-109,"1,474",,,,,,,,,
Appomattox Court House NHP,20,21,"1,843","1,839",28,-128,"1,739",,,,,,,,,
Arches NP,13,26,"1,972","1,968",28,-137,"1,859",,,,,,,,,
Arkansas Post NMem,11,11,871,869,14,-60,823,,,,,,,,,
Assateague Island NS,36,71,"5,421","5,411",59,-375,"5,095",,,,,,,,,
Aztec Ruins NM,13,21,"1,294","1,292",19,-90,"1,221",,,,,,,,,
Badlands NP,38,58,"4,423","4,415",57,-306,"4,166",,,,,,,,,
Bandelier NM,30,58,"3,304","3,298",44,-229,"3,113",,,,,,,,,
Bent's Old Fort NHS,13,15,"1,248","1,246",18,-86,"1,178",,,,,,,,,
Big Bend NP,68,92,"7,269","7,255",98,-503,"6,850",,,,,,,,,
Big Cypress NPres,57,81,"6,852","6,839",96,-475,"6,460",,,,,,,,,
Big Hole NB,7,8,615,614,8,-43,579,,,,,,,,,
Big South Fork National River & Recreation Area,46,58,"4,523","4,514",67,-313,"4,268",,,,,,,,,
Big Thicket NPres,23,33,"2,642","2,637",35,-183,"2,489",,,,,,,,,
