"Column1","Column2","Column3","Column4","Column5","Column6","Column7","Column8","OPERATION OF THE NATIONAL PARK SYSTEM ORGANIZATIONS","FY 2017
Park Base
FTE^{1}","FY 2017
Total FTE^{2}","FY 2017
Final^{6}","FY 2018
Annualized
CR","FY 2019
Fixed Costs
& Internal
Transfers","FY 2019
Program
Changes^{9}","FY 2019
Request^{9}"
"PARK AND PROGRAM SUMMARY
FY 2019 Greenbook ($000)
Does Not Reflect FY 2019 Budget Addendum","","","","","","","","","","","","","","",""
"OPERATION OF THE NATIONAL PARK SYSTEM ORGANIZATIONS","FY 2017
Park Base
FTE^{1}","FY 2017
Total FTE^{2}","FY 2017
Final^{6}","FY 2018
Annualized
CR","FY 2019
Fixed Costs
& Internal
Transfers","FY 2019
Program
Changes^{9}","FY 2019
Request^{9}","","","","","","","",""
"PARK BASE UNITS
Parks","","","","","","","","","","","","","","",""
"Abraham Lincoln Birthplace NHS","15","15","1,356","1,356","12","-152","1,216","","","","","","","",""
"Acadia NP","73","149","8,169","8,169","59","-916","7,312","","","","","","","",""
"Adams NHP","19","21","2,521","2,521","16","-283","2,254","","","","","","","",""
"African Burial Grounds NM","6","6","1,989","1,989","5","-223","1,771","","","","","","","",""
"Agate Fossil Beds NM","9","9","930","930","7","-104","833","","","","","","","",""
"Allegheny Portage Railroad NHS","18","20","2,108","2,108","14","-236","1,886","","","","","","","",""
"Amistad NRA","35","38","4,151","4,151","28","-466","3,713","","","","","","","",""
"Andersonville NHS","12","13","1,473","1,473","10","-166","1,317","","","","","","","",""
"Andrew Johnson NHS","10","10","993","993","8","-110","891","","","","","","","",""
"Antietam NB","32","34","3,570","3,570","26","-401","3,195","","","","","","","",""
"Apostle Islands NL","29","39","3,079","3,079","24","-346","2,757","","","","","","","",""
"Appalachian NST","8","8","1,582","1,582","6","-177","1,411","","","","","","","",""
"Appomattox Court House NHP","21","21","1,849","1,849","17","-208","1,658","","","","","","","",""
"Arches NP","11","25","1,978","1,978","9","-222","1,765","","","","","","","",""
"Arkansas Post NMem","10","10","875","875","8","-98","785","","","","","","","",""
"Assateague Island NS","35","68","5,434","5,434","28","-609","4,853","","","","","","","",""
"Aztec Ruins NM","14","19","1,298","1,298","11","-146","1,163","","","","","","","",""
"Badlands NP","39","56","4,435","4,435","31","-497","3,969","","","","","","","",""
"Bandelier NM","32","54","3,312","3,312","26","-372","2,966","","","","","","","",""
"Bent's Old Fort NHS","15","16","1,253","1,253","12","-140","1,125","","","","","","","",""
"Big Bend NP","67","90","7,290","7,290","54","-819","6,525","","","","","","","",""
"Big Cypress NPres","58","87","6,872","6,872","47","-771","6,148","","","","","","","",""
"Big Hole NB","8","8","618","618","6","-69","555","","","","","","","",""
"Big South Fork National River & Recreation Area","45","57","4,537","4,537","36","-509","4,064","","","","","","","",""
"Big Thicket NPres","21","29","2,650","2,650","17","-297","2,370","","","","","","","",""
"Bighorn Canyon NRA","32","40","3,685","3,685","26","-414","3,297","","","","","","","",""
"Birmingham Civil Rights NM","0","0","0","0","0","180","180","","","","","","","",""
"Biscayne NP","34","38","4,317","4,317","27","-484","3,860","","","","","","","",""
"Black Canyon of the Gunnison NP","16","21","1,911","1,911","13","-215","1,709","","","","","","","",""
"Blackstone River Valley NHP","3","3","931","931","4","-104","831","","","","","","","",""
"Blue Ridge Parkway","144","170","16,271","16,271","117","-1,826","14,562","","","","","","","",""
"Bluestone NSR","0","0","77","77","0","-9","68","","","","","","","",""
"Booker T Washington NM","8","8","979","979","6","-110","875","","","","","","","",""
"Boston African American NHS","5","5","800","800","4","-88","716","","","","","","","",""
"Boston Harbor Islands NRA","15","16","1,253","1,253","12","-141","1,124","","","","","","","",""
"Boston NHP","74","81","9,415","9,415","60","-1,056","8,419","","","","","","","",""
"Brown v. Board of Education NHS","13","13","1,614","1,614","11","-181","1,444","","","","","","","",""
"Bryce Canyon NP","26","52","3,338","3,338","21","-375","2,984","","","","","","","",""
"Buffalo NR","59","77","5,928","5,928","48","-666","5,310","","","","","","","",""
"Cabrillo NM","15","24","1,709","1,709","12","-192","1,529","","","","","","","",""
"Canaveral NS","31","47","3,246","3,246","25","-364","2,907","","","","","","","",""
"Cane River Creole NHP","11","12","1,155","1,155","9","-130","1,034","","","","","","","",""
"Canyon de Chelly NM","20","25","2,045","2,045","16","-229","1,832","","","","","","","",""
"Canyonlands NP","62","101","6,354","6,354","51","-714","5,691","","","","","","","",""
"Cape Cod NS","57","95","7,764","7,764","46","-872","6,938","","","","","","","",""
"Cape Hatteras Group - Cape Hatteras NS, Fort Raleigh NHS, Wright Brothers NMem","74","126","9,842","9,842","60","-1,103","8,799","","","","","","","",""
"Cape Lookout NS","20","33","2,553","2,553","17","-287","2,283","","","","","","","",""
"Capitol Reef NP","24","33","2,405","2,405","19","-270","2,154","","","","","","","",""
"Capulin Volcano NM","8","10","755","755","7","-85","677","","","","","","","",""
"Carl Sandburg Home NHS","9","9","1,263","1,263","8","-141","1,130","","","","","","","",""
"Carlsbad Caverns NP","42","54","5,841","5,841","34","-655","5,220","","","","","","","",""
"Casa Grande Ruins NM & Hohokam Pima NM","9","11","852","852","7","-95","764","","","","","","","",""
"Castillo de San Marcos NM & Fort Matanzas NM","19","47","2,123","2,123","16","-238","1,901","","","","","","","",""
"Castle Mountains NM","0","0","0","0","0","180","180","","","","","","","",""
"Catoctin Mountain Park","27","29","3,415","3,415","22","-382","3,055","","","","","","","",""
"Cedar Breaks NM","7","14","690","690","6","-78","618","","","","","","","",""
"Cedar Creek and Belle Grove NHP","7","7","894","894","5","-101","798","","","","","","","",""
"César E. Chávez NM","0","0","371","371","0","-42","329","","","","","","","",""
"Chaco Culture NHP","20","27","2,066","2,066","16","-232","1,850","","","","","","","",""
"Chamizal NMem","23","24","2,427","2,427","19","-272","2,174","","","","","","","",""
"Channel Islands NP","58","62","7,577","7,577","47","-850","6,774","","","","","","","",""
"Charles Pinckney NHS","4","4","551","551","3","-62","492","","","","","","","",""
"Charles Young Buffalo Soldiers NM","4","4","663","663","3","-75","591","","","","","","","",""
"Chattahoochee River NRA","29","34","3,542","3,542","23","-398","3,167","","","","","","","",""
"Chesapeake & Ohio Canal NHP","70","78","9,581","9,581","57","-1,074","8,564","","","","","","","",""
"Chickamauga & Chattanooga NMP","28","29","3422","3422","23","-384","3061","","","","","","","",""
"Chickasaw NRA","39","43","3927","3927","31","-441","3517","","","","","","","",""
"Chiricahua NM & Fort Bowie NHS","18","23","1794","1794","15","-202","1607","","","","","","","",""
"Christiansted NHS, Buck Island Reef NM, & Salt River Bay NHP & Ecological Pres.","17","18","2663","2663","14","-298","2379","","","","","","","",""
"City of Rocks NRes","0","0","454","454","0","-49","405","","","","","","","",""
"Colonial NHP","58","61","6885","6885","47","-773","6159","","","","","","","",""
"Colorado NM","16","36","1934","1934","13","-217","1730","","","","","","","",""
"Coltsville NHP","0","0","180","180","0","-20","160","","","","","","","",""
"Congaree NP","16","17","1903","1903","13","-213","1703","","","","","","","",""
"Coronado NMem","10","13","1774","1774","8","-199","1583","","","","","","","",""
"Cowpens NB","9","10","882","882","7","-99","790","","","","","","","",""
"Crater Lake NP","46","74","5470","5470","37","-614","4893","","","","","","","",""
"Craters of the Moon NM&Pres","14","18","1625","1625","11","-182","1454","","","","","","","",""
"Cumberland Gap NHP","30","36","3560","3560","24","-399","3185","","","","","","","",""
"Cumberland Island NS","23","27","2977","2977","18","-334","2661","","","","","","","",""
"Curecanti NRA","43","53","4369","4369","35","-490","3914","","","","","","","",""
"Cuyahoga Valley NP","95","121","10900","10900","77","-1224","9753","","","","","","","",""
