"OPERATION OF THE NATIONAL PARK SYSTEM ORGANIZATIONS","FY 2019
Park
Base
FTE^{1}","FY 2019
Total
FTE^{2}","FY 2019
Actual^{6}","FY 2020
Enacted","FY 2021
Fixed Costs
& Internal
Transfers","FY 2021
Program
Changes","FY 2021
Request"
"PARK BASE UNITS","","","","","","",""
"Parks^{8}","","","","","","",""
"Abraham Lincoln Birthplace NHS","12","13","1367","1392","19","-101","1310"
"Acadia NP","67","141","8338","8514","145","-615","8044"
"Adams NHP","20","21","2535","2585","33","-187","2431"
"African Burial Grounds NM","7","7","1993","1380","5","-100","1285"
"Agate Fossil Beds NM","7","7","934","950","13","-69","894"
"Allegheny Portage Railroad NHS","14","15","2122","2156","28","-156","2028"
"Amistad NRA","32","34","4178","4272","76","-309","4039"
"Andersonville NHS","12","14","1479","1507","23","-109","1421"
"Andrew Johnson NHS","10","10","999","1020","16","-74","962"
"Antietam NB","27","31","3590","3670","67","-265","3472"
"Apostle Islands NL","27","39","2975","3046","60","-220","2886"
"Appalachian NST","9","9","1585","1621","34","-10","1645"
"Appomattox Court House NHP","19","20","1862","1902","31","-137","1796"
"Arches NP","14","32","2061","2107","40","-152","1995"
"Arkansas Post NMem","8","8","879","897","14","-65","846"
"Assateague Island NS","39","71","5483","5586","89","-403","5272"
"Aztec Ruins NM","14","17","1303","1329","21","-96","1254"
"Badlands NP","34","51","4493","4580","73","-331","4322"
"Bandelier NM","31","48","3323","3396","61","-245","3212"
"Bent's Old Fort NHS","13","14","1252","1278","22","-92","1208"
"Big Bend NP","64","85","7326","7479","127","-540","7066"
"Big Cypress NPres","51","75","6949","7086","118","-512","6692"
"Big Hole NB","7","7","620","630","8","-45","593"
"Big South Fork National River & Recreation Area","46","57","4565","4668","87","-337","4418"
"Big Thicket NPres","22","29","2664","2719","43","-196","2566"
"Bighorn Canyon NRA","32","38","3705","3787","68","-273","3582"
"Birmingham Civil Rights NM","0","0","289","289","0","-21","268"
"Biscayne NP","27","33","4351","4439","78","-321","4196"
"Black Canyon of the Gunnison NP","16","21","1922","1964","30","-142","1852"
"Blackstone River Valley NHP","4","4","933","946","10","-68","888"
"Blue Ridge Parkway","144","172","16614","16981","317","-1226","16072"
"Bluestone NSR","0","0","78","80","2","-6","76"
"Booker T Washington NM","8","9","986","1006","14","-73","947"
"Boston African American NHS","8","8","806","829","15","-60","784"
"Boston Harbor Islands NRA","18","18","1258","1288","19","-93","1214"
"Boston NHP","71","77","9669","9855","151","-712","9294"
"Brown v. Board of Education NHS","11","11","1612","1639","22","-118","1543"
"Bryce Canyon NP","29","53","3532","3602","55","-260","3397"
"Buffalo NR","54","70","5988","6112","108","-441","5779"
"Cabrillo NM","10","17","1757","1789","23","-129","1683"
"Camp Nelson Heritage NM","0","0","0","815","0","-59","756"
"Canaveral NS","27","38","3354","3422","55","-247","3230"
"Cane River Creole NHP","9","11","1161","1182","16","-85","1113"
"Canyonlands NP","63","99","6419","6565","124","-474","6215"
"Cape Cod NS","54","84","7812","7970","130","-576","7524"
"Cape Hatteras Group - Cape Hatteras NS, Fort Raleigh NHS, Wright Brothers NMem","69","119","9885","10062","148","-727","9483"
"Cape Lookout NS","21","35","2566","2618","43","-189","2472"
"Capitol Reef NP","22","29","2477","2531","46","-183","2394"
"Capulin Volcano NM","8","9","754","767","10","-55","722"
"Carl Sandburg Home NHS","11","12","1273","1301","22","-94","1229"
"Carlsbad Caverns NP","41","52","5863","5960","79","-430","5609"
"Casa Grande Ruins NM & Hohokam Pima NM","8","9","856","876","15","-63","828"
"Castillo de San Marcos NM & Fort Matanzas NM","17","45","2130","2175","35","-157","2053"
"Castle Mountains NM","0","0","375","419","0","-30","389"
"Catoctin Mountain Park","25","28","3432","3504","58","-253","3309"
"Cedar Breaks NM","4","10","745","757","9","-55","711"
"Cedar Creek and Belle Grove NHP","7","7","899","899","14","-65","848"
"César E. Chávez NM","0","0","373","489","4","-35","458"
"Chaco Culture NHP","15","20","2078","2119","34","-153","2000"
"Chamizal NMem","22","22","2445","2501","47","-181","2367"
"Channel Islands NP","54","60","7631","7793","10","-563","7240"
"Charles Pinckney NHS","3","3","557","569","9","-41","537"
"Charles Young Buffalo Soldiers NM","6","6","660","674","10","184","868"
"Chattahoochee River NRA","26","30","3565","3638","61","-263","3436"
"Chesapeake & Ohio Canal NHP","62","67","9740","9571","168","-691","9048"
"Chickamauga & Chattanooga NMP","30","31","3449","3521","60","-254","3327"
"Chickasaw NRA","34","39","3994","4078","70","-294","3854"
"Christiansted NHS, Buck Island Reef NM, & Salt River Bay NHP & Ecological Preserve","16","16","2675","2720","37","-196","2561"
"City of Rocks NRes","0","0","453","454","0","-33","421"
"Colonial NHP","51","55","6930","7072","112","-511","6673"
"Colorado NM","16","34","1939","1979","35","-143","1871"
"Coltsville NHP","0","0","180","180","0","-13","167"
"Congaree NP","15","15","1919","1955","31","-141","1845"
"Cowpens NB","8","9","887","908","16","-66","858"
"Crater Lake NP","43","78","5528","5645","-55","-408","5182"
"Craters of the Moon NM&Pres","15","21","1635","1668","20","-120","1568"
"Cumberland Gap NHP","30","34","3582","3653","62","-264","3451"
"Cumberland Island NS","21","25","2995","2989","44","-216","2817"
"Curecanti NRA","38","49","4389","4484","79","-324","4239"
"Cuyahoga Valley NP","88","109","10976","11217","198","-810","10605"
"Dayton Aviation NHP","19","19","2024","2069","33","-149","1953"
"De Soto NMem","6","6","732","746","10","-54","702"
"Death Valley NP","70","102","8990","9587","-9","-692","8886"
"Delaware Water Gap NRA","81","105","9865","10107","205","-730","9582"
"Denali NP&Pres","100","176","14799","15111","243","-1091","14263"
"Devils Postpile NM","5","7","627","641","9","-46","604"
"Devils Tower NM","12","21","1403","1429","23","-103","1349"
"Dinosaur NM","32","46","3816","3896","65","-281","3680"
