"Column1","Column2","Column3","Column4","Column5","Column6","Column7","Column8"
"","FY 2021","","","FY 2022
CR","FY 2023
Fixed
Costs &","FY 2023",""
"OPERATION OF THE NATIONAL PARK
SYSTEM ORGANIZATIONS","Park Base","FY 2021","FY 2021","Annualized","Internal","Program","FY 2023"
"","FTE","Total FTE","Actual","Rate","Transfers","Changes","Request"
"PARK BASE UNITS","","","","","","",""
"Parks","","","","","","",""
"Abraham Lincoln Birthplace NHS","14","14","1,423","1,423","45","89","1,557"
"Acadia NP","73","157","8,777","8,777","319","1,719","10,815"
"Adams NHP","18","18","2,644","2,644","72","108","2,824"
"African Burial Grounds NM","5","5","1,389","1,389","10","64","1,463"
"Agate Fossil Beds NM","6","6","976","976","27","73","1,076"
"Allegheny Portage Railroad NHS","16","17","2,205","2,205","63","94","2,362"
"Amache NHS","0","0","0","0","0","505","505"
"Amistad NRA","36","36","4,414","4,414","145","298","4,857"
"Andersonville NHS","14","16","1,549","1,549","-20","379","1,908"
"Andrew Johnson NHS","10","11","1,048","1,048","36","83","1,167"
"Antietam NB","27","32","3,797","3,797","134","338","4,269"
"Apostle Islands NL","26","37","3,157","3,157","118","318","3,593"
"Appalachian NST","7","8","1,786","1,786","54","217","2,057"
"Appomattox Court House NHP","18","19","1,958","1,958","60","202","2,220"
"Arches NP","12","34","2,183","2,183","78","218","2,479"
"Arkansas Post NMem","8","8","924","924","31","180","1,135"
"Assateague Island NS","34","65","5,749","5,749","154","562","6,465"
"Aztec Ruins NM","18","22","1,367","1,367","47","192","1,606"
"Badlands NP","27","50","4,537","4,537","112","589","5,238"
"Bandelier NM","29","47","3,509","3,509","117","684","4,310"
"Bent's Old Fort NHS","13","14","1,320","1,320","44","188","1,552"
"Bering Land Bridge NPres","0","0","1,309","1,309","0","0","1,309"
"Big Bend NP","62","85","7,718","7,718","244","614","8,576"
"Big Cypress NPres","52","80","7,309","7,309","243","900","8,452"
"Big Hole NB","6","7","646","646","14","73","733"
"Big South Fork NR & RA","47","66","4,830","4,830","172","559","5,561"
"Big Thicket NPres","20","30","2,798","2,798","88","296","3,182"
"Bighorn Canyon NRA","30","39","3,913","3,913","125","513","4,551"
"Birmingham Civil Rights NM","2","2","289","289","8","532","829"
"Biscayne NP","22","33","4,500","4,500","141","439","5,080"
"Black Canyon of the Gunnison NP","16","21","2,019","2,019","66","205","2,290"
"Blackstone River Valley NHP","8","8","1,779","1,779","33","72","1,884"
"Blue Ridge Parkway","137","175","17,506","17,506","507","1,103","19,116"
"Bluestone NSR","0","0","84","84","0","3","87"
"Booker T Washington NM","8","8","1,031","1,031","33","225","1,289"
"Boston African American NHS","7","7","853","853","33","80","966"
"Boston Harbor Islands NRA","15","16","1,315","1,315","44","287","1,646"
"Boston NHP","73","80","10,128","10,128","296","426","10,850"
"Brown v. Board of Education NHS","11","11","1,614","1,614","46","91","1,751"
"Bryce Canyon NP","31","71","3,702","3,702","120","264","4,086"
"Buffalo NR","53","73","6,314","6,314","218","534","7,066"
"Cabrillo NM","11","23","1,835","1,835","44","197","2,076"
"Camp Nelson Heritage NM","3","3","815","815","16","557","1,388"
"Canaveral NS","28","43","3,527","3,527","52","286","3,865"
"Cane River Creole NHP","9","11","1,210","1,210","35","83","1,328"
"Canyonlands NP","59","104","6,797","6,797","223","652","7,672"
"Cape Cod NS","62","84","8,207","8,207","284","1,841","10,332"
"Cape Hatteras Group - Cape Hatteras NS, Fort Raleigh
NHS, Wright Brothers NMem","62","109","10,256","10,256","265","597","11,118"
"Cape Lookout NS","21","33","2,697","2,697","89","359","3,145"
"Capitol Reef NP","23","33","2,615","2,615","96","328","3,039"
"Capulin Volcano NM","7","10","782","782","26","173","981"
"Carl Sandburg Home NHS","11","12","1,342","1,342","44","185","1,571"
"Carlsbad Caverns NP","45","50","6,106","6,106","169","439","6,714"
"Casa Grande Ruins NM & Hohokam Pima NM","7","9","904","904","32","80","1,016"
"Castillo de San Marcos NM & Fort Matanzas NM","16","46","2,239","2,239","89","216","2,544"
"Catoctin Mountain Park","25","30","3,611","3,611","124","660","4,395"
"Cedar Breaks NM","5","9","773","773","23","174","970"
"Cedar Creek and Belle Grove NHP","6","6","925","925","26","78","1,029"
"César E. Chávez NM","0","0","497","497","-1","9","505"
"Chaco Culture NHP","13","19","2,181","2,181","73","107","2,361"
"Chamizal NMem","21","21","2,586","2,586","89","131","2,806"
"Channel Islands NP","55","62","7,917","7,917","117","1,150","9,184"
"Charles Pinckney NHS","4","4","586","586","22","73","681"
"Charles Young Buffalo Soldiers NM","5","5","926","926","19","69","1,014"
"Chattahoochee River NRA","25","33","3,752","3,752","115","294","4,161"
"Chesapeake & Ohio Canal NHP","64","70","9,885","9,885","338","892","11,115"
"Chickamauga & Chattanooga NMP","27","28","3,633","3,633","117","161","3,911"
"Chickasaw NRA
Christiansted NHS, Buck Island Reef NM, & Salt","35","42","4,208","4,208","141","290","4,639"
"River Bay NHP & Ecological Preserve","18","19","2,787","2,787","81","361","3,229"
"City of Rocks NRes","0","0","452","452","-1","1","452"
"Colonial NHP","60","64","7,277","7,277","241","511","8,029"
"Colorado NM","17","39","2,043","2,043","70","209","2,322"
"Coltsville NHP","0","0","180","180","0","6","186"
"Congaree NP","15","17","1,817","1,817","61","1,304","3,182"
"Cowpens NB","7","8","937","937","28","75","1,040"
