Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11
,,FY 2012 PARK AND PROGRAM SUMMARY,,,,,,,,
,,President's Request ($000),,,,,,,,
,,,,,,FY 2010,FY 2012,,,
,,FY 2010,,FY 2010,,Adjusted,Fixed Costs,FY 2012,FY 2012,FY 2012
OPERATION OF THE NATIONAL PARK SYSTEM,,Park Base,,Total,FY 2010,Enacted/,and Related,Administrative,Program,President's
,FTE,1,FTE,2,Final,FY 2011 CR³,Changes,Cost Savings^{4},Changes,Request
National Park Service Park Units,,,,,,,,,,
Abraham Lincoln Birthplace NHS,,15,,15,"1,362","1,362",-1,-23,0,"1,338"
Acadia NP,,81,,134,"8,269","8,183",1,-167,0,"8,017"
Adams NHP,,31,,38,"3,418","3,418",0,-48,0,"3,370"
African Burial Grounds NM,,10,,12,"2,014","2,014",-2,-21,0,"1,991"
Agate Fossil Beds NM,,9,,10,970,951,1,-18,0,934
Allegheny Portage Railroad NHS,,25,,27,"2,149","2,147",2,-43,0,"2,106"
Amistad NRA,,34,,42,"4,171","4,171",2,-91,0,"4,082"
Andersonville NHS,,15,,20,"1,479","1,479",1,-30,0,"1,450"
Andrew Johnson NHS,,11,,11,"1,005","1,005",0,-19,0,986
Antietam NB,,40,,64,"3,590","3,586",3,-63,0,"3,526"
Apostle Islands NL,,33,,44,"3,148","3,103",3,-67,0,"3,039"
Appalachian NST,,8,,8,"1,519","1,519",0,-16,205,"1,708"
Appomattox Court House NHP,,20,,24,"1,835","1,835",3,-32,0,"1,806"
Arches NP,,15,,26,"1,981","1,981",1,-39,0,"1,943"
Arkansas Post NMem,,11,,11,901,896,1,-21,0,876
Arlington House,,15,,16,"1,095","1,095",1,-18,0,"1,078"
Assateague Island NS,,48,,75,"5,467","5,491",3,-101,0,"5,393"
Aztec Ruins NM,,16,,25,"1,252","1,252",1,-25,170,"1,398"
Badlands NP,,46,,76,"4,575","4,485",5,-93,0,"4,397"
Baltimore-Washington Parkway,,13,,13,"1,648","1,648",3,-40,0,"1,611"
Bandelier NM,,36,,79,"3,433","3,433",2,-67,0,"3,368"
Bent's Old Fort NHS,,14,,17,"1,239","1,239",1,-24,141,"1,357"
Big Bend NP,,77,,119,"7,387","7,387",7,-152,0,"7,242"
Big Cypress NPres,,63,,92,"7,163","6,886",3,-77,480,"7,292"
Big Hole NB,,9,,9,629,629,1,-20,121,731
Big South Fork National River & Recreation Area,,50,,63,"4,565","4,565",8,-99,0,"4,474"
Big Thicket NPres,,24,,39,"2,746","2,746",3,-54,336,"3,031"
Bighorn Canyon NRA,,31,,46,"3,766","3,766",2,-78,0,"3,690"
Biscayne NP,,39,,51,"4,461","4,384",5,-54,221,"4,556"
Black Canyon of the Gunnison NP,,18,,22,"1,701","1,701",-2,-30,0,"1,669"
Blue Ridge Parkway,,181,,233,"16,743","16,417",23,-318,0,"16,122"
Bluestone NSR,,0,,0,76,76,0,-1,0,75
,,,,,,FY 2010,FY 2012,,,
,,FY 2010,,FY 2010,,Adjusted,Fixed Costs,FY 2012,FY 2012,FY 2012
OPERATION OF THE NATIONAL PARK SYSTEM,,Park Base,,Total,FY 2010,Enacted/,and Related,Administrative,Program,President's
,FTE,1,FTE,2,Final,FY 2011 CR³,Changes,Cost Savings^{4},Changes,Request
Booker T Washington NM,,11,,11,981,981,2,-19,0,964
Boston African American NHS,,8,,8,809,809,-1,-12,0,796
Boston Harbor Islands NRA,,13,,14,"1,220","1,220",-1,-18,0,"1,201"
Boston NHP,,83,,91,"9,967","9,847",5,-177,0,"9,675"
Brown v. Board of Education NHS,,13,,13,"1,348","1,341",1,-26,0,"1,316"
Bryce Canyon NP,,37,,73,"3,531","3,531",3,-73,0,"3,461"
Buffalo NR,,63,,104,"6,007","6,007",7,-121,80,"5,973"
Cabrillo NM,,22,,26,"1,749","1,749",0,-30,363,"2,082"
Canaveral NS,,35,,51,"3,260","3,260",2,-58,0,"3,204"
Cane River Creole NHP,,12,,15,"1,170","1,170",1,-20,0,"1,151"
Canyon de Chelly NM,,23,,38,"2,061","2,061",-3,-44,0,"2,014"
Canyonlands NP,,79,,106,"6,797","6,797",2,-129,220,"6,890"
Cape Cod NS,,79,,118,"7,952","7,870",0,-150,0,"7,720"
"Cape Hatteras Group - Cape Hatteras NS, Fort Raleigh NHS, Wright
Brothers NMem",,100,,146,"10,116","9,912",7,-179,0,"9,740"
Cape Lookout NS,,24,,50,"2,565","2,565",0,-58,0,"2,507"
Capitol Reef NP,,27,,36,"2,382","2,382",1,-46,513,"2,850"
Capulin Volcano NM,,7,,9,754,754,0,-15,105,844
Carl Sandburg Home NHS,,14,,20,"1,280","1,280",1,-24,0,"1,257"
Carlsbad Caverns NP,,74,,94,"6,279","6,279",3,-130,0,"6,152"
Carter G. Woodson Home NHS,,0,,0,53,53,0,-1,0,52
Casa Grande Ruins NM & Hohokam Pima NM,,9,,13,869,869,1,-16,0,854
Castillo de San Marcos NM & Fort Matanzas NM,,21,,41,"2,174","2,174",0,-39,0,"2,135"
Catoctin Mountain Park,,33,,37,"3,546","3,542",2,-67,0,"3,477"
Cedar Breaks NM,,6,,12,710,710,0,-16,0,694
Cedar Creek and Belle Grove NHP,,4,,4,904,904,0,-13,0,891
Chaco Culture NHP,,22,,32,"2,101","2,101",-3,-36,350,"2,412"
Chamizal NMem,,26,,27,"2,479","2,479",3,-51,249,"2,680"
Channel Islands NP,,59,,69,"7,579","7,579",0,-134,308,"7,753"
Charles Pinckney NHS,,5,,6,552,552,1,-10,0,543
Chattahoochee River NRA,,32,,39,"3,451","3,451",3,-59,416,"3,811"
Chesapeake & Ohio Canal NHP,,103,,126,"10,597","10,493",4,-205,0,"10,292"
Chickamauga & Chattanooga NMP,,34,,46,"3,486","3,486",3,-63,0,"3,426"
Chickasaw NRA,,44,,50,"4,016","4,016",4,-86,0,"3,934"
Chiricahua NM & Fort Bowie NHS,,17,,19,"1,841","1,841",1,-36,217,"2,023"
Christiansted NHS & Buck Island Reef NM,,17,,17,"1,891","1,835",23,-36,290,"2,112"
City of Rocks NRes,,0,,0,482,482,0,-17,0,465
Clara Barton NHS,,5,,5,754,754,0,-12,0,742
Colonial NHP,,71,,78,"7,069","7,012",3,-139,0,"6,876"
Colorado NM,,20,,42,"1,943","1,943",0,-35,0,"1,908"
Congaree NP,,16,,19,"1,935","1,935",1,-35,0,"1,901"
Coronado NMem,,17,,18,"1,797","1,797",0,-36,0,"1,761"
Cowpens NB,,9,,10,860,860,1,-18,0,843
Crater Lake NP,,58,,88,"5,530","5,530",3,-116,0,"5,417"
Craters of the Moon NM&Pres,,19,,23,"1,654","1,654",2,-48,326,"1,934"
Cumberland Gap NHP,,37,,55,"3,689","3,619",4,-83,0,"3,540"
