Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10
,,PARK AND PROGRAM SUMMARY,,,,,,,
,,FY 2013 PRESIDENT'S REQUEST ($000),,,,,,,
,,FY 2010,,FY 2010,,FY 2012,FY 2013,FY 2013,FY 2013
OPERATION OF THE NATIONAL PARK SYSTEM,,Park Base,,Total,FY 2011,Adjusted,Fixed Costs and,Program,President's
,FTE,1,FTE,2,Final^{3},Enacted,Related Changes,Changes,Request
,,National Park Service Park Units,,,,,,,
Abraham Lincoln Birthplace NHS,,15,,15,"1,343","1,319",9,0,"1,328"
Acadia NP,,83,,133,"8,008","7,866",71,0,"7,937"
Adams NHP,,33,,41,"3,381","2,442",29,0,"2,471"
African Burial Grounds NM,,8,,8,"2,005","1,969",7,0,"1,976"
Agate Fossil Beds NM,,10,,10,937,923,7,0,930
Allegheny Portage Railroad NHS,,25,,27,"2,109","2,075",22,0,"2,097"
Amistad NRA,,35,,39,"4,030","3,964",32,0,"3,996"
Andersonville NHS,,18,,18,"1,459","1,436",16,0,"1,452"
Andrew Johnson NHS,,12,,12,992,975,9,0,984
Antietam NB,,41,,57,"3,531","3,473",42,0,"3,515"
Apostle Islands NL,,31,,43,"3,049","2,998",30,0,"3,028"
Appalachian NST,,9,,9,"1,513","1,538",12,0,"1,550"
Appomattox Court House NHP,,23,,24,"1,806","1,777",19,0,"1,796"
Arches NP,,19,,31,"1,949","1,917",18,0,"1,935"
Arkansas Post NMem,,11,,12,879,865,9,0,874
Arlington House,,15,,16,"1,082","1,063",11,0,"1,074"
Assateague Island NS,,47,,78,"5,396","5,304",42,0,"5,346"
Aztec Ruins NM,,15,,23,"1,228","1,208",11,0,"1,219"
Badlands NP,,45,,71,"4,410","4,337",40,0,"4,377"
Baltimore-Washington Parkway,,12,,12,"1,617","1,591",14,0,"1,605"
Bandelier NM,,35,,73,"3,287","3,233",30,0,"3,263"
Bent's Old Fort NHS,,14,,17,"1,218","1,198",12,0,"1,210"
Big Bend NP,,78,,111,"7,199","6,989",68,0,"7,057"
Big Cypress NPres,,67,,94,"6,786","6,674",60,0,"6,734"
Big Hole NB,,8,,9,618,608,7,0,615
Big South Fork National River & Recreation Area,,49,,63,"4,502","4,434",45,0,"4,479"
Big Thicket NPres,,20,,34,"2,628","2,587",21,0,"2,608"
Bighorn Canyon NRA,,33,,49,"3,605","3,546",32,0,"3,578"
Biscayne NP,,40,,49,"4,323","4,254",43,0,"4,297"
Black Canyon of the Gunnison NP,,18,,23,"1,678","1,647",16,0,"1,663"
Blue Ridge Parkway,,179,,218,"16,165","15,806",172,0,"15,978"
Bluestone NSR,,0,,0,76,75,0,0,75
Booker T Washington NM,,11,,11,965,950,11,0,961
,,FY 2010,,FY 2010,,FY 2012,FY 2013,FY 2013,FY 2013
