Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8
,,,,,Fixed,,
,2013,2013,,2014,Cos ts and,,
OPERATION OF THE NATIONAL PARK S YS TEM,Park Bas e,Total,2013,Enacted,Internal,Program,2015
,FTE^{1},FTE^{2},Final^{3},(Ops Pl an)^{3},Trans fers,Changes,Reques t
National Park S ervice Park Units,,,,,,,
A braham Lincoln Birthplace NHS,15,16,"1,239","1,306",10,0,"1,316"
A cadia NP,74,130,"7,391","7,837",61,140,"8,038"
A d ams NHP,23,24,"2,295","2,406",17,0,"2,423"
A frican Burial Grounds NM,6,6,"1,850","1,946",3,0,"1,949"
A g ate Fos s il Beds NM,9,9,867,914,6,0,920
A llegheny Portage Railroad NHS,22,22,"1,950","2,054",16,0,"2,070"
A mis t ad NRA,38,43,"3,725","3,994",30,0,"4,024"
A nders onville NHS,16,16,"1,349","1,422",12,0,"1,434"
A ndrew Johns on NHS,11,11,916,965,8,0,973
A ntietam NB,37,46,"3,264","3,438",31,0,"3,469"
A pos tle Is lands NL,30,39,"2,818","2,968",26,0,"2,994"
A ppalach ian NST,9,9,"1,445","1,523",10,0,"1,533"
A ppomattox Court Hous e NHP,21,22,"1,670","1,759",15,0,"1,774"
A rch es NP,18,28,"1,802","1,898",16,0,"1,914"
A rkans as Po s t NMem,10,10,813,856,8,0,864
A s s ateag u e Is lan d NS,39,74,"4,984","5,251",32,0,"5,283"
A ztec Ruins NM,16,21,"1,136","1,196",10,0,"1,206"
Badlands NP,42,69,"4,075","4,294",34,0,"4,328"
Ban delier NM,29,61,"3,039","3,201",26,43,"3,270"
Ben t 's Old Fo rt NHS,15,16,"1,126","1,186",10,0,"1,196"
Big Bend NP,72,100,"6,568","6,939",52,28,"7,019"
Big Cypres s NPres,64,84,"6,272","6,607",53,0,"6,660"
Big Ho le NB,7,8,571,602,5,0,607
Big South Fork National River & Recreation A rea,46,57,"4,167","4,390",35,0,"4,425"
Big Th icket NPres,19,30,"2,432","2,561",16,29,"2,606"
Bighorn Canyon NRA,30,44,"3,332","3,601",25,0,"3,626"
Bis cay ne NP,36,40,"3,997","4,211",34,0,"4,245"
Black Canyon of the Gunnis on NP,15,19,"1,548","1,751",14,0,"1,765"
Blue Ridg e Parkway,152,183,"14,852","15,649",125,191,"15,965"
Blues tone NSR,0,0,70,74,1,0,75
Booker T W as hington NM,10,10,893,941,8,0,949
,,,,,Fixed,,
,2013,2013,,2014,Cos ts and,,
OPERATION OF THE NATIONAL PARK S YS TEM,Park B as e,Total,2013,Enacted,Internal,Prog ram,2015
,FTE^{1},FTE^{2},Final^{3},(Ops Plan)^{3},Trans fers,Changes,Reques t
Bos ton African American NHS,9,9,737,777,5,0,782
Bos ton Harbor Is lands NRA,13,14,"1,110","1,369",9,0,"1,378"
Bos ton NHP,85,93,"9,084","9,134",72,0,"9,206"
