"Column1","Column2","Column3","Column4","Column5","Column6","Column7","Column8","Column9","Column10","Column11"
"","","FY 2016 PARK AND PROGRAM SUMMARY ($000)","","","","","","","",""
"","","","","","","","Fixed","","",""
"","","FY 2014","","FY 2014","","FY 2015","Costs and","","FY 2016",""
"","","Park Base","","Total","FY 2014","Enacted","Internal","Program","President's",""
"OPERATION OF THE NATIONAL PARK SYSTEM","FTE","1","FTE","2","Final^{3}","(Ops Plan)^{3}","Transfers","Changes","Request",""
"National Park Service Park Units","","","","","","","","","",""
"Abraham Lincoln Birthplace NHS","","16","","16","1,306","1,327","20","0","1,347",""
"Acadia NP","","72","","132","7,787","8,022","108","0","8,130",""
"Adams NHP","","23","","24","2,406","2,475","32","0","2,507",""
"African Burial Grounds NM","","5","","6","1,946","1,977","11","0","1,988",""
"Agate Fossil Beds NM","","9","","9","914","918","12","0","930",""
"Allegheny Portage Railroad NHS","","20","","21","2,054","2,065","30","0","2,095",""
"Amistad NRA","","34","","38","3,994","4,079","51","0","4,130",""
"Andersonville NHS","","15","","15","1,422","1,444","21","0","1,465",""
"Andrew Johnson NHS","","11","","11","965","971","14","0","985",""
"Antietam NB","","33","","40","3,438","3,508","54","0","3,562",""
"Apostle Islands NL","","30","","41","2,968","2,986","49","0","3,035",""
"Appalachian NST","","0","","8","1,523","1,559","18","0","1,577",""
"Appomattox Court House NHP","","20","","21","1,759","1,804","27","0","1,831",""
"Arches NP","","17","","27","1,898","1,938","27","0","1,965",""
"Arkansas Post NMem","","10","","10","856","862","12","0","874",""
"Assateague Island NS","","43","","73","5,251","5,343","62","0","5,405",""
"Aztec Ruins NM","","14","","19","1,196","1,274","17","0","1,291",""
"Badlands NP","","40","","60","4,294","4,317","57","38","4,412",""
"Bandelier NM","","29","","51","3,201","3,262","45","0","3,307",""
"Bent's Old Fort NHS","","14","","17","1,186","1,225","17","0","1,242",""
"Big Bend NP","","71","","98","6,939","7,003","95","160","7,258",""
"Big Cypress NPres","","60","","82","6,607","6,740","95","0","6,835",""
"Big Hole NB","","7","","8","602","605","8","0","613",""
"Big South Fork National River & Recreation Area","","47","","58","4,390","4,445","65","0","4,510",""
"Big Thicket NPres","","22","","31","2,561","2,601","32","0","2,633",""
"Bighorn Canyon NRA","","30","","39","3,601","3,618","44","0","3,662",""
"Biscayne NP","","31","","33","4,211","4,234","57","0","4,291",""
"Black Canyon of the Gunnison NP","","14","","19","1,751","1,779","26","73","1,878",""
"","","","","","","","","Fixed","",""
"","","FY 2014","","FY 2014","","FY 2015","Costs and","","FY 2016",""
"","","Park Base","","Total","FY 2014","Enacted","Internal","Program","President's",""
"OPERATION OF THE NATIONAL PARK SYSTEM","FTE","1","FTE","2","Final^{3}","(Ops Plan)^{3}","Transfers","Changes","Request",""
"National Park Service Park Units","","","","","","","","","",""
"Blackstone River Valley NHP","","0","","0","0","273","654","0","927",""
"Blue Ridge Parkway","","152","","181","15,649","15,926","227","0","16,153",""
"Bluestone NSR","","0","","0","74","75","1","0","76",""
"Booker T Washington NM","","10","","10","941","965","15","0","980",""
"Boston African American NHS","","7","","7","777","780","11","0","791",""
"Boston Harbor Islands NRA","","13","","14","1,369","1,404","17","0","1,421",""
"Boston NHP","","79","","90","9,134","9,284","123","0","9,407",""
"Brown v. Board of Education NHS","","15","","16","1,573","1,581","20","0","1,601",""
"Bryce Canyon NP","","30","","60","3,232","3,279","44","0","3,323",""
