Column1,FY 2017 PARK AND PROGRAM SUMMARY ($000),Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column2,Column11
,FY 2015,,,,,FY 2016,Fixed Costs,,,,
,Park Base,,,FY 2015,FY 2015,Enacted,and Internal,Program,FY 2017,,
OPERATION OF THE NATIONAL PARK SYSTEM,FTE,1,Total FTE,2,Final^{7},(Ops Plan)^{7},Transfers,Changes,Request,,
National Park Service Park Units,,,,,,,,,,,
Abraham Lincoln Birthplace NHS,15,,,16,"1,327","1,376",9,0,"1,385",,
Acadia NP,73,,,138,"7,994","8,144",50,0,"8,194",,
Adams NHP,22,,,23,"2,447","2,511",15,3,"2,529",,
African Burial Grounds NM,5,,,6,"1,977","1,985",6,1,"1,992",,
Agate Fossil Beds NM,8,,,9,918,937,6,0,943,,
Allegheny Portage Railroad NHS,20,,,22,"2,065","2,102",13,0,"2,115",,
Amistad NRA,34,,,37,"4,079","4,140",21,0,"4,161",,
Andersonville NHS,12,,,12,"1,444","1,471",9,0,"1,480",,
Andrew Johnson NHS,9,,,9,971,984,7,0,991,,
Antietam NB,32,,,38,"3,493","3,555",24,8,"3,587",,
Apostle Islands NL,29,,,42,"2,986","3,045",21,0,"3,066",,
Appalachian NST,0,,,7,"1,559","1,575",8,3,"1,586",,
Appomattox Court House NHP,20,,,21,"1,804","1,843",13,0,"1,856",,
Arches NP,15,,,24,"1,938","1,972",12,0,"1,984",,
Arkansas Post NMem,10,,,10,862,875,7,0,882,,
Assateague Island NS,39,,,73,"5,343","5,421",25,1,"5,447",,
Aztec Ruins NM,14,,,21,"1,274","1,294",8,0,"1,302",,
Badlands NP,37,,,59,"4,317","4,424",24,0,"4,448",,
Bandelier NM,24,,,45,"3,262","3,304",17,0,"3,321",,
Bent's Old Fort NHS,14,,,17,"1,225","1,248",10,0,"1,258",,
Big Bend NP,68,,,93,"7,003","7,272",42,0,"7,314",,
Big Cypress NPres,57,,,81,"6,740","6,860",41,0,"6,901",,
Big Hole NB,7,,,7,605,615,5,0,620,,
Big South Fork National River & Recreation Area,47,,,57,"4,445","4,551",29,0,"4,580",,
Big Thicket NPres,23,,,34,"2,601","2,642",16,0,"2,658",,
Bighorn Canyon NRA,28,,,37,"3,618","3,671",22,1,"3,694",,
Biscayne NP,33,,,36,"4,234","4,280",28,5,"4,313",,
Black Canyon of the Gunnison NP,15,,,19,"1,779","1,905",12,0,"1,917",,
Blackstone River Valley NHP,3,,,3,273,929,2,1,932,,
Blue Ridge Parkway,146,,,182,"15,926","16,220",102,0,"16,322",,
Bluestone NSR,0,,,0,75,76,1,0,77,,
Booker T Washington NM,9,,,9,965,976,6,0,982,,
,FY 2015,,,,,FY 2016,Fixed Costs,,,,
OPERATION OF THE NATIONAL PARK SYSTEM,Park Base,,,FY 2015,FY 2015,Enacted,and Internal,Program,FY 2017,,
,1,,Total FTE,2,Final^{7},(Ops Plan)^{7},Transfers,Changes,Request,,
National Park Service Park Units,,,,,,,,,,,
Boston African American NHS,6,,,6,780,796,6,1,803,,
Boston Harbor Islands NRA,13,,,13,"1,264","1,307",7,2,"1,316",,
Boston NHP,77,,,84,"9,256","9,377",53,12,"9,442",,
Brown v. Board of Education NHS,16,,,16,"1,581","1,612",10,0,"1,622",,
Bryce Canyon NP,26,,,55,"3,279","3,329",19,0,"3,348",,
Buffalo NR,60,,,85,"5,942","6,019",40,0,"6,059",,
Cabrillo NM,16,,,21,"1,679","1,698",12,5,"1,715",,
Canaveral NS,30,,,44,"3,181","3,243",20,3,"3,266",,
Cane River Creole NHP,10,,,11,"1,130","1,150",8,0,"1,158",,
Canyon de Chelly NM,19,,,22,"1,977","2,012",14,0,"2,026",,
Canyonlands NP,62,,,90,"6,237","6,328",39,1,"6,368",,
Cape Cod NS,59,,,100,"7,615","7,728",48,12,"7,788",,
"Cape Hatteras Group - Cape Hatteras NS, Fort Raleigh NHS, Wright",,,,,,,,,,,
Brothers NMem,76,,,128,"9,660","9,799",52,0,"9,851",,
Cape Lookout NS,22,,,38,"2,506","2,552",15,0,"2,567",,
Capitol Reef NP,24,,,32,"2,357","2,397",17,0,"2,414",,
Capulin Volcano NM,10,,,11,741,752,6,0,758,,
Carl Sandburg Home NHS,11,,,14,"1,236","1,251",7,0,"1,258",,
Carlsbad Caverns NP,50,,,63,"5,719","5,819",30,0,"5,849",,
Casa Grande Ruins NM & Hohokam Pima NM,8,,,11,838,849,5,1,855,,
Castillo de San Marcos NM & Fort Matanzas NM,19,,,43,"2,098","2,116",14,0,"2,130",,
Catoctin Mountain Park,26,,,28,"3,340","3,379",21,6,"3,406",,
Cedar Breaks NM,6,,,11,681,688,4,0,692,,
Cedar Creek and Belle Grove NHP,6,,,6,876,889,5,2,896,,
C?sar E. Ch?vez NM,0,,,0,369,369,3,0,372,,
Chaco Culture NHP,21,,,27,"2,021","2,058",14,1,"2,073",,
Chamizal NMem,21,,,21,"2,393","2,420",14,0,"2,434",,
Channel Islands NP,64,,,73,"7,331","7,456",51,15,"7,522",,
Charles Pinckney NHS,3,,,5,535,543,2,0,545,,
Charles Young Buffalo Soldiers NM,1,,,1,209,510,3,151,664,,
Chattahoochee River NRA,29,,,36,"3,468","3,528",21,4,"3,553",,
Chesapeake & Ohio Canal NHP,70,,,76,"9,396","9,502",56,19,"9,577",,
Chickamauga & Chattanooga NMP,29,,,30,"3,366","3,406",21,0,"3,427",,
Chickasaw NRA,37,,,43,"3,850","3,914",23,0,"3,937",,
Chiricahua NM & Fort Bowie NHS,18,,,25,"1,758","1,789",11,0,"1,800",,
OPERATION OF THE NATIONAL PARK SYSTEM,Park Base,,,FY 2015,FY 2015,Enacted,and Internal,Program,FY 2017,,
,FTE,1,Total FTE,2,Final^{7},(Ops Plan)^{7},Transfers,Changes,Request,,
National Park Service Park Units,,,,,,,,,,,
"Christiansted NHS, Buck Island Reef NM, & Salt River Bay NHP &",,,,,,,,,,,
Ecological Preserve,17,,,17,"2,616","2,644",13,5,"2,662",,
City of Rocks NRes,0,,,0,454,454,0,0,454,,
Colonial NHP,64,,,68,"6,753","6,864",42,0,"6,906",,
Colorado NM,17,,,31,"1,890","1,928",12,0,"1,940",,
Coltsville NHP^{3},0,,,0,0,180,0,0,180,,
Congaree NP,16,,,16,"1,869","1,890",11,0,"1,901",,
Coronado NMem,14,,,16,"1,746","1,769",10,0,"1,779",,
Cowpens NB,10,,,11,864,883,7,1,891,,
Crater Lake NP,51,,,73,"5,348","5,452",37,0,"5,489",,
Craters of the Moon NM&Pres,14,,,19,"1,584","1,620",10,0,"1,630",,
Cumberland Gap NHP,32,,,42,"3,497","3,537",21,0,"3,558",,
Cumberland Island NS,18,,,25,"2,604","2,974",14,0,"2,988",,
Curecanti NRA,40,,,52,"4,077","4,355",25,0,"4,380",,
Cuyahoga Valley NP,95,,,112,"10,825","11,035",69,8,"11,112",,
