"OPERATION OF THE NATIONAL PARK SYSTEM
ORGANIZATIONS","FY 2018
Park Base
FTE^{1}","FY 2018
Total FTE^{2}","FY 2018
Final^{7}","FY 2019
CR
Baseline","FY 2020
Fixed Costs
& Internal
Transfers","FY 2020
Program
Changes","FY 2020
Request"
"PARK BASE UNITS
Parks","","","","","","",""
"Abraham Lincoln Birthplace NHS","11","11","1376","1370","10","-58","1322"
"Acadia NP","69","145","8288","8224","46","-350","7920"
"Adams NHP","21","24","2553","2541","12","-108","2445"
"African Burial Grounds NM","9","9","2002","1995","-607","-84","1304"
"Agate Fossil Beds NM","8","8","943","938","5","-40","903"
"Allegheny Portage Railroad NHS","15","17","2135","2123","11","-90","2044"
"Amistad NRA","32","34","4204","4184","22","-177","4029"
"Andersonville NHS","13","13","1489","1483","8","-63","1428"
"Andrew Johnson NHS","9","10","1006","1001","6","-42","965"
"Antietam NB","28","33","3624","3606","20","-153","3473"
"Apostle Islands NL","29","39","3084","3066","18","-130","2954"
"Appalachian NST","9","9","1593","1586","5","-67","1524"
"Appomattox Court House NHP","19","21","1877","1866","13","-79","1800"
"Arches NP","11","29","2006","1994","7","-85","1916"
"Arkansas Post NMem","9","10","889","885","6","-37","854"
"Assateague Island NS","33","62","5493","5461","22","-232","5251"
"Aztec Ruins NM","14","20","1317","1308","8","-56","1260"
"Badlands NP","34","53","4563","4538","25","-192","4371"
"Bandelier NM","28","49","3356","3331","20","-142","3209"
"Bent's Old Fort NHS","15","17","1264","1257","10","-53","1214"
"Big Bend NP","67","88","7388","7345","43","-312","7076"
"Big Cypress NPres","53","79","6968","6925","37","-294","6668"
"Big Hole NB","7","7","626","622","1","-26","597"
"Big South Fork National River & Recreation Area","46","56","4604","4575","28","-194","4409"
"Big Thicket NPres","22","30","2685","2672","13","-111","2574"
"Bighorn Canyon NRA","32","39","3733","3712","20","-157","3575"
"Birmingham Civil Rights NM","0","0","180","180","1","133","314"
"Biscayne NP","30","37","4380","4360","21","-185","4196"
"Black Canyon of the Gunnison NP","15","20","1937","1926","10","-82","1854"
"Blackstone River Valley NHP","3","3","937","934","2","-40","896"
"Blue Ridge Parkway","143","171","16514","16427","91","-696","15822"
"Bluestone NSR","0","0","78","78","0","-3","75"
"Booker T Washington NM","8","8","992","987","5","-42","950"
"Boston African American NHS","6","6","811","808","3","-34","777"
"Boston Harbor Islands NRA","16","17","1270","1263","10","-54","1219"
"Boston NHP","77","84","9539","9495","46","-402","9139"
"Brown v. Board of Education NHS","11","11","1626","1618","8","-69","1557"
"Bryce Canyon NP","28","53","3384","3361","16","-143","3234"
"Buffalo NR","58","75","6018","5982","38","-254","5766"
"Cabrillo NM","11","17","1737","1725","10","-73","1662"
"Camp Nelson NM","0","0","0","0","0","180","180"
"Canaveral NS","27","41","3293","3272","20","-139","3153"
"Cane River Creole NHP","10","11","1169","1163","7","-49","1121"
"Canyonlands NP","60","102","6443","6399","40","-272","6167"
"Cape Cod NS","57","86","7874","7827","36","-332","7531"
"Cape Hatteras Group - Cape Hatteras NS, Fort Raleigh NHS, Wright Brothers
NMem","68","115","9966","9905","48","-420","9533"
"Cape Lookout NS","21","33","2589","2573","13","-109","2477"
"Capitol Reef NP","21","27","2442","2427","15","-103","2339"
"Capulin Volcano NM","9","10","761","757","5","-32","730"
"Carl Sandburg Home NHS","9","10","1281","1276","6","-54","1228"
"Carlsbad Caverns NP","42","53","5903","5874","27","-249","5652"
"Casa Grande Ruins NM & Hohokam Pima NM","7","11","864","860","5","-36","829"
"Castillo de San Marcos NM & Fort Matanzas NM","17","43","2157","2137","12","-91","2058"
"Castle Mountains NM","0","0","180","180","1","231","412"
"Catoctin Mountain Park","26","28","3461","3444","17","-146","3315"
"Cedar Breaks NM","7","13","699","694","5","-29","670"
"Cedar Creek and Belle Grove NHP","7","7","905","901","-14","-38","849"
"César E. Chávez NM","0","0","374","373","1","95","469"
"Chaco Culture NHP","16","22","2094","2082","13","-88","2007"
"Chamizal NMem","23","23","2462","2449","15","-104","2360"
"Channel Islands NP","53","57","7682","7647","36","-324","7359"
"Charles Pinckney NHS","2","2","559","557","3","-24","536"
"Charles Young Buffalo Soldiers NM","6","6","666","664","2","-28","638"
"Chattahoochee River NRA","25","32","3589","3570","18","-151","3437"
"Chesapeake & Ohio Canal NHP","65","73","9707","9664","-192","-409","9063"
"Chickamauga & Chattanooga NMP","27","28","3471","3454","18","-146","3326"
"Chickasaw NRA","34","40","3983","3962","25","-168","3819"
"Christiansted NHS, Buck Island Reef NM, & Salt River Bay NHP & Ecological
Preserve","17","17","2689","2679","11","-113","2577"
"City of Rocks NRes","0","0","454","453","0","-19","434"
"Colonial NHP","52","56","6974","6940","37","-294","6683"
"Colorado NM","17","37","1963","1948","10","-83","1875"
