OrganizationIdentifier,OrganizationFormalName,MonitoringLocationIdentifier,MonitoringLocationName,MonitoringLocationTypeName,MonitoringLocationDescriptionText,HUCEightDigitCode,DrainageAreaMeasure/MeasureValue,DrainageAreaMeasure/MeasureUnitCode,ContributingDrainageAreaMeasure/MeasureValue,ContributingDrainageAreaMeasure/MeasureUnitCode,LatitudeMeasure,LongitudeMeasure,SourceMapScaleNumeric,HorizontalAccuracyMeasure/MeasureValue,HorizontalAccuracyMeasure/MeasureUnitCode,HorizontalCollectionMethodName,HorizontalCoordinateReferenceSystemDatumName,VerticalMeasure/MeasureValue,VerticalMeasure/MeasureUnitCode,VerticalAccuracyMeasure/MeasureValue,VerticalAccuracyMeasure/MeasureUnitCode,VerticalCollectionMethodName,VerticalCoordinateReferenceSystemDatumName,CountryCode,StateCode,CountyCode,AquiferName,LocalAqfrName,FormationTypeText,AquiferTypeName,ConstructionDateText,WellDepthMeasure/MeasureValue,WellDepthMeasure/MeasureUnitCode,WellHoleDepthMeasure/MeasureValue,WellHoleDepthMeasure/MeasureUnitCode,ProviderName
USGS-ME,USGS Maine Water Science Center,USGS-01022800,"Old Mill Brook at Old Norway Dr nr Bar Harbor, ME",Stream,,01050002,1.61,sq mi,1.61,sq mi,44.39850278000000,-68.2877277800000,24000,.5,seconds,Interpolated from Digital MAP.,NAD83,900,feet,15,feet,Interpolated from topographic map.,NGVD29,US,23,009,,,,,,,,,,NWIS
USGS-ME,USGS Maine Water Science Center,USGS-01022805,"Old Mill Brk bl Crooked Rd nr Bar Harbor, Maine",Stream,,01050002,2.64,sq mi,2.64,sq mi,44.41416667000000,-68.2952777800000,24000,1,seconds,Interpolated from Digital MAP.,NAD83,7,feet,4.3,feet,Interpolated from Digital Elevation Model,NAVD88,US,23,009,,,,,,,,,,NWIS
USGS-ME,USGS Maine Water Science Center,USGS-01022809,"Stony Brook above Hamilton Pond nr Bar Harbor, ME",Stream,,01050002,2.58,sq mi,2.58,sq mi,44.42602778000000,-68.2833056000000,24000,.1,seconds,Differentially corrected Global Positioning System.,NAD83,30,feet,5,feet,Interpolated from topographic map.,NGVD29,US,23,009,,,,,,,,,,NWIS
USGS-ME,USGS Maine Water Science Center,USGS-01022810,"Stony Brook below Hamilton Pond nr Bar Harbor, ME",Stream,,01050002,2.86,sq mi,2.86,sq mi,44.42452296000000,-68.2909882000000,24000,.5,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,18,feet,10,feet,Interpolated from topographic map.,NGVD29,US,23,009,,,,,,,,,,NWIS
USGS-ME,USGS Maine Water Science Center,USGS-01022815,"Aunt Betseys Brook near Bar Harbor, ME",Stream,,01050002,0.78,sq mi,0.78,sq mi,44.40618970000000,-68.3190444000000,24000,.5,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,20,feet,10,feet,Interpolated from topographic map.,NGVD29,US,23,009,,,,,,,,,,NWIS
USGS-ME,USGS Maine Water Science Center,USGS-01022817,"French Hill Brook near Bar Harbor, ME",Stream,,01050002,0.50,sq mi,0.50,sq mi,44.40646750000000,-68.3116832000000,24000,1,seconds,Interpolated from MAP.,NAD83,20,feet,10,feet,Interpolated from topographic map.,NGVD29,US,23,009,,,,,,,,,,NWIS
11NPSWRD_WQX,National Park Service Water Resources Division,11NPSWRD_WQX-NETN_ACAD_12,Lake Wood,Lake,,01050002,,,,,44.4078000000,-68.2684000000,0,,,Interpolation-Other,NAD83,41.4528,m,,,Topographic Map Interpolation,UNKWN,US,23,009,,,,,,,,,,STORET
11NPSWRD_WQX,National Park Service Water Resources Division,11NPSWRD_WQX-NETN_ACAD_14,Bubble Pond,Lake,,01050002,,,,,44.3451000000,-68.2389000000,0,,,Interpolation-Other,NAD83,100.8888,m,,,Topographic Map Interpolation,UNKWN,US,23,009,,,,,,,,,,STORET
11NPSWRD_WQX,National Park Service Water Resources Division,11NPSWRD_WQX-NETN_ACAD_15,The Bowl,Lake,,01050002,,,,,44.3372000000,-68.1933000000,0,,,Interpolation-Other,NAD83,124.968,m,,,Topographic Map Interpolation,UNKWN,US,23,009,,,,,,,,,,STORET
11NPSWRD_WQX,National Park Service Water Resources Division,11NPSWRD_WQX-NETN_ACAD_17,Witch Hole Pond,Lake,,01050002,,,,,44.4000000000,-68.2429000000,0,,,Interpolation-Other,NAD83,54.5592,m,,,Topographic Map Interpolation,UNKWN,US,23,009,,,,,,,,,,STORET
