OrganizationIdentifier,OrganizationFormalName,MonitoringLocationIdentifier,MonitoringLocationName,MonitoringLocationTypeName,MonitoringLocationDescriptionText,HUCEightDigitCode,DrainageAreaMeasure/MeasureValue,DrainageAreaMeasure/MeasureUnitCode,ContributingDrainageAreaMeasure/MeasureValue,ContributingDrainageAreaMeasure/MeasureUnitCode,LatitudeMeasure,LongitudeMeasure,SourceMapScaleNumeric,HorizontalAccuracyMeasure/MeasureValue,HorizontalAccuracyMeasure/MeasureUnitCode,HorizontalCollectionMethodName,HorizontalCoordinateReferenceSystemDatumName,VerticalMeasure/MeasureValue,VerticalMeasure/MeasureUnitCode,VerticalAccuracyMeasure/MeasureValue,VerticalAccuracyMeasure/MeasureUnitCode,VerticalCollectionMethodName,VerticalCoordinateReferenceSystemDatumName,CountryCode,StateCode,CountyCode,AquiferName,LocalAqfrName,FormationTypeText,AquiferTypeName,ConstructionDateText,WellDepthMeasure/MeasureValue,WellDepthMeasure/MeasureUnitCode,WellHoleDepthMeasure/MeasureValue,WellHoleDepthMeasure/MeasureUnitCode,ProviderName
USGS-UT,USGS Utah Water Science Center,USGS-09182400,"CASTLE CREEK BELOW CASTLE VALLEY NEAR MOAB, UT",Stream,,14030005,58.1,sq mi,,,38.67387120000000,-109.4501174000000,24000,1,seconds,Interpolated from MAP.,NAD83,4120,feet,20,feet,Interpolated from topographic map.,NGVD29,US,49,019,,,,,,,,,,NWIS
USGS-UT,USGS Utah Water Science Center,USGS-09182500,"CASTLE CREEK NEAR MOAB, UTAH",Stream,,14030005,53.10,sq mi,,,38.67914895000000,-109.4492841000000,,5,seconds,Interpolated from MAP.,NAD83,4060.00,feet,20,feet,Interpolated from topographic map.,NGVD29,US,49,019,,,,,,,,,,NWIS
USGS-UT,USGS Utah Water Science Center,USGS-09182880,"COLORADO RIVER AT HIGHWAY BRIDGE NR MOAB, UT",Stream,,14030005,,,,,38.60387050000000,-109.5778956000000,,5,seconds,Interpolated from MAP.,NAD83,,,,,,,US,49,019,,,,,,,,,,NWIS
USGS-UT,USGS Utah Water Science Center,USGS-383442109344801,"Colorado River at Matheson Wetlands nr Moab, UT",Stream,,14030005,,,,,38.57840000000000,-109.5799000000000,24000,1,seconds,Interpolated from MAP.,NAD83,3956,feet,4.3,feet,Interpolated from Digital Elevation Model,NAVD88,US,49,019,,,,,,,,,,NWIS
USGS-UT,USGS Utah Water Science Center,USGS-383444109345001,"COLORADO RIVER 0.5 MI ABV THE PORTAL, NR MOAB, UT",Stream,,14030005,,,,,38.57877500000000,-109.5805278000000,24000,.1,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,3951,feet,1.6,feet,Interpolated from Digital Elevation Model,NAVD88,US,49,019,,,,,,,,,,NWIS
USGS-UT,USGS Utah Water Science Center,USGS-383451109345603,(D-25-21)34ddc- 3,Well,,14030005,,,,,38.58097220000000,-109.5824722000000,24000,.1,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,3963.08,feet,.03,feet,Differentially corrected Global Positioning System.,NAVD88,US,49,019,Colorado Plateaus aquifers,,Quaternary Alluvium,,20030802,100.6,ft,103,ft,NWIS
USGS-UT,USGS Utah Water Science Center,USGS-383453109350501,"COLORADO RIVER 0.75 MI ABV THE PORTAL, NR MOAB, UT",Stream,,14030005,,,,,38.58143889000000,-109.5847667000000,24000,.1,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,3950,feet,1.6,feet,Interpolated from Digital Elevation Model,NAVD88,US,49,019,,,,,,,,,,NWIS
USGS-UT,USGS Utah Water Science Center,USGS-383454109335701,(D-25-21)35dca- 4,Well,,14030005,,,,,38.58194444000000,-109.5659444000000,24000,.1,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,3979.36,feet,.04,feet,Differentially corrected Global Positioning System.,NAVD88,US,49,019,Colorado Plateaus aquifers,,Quaternary Alluvium,,19960516,50,ft,50,ft,NWIS
USGS-UT,USGS Utah Water Science Center,USGS-383457109351001,"COLORADO RIVER 0.85 MI ABV THE PORTAL, NR MOAB, UT",Stream,,14030005,,,,,38.58246110000000,-109.5861111000000,24000,.1,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,3950,feet,1.6,feet,Interpolated from Digital Elevation Model,NAVD88,US,49,019,,,,,,,,,,NWIS
USGS-UT,USGS Utah Water Science Center,USGS-383510109335601,(D-25-21)35dab- 1,Well,,14030005,,,,,38.58611110000000,-109.5655556000000,24000,.1,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,3980,feet,20,feet,Interpolated from topographic map.,NGVD29,US,49,019,Alluvial aquifers,,Alluvium,,20050616,86,ft,86,ft,NWIS
USGS-UT,USGS Utah Water Science Center,USGS-383534109334001,(D-25-21)35aaa-S1,Spring,,14030005,,,,,38.59275967000000,-109.5617842000000,24000,1,seconds,Interpolated from MAP.,NAD83,4080.00,feet,20,feet,Interpolated from topographic map.,NGVD29,US,49,019,,,Wingate Sandstone of Glen Canyon Group,,,,,,,NWIS
USGS-UT,USGS Utah Water Science Center,USGS-383534109335001,Moab Ranch Springs Outflow,Stream: Ditch,,14030005,,,,,38.59277778000000,-109.5637778000000,24000,.1,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,4029,feet,4.3,feet,Interpolated from Digital Elevation Model,NAVD88,US,49,019,,,,,,,,,,NWIS
USGS-UT,USGS Utah Water Science Center,USGS-383537109303001,(D-25-22)32abb-S1,Spring,,14030005,,,,,38.59351667000000,-109.5084694000000,24000,.1,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,4320,feet,20,feet,Interpolated from topographic map.,NGVD29,US,49,019,Colorado Plateaus aquifers,,,,,,,,,NWIS
USGS-UT,USGS Utah Water Science Center,USGS-383545109335701,(D-25-21)26dca-S1,Spring,,14030005,,,,,38.59580556000000,-109.5658056000000,24000,.1,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,4057,feet,4.3,feet,Interpolated from Digital Elevation Model,NAVD88,US,49,019,,,,,,,,,,NWIS
USGS-UT,USGS Utah Water Science Center,USGS-383609109344101,(D-25-21)26bcc- 1,Well,,14030005,,,,,38.60263889000000,-109.5782778000000,24000,.1,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,3972.55,feet,.03,feet,Differentially corrected Global Positioning System.,NAVD88,US,49,019,Colorado Plateaus aquifers,,Quaternary Alluvium,,19950315,74,ft,74,ft,NWIS
USGS-UT,USGS Utah Water Science Center,USGS-383610109342201,(D-25-21)26bdc-S2,Spring,,14030005,,,,,38.60275945000000,-109.5734510000000,24000,1,seconds,Interpolated from MAP.,NAD83,4040,feet,20,feet,Interpolated from topographic map.,NGVD29,US,49,019,,,Wingate Sandstone of Glen Canyon Group,,,,,,,NWIS
USGS-UT,USGS Utah Water Science Center,USGS-383626109322401,Ice Box Canyon abv Colorado River,Stream,,14030005,,,,,38.60716667000000,-109.5398611000000,24000,.1,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,3975,feet,4.3,feet,Interpolated from Digital Elevation Model,NAVD88,US,49,019,,,,,,,,,,NWIS
USGS-UT,USGS Utah Water Science Center,USGS-383634109315901,Grandstaff Canyon abv Colorado River,Stream,,14030005,,,,,38.60938889000000,-109.5329444000000,24000,.1,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,3974,feet,4.3,feet,Interpolated from Digital Elevation Model,NAVD88,US,49,019,,,,,,,,,,NWIS
USGS-UT,USGS Utah Water Science Center,USGS-383646109344701,"Courthouse Wash ab Colorado River nr Moab, UT",Stream,,14030005,,,,,38.61277778000000,-109.5797222000000,,.5,seconds,Interpolated from MAP.,NAD83,3985,feet,5,feet,Interpolated from topographic map.,NAVD88,US,49,019,,,,,,,,,,NWIS
USGS-UT,USGS Utah Water Science Center,USGS-383655109364001,(D-25-21)21bcd- 1 formerly (D-25-21)21bdc- 1,Well,,14030005,,,,,38.61616667000000,-109.6125000000000,62500,.1,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,4080.,feet,40,feet,Interpolated from topographic map.,NGVD29,US,49,019,Colorado Plateaus aquifers,,Navajo Sandstone of Glen Canyon Group,Mixed (confined and unconfined) multiple aquifers,19780519,172,ft,172,ft,NWIS
