OrganizationIdentifier,OrganizationFormalName,MonitoringLocationIdentifier,MonitoringLocationName,MonitoringLocationTypeName,MonitoringLocationDescriptionText,HUCEightDigitCode,DrainageAreaMeasure/MeasureValue,DrainageAreaMeasure/MeasureUnitCode,ContributingDrainageAreaMeasure/MeasureValue,ContributingDrainageAreaMeasure/MeasureUnitCode,LatitudeMeasure,LongitudeMeasure,SourceMapScaleNumeric,HorizontalAccuracyMeasure/MeasureValue,HorizontalAccuracyMeasure/MeasureUnitCode,HorizontalCollectionMethodName,HorizontalCoordinateReferenceSystemDatumName,VerticalMeasure/MeasureValue,VerticalMeasure/MeasureUnitCode,VerticalAccuracyMeasure/MeasureValue,VerticalAccuracyMeasure/MeasureUnitCode,VerticalCollectionMethodName,VerticalCoordinateReferenceSystemDatumName,CountryCode,StateCode,CountyCode,AquiferName,LocalAqfrName,FormationTypeText,AquiferTypeName,ConstructionDateText,WellDepthMeasure/MeasureValue,WellDepthMeasure/MeasureUnitCode,WellHoleDepthMeasure/MeasureValue,WellHoleDepthMeasure/MeasureUnitCode,ProviderName
USGS-FL,USGS Florida Water Science Center,USGS-253457080195501,G  -3612,Well,,03090206,,,,,25.58316667000000,-80.3306111000000,,.1,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,8.1,feet,.1,feet,Unknown.,NGVD29,US,12,086,Biscayne aquifer,,Biscayne Limestone Aquifer,Unconfined single aquifer,19950919,62,ft,65,ft,NWIS
21FLDADE_WQX,Dade Environmental Resource Management (Florida),21FLDADE_WQX-BB36,Biscayne Bay,Estuary,,03090206,,,,,25.5999830000,-80.2362733000,0,Unknown,seconds,Interpolation-Photo,NAD83,,,,,,,US,12,086,,,,,,,,,,STORET
21FLDADE_WQX,Dade Environmental Resource Management (Florida),21FLDADE_WQX-BB37,Biscayne Bay,Estuary,,03090206,,,,,25.5706840000,-80.1917700000,0,Unknown,seconds,Interpolation-Photo,NAD83,,,,,,,US,12,086,,,,,,,,,,STORET
21FLDADE_WQX,Dade Environmental Resource Management (Florida),21FLDADE_WQX-BB38,Biscayne Bay,Estuary,,03090206,,,,,25.5196864000,-80.2393748000,0,Unknown,seconds,Interpolation-Photo,NAD83,,,,,,,US,12,086,,,,,,,,,,STORET
21FLDADE_WQX,Dade Environmental Resource Management (Florida),21FLDADE_WQX-BB39A,Biscayne Bay,Estuary,,03090206,,,,,25.5264328000,-80.3070577000,0,Unknown,seconds,Interpolation-Photo,NAD83,,,,,,,US,12,086,,,,,,,,,,STORET
21FLDADE_WQX,Dade Environmental Resource Management (Florida),21FLDADE_WQX-BB41,Biscayne Bay,Estuary,,03090206,,,,,25.4726881000,-80.2844755000,0,Unknown,seconds,Interpolation-Photo,NAD83,,,,,,,US,12,086,,,,,,,,,,STORET
21FLDADE_WQX,Dade Environmental Resource Management (Florida),21FLDADE_WQX-BB44,Biscayne Bay,Estuary,,03090206,,,,,25.4011904000,-80.2553746000,0,Unknown,seconds,Interpolation-Photo,NAD83,,,,,,,US,12,086,,,,,,,,,,STORET
21FLDADE_WQX,Dade Environmental Resource Management (Florida),21FLDADE_WQX-BB45,Biscayne Bay,Estuary,,03090206,,,,,25.3695913000,-80.2799748000,0,Unknown,seconds,Interpolation-Photo,NAD83,,,,,,,US,12,086,,,,,,,,,,STORET
21FLDADE_WQX,Dade Environmental Resource Management (Florida),21FLDADE_WQX-BB52,Biscayne Bay,Estuary,,03090206,,,,,25.5646092000,-80.3048453000,0,Unknown,seconds,Interpolation-Photo,NAD83,,,,,,,US,12,086,,,,,,,,,,STORET
21FLDADE_WQX,Dade Environmental Resource Management (Florida),21FLDADE_WQX-BB53,Biscayne Bay,Estuary,,03090206,,,,,25.5024831000,-80.3322834000,0,Unknown,seconds,Interpolation-Photo,NAD83,,,,,,,US,12,086,,,,,,,,,,STORET
