OrganizationIdentifier,OrganizationFormalName,ActivityIdentifier,ActivityTypeCode,ActivityMediaName,ActivityMediaSubdivisionName,ActivityStartDate,ActivityStartTime/Time,ActivityStartTime/TimeZoneCode,ActivityEndDate,ActivityEndTime/Time,ActivityEndTime/TimeZoneCode,ActivityRelativeDepthName,ActivityDepthHeightMeasure/MeasureValue,ActivityDepthHeightMeasure/MeasureUnitCode,ActivityDepthAltitudeReferencePointText,ActivityTopDepthHeightMeasure/MeasureValue,ActivityTopDepthHeightMeasure/MeasureUnitCode,ActivityBottomDepthHeightMeasure/MeasureValue,ActivityBottomDepthHeightMeasure/MeasureUnitCode,ProjectIdentifier,ProjectName,ActivityConductingOrganizationText,MonitoringLocationIdentifier,MonitoringLocationName,ActivityCommentText,SampleAquifer,HydrologicCondition,HydrologicEvent,ActivityLocation/LatitudeMeasure,ActivityLocation/LongitudeMeasure,SampleCollectionMethod/MethodIdentifier,SampleCollectionMethod/MethodIdentifierContext,SampleCollectionMethod/MethodName,SampleCollectionMethod/MethodDescriptionText,SampleCollectionEquipmentName,ResultIdentifier,ResultDetectionConditionText,MethodSpeciationName,CharacteristicName,ResultSampleFractionText,ResultMeasureValue,ResultMeasure/MeasureUnitCode,MeasureQualifierCode,ResultStatusIdentifier,StatisticalBaseCode,ResultValueTypeName,ResultWeightBasisText,ResultTimeBasisText,ResultTemperatureBasisText,ResultParticleSizeBasisText,DataQuality/PrecisionValue,DataQuality/BiasValue,DataQuality/ConfidenceIntervalValue,DataQuality/UpperConfidenceLimitValue,DataQuality/LowerConfidenceLimitValue,ResultCommentText,USGSPCode,ResultDepthHeightMeasure/MeasureValue,ResultDepthHeightMeasure/MeasureUnitCode,ResultDepthAltitudeReferencePointText,SubjectTaxonomicName,SampleTissueAnatomyName,BinaryObjectFileName,BinaryObjectFileTypeCode,ResultFileUrl,ResultAnalyticalMethod/MethodIdentifier,ResultAnalyticalMethod/MethodIdentifierContext,ResultAnalyticalMethod/MethodName,ResultAnalyticalMethod/MethodUrl,ResultAnalyticalMethod/MethodDescriptionText,LaboratoryName,AnalysisStartDate,ResultLaboratoryCommentText,ResultDetectionQuantitationLimitUrl,DetectionQuantitationLimitTypeName,DetectionQuantitationLimitMeasure/MeasureValue,DetectionQuantitationLimitMeasure/MeasureUnitCode,LabSamplePreparationUrl,LastUpdated,ProviderName
11NPSWRD_WQX,National Park Service Water Resources Division,11NPSWRD_WQX-BLCA_383418107471401201307300947_02,Sample-Routine,Water,,2013-07-30,09:47:00,MDT,,,,,,,,,,,,BLCA_CURE_WQ,Black Canyon of the Gunnison National Park and Curecanti National Recreation Area Water Quality Monitoring,,11NPSWRD_WQX-BLCA_383418107471401,"RED ROCK CANYON NEAR NPS BOUNDARY NEAR MONTROSE,CO",Organization ActivityID=BLCA_383418107471401201307300947,,,,38.5716523000,-107.7878374000,NPS_MISSING,11NPSWRD_WQX,Procedure not Required when Result was Entered into National Database,Specific field gear name added by NPSTORET.,Miscellaneous (Other),STORET-822918718,,as NO3,Nitrate,Dissolved,0.54649,mg/L,,Final,,Calculated,,,,,,,,,,,,,,,,,,,,USGS_NWIS_ALGOR,11NPSWRD_WQX,Computation by NWIS algorithm,,,"USGS-National Water Quality Lab, Denver, CO",,,,,,,,2020-01-31T17:42:46,STORET
11NPSWRD_WQX,National Park Service Water Resources Division,11NPSWRD_WQX-BLCA_383537107471500201307301240_02,Sample-Routine,Water,,2013-07-30,12:40:00,MDT,,,,,,,,,,,,BLCA_CURE_WQ,Black Canyon of the Gunnison National Park and Curecanti National Recreation Area Water Quality Monitoring,,11NPSWRD_WQX-BLCA_383537107471500,"RED ROCK CANYON AT MOUTH NEAR MONTROSE, CO",Organization ActivityID=BLCA_383537107471500201307301240,,,,38.5935966000,-107.7881153000,NPS_MISSING,11NPSWRD_WQX,Procedure not Required when Result was Entered into National Database,Specific field gear name added by NPSTORET.,Miscellaneous (Other),STORET-822920954,,as NO3,Nitrate,Dissolved,1.98533,mg/L,,Final,,Calculated,,,,,,,,,,,,,,,,,,,,USGS_NWIS_ALGOR,11NPSWRD_WQX,Computation by NWIS algorithm,,,"USGS-National Water Quality Lab, Denver, CO",,,,,,,,2020-01-31T17:43:24,STORET
11NPSWRD_WQX,National Park Service Water Resources Division,11NPSWRD_WQX-BLCA_383537107471500201307301240_02,Sample-Routine,Water,,2013-07-30,12:40:00,MDT,,,,,,,,,,,,BLCA_CURE_WQ,Black Canyon of the Gunnison National Park and Curecanti National Recreation Area Water Quality Monitoring,,11NPSWRD_WQX-BLCA_383537107471500,"RED ROCK CANYON AT MOUTH NEAR MONTROSE, CO",Organization ActivityID=BLCA_383537107471500201307301240,,,,38.5935966000,-107.7881153000,NPS_MISSING,11NPSWRD_WQX,Procedure not Required when Result was Entered into National Database,Specific field gear name added by NPSTORET.,Miscellaneous (Other),STORET-822920962,,,Selenium,Dissolved,113,ug/L,,Final,,Actual,,,,,,,,,,,,,,,,,,,,NPS_MISSING,11NPSWRD_WQX,Procedure not Required when Result Entered into National Database,,,"USGS-National Water Quality Lab, Denver, CO",,,,,,,,2020-01-31T17:43:24,STORET
11NPSWRD_WQX,National Park Service Water Resources Division,11NPSWRD_WQX-BLCA_383537107471500201307301240_02,Sample-Routine,Water,,2013-07-30,12:40:00,MDT,,,,,,,,,,,,BLCA_CURE_WQ,Black Canyon of the Gunnison National Park and Curecanti National Recreation Area Water Quality Monitoring,,11NPSWRD_WQX-BLCA_383537107471500,"RED ROCK CANYON AT MOUTH NEAR MONTROSE, CO",Organization ActivityID=BLCA_383537107471500201307301240,,,,38.5935966000,-107.7881153000,NPS_MISSING,11NPSWRD_WQX,Procedure not Required when Result was Entered into National Database,Specific field gear name added by NPSTORET.,Miscellaneous (Other),STORET-822920961,,,Manganese,Dissolved,13.8,ug/L,,Final,,Actual,,,,,,,,,,,,,,,,,,,,NPS_MISSING,11NPSWRD_WQX,Procedure not Required when Result Entered into National Database,,,"USGS-National Water Quality Lab, Denver, CO",,,,,,,,2020-01-31T17:43:24,STORET
11NPSWRD_WQX,National Park Service Water Resources Division,11NPSWRD_WQX-BLCA_383418107471401201307300947_02,Sample-Routine,Water,,2013-07-30,09:47:00,MDT,,,,,,,,,,,,BLCA_CURE_WQ,Black Canyon of the Gunnison National Park and Curecanti National Recreation Area Water Quality Monitoring,,11NPSWRD_WQX-BLCA_383418107471401,"RED ROCK CANYON NEAR NPS BOUNDARY NEAR MONTROSE,CO",Organization ActivityID=BLCA_383418107471401201307300947,,,,38.5716523000,-107.7878374000,NPS_MISSING,11NPSWRD_WQX,Procedure not Required when Result was Entered into National Database,Specific field gear name added by NPSTORET.,Miscellaneous (Other),STORET-822918723,,,Copper,Dissolved,1.01,ug/L,,Final,,Actual,,,,,,,,,,,,,,,,,,,,NPS_MISSING,11NPSWRD_WQX,Procedure not Required when Result Entered into National Database,,,"USGS-National Water Quality Lab, Denver, CO",,,,,,,,2020-01-31T17:42:46,STORET
11NPSWRD_WQX,National Park Service Water Resources Division,11NPSWRD_WQX-BLCA_383418107471401201307300947_02,Sample-Routine,Water,,2013-07-30,09:47:00,MDT,,,,,,,,,,,,BLCA_CURE_WQ,Black Canyon of the Gunnison National Park and Curecanti National Recreation Area Water Quality Monitoring,,11NPSWRD_WQX-BLCA_383418107471401,"RED ROCK CANYON NEAR NPS BOUNDARY NEAR MONTROSE,CO",Organization ActivityID=BLCA_383418107471401201307300947,,,,38.5716523000,-107.7878374000,NPS_MISSING,11NPSWRD_WQX,Procedure not Required when Result was Entered into National Database,Specific field gear name added by NPSTORET.,Miscellaneous (Other),STORET-822918733,Not Reported,as N,"Nitrogen, mixed forms (NH3), (NH4), organic, (NO2) and (NO3)",Dissolved,,mg/L,,Final,,Calculated,,,,,,,,,,,,,,,,,,,,I-2650-03,USDOI/USGS,"Nitrogen and Phosphorus, Dissolved, in water by Alkaline Persulfate Digestion",,https://www.nemi.gov/methods/method_summary/8885/,"USGS-National Water Quality Lab, Denver, CO",,,,,,,,2020-01-31T17:42:46,STORET
11NPSWRD_WQX,National Park Service Water Resources Division,11NPSWRD_WQX-BLCA_383537107471500201307301240_02,Sample-Routine,Water,,2013-07-30,12:40:00,MDT,,,,,,,,,,,,BLCA_CURE_WQ,Black Canyon of the Gunnison National Park and Curecanti National Recreation Area Water Quality Monitoring,,11NPSWRD_WQX-BLCA_383537107471500,"RED ROCK CANYON AT MOUTH NEAR MONTROSE, CO",Organization ActivityID=BLCA_383537107471500201307301240,,,,38.5935966000,-107.7881153000,NPS_MISSING,11NPSWRD_WQX,Procedure not Required when Result was Entered into National Database,Specific field gear name added by NPSTORET.,Miscellaneous (Other),STORET-822920951,,,Magnesium,Dissolved,54.6,mg/L,,Final,,Actual,,,,,,,,,,,,,,,,,,,,NPS_MISSING,11NPSWRD_WQX,Procedure not Required when Result Entered into National Database,,,"USGS-National Water Quality Lab, Denver, CO",,,,,,,,2020-01-31T17:43:24,STORET
11NPSWRD_WQX,National Park Service Water Resources Division,11NPSWRD_WQX-BLCA_383537107471500201307301240_01,Field Msr/Obs,Water,,2013-07-30,12:40:00,MDT,,,,,,,,,,,,BLCA_CURE_WQ,Black Canyon of the Gunnison National Park and Curecanti National Recreation Area Water Quality Monitoring,,11NPSWRD_WQX-BLCA_383537107471500,"RED ROCK CANYON AT MOUTH NEAR MONTROSE, CO",Organization ActivityID=BLCA_383537107471500201307301240,,,,38.5935966000,-107.7881153000,,,,,,STORET-822920948,,,"Temperature, water",,14.54,deg C,,Final,,Actual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020-01-31T17:43:24,STORET
11NPSWRD_WQX,National Park Service Water Resources Division,11NPSWRD_WQX-BLCA_383418107471401201307300947_02,Sample-Routine,Water,,2013-07-30,09:47:00,MDT,,,,,,,,,,,,BLCA_CURE_WQ,Black Canyon of the Gunnison National Park and Curecanti National Recreation Area Water Quality Monitoring,,11NPSWRD_WQX-BLCA_383418107471401,"RED ROCK CANYON NEAR NPS BOUNDARY NEAR MONTROSE,CO",Organization ActivityID=BLCA_383418107471401201307300947,,,,38.5716523000,-107.7878374000,NPS_MISSING,11NPSWRD_WQX,Procedure not Required when Result was Entered into National Database,Specific field gear name added by NPSTORET.,Miscellaneous (Other),STORET-822918720,,as N,Nitrite,Dissolved,0.00951,mg/L,,Final,,Actual,,,,,,,,,,,,,,,,,,,,NPS_MISSING,11NPSWRD_WQX,Procedure not Required when Result Entered into National Database,,,"USGS-National Water Quality Lab, Denver, CO",,,,,,,,2020-01-31T17:42:46,STORET
11NPSWRD_WQX,National Park Service Water Resources Division,11NPSWRD_WQX-BLCA_383418107471401201307300947_02,Sample-Routine,Water,,2013-07-30,09:47:00,MDT,,,,,,,,,,,,BLCA_CURE_WQ,Black Canyon of the Gunnison National Park and Curecanti National Recreation Area Water Quality Monitoring,,11NPSWRD_WQX-BLCA_383418107471401,"RED ROCK CANYON NEAR NPS BOUNDARY NEAR MONTROSE,CO",Organization ActivityID=BLCA_383418107471401201307300947,,,,38.5716523000,-107.7878374000,NPS_MISSING,11NPSWRD_WQX,Procedure not Required when Result was Entered into National Database,Specific field gear name added by NPSTORET.,Miscellaneous (Other),STORET-822918728,Not Detected,,Zinc,Dissolved,,ug/L,,Final,,Actual,,,,,,,,,,<,,,,,,,,,,NPS_MISSING,11NPSWRD_WQX,Procedure not Required when Result Entered into National Database,,,"USGS-National Water Quality Lab, Denver, CO",,,https://www.waterqualitydata.us/data/providers/STORET/organizations/11NPSWRD_WQX/activities/11NPSWRD_WQX-BLCA_383418107471401201307300947_02/results/822918728/resdetectqntlmts,Method Detection Level,1.4,ug/L,,2020-01-31T17:42:46,STORET
11NPSWRD_WQX,National Park Service Water Resources Division,11NPSWRD_WQX-BLCA_383537107471500201307301240_02,Sample-Routine,Water,,2013-07-30,12:40:00,MDT,,,,,,,,,,,,BLCA_CURE_WQ,Black Canyon of the Gunnison National Park and Curecanti National Recreation Area Water Quality Monitoring,,11NPSWRD_WQX-BLCA_383537107471500,"RED ROCK CANYON AT MOUTH NEAR MONTROSE, CO",Organization ActivityID=BLCA_383537107471500201307301240,,,,38.5935966000,-107.7881153000,NPS_MISSING,11NPSWRD_WQX,Procedure not Required when Result was Entered into National Database,Specific field gear name added by NPSTORET.,Miscellaneous (Other),STORET-822920953,,,Ammonia,Unfiltered,0.00082,mg/L,,Final,,Calculated,,,,,,,,,,,,,,,,,,,,NPS_MISSING,11NPSWRD_WQX,Procedure not Required when Result Entered into National Database,,,,,,,,,,,2020-01-31T17:43:24,STORET
