OrganizationIdentifier,OrganizationFormalName,MonitoringLocationIdentifier,MonitoringLocationName,MonitoringLocationTypeName,MonitoringLocationDescriptionText,HUCEightDigitCode,DrainageAreaMeasure/MeasureValue,DrainageAreaMeasure/MeasureUnitCode,ContributingDrainageAreaMeasure/MeasureValue,ContributingDrainageAreaMeasure/MeasureUnitCode,LatitudeMeasure,LongitudeMeasure,SourceMapScaleNumeric,HorizontalAccuracyMeasure/MeasureValue,HorizontalAccuracyMeasure/MeasureUnitCode,HorizontalCollectionMethodName,HorizontalCoordinateReferenceSystemDatumName,VerticalMeasure/MeasureValue,VerticalMeasure/MeasureUnitCode,VerticalAccuracyMeasure/MeasureValue,VerticalAccuracyMeasure/MeasureUnitCode,VerticalCollectionMethodName,VerticalCoordinateReferenceSystemDatumName,CountryCode,StateCode,CountyCode,AquiferName,LocalAqfrName,FormationTypeText,AquiferTypeName,ConstructionDateText,WellDepthMeasure/MeasureValue,WellDepthMeasure/MeasureUnitCode,WellHoleDepthMeasure/MeasureValue,WellHoleDepthMeasure/MeasureUnitCode,ProviderName
USGS-CO,USGS Colorado Water Science Center,USGS-09128000,"GUNNISON RIVER BELOW GUNNISON TUNNEL, CO",Stream,,14020002,3971,sq mi,,,38.52915336000000,-107.6489470000000,24000,1,seconds,Interpolated from MAP.,NAD83,6526.06,feet,20,feet,Interpolated from topographic map.,NGVD29,US,08,085,,,,,,,,,,NWIS
USGS-CO,USGS Colorado Water Science Center,USGS-09129600,"SMITH FORK NEAR LAZEAR, CO",Stream,,14020002,167,sq mi,,,38.70744444000000,-107.7101389000000,24000,.5,seconds,Interpolated from MAP.,NAD83,5844,feet,4.3,feet,Interpolated from Digital Elevation Model,NAVD88,US,08,029,,,,,,,,,,NWIS
USGS-CO,USGS Colorado Water Science Center,USGS-382736107491201,LGRB-Poly 27,Well,,14020006,,,,,38.46000000000000,-107.8200000000000,24000,1,minutes,Differentially corrected Global Positioning System.,NAD83,6021,feet,1,feet,Interpolated from topographic map.,NAVD88,US,08,085,Colorado Plateaus aquifers,,Mancos Shale,Unconfined single aquifer,,28.3,ft,28.3,ft,NWIS
USGS-CO,USGS Colorado Water Science Center,USGS-382824107494801,NC04900936BA LGRB Poly 28,Well,,14020006,,,,,38.47333330000000,-107.8300000000000,24000,1,minutes,Differentially corrected Global Positioning System.,NAD83,5995,feet,4.3,feet,Interpolated from Digital Elevation Model,NAVD88,US,08,085,Colorado Plateaus aquifers,,Mancos Shale,Confined single aquifer,,20.8,ft,20.8,ft,NWIS
USGS-CO,USGS Colorado Water Science Center,USGS-382917107483101,LGRB-Poly 29,Well,,14020006,,,,,38.48805556000000,-107.8086111000000,24000,1,minutes,Differentially corrected Global Positioning System.,NAD83,6106,feet,1,feet,Interpolated from topographic map.,NAVD88,US,08,085,Colorado Plateaus aquifers,,Alluvium and Terrace Deposits,Unconfined single aquifer,,15,ft,15,ft,NWIS
USGS-CO,USGS Colorado Water Science Center,USGS-382947107465801,LGRB-Poly 30,Well,,14020006,,,,,38.49638889000000,-107.7827778000000,24000,1,minutes,Differentially corrected Global Positioning System.,NAD83,6247,feet,1,feet,Interpolated from topographic map.,NAVD88,US,08,085,Colorado Plateaus aquifers,,Mancos Shale,Unconfined single aquifer,,19.5,ft,19.5,ft,NWIS
USGS-CO,USGS Colorado Water Science Center,USGS-382954107515101,LGRB-Poly 22,Well,,14020006,,,,,38.49833330000000,-107.8641667000000,24000,1,minutes,Differentially corrected Global Positioning System.,NAD83,5814,feet,1,feet,Interpolated from topographic map.,NAVD88,US,08,085,Colorado Plateaus aquifers,,Alluvium and Terrace Deposits,Unconfined single aquifer,,33.8,ft,33.8,ft,NWIS
USGS-CO,USGS Colorado Water Science Center,USGS-383051107525501,LGRB-Poly 21,Well,,14020006,,,,,38.51416667000000,-107.8819444000000,24000,1,minutes,Differentially corrected Global Positioning System.,NAD83,5743,feet,1,feet,Interpolated from topographic map.,NAVD88,US,08,085,Colorado Plateaus aquifers,,Mancos Shale,Unconfined single aquifer,,18.1,ft,18.1,ft,NWIS
USGS-CO,USGS Colorado Water Science Center,USGS-383250107540301,"WEST TRIB OF LOUTSENHIZER ARROYO, AT IDA ROAD",Stream,,14020006,,,,,38.54720815000000,-107.9014524000000,24000,1,seconds,Interpolated from MAP.,NAD83,5610,feet,20,feet,Interpolated from topographic map.,NGVD29,US,08,085,,,,,,,,,,NWIS
USGS-CO,USGS Colorado Water Science Center,USGS-383315107525201,NC05000933DB LGRB Poly 20,Well,,14020006,,,,,38.55416667000000,-107.8811111000000,24000,1,minutes,Differentially corrected Global Positioning System.,NAD83,5657,feet,4.3,feet,Interpolated from Digital Elevation Model,NAVD88,US,08,085,Alluvial aquifers,,Quaternary System,Unconfined single aquifer,,34.2,ft,39.3,ft,NWIS
USGS-CO,USGS Colorado Water Science Center,USGS-383404107534101,LOUTSENHIZER ARROYO ABOVE SELIG CANAL,Stream,,14020006,,,,,38.56776350000000,-107.8953410000000,24000,1,seconds,Interpolated from MAP.,NAD83,5570,feet,10,feet,Interpolated from topographic map.,NGVD29,US,08,085,,,,,,,,,,NWIS
USGS-CO,USGS Colorado Water Science Center,USGS-383408107535101,LOUTSENHIZER ARROYO BLW SELIG CANAL/6400 RD,Stream,,14020006,,,,,38.56887460000000,-107.8981190000000,24000,1,seconds,Interpolated from MAP.,NAD83,5560,feet,10,feet,Interpolated from topographic map.,NGVD29,US,08,085,,,,,,,,,,NWIS
USGS-CO,USGS Colorado Water Science Center,USGS-383510107540801,LGRB-Poly 19,Well,,14020006,,,,,38.58611110000000,-107.9022222000000,24000,1,minutes,Differentially corrected Global Positioning System.,NAD83,5531,feet,1,feet,Interpolated from topographic map.,NAVD88,US,08,085,Colorado Plateaus aquifers,,Alluvium and Terrace Deposits,Unconfined single aquifer,,18.5,ft,18.5,ft,NWIS
USGS-CO,USGS Colorado Water Science Center,USGS-383513107542601,NC05000920BD LGRB Poly 15,Well,,14020006,,,,,38.58694444000000,-107.9072222000000,24000,1,minutes,Differentially corrected Global Positioning System.,NAD83,5506,feet,4.3,feet,Interpolated from Digital Elevation Model,NAVD88,US,08,085,Alluvial aquifers,,Quaternary System,,,31.7,ft,34.2,ft,NWIS
USGS-CO,USGS Colorado Water Science Center,USGS-384200107381401,SMITH FORK AT 38.5 RD BRIDGE NR HOTCHKISS CO,Stream,,14020002,,,,,38.70000000000000,-107.6372222000000,24000,1,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,6290,feet,10,feet,Interpolated from topographic map.,NGVD29,US,08,029,,,,,,,,,,NWIS
11NPSWRD_WQX,National Park Service Water Resources Division,11NPSWRD_WQX-BLCA_09128000,"GUNNISON RIVER BELOW GUNNISON TUNNEL, CO",River/Stream,"NWIS Type: ST  NWIS Geopositioning Method: Interpolated from map  NWIS Elevation Method: Interpolated from topographic map  Colorado Regulation 35 effective 2012: Region 10, Lower Gunnison basin, segment 1: Mainstem of the Gunnison River from the outlet of Crystal Reservoir to a point immediately above the confluence with the Uncompahgre River",14020002,,,,,38.5291533600,-107.6489470000,24000,1,Sec,Interpolation-Map,NAD83,6526.06,ft,,,Topographic Map Interpolation,NGVD29,US,08,085,,,,,,,,,,STORET
11NPSWRD_WQX,National Park Service Water Resources Division,11NPSWRD_WQX-BLCA_383418107471401,"RED ROCK CANYON NEAR NPS BOUNDARY NEAR MONTROSE,CO",River/Stream,"NWIS Type: ST  NWIS Geopositioning Method: Interpolated from map  NWIS Elevation Method: Interpolated from topographic map  Colorado Regulation 35 effective 2012: Region 10, Lower Gunnison basin, segment 4c: Mainstem of Red Rock Creek from the boundary of Black Canyon of the Gunnison National Park to the confluence of the Gunnison River",14020002,,,,,38.5716523000,-107.7878374000,24000,1,Sec,Interpolation-Map,NAD83,6702,ft,,,Topographic Map Interpolation,NGVD29,US,08,085,,,,,,,,,,STORET
11NPSWRD_WQX,National Park Service Water Resources Division,11NPSWRD_WQX-BLCA_383537107471500,"RED ROCK CANYON AT MOUTH NEAR MONTROSE, CO",River/Stream,"NWIS Type: ST  NWIS Geopositioning Method: Interpolated from map  NWIS Elevation Method: Interpolated from topographic map  Colorado Regulation 35 effective 2012: Region 10, Lower Gunnison basin, segment 4c: Mainstem of Red Rock Creek from the boundary of Black Canyon of the Gunnison National Park to the confluence of the Gunnison River",14020002,,,,,38.5935966000,-107.7881153000,24000,5,Sec,Interpolation-Map,NAD83,6020,ft,,,Topographic Map Interpolation,NGVD29,US,08,085,,,,,,,,,,STORET
11NPSWRD_WQX,National Park Service Water Resources Division,11NPSWRD_WQX-CURE_382924107352300,"CRYSTAL RESERVOIR AT CRYSTAL CREEK NR CIMARRON, CO",Lake,"NWIS Type: LK  NWIS Geopositioning Method: Global positioning system, uncorrected (Standard Positioning Service (SPS) and Precise Positioning Service (PPS))  NWIS Elevation Method: Interpolated from topographic map  Colorado Regulation 35 effective 2012: Region 10, Upper Gunnison basin, segment 38: Blue Mesa, Morrow Point and Crystal Reservoirs and those segments of the Gunnison River which inter-connect reservoirs",14020002,,,,,38.4899871900,-107.5903360000,24000,1,Sec,GPS-Unspecified,NAD83,6700,ft,,,Topographic Map Interpolation,NGVD29,US,08,085,,,,,,,,,,STORET
11NPSWRD_WQX,National Park Service Water Resources Division,11NPSWRD_WQX-CURE_383024107371800,"CRYSTAL RESERVOIR AT CRYSTAL DAM NEAR CIMARRON, CO",Lake,"NWIS Type: LK  NWIS Geopositioning Method: Interpolated from map  Colorado Regulation 35 effective 2012: Region 10, Upper Gunnison basin, segment 38: Blue Mesa, Morrow Point and Crystal Reservoirs and those segments of the Gunnison River which inter-connect reservoirs",14020002,,,,,38.5066535000,-107.6222804000,24000,1,Sec,Interpolation-Map,NAD83,,,,,,,US,08,085,,,,,,,,,,STORET
21COL001_WQX,Colorado Dept. of Public Health & Environment-WQCD,21COL001_WQX-10211,SMITH FORK AT BRIDGE 2.5MI D/S OF 3400 DR (FRUITLAND MESA RD.),River/Stream,"The site is above the Gunnison River and about 2.5 miles downstream of 3400 DR, also known as Fruitland Mesa Rd.",14020002,,,,,38.7075230000,-107.7100600000,0,,,GPS Code (Pseudo Range) Standard Position (SA Off),WGS84,,,,,,,US,08,029,,,,,,,,,,STORET
21COL001_WQX,Colorado Dept. of Public Health & Environment-WQCD,21COL001_WQX-10212A1,CRAWFORD RESERVOIR SITE 1 TOP,Reservoir,NR DAM,14020002,,,,,38.6882000000,-107.6050000000,0,,,GPS Code (Pseudo Range) Standard Position (SA Off),NAD83,,,,,,,US,08,029,,,,,,,,,,STORET
21COL001_WQX,Colorado Dept. of Public Health & Environment-WQCD,21COL001_WQX-10212A2,CRAWFORD RESERVOIR SITE 1 BOTTOM,Reservoir,NR DAM,14020002,,,,,38.6882000000,-107.6050000000,0,,,GPS Code (Pseudo Range) Standard Position (SA Off),NAD83,,,,,,,US,08,029,,,,,,,,,,STORET
21COL001_WQX,Colorado Dept. of Public Health & Environment-WQCD,21COL001_WQX-10212C1,CRAWFORD RESERVOIR SITE 3 TOP,Reservoir,BOAT RAMP,14020002,,,,,38.6764120000,-107.5991300000,,,,Interpolation-Digital Map Source,UNKWN,,,,,,,US,08,029,,,,,,,,,,STORET
21COL001_WQX,Colorado Dept. of Public Health & Environment-WQCD,21COL001_WQX-10214,MUDDY CK @ HWY 92,River/Stream,Just South of Crawford Reservoir on Hwy 92 at upstream side of bridge crossing.,14020002,,,,,38.6667290000,-107.5958180000,0,,,Interpolation-Map,WGS84,,,,,,,US,08,085,,,,,,,,,,STORET
21COL001_WQX,Colorado Dept. of Public Health & Environment-WQCD,21COL001_WQX-10624,CEDAR CK ABV MONTROSE @ MIGUEL RD CROSSING NORTH,River/Stream,,14020006,,,,,38.4854170000,-107.7493480000,0,,,GPS Code (Pseudo Range) Standard Position (SA Off),NAD83,,,,,,,US,08,085,,,,,,,,,,STORET
21COL001_WQX,Colorado Dept. of Public Health & Environment-WQCD,21COL001_WQX-CPW-030,CRAWFORD RESERVOIR,Reservoir,DAM,14020002,,,,,38.6892070000,-107.6074180000,0,,,GPS Code (Pseudo Range) Standard Position (SA Off),NAD83,,,,,,,US,08,029,,,,,,,,,,STORET
21COL001_WQX,Colorado Dept. of Public Health & Environment-WQCD,21COL001_WQX-GU1190-B,CRAWFORD RESERVOIR - BOTTOM,Reservoir,,14020002,,,,,38.6831090000,-107.6013380000,,,,Interpolation-Digital Map Source,UNKWN,,,,,,,US,08,029,,,,,,,,,,STORET
21COL001_WQX,Colorado Dept. of Public Health & Environment-WQCD,21COL001_WQX-GU1190-T,CRAWFORD RESERVOIR - TOP,Reservoir,,14020002,,,,,38.6831090000,-107.6013380000,,,,Interpolation-Digital Map Source,UNKWN,,,,,,,US,08,029,,,,,,,,,,STORET
CORIVWCH_WQX,Colorado River Watch,CORIVWCH_WQX-357,Cedar Cr - At Miguel Rd N,River/Stream,,14020006,,,,,38.4854000000,-107.7494000000,160000,,,Interpolation-Map,NAD83,6464,ft,,,Topographic Map Interpolation,SEALV,US,08,085,,,,,,,,,,STORET
CORIVWCH_WQX,Colorado River Watch,CORIVWCH_WQX-539,Cedar Cr - In Town,River/Stream,"From the junction of US Hwys 50 & 550 in the town of Montrose, take 50 northeast approx 1.3 mi to Hillcrest Dr.  Turn right and continue to bridge over Cedar Cr, station is 50 yds east of bridge.  ***Property is owned by Ken McMillan***",14020006,,,,,38.4847371900,-107.8569725000,160000,,,Interpolation-Map,NAD83,5840,ft,,,Topographic Map Interpolation,SEALV,US,08,085,,,,,,,,,,STORET
NALMS,North American Lake Management Society,NALMS-F186718,"Crawford Reservoir, Delta County, CO, USA",Reservoir,Reservoir,14020002,,,,,38.6830000000,-107.6010000000,,,,GPS-Unspecified,NAD83,,,,,,,US,08,029,,,,,,,,,,STORET
STF,Gunnison Basin & Grand Valley Selenium Task Force (STF) (Volunteer),STF-9128000,Gunnison Below Tunnel,River/Stream,,14020002,,,,,38.5291667000,-107.6483333000,,,,Unknown,UNKWN,,,,,,,US,08,085,,,,,,,,,,STORET
