OrganizationIdentifier,OrganizationFormalName,MonitoringLocationIdentifier,MonitoringLocationName,MonitoringLocationTypeName,MonitoringLocationDescriptionText,HUCEightDigitCode,DrainageAreaMeasure/MeasureValue,DrainageAreaMeasure/MeasureUnitCode,ContributingDrainageAreaMeasure/MeasureValue,ContributingDrainageAreaMeasure/MeasureUnitCode,LatitudeMeasure,LongitudeMeasure,SourceMapScaleNumeric,HorizontalAccuracyMeasure/MeasureValue,HorizontalAccuracyMeasure/MeasureUnitCode,HorizontalCollectionMethodName,HorizontalCoordinateReferenceSystemDatumName,VerticalMeasure/MeasureValue,VerticalMeasure/MeasureUnitCode,VerticalAccuracyMeasure/MeasureValue,VerticalAccuracyMeasure/MeasureUnitCode,VerticalCollectionMethodName,VerticalCoordinateReferenceSystemDatumName,CountryCode,StateCode,CountyCode,AquiferName,LocalAqfrName,FormationTypeText,AquiferTypeName,ConstructionDateText,WellDepthMeasure/MeasureValue,WellDepthMeasure/MeasureUnitCode,WellHoleDepthMeasure/MeasureValue,WellHoleDepthMeasure/MeasureUnitCode,ProviderName
USGS-UT,USGS Utah Water Science Center,USGS-10183900,"EAST FORK SEVIER RIVER NEAR RUBYS INN, UT",Stream,,16030002,71.6,sq mi,,,37.57581584000000,-112.2657537000000,24000,1,seconds,Interpolated from MAP.,NAD83,7860.00,feet,20,feet,Interpolated from topographic map.,NGVD29,US,49,017,,,,,,,,,,NWIS
USGS-UT,USGS Utah Water Science Center,USGS-373417112120401,"SHEEP CREEK IN BRYCE CANYON NP, UT",Stream,,14070007,,,,,37.57138889000000,-112.2011110000000,,.5,seconds,Interpolated from MAP.,NAD83,7281,feet,5,feet,Interpolated from topographic map.,NAVD88,US,49,017,,,,,,,,,,NWIS
USGS-UT,USGS Utah Water Science Center,USGS-373428112082801,"YELLOW CREEK IN BRYCE CANYON NP, UT",Stream,,14070007,,,,,37.57444444000000,-112.1411110000000,,.5,seconds,Interpolated from MAP.,NAD83,6721,feet,5,feet,Interpolated from topographic map.,NAVD88,US,49,017,,,,,,,,,,NWIS
USGS-UT,USGS Utah Water Science Center,USGS-374205112091501,(C-36- 3) 6dba- 1,Well,,16030002,,,,,37.70137124000000,-112.1549175000000,24000,5,seconds,Interpolated from MAP.,NAD83,7580.00,feet,20,feet,Interpolated from topographic map.,NGVD29,US,49,017,Colorado Plateaus aquifers,,Kaiparowits Formation,,194512,123,ft,,,NWIS
11NPSWRD_WQX,National Park Service Water Resources Division,11NPSWRD_WQX-BRCA_3P_4951855,Sheep Creek below Spring in Bryce Canyon National Park,River/Stream,"This station is at Sheep Creek below a spring in Bryce Canyon National Park. This site is downstream from an unnamed spring, and just upstream of the confluence of Sheep Creek with Short Canyon. Latitude and longitude coordinates were compiled from previous studies or topographic map interpolation. This station has an additional ID from Utah Dept. of Environmental Quality of 4951855 with a station name of Sheep Ck bl Spring in Bryce Cyn NP.",14070007,,,,,37.5713719708,-112.2010287480,,,,Unknown,NAD83,,,,,,,US,49,017,,,,,,,,,,STORET
11NPSWRD_WQX,National Park Service Water Resources Division,11NPSWRD_WQX-BRCA_3P_4951857,Yellow Creek below Spring in Bryce Canyon National Park,River/Stream,"This station is at Yellow Creek below spring in Bryce Canyon National Park. The site is approximately 3.1 kilometers downstream of Yellow Spring. Latitude and longitude coordinates were compiled from previous studies or topographic map interpolation. This station has additional IDs and station names: USGS-NWIS Site No. 373428112082801, Yellow Ck bl Spring in Bryce Cyn NP; and Utah Dept. of Environmental Quality 4951857, Yellow Ck bl Spring in Bryce Cyn NP.",14070007,,,,,37.5744279601,-112.1410263710,,,,Unknown,NAD83,,,,,,,US,49,017,,,,,,,,,,STORET
11NPSWRD_WQX,National Park Service Water Resources Division,11NPSWRD_WQX-BRCA_3P_4951915,Mossy Cave Spring Northwest of Tropic,Spring,"This station is at Mossy Cave Spring, northwest of Tropic, Utah. Mossy Cave Spring is in Water Canyon, river right, approximately 450 meters upstream of the confluence of Water Canyon with Tropic Canyon. Latitude and longitude coordinates were compiled from previous studies or topographic map interpolation. This station has an additional ID from Utah Dept. of Environmental Quality of 4951915 with a station name of Mossy Cave Spring NW of Tropic.",14070007,,,,,37.6640617800,-112.1138853700,,,,Unknown,NAD83,,,,,,,US,49,017,,,,,,,,,,STORET
NARS_WQX,EPA National Aquatic Resources Survey (NARS),NARS_WQX-NLA12_UT-397,NLA12_UT-397,Lake,,16030002,,,,,37.5955618400,-112.2546686000,,,,GPS-Unspecified,NAD83,2389.88,m,,,Digital Elevation Model,NAVD88,US,49,017,,,,,,,,,,STORET
NARS_WQX,EPA National Aquatic Resources Survey (NARS),NARS_WQX-NRS_UT-10260,Paria River,River/Stream,LargeStreams,14070007,,,,,37.5101738000,-112.0337049000,,,,GPS-Unspecified,NAD83,1717.57,m,,,Unknown,UNKWN,US,49,025,,,,,,,,,,STORET
NARS_WQX,EPA National Aquatic Resources Survey (NARS),NARS_WQX-UTS9-0929,Paria River,River/Stream,LargeStreams,14070007,,,,,37.5101700000,-112.0337000000,,,,GPS-Unspecified,NAD83,1717.57,m,,,Unknown,UNKWN,US,49,025,,,,,,,,,,STORET
UTAHDWQ_WQX,Utah Department Of Environmental Quality,UTAHDWQ_WQX-4949320,E FK SEVIER R BL TROPIC RES,River/Stream,,16030002,,,,,37.6132800000,-112.2499000000,,,,GPS-Unspecified,NAD83,,,,,,,US,49,017,,,,,,,,,,STORET
UTAHDWQ_WQX,Utah Department Of Environmental Quality,UTAHDWQ_WQX-4949340,TROPIC RES AB DAM 01,Lake,,16030002,,,,,37.6102600000,-112.2518700000,,,,GPS-Unspecified,NAD83,,,,,,,US,49,017,,,,,,,,,,STORET
UTAHDWQ_WQX,Utah Department Of Environmental Quality,UTAHDWQ_WQX-4949390,E FK SEVIER R BL CONFLUENCE LONG HOLLOW,River/Stream,,16030002,,,,,37.5758100000,-112.2671400000,,,,GPS-Unspecified,NAD83,,,,,,,US,49,017,,,,,,,,,,STORET
UTAHDWQ_WQX,Utah Department Of Environmental Quality,UTAHDWQ_WQX-4949405,BLUBBER CK BL CNFL/ RIGHT FK (UT09ST-719),River/Stream,,16030002,,,,,37.5470400000,-112.2996800000,,,,GPS-Unspecified,NAD83,,,,,,,US,49,017,,,,,,,,,,STORET
UTAHDWQ_WQX,Utah Department Of Environmental Quality,UTAHDWQ_WQX-4951855,Sheep Ck bl Spring in Bryce Cyn NP,River/Stream,,14070007,,,,,37.5713700000,-112.2010300000,,,,GPS-Unspecified,NAD83,,,,,,,US,49,017,,,,,,,,,,STORET
UTAHDWQ_WQX,Utah Department Of Environmental Quality,UTAHDWQ_WQX-4951857,Yellow Ck bl Spring in Bryce Cyn NP,River/Stream,,14070007,,,,,37.5744200000,-112.1410300000,,,,GPS-Unspecified,NAD83,,,,,,,US,49,017,,,,,,,,,,STORET
UTAHDWQ_WQX,Utah Department Of Environmental Quality,UTAHDWQ_WQX-4951870,PARIA R AT U12 XING,River/Stream,,14070007,,,,,37.5674900000,-112.0513000000,,,,GPS-Unspecified,NAD83,,,,,,,US,49,017,,,,,,,,,,STORET
UTAHDWQ_WQX,Utah Department Of Environmental Quality,UTAHDWQ_WQX-4951915,MOSSY CAVE SPRING NW OF TROPIC,Spring,,14070007,,,,,37.6645600000,-112.1156100000,,,,GPS-Unspecified,NAD83,,,,,,,US,49,017,,,,,,,,,,STORET
UTAHDWQ_WQX,Utah Department Of Environmental Quality,UTAHDWQ_WQX-5946450,E FK SEVIER R AB TROPIC RES,River/Stream,,16030002,,,,,37.5916500000,-112.2574200000,,,,GPS-Unspecified,NAD83,,,,,,,US,49,017,,,,,,,,,,STORET
UTAHDWQ_WQX,Utah Department Of Environmental Quality,UTAHDWQ_WQX-5994340,SHEEP CK AT SKUTUMPAH RD XING,River/Stream,,14070007,,,,,37.4958100000,-112.0654600000,,,,GPS-Unspecified,NAD83,,,,,,,US,49,025,,,,,,,,,,STORET
UTAHDWQ_WQX,Utah Department Of Environmental Quality,UTAHDWQ_WQX-5994350,WILLIS CK AT SKUTUMPAH RD XING,River/Stream,,14070007,,,,,37.4816500000,-112.0940800000,,,,GPS-Unspecified,NAD83,,,,,,,US,49,025,,,,,,,,,,STORET
