OrganizationIdentifier,OrganizationFormalName,ActivityIdentifier,ActivityTypeCode,ActivityMediaName,ActivityMediaSubdivisionName,ActivityStartDate,ActivityStartTime/Time,ActivityStartTime/TimeZoneCode,ActivityEndDate,ActivityEndTime/Time,ActivityEndTime/TimeZoneCode,ActivityRelativeDepthName,ActivityDepthHeightMeasure/MeasureValue,ActivityDepthHeightMeasure/MeasureUnitCode,ActivityDepthAltitudeReferencePointText,ActivityTopDepthHeightMeasure/MeasureValue,ActivityTopDepthHeightMeasure/MeasureUnitCode,ActivityBottomDepthHeightMeasure/MeasureValue,ActivityBottomDepthHeightMeasure/MeasureUnitCode,ProjectIdentifier,ActivityConductingOrganizationText,MonitoringLocationIdentifier,ActivityCommentText,SampleAquifer,HydrologicCondition,HydrologicEvent,ActivityLocation/LatitudeMeasure,ActivityLocation/LongitudeMeasure,ActivityLocation/SourceMapScaleNumeric,ActivityLocation/HorizontalAccuracyMeasure/MeasureValue,ActivityLocation/HorizontalAccuracyMeasure/MeasureUnitCode,ActivityLocation/HorizontalCollectionMethodName,ActivityLocation/HorizontalCoordinateReferenceSystemDatumName,AssemblageSampledName,CollectionDuration/MeasureValue,CollectionDuration/MeasureUnitCode,SamplingComponentName,SamplingComponentPlaceInSeriesNumeric,ReachLengthMeasure/MeasureValue,ReachLengthMeasure/MeasureUnitCode,ReachWidthMeasure/MeasureValue,ReachWidthMeasure/MeasureUnitCode,PassCount,NetTypeName,NetSurfaceAreaMeasure/MeasureValue,NetSurfaceAreaMeasure/MeasureUnitCode,NetMeshSizeMeasure/MeasureValue,NetMeshSizeMeasure/MeasureUnitCode,BoatSpeedMeasure/MeasureValue,BoatSpeedMeasure/MeasureUnitCode,CurrentSpeedMeasure/MeasureValue,CurrentSpeedMeasure/MeasureUnitCode,ToxicityTestType,SampleCollectionMethod/MethodIdentifier,SampleCollectionMethod/MethodIdentifierContext,SampleCollectionMethod/MethodName,SampleCollectionMethod/MethodQualifierTypeName,SampleCollectionMethod/MethodDescriptionText,SampleCollectionEquipmentName,SampleCollectionMethod/SampleCollectionEquipmentCommentText,SamplePreparationMethod/MethodIdentifier,SamplePreparationMethod/MethodIdentifierContext,SamplePreparationMethod/MethodName,SamplePreparationMethod/MethodQualifierTypeName,SamplePreparationMethod/MethodDescriptionText,SampleContainerTypeName,SampleContainerColorName,ChemicalPreservativeUsedName,ThermalPreservativeUsedName,SampleTransportStorageDescription,DataLoggerLine,ResultDetectionConditionText,MethodSpecificationName,CharacteristicName,ResultSampleFractionText,ResultMeasureValue,ResultMeasure/MeasureUnitCode,MeasureQualifierCode,ResultStatusIdentifier,StatisticalBaseCode,ResultValueTypeName,ResultWeightBasisText,ResultTimeBasisText,ResultTemperatureBasisText,ResultParticleSizeBasisText,PrecisionValue,DataQuality/BiasValue,ConfidenceIntervalValue,UpperConfidenceLimitValue,LowerConfidenceLimitValue,ResultCommentText,USGSPCode,ResultDepthHeightMeasure/MeasureValue,ResultDepthHeightMeasure/MeasureUnitCode,ResultDepthAltitudeReferencePointText,ResultSamplingPointName,BiologicalIntentName,BiologicalIndividualIdentifier,SubjectTaxonomicName,UnidentifiedSpeciesIdentifier,SampleTissueAnatomyName,GroupSummaryCountWeight/MeasureValue,GroupSummaryCountWeight/MeasureUnitCode,CellFormName,CellShapeName,HabitName,VoltismName,TaxonomicPollutionTolerance,TaxonomicPollutionToleranceScaleText,TrophicLevelName,FunctionalFeedingGroupName,TaxonomicDetailsCitation/ResourceTitleName,TaxonomicDetailsCitation/ResourceCreatorName,TaxonomicDetailsCitation/ResourceSubjectText,TaxonomicDetailsCitation/ResourcePublisherName,TaxonomicDetailsCitation/ResourceDate,TaxonomicDetailsCitation/ResourceIdentifier,FrequencyClassDescriptorCode,FrequencyClassDescriptorUnitCode,LowerClassBoundValue,UpperClassBoundValue,ResultAnalyticalMethod/MethodIdentifier,ResultAnalyticalMethod/MethodIdentifierContext,ResultAnalyticalMethod/MethodName,ResultAnalyticalMethod/MethodQualifierTypeName,MethodDescriptionText,LaboratoryName,AnalysisStartDate,AnalysisStartTime/Time,AnalysisStartTime/TimeZoneCode,AnalysisEndDate,AnalysisEndTime/Time,AnalysisEndTime/TimeZoneCode,ResultLaboratoryCommentCode,ResultLaboratoryCommentText,DetectionQuantitationLimitTypeName,DetectionQuantitationLimitMeasure/MeasureValue,DetectionQuantitationLimitMeasure/MeasureUnitCode,LaboratoryAccreditationIndicator,LaboratoryAccreditationAuthorityName,TaxonomistAccreditationIndicator,TaxonomistAccreditationAuthorityName,LabSamplePreparationMethod/MethodIdentifier,LabSamplePreparationMethod/MethodIdentifierContext,LabSamplePreparationMethod/MethodName,LabSamplePreparationMethod/MethodQualifierTypeName,LabSamplePreparationMethod/MethodDescriptionText,PreparationStartDate,PreparationStartTime/Time,PreparationStartTime/TimeZoneCode,PreparationEndDate,PreparationEndTime/Time,PreparationEndTime/TimeZoneCode,SubstitutionDilutionFactorNumeric,ProviderName
UTAHDWQ_WQX,Utah Department Of Environmental Quality,UTAHDWQ_WQX-NPSCANR210619-4952400-0621-4-C,Sample-Routine,Water,,2021-06-21,12:35:00,MST,,,,Surface,,,,,,,,306,National Park Service,UTAHDWQ_WQX-4952400,,,,,38.1924900000,-109.8845700000,,,,,,,,,,,,,,,,,,,,,,,,,,DWQ-001,UTAHDWQ_WQX,Water Grab Sampling,,,Miscellaneous (Other),,,,,,,,,,,,,,as N,Nitrogen,Dissolved,0.217,mg/L,,Accepted,,Actual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,D8083-16,ASTM,"Standard Test Method for Total Nitrogen, and Total Kjeldahl Nitrogen (TKN) by Calculation, in Water by High Temperature",,,Utah DOH Division of Epidemilogy and Laboratory Services,2021-07-12,,,,,,,,Lower Reporting Limit,0.2,mg/L,Y,,,,,,,,,,,,,,,,STORET
UTAHDWQ_WQX,Utah Department Of Environmental Quality,UTAHDWQ_WQX-NPSCANR210519-4952400-0519-4-C,Sample-Routine,Water,,2021-05-19,14:38:00,MST,,,,Surface,,,,,,,,306,National Park Service,UTAHDWQ_WQX-4952400,,,,,38.1924900000,-109.8845700000,,,,,,,,,,,,,,,,,,,,,,,,,,DWQ-001,UTAHDWQ_WQX,Water Grab Sampling,,,Miscellaneous (Other),,,,,,,,,,,,,,,Total volatile solids,Total,13,mg/L,,Accepted,,Actual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,160.4,USEPA,Volatile Residue,,https://www.nemi.gov/methods/method_summary/5215/,Utah DOH Division of Epidemilogy and Laboratory Services,2021-05-26,,,,,,,,Lower Reporting Limit,4,mg/L,Y,,,,,,,,,,,,,,,,STORET
UTAHDWQ_WQX,Utah Department Of Environmental Quality,UTAHDWQ_WQX-NPSCANR210715-4952400-0715-4-C,Sample-Routine,Water,,2021-07-15,08:14:00,MST,,,,Surface,,,,,,,,306,National Park Service,UTAHDWQ_WQX-4952400,,,,,38.1924900000,-109.8845700000,,,,,,,,,,,,,,,,,,,,,,,,,,DWQ-001,UTAHDWQ_WQX,Water Grab Sampling,,,Miscellaneous (Other),,,,,,,,,,,,,Not Detected,,Nickel,Dissolved,,ug/L,U,Accepted,,Actual,,,,,,,,,,Not detected/reported,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200.8,USEPA,200.8 ~ EPA; Metals in Waters by ICP/MS,,https://www.nemi.gov/methods/method_summary/4665/,Utah DOH Division of Epidemilogy and Laboratory Services,2021-07-22,,,,,,,,Lower Reporting Limit,5,ug/L,Y,,,,,,,,,,,,,,,,STORET
UTAHDWQ_WQX,Utah Department Of Environmental Quality,UTAHDWQ_WQX-NPSCANR210423-4952400-0423-4-C,Sample-Routine,Water,,2021-04-23,10:08:00,MST,,,,Surface,,,,,,,,306,National Park Service,UTAHDWQ_WQX-4952400,,,,,38.1924900000,-109.8845700000,,,,,,,,,,,,,,,,,,,,,,,,,,DWQ-001,UTAHDWQ_WQX,Water Grab Sampling,,,Miscellaneous (Other),,,,,,,,,,,,,,as P,Phosphate-phosphorus***retired***use Orthophosphate,Dissolved,0.0058,mg/L,,Accepted,,Actual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,365.1,USEPA,Phosphorus by Colorimetry,,https://www.nemi.gov/methods/method_summary/4823/,Utah DOH Division of Epidemilogy and Laboratory Services,2021-04-29,,,,,,,,Lower Reporting Limit,0.003,mg/L,Y,,,,,,,,,,,,,,,,STORET
UTAHDWQ_WQX,Utah Department Of Environmental Quality,UTAHDWQ_WQX-NPSCANR210222-4930010-0223-4-D,Field Msr/Obs,Water,,2021-02-23,12:23:00,MST,,,,Surface,,,,,,,,306,National Park Service,UTAHDWQ_WQX-4930010,Mineral Bottom gage -15 hours at 2/22/2021 at 22:30,,,,38.1902600000,-109.8898400000,,,,,,,,,,,,,,,,,,,,,,,,,,DWQ-001,UTAHDWQ_WQX,Water Grab Sampling,,,Miscellaneous (Other),,,,,,,,,,,,,,,Flow,,2010,ft3/sec,,Accepted,,Estimated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FIELD MEASURES,UTAHDWQ_WQX,Field Measurements performed by Utah DWQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,STORET
UTAHDWQ_WQX,Utah Department Of Environmental Quality,UTAHDWQ_WQX-NPSCANR210329-4952400-0331-4-C,Sample-Routine,Water,,2021-03-31,14:33:00,MST,,,,Surface,,,,,,,,306,National Park Service,UTAHDWQ_WQX-4952400,,,,,38.1924900000,-109.8845700000,,,,,,,,,,,,,,,,,,,,,,,,,,DWQ-001,UTAHDWQ_WQX,Water Grab Sampling,,,Miscellaneous (Other),,,,,,,,,,,,,Not Detected,,Beryllium,Dissolved,,ug/L,U,Accepted,,Actual,,,,,,,,,,Not detected/reported,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200.8,USEPA,200.8 ~ EPA; Metals in Waters by ICP/MS,,https://www.nemi.gov/methods/method_summary/4665/,Utah DOH Division of Epidemilogy and Laboratory Services,2021-04-12,,,,,,,,Lower Reporting Limit,1,ug/L,Y,,,,,,,,,,,,,,,,STORET
UTAHDWQ_WQX,Utah Department Of Environmental Quality,UTAHDWQ_WQX-NPSCAN211020-4930010-1020-4-F,Field Msr/Obs,Water,,2021-10-20,14:30:00,MST,,,,Surface,,,,,,,,306,National Park Service,UTAHDWQ_WQX-4930010,Mineral Bottom gage -15 hours,,,,38.1902600000,-109.8898400000,,,,,,,,,,,,,,,,,,,,,,,,,,DWQ-001,UTAHDWQ_WQX,Water Grab Sampling,,,Miscellaneous (Other),,,,,,,,,,,,,,,Specific conductance,,747.4,umho/cm,,Accepted,,Actual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FIELD MEASURES,UTAHDWQ_WQX,Field Measurements performed by Utah DWQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,STORET
UTAHDWQ_WQX,Utah Department Of Environmental Quality,UTAHDWQ_WQX-NPSCAN211020-4952400-1020-4-C,Sample-Routine,Water,,2021-10-20,16:40:00,MST,,,,Surface,,,,,,,,306,National Park Service,UTAHDWQ_WQX-4952400,,,,,38.1924900000,-109.8845700000,,,,,,,,,,,,,,,,,,,,,,,,,,DWQ-001,UTAHDWQ_WQX,Water Grab Sampling,,,Miscellaneous (Other),,,,,,,,,,,,,,,Arsenic,Dissolved,1.16,ug/L,,Accepted,,Actual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200.8,USEPA,200.8 ~ EPA; Metals in Waters by ICP/MS,,https://www.nemi.gov/methods/method_summary/4665/,Utah DOH Division of Epidemilogy and Laboratory Services,2021-10-28,,,,,,,,Lower Reporting Limit,1,ug/L,Y,,,,,,,,,,,,,,,,STORET
UTAHDWQ_WQX,Utah Department Of Environmental Quality,UTAHDWQ_WQX-NPSCANR210519-4930010-0519-4-C,Sample-Routine,Water,,2021-05-19,14:31:00,MST,,,,Surface,,,,,,,,306,National Park Service,UTAHDWQ_WQX-4930010,,,,,38.1902600000,-109.8898400000,,,,,,,,,,,,,,,,,,,,,,,,,,DWQ-001,UTAHDWQ_WQX,Water Grab Sampling,,,Miscellaneous (Other),,,,,,,,,,,,,,,Boron,Dissolved,74.6,ug/L,,Accepted,,Actual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200.7,USEPA,Metals in Water by ICP-AES,,https://www.nemi.gov/methods/method_summary/4690/,Utah DOH Division of Epidemilogy and Laboratory Services,2021-06-01,,,,,,,,Lower Reporting Limit,30,ug/L,Y,,,,,,,,,,,,,,,,STORET
UTAHDWQ_WQX,Utah Department Of Environmental Quality,UTAHDWQ_WQX-NPSCANR210826-4952400-0826-4-C,Sample-Routine,Water,,2021-08-26,12:01:00,MST,,,,Surface,,,,,,,,306,National Park Service,UTAHDWQ_WQX-4952400,,,,,38.1924900000,-109.8845700000,,,,,,,,,,,,,,,,,,,,,,,,,,DWQ-001,UTAHDWQ_WQX,Water Grab Sampling,,,Miscellaneous (Other),,,,,,,,,,,,,,,Calcium,Dissolved,116,mg/L,,Accepted,,Actual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200.7,USEPA,Metals in Water by ICP-AES,,https://www.nemi.gov/methods/method_summary/4690/,Utah DOH Division of Epidemilogy and Laboratory Services,2021-09-02,,,,,,,,Lower Reporting Limit,1,mg/L,Y,,,,,,,,,,,,,,,,STORET
