OrganizationIdentifier,OrganizationFormalName,MonitoringLocationIdentifier,MonitoringLocationName,MonitoringLocationTypeName,MonitoringLocationDescriptionText,HUCEightDigitCode,DrainageAreaMeasure/MeasureValue,DrainageAreaMeasure/MeasureUnitCode,ContributingDrainageAreaMeasure/MeasureValue,ContributingDrainageAreaMeasure/MeasureUnitCode,LatitudeMeasure,LongitudeMeasure,SourceMapScaleNumeric,HorizontalAccuracyMeasure/MeasureValue,HorizontalAccuracyMeasure/MeasureUnitCode,HorizontalCollectionMethodName,HorizontalCoordinateReferenceSystemDatumName,VerticalMeasure/MeasureValue,VerticalMeasure/MeasureUnitCode,VerticalAccuracyMeasure/MeasureValue,VerticalAccuracyMeasure/MeasureUnitCode,VerticalCollectionMethodName,VerticalCoordinateReferenceSystemDatumName,CountryCode,StateCode,CountyCode,AquiferName,LocalAqfrName,FormationTypeText,AquiferTypeName,ConstructionDateText,WellDepthMeasure/MeasureValue,WellDepthMeasure/MeasureUnitCode,WellHoleDepthMeasure/MeasureValue,WellHoleDepthMeasure/MeasureUnitCode,ProviderName
USGS-UT,USGS Utah Water Science Center,USGS-381116109540101,(D-30-18)24caa   Green R. abv Colo. R. confluence,Stream,,14060008,,,,,38.18783330000000,-109.9003333000000,24000,.5,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,3870,feet,20,feet,Interpolated from topographic map.,NGVD29,US,49,037,,,,,,,,,,NWIS
USGS-UT,USGS Utah Water Science Center,USGS-381145109525201,(D-30-19)19bda   Colo. R. abv Green R. confluence,Stream,,14030005,,,,,38.19586110000000,-109.8811111000000,24000,1,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,3870,feet,20,feet,Interpolated from topographic map.,NGVD29,US,49,037,,,,,,,,,,NWIS
USGS-UT,USGS Utah Water Science Center,USGS-381354109495201,(D-29-19)33dca   Colorado R. at the Loop,Stream,,14030005,,,,,38.23177778000000,-109.8311944000000,24000,.5,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,3880,feet,20,feet,Interpolated from topographic map.,NGVD29,US,49,037,,,,,,,,,,NWIS
USGS-UT,USGS Utah Water Science Center,USGS-381741109465901,(D-29-19)12bdc   Indian Creek at mouth near Moab,Stream,,14030005,,,,,38.29480556000000,-109.7831944000000,24000,.5,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,3950,feet,20,feet,Interpolated from topographic map.,NGVD29,US,49,037,,,,,,,,,,NWIS
NARS_WQX,EPA National Aquatic Resources Survey (NARS),NARS_WQX-NRS_UT-10392,Colorado River,River/Stream,RiversMajor,14030005,,,,,38.2311531500,-109.8026767000,,,,GPS-Unspecified,NAD83,1183.55,m,,,Unknown,UNKWN,US,49,037,,,,,,,,,,STORET
UTAHDWQ_WQX,Utah Department Of Environmental Quality,UTAHDWQ_WQX-4930010,GREEN R AB CNFL / COLORADO R,River/Stream,,14060008,,,,,38.1902600000,-109.8898400000,,,,GPS-Unspecified,NAD83,,,,,,,US,49,037,,,,,,,,,,STORET
UTAHDWQ_WQX,Utah Department Of Environmental Quality,UTAHDWQ_WQX-4952380,Colorado River bl Brown Betty Rapid,River/Stream,,14070001,,,,,38.1467700000,-109.9282100000,,,,GPS-Unspecified,NAD83,,,,,,,US,49,017,,,,,,,,,,STORET
UTAHDWQ_WQX,Utah Department Of Environmental Quality,UTAHDWQ_WQX-4952400,COLORADO R AB CNFL / GREEN R,River/Stream,,14030005,,,,,38.1924900000,-109.8845700000,,,,GPS-Unspecified,NAD83,,,,,,,US,49,037,,,,,,,,,,STORET
UTAHDWQ_WQX,Utah Department Of Environmental Quality,UTAHDWQ_WQX-5995020,2.4 MILE LOOP SPRING BS-2,Spring,,14030005,,,,,38.1247100000,-109.8223500000,,,,GPS-Unspecified,NAD83,,,,,,,US,49,037,,,,,,,,,,STORET
UTAHDWQ_WQX,Utah Department Of Environmental Quality,UTAHDWQ_WQX-5995050,CAVE SPRING SQ-3,Spring,,14030005,,,,,38.1566500000,-109.7537300000,,,,GPS-Unspecified,NAD83,,,,,,,US,49,037,,,,,,,,,,STORET
UTAHDWQ_WQX,Utah Department Of Environmental Quality,UTAHDWQ_WQX-5995120,LITTLE SPRING CANYON CREEK LS2,River/Stream,,14030005,,,,,38.1838800000,-109.8012300000,,,,GPS-Unspecified,NAD83,,,,,,,US,49,037,,,,,,,,,,STORET
UTAHDWQ_WQX,Utah Department Of Environmental Quality,UTAHDWQ_WQX-5995420,CHOCOLATE DROPS SPG .5 MI S OF MAZE OVERLOOK SF-4,Spring,,14060008,,,,,38.2258200000,-110.0026300000,,,,GPS-Unspecified,NAD83,,,,,,,US,49,055,,,,,,,,,,STORET
UTAHDWQ_WQX,Utah Department Of Environmental Quality,UTAHDWQ_WQX-5995500,MAZE OVERLOOK SPG .25MI SE OF MAZE OVERLOOK SF-2,Spring,,14060008,,,,,38.2288800000,-109.9984600000,,,,GPS-Unspecified,NAD83,,,,,,,US,49,055,,,,,,,,,,STORET
