OrganizationIdentifier,OrganizationFormalName,MonitoringLocationIdentifier,MonitoringLocationName,MonitoringLocationTypeName,MonitoringLocationDescriptionText,HUCEightDigitCode,DrainageAreaMeasure/MeasureValue,DrainageAreaMeasure/MeasureUnitCode,ContributingDrainageAreaMeasure/MeasureValue,ContributingDrainageAreaMeasure/MeasureUnitCode,LatitudeMeasure,LongitudeMeasure,SourceMapScaleNumeric,HorizontalAccuracyMeasure/MeasureValue,HorizontalAccuracyMeasure/MeasureUnitCode,HorizontalCollectionMethodName,HorizontalCoordinateReferenceSystemDatumName,VerticalMeasure/MeasureValue,VerticalMeasure/MeasureUnitCode,VerticalAccuracyMeasure/MeasureValue,VerticalAccuracyMeasure/MeasureUnitCode,VerticalCollectionMethodName,VerticalCoordinateReferenceSystemDatumName,CountryCode,StateCode,CountyCode,AquiferName,LocalAqfrName,FormationTypeText,AquiferTypeName,ConstructionDateText,WellDepthMeasure/MeasureValue,WellDepthMeasure/MeasureUnitCode,WellHoleDepthMeasure/MeasureValue,WellHoleDepthMeasure/MeasureUnitCode,ProviderName
USGS-UT,USGS Utah Water Science Center,USGS-09330230,"FREMONT RIVER NEAR CAINEVILLE, UT",Stream,,14070003,1208,sq mi,,,38.27914690000000,-111.0657201000000,24000,1,seconds,Interpolated from MAP.,NAD83,4760.00,feet,20,feet,Interpolated from topographic map.,NGVD29,US,49,055,,,,,,,,,,NWIS
USGS-UT,USGS Utah Water Science Center,USGS-381644111152501,(D-29- 6)22acb- 1,Well,,14070003,,,,,38.27875000000000,-111.2570278000000,24000,.5,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,5492,feet,10,feet,Reported method of determination.,NGVD29,US,49,055,Colorado Plateaus aquifers,,,,19920928,80,ft,140,ft,NWIS
USGS-UT,USGS Utah Water Science Center,USGS-381712111144601,"SULPHUR CREEK AB FREMONT R, CAPITAL REEF NP, UT",Stream,,14070003,,,,,38.28666667000000,-111.2461110000000,,.5,seconds,Interpolated from MAP.,NAD83,5353,feet,5,feet,Interpolated from topographic map.,NAVD88,US,49,055,,,,,,,,,,NWIS
USGS-UT,USGS Utah Water Science Center,USGS-381719111140601,"FREMONT R AT HICKMAN BRG TRLHD, CAPITAL REEF NP UT",Stream,,14070003,,,,,38.28861110000000,-111.2350000000000,,.5,seconds,Interpolated from MAP.,NAD83,,,,,,,US,49,055,,,,,,,,,,NWIS
11NPSWRD_WQX,National Park Service Water Resources Division,11NPSWRD_WQX-CARE_3P_4954360,Fremont River at Hickman Bridge Trailhead,River/Stream,"This station is at Fremont River at Hickman Bridge Trailhead, approximately 300 meters directly south of the natural bridge. Latitude and longitude coordinates were compiled from previous studies or topographic map interpolation. This station has additional IDs and station names: USGS-NWIS Site No. 381719111140601, Fremont R at Hickman Bridge Trailhead; and Utah Dept. of Environmental Quality of 4954360, Fremont R at Hickman Bridge.",14070003,,,,,38.2885910228,-111.2348912980,,,,Unknown,NAD83,,,,,,,US,49,055,,,,,,,,,,STORET
11NPSWRD_WQX,National Park Service Water Resources Division,11NPSWRD_WQX-CARE_3P_4954770,Sulphur Creek above Confluence with Fremont River,River/Stream,"This station is at Sulphur Creek above confluence with Fremont River. This site is Sulphur Creek, approximately 100 meters upstream of its confluence with Fremont River. Latitude and longitude coordinates were compiled from previous studies or topographic map interpolation. This station has additional IDs ans station names: USGS-NWIS Site No. 381712111144601, Sulphur Ck Ab Confl/Fremont R in Picnic Area; and Utah Dept. of Environmental Quality 4954770, Sulphur Ck ab Cnfl/Fremont R in Picnic.",14070003,,,,,38.2872222000,-111.2462194720,,,,Unknown,NAD83,,,,,,,US,49,055,,,,,,,,,,STORET
11NPSWRD_WQX,National Park Service Water Resources Division,11NPSWRD_WQX-CARE_FISH2021_PC1,Pleasant Creek Reach 1,River/Stream,"Pleasant Creek originates in the high country on Boulder Mountain, west of the park. It is a tributary of the Fremont River and flows east through the park, approximately parallel to Oak Creek, before joining the Fremont River at separate confluences, east of the park boundary. The Fremont River and the Muddy River join to form the Dirty Devil River, a significant tributary of the Colorado River.  Historically the natural hydrology of each stream was independent of the other, each characterized by high flows in spring from melting snow on Boulder Mountain, lower summer baseflows intermixed with large flood events originating from summer rainstorm runoff from the impervious rock of the lower elevation desert, and low winter baseflows. Both streams likely had continuous flow to the Fremont River for much of the year, though they were perhaps discontinuous during periods of drought.  However, at this time, the flows of Pleasant Creek and Oak Creek are hydrologically connected by considerable water management infrastructure that exists throughout their watersheds, and the baseflows of each are now highly modified by irrigation diversions to, and releases from Lower Bowns Reservoir that are determined by downstream irrigation demands.  Consequently, baseflows within the park may be both seasonally higher or lower than they were historically, and there is evidence that at sometimes of the year, both streams may experience extremely low flows and/or intermittent drying. Currently, both streams are hydrologically disconnected from the Fremont River for large periods of the year. A low head diversion grade control structure also exists on Pleasant Creek, just outside the eastern boundary of the park, below the actual Notum Diversion, but it is unknown if it is a barrier to upstream fish movement.  Survey Reach Start UTM Zone 12N: 488476 E, 4226998 N; Survey Reach End: 488351 E, 4226861 N",14070003,,,,,38.1907283900,-111.1329379600,,,,GPS-Unspecified,NAD83,,,,,,,US,49,055,,,,,,,,,,STORET
11NPSWRD_WQX,National Park Service Water Resources Division,11NPSWRD_WQX-CARE_FISH2021_PC2,Pleasant Creek Reach 2,River/Stream,"Pleasant Creek originates in the high country on Boulder Mountain, west of the park. It is a tributary of the Fremont River and flows east through the park, approximately parallel to Oak Creek, before joining the Fremont River at separate confluences, east of the park boundary. The Fremont River and the Muddy River join to form the Dirty Devil River, a significant tributary of the Colorado River.  Historically the natural hydrology of each stream was independent of the other, each characterized by high flows in spring from melting snow on Boulder Mountain, lower summer baseflows intermixed with large flood events originating from summer rainstorm runoff from the impervious rock of the lower elevation desert, and low winter baseflows. Both streams likely had continuous flow to the Fremont River for much of the year, though they were perhaps discontinuous during periods of drought.  However, at this time, the flows of Pleasant Creek and Oak Creek are hydrologically connected by considerable water management infrastructure that exists throughout their watersheds, and the baseflows of each are now highly modified by irrigation diversions to, and releases from Lower Bowns Reservoir that are determined by downstream irrigation demands.  Consequently, baseflows within the park may be both seasonally higher or lower than they were historically, and there is evidence that at sometimes of the year, both streams may experience extremely low flows and/or intermittent drying. Currently, both streams are hydrologically disconnected from the Fremont River for large periods of the year. A low head diversion grade control structure also exists on Pleasant Creek, just outside the eastern boundary of the park, below the actual Notum Diversion, but it is unknown if it is a barrier to upstream fish movement.  Survey Reach Start UTM Zone 12N: 488351 E, 4226861 N; Survey Reach End: 488341 E, 4226736 N",14070003,,,,,38.1890518900,-111.1331197200,,,,GPS-Unspecified,NAD83,,,,,,,US,49,055,,,,,,,,,,STORET
11NPSWRD_WQX,National Park Service Water Resources Division,11NPSWRD_WQX-CARE_FISH2021_PC3,Pleasant Creek Reach 3,River/Stream,"Pleasant Creek originates in the high country on Boulder Mountain, west of the park. It is a tributary of the Fremont River and flows east through the park, approximately parallel to Oak Creek, before joining the Fremont River at separate confluences, east of the park boundary. The Fremont River and the Muddy River join to form the Dirty Devil River, a significant tributary of the Colorado River.  Historically the natural hydrology of each stream was independent of the other, each characterized by high flows in spring from melting snow on Boulder Mountain, lower summer baseflows intermixed with large flood events originating from summer rainstorm runoff from the impervious rock of the lower elevation desert, and low winter baseflows. Both streams likely had continuous flow to the Fremont River for much of the year, though they were perhaps discontinuous during periods of drought.  However, at this time, the flows of Pleasant Creek and Oak Creek are hydrologically connected by considerable water management infrastructure that exists throughout their watersheds, and the baseflows of each are now highly modified by irrigation diversions to, and releases from Lower Bowns Reservoir that are determined by downstream irrigation demands.  Consequently, baseflows within the park may be both seasonally higher or lower than they were historically, and there is evidence that at sometimes of the year, both streams may experience extremely low flows and/or intermittent drying. Currently, both streams are hydrologically disconnected from the Fremont River for large periods of the year. A low head diversion grade control structure also exists on Pleasant Creek, just outside the eastern boundary of the park, below the actual Notum Diversion, but it is unknown if it is a barrier to upstream fish movement.  Survey Reach Start UTM Zone 12N: 488341 E, 4226736 N; Survey Reach End: 488135 E, 4226602 N",14070003,,,,,38.1879597200,-111.1344545300,,,,GPS-Unspecified,NAD83,,,,,,,US,49,055,,,,,,,,,,STORET
11NPSWRD_WQX,National Park Service Water Resources Division,11NPSWRD_WQX-CARE_FISH2021_PC4,Pleasant Creek Reach 4,River/Stream,"Pleasant Creek originates in the high country on Boulder Mountain, west of the park. It is a tributary of the Fremont River and flows east through the park, approximately parallel to Oak Creek, before joining the Fremont River at separate confluences, east of the park boundary. The Fremont River and the Muddy River join to form the Dirty Devil River, a significant tributary of the Colorado River.  Historically the natural hydrology of each stream was independent of the other, each characterized by high flows in spring from melting snow on Boulder Mountain, lower summer baseflows intermixed with large flood events originating from summer rainstorm runoff from the impervious rock of the lower elevation desert, and low winter baseflows. Both streams likely had continuous flow to the Fremont River for much of the year, though they were perhaps discontinuous during periods of drought.  However, at this time, the flows of Pleasant Creek and Oak Creek are hydrologically connected by considerable water management infrastructure that exists throughout their watersheds, and the baseflows of each are now highly modified by irrigation diversions to, and releases from Lower Bowns Reservoir that are determined by downstream irrigation demands.  Consequently, baseflows within the park may be both seasonally higher or lower than they were historically, and there is evidence that at sometimes of the year, both streams may experience extremely low flows and/or intermittent drying. Currently, both streams are hydrologically disconnected from the Fremont River for large periods of the year. A low head diversion grade control structure also exists on Pleasant Creek, just outside the eastern boundary of the park, below the actual Notum Diversion, but it is unknown if it is a barrier to upstream fish movement.  Survey Reach Start UTM Zone 12N: 484169 E, 4225823 N; Survey Reach End: 484039 E, 4225704 N",14070003,,,,,38.1797621300,-111.1814588600,,,,GPS-Unspecified,NAD83,,,,,,,US,49,055,,,,,,,,,,STORET
