OrganizationIdentifier,OrganizationFormalName,MonitoringLocationIdentifier,MonitoringLocationName,MonitoringLocationTypeName,MonitoringLocationDescriptionText,HUCEightDigitCode,DrainageAreaMeasure/MeasureValue,DrainageAreaMeasure/MeasureUnitCode,ContributingDrainageAreaMeasure/MeasureValue,ContributingDrainageAreaMeasure/MeasureUnitCode,LatitudeMeasure,LongitudeMeasure,SourceMapScaleNumeric,HorizontalAccuracyMeasure/MeasureValue,HorizontalAccuracyMeasure/MeasureUnitCode,HorizontalCollectionMethodName,HorizontalCoordinateReferenceSystemDatumName,VerticalMeasure/MeasureValue,VerticalMeasure/MeasureUnitCode,VerticalAccuracyMeasure/MeasureValue,VerticalAccuracyMeasure/MeasureUnitCode,VerticalCollectionMethodName,VerticalCoordinateReferenceSystemDatumName,CountryCode,StateCode,CountyCode,AquiferName,LocalAqfrName,FormationTypeText,AquiferTypeName,ConstructionDateText,WellDepthMeasure/MeasureValue,WellDepthMeasure/MeasureUnitCode,WellHoleDepthMeasure/MeasureValue,WellHoleDepthMeasure/MeasureUnitCode,ProviderName
USGS-SC,USGS South Carolina Water Science Center,USGS-02169625,"CONGAREE RIVER AT CONGAREE NP NEAR GADSDEN, SC",Stream,,03050110,8290,sq mi,,,33.81071000000000,-80.8670348000000,,.5,seconds,Interpolated from MAP.,NAD83,90.84,feet,.10,feet,Level or other surveyed method.,NGVD29,US,45,079,,,,,,,,,,NWIS
USGS-SC,USGS South Carolina Water Science Center,USGS-02169670,"CEDAR CREEK BELOW MYERS CREEK NR HOPKINS, SC",Stream,,03050110,66.9,sq mi,,,33.83987664000000,-80.8603678000000,24000,1,seconds,Interpolated from MAP.,NAD83,110,feet,5,feet,Interpolated from topographic map.,NGVD29,US,45,079,,,,,,,,,,NWIS
USGS-SC,USGS South Carolina Water Science Center,USGS-02169672,"CEDAR CREEK AT CONGAREE NP NEAR GADSDEN, SC",Stream,,03050110,71.0,sq mi,,,33.81626536000000,-80.8273121000000,24000,1,seconds,Interpolated from MAP.,NAD83,90.33,feet,5,feet,Interpolated from topographic map.,NGVD29,US,45,079,,,,,,,,,,NWIS
USGS-SC,USGS South Carolina Water Science Center,USGS-334513080384100,"CONGAREE RIV AT BATES BRIDGE SC 601 NR GADSDEN, SC",Stream,,03050110,,,,,33.75361110000000,-80.6447222000000,,1,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,,,,,,,US,45,079,,,,,,,,,,NWIS
USGS-SC,USGS South Carolina Water Science Center,USGS-334539080364800,"HORSESHOE LAKE NEAR SAMPSON ISLAND NEAR WATEREE,SC","Lake, Reservoir, Impoundment",,03050104,,,,,33.76077778000000,-80.6132222000000,,1,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,,,,,,,US,45,079,,,,,,,,,,NWIS
USGS-SC,USGS South Carolina Water Science Center,USGS-334542080363600,WATEREE RIVER AT SAMPSON ISLAND TRAIL NR WATEREE,Stream,,03050104,,,,,33.76166667000000,-80.6100000000000,,1,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,,,,,,,US,45,085,,,,,,,,,,NWIS
USGS-SC,USGS South Carolina Water Science Center,USGS-334553080425700,TOM'S CREEK AT JACK'S HOLE NR GADSDEN SC,Stream,,03050110,,,,,33.76472220000000,-80.7158333000000,,1,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,,,,,,,US,45,079,,,,,,,,,,NWIS
USGS-SC,USGS South Carolina Water Science Center,USGS-334709080381100,BATES OLD RIVER AT SC601 NEAR WATEREE SC,Stream,,03050110,,,,,33.78583330000000,-80.6363888900000,,1,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,,,,,,,US,45,079,,,,,,,,,,NWIS
USGS-SC,USGS South Carolina Water Science Center,USGS-334747080465000,CRESCENT LAKE CONGAREE SWAMP NATIONAL MONUMENT SC,"Lake, Reservoir, Impoundment",,03050110,,,,,33.79638889000000,-80.7805556000000,,1,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,,,,,,,US,45,079,,,,,,,,,,NWIS
USGS-SC,USGS South Carolina Water Science Center,USGS-334854080493800,"WISE LAKE AT SIMMS TRAIL NEAR GADSDEN,SC","Lake, Reservoir, Impoundment",,03050110,,,,,33.81500000000000,-80.8272222000000,,1,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,,,,,,,US,45,079,,,,,,,,,,NWIS
USGS-SC,USGS South Carolina Water Science Center,USGS-334907080514300,COOK'S GUT NEAR CNP,Stream,,03050110,,,,,33.81861110000000,-80.8619444000000,,1,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,,,,,,,US,45,079,,,,,,,,,,NWIS
USGS-SC,USGS South Carolina Water Science Center,USGS-334918080490300,"WESTON LAKE AT HIGH BROADWALK NEAR GADSDEN,SC","Lake, Reservoir, Impoundment",,03050110,,,,,33.82166667000000,-80.8175000000000,,1,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,,,,,,,US,45,079,,,,,,,,,,NWIS
USGS-SC,USGS South Carolina Water Science Center,USGS-334942080492800,MUCK SWAMP NEAR LOWER BOARDWALK CNP,Stream,,03050110,,,,,33.82833330000000,-80.8244444000000,,1,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,,,,,,,US,45,079,,,,,,,,,,NWIS
USGS-SC,USGS South Carolina Water Science Center,USGS-334942080492801,MUCK SWAMP 1 NR LOWER BOARDWALK CNP,Stream,,03050110,,,,,33.82833330000000,-80.8244444000000,,1,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,,,,,,,US,45,079,,,,,,,,,,NWIS
