OrganizationIdentifier,OrganizationFormalName,MonitoringLocationIdentifier,MonitoringLocationName,MonitoringLocationTypeName,MonitoringLocationDescriptionText,HUCEightDigitCode,DrainageAreaMeasure/MeasureValue,DrainageAreaMeasure/MeasureUnitCode,ContributingDrainageAreaMeasure/MeasureValue,ContributingDrainageAreaMeasure/MeasureUnitCode,LatitudeMeasure,LongitudeMeasure,SourceMapScaleNumeric,HorizontalAccuracyMeasure/MeasureValue,HorizontalAccuracyMeasure/MeasureUnitCode,HorizontalCollectionMethodName,HorizontalCoordinateReferenceSystemDatumName,VerticalMeasure/MeasureValue,VerticalMeasure/MeasureUnitCode,VerticalAccuracyMeasure/MeasureValue,VerticalAccuracyMeasure/MeasureUnitCode,VerticalCollectionMethodName,VerticalCoordinateReferenceSystemDatumName,CountryCode,StateCode,CountyCode,AquiferName,LocalAqfrName,FormationTypeText,AquiferTypeName,ConstructionDateText,WellDepthMeasure/MeasureValue,WellDepthMeasure/MeasureUnitCode,WellHoleDepthMeasure/MeasureValue,WellHoleDepthMeasure/MeasureUnitCode,ProviderName
11NPSWRD_WQX,National Park Service Water Resources Division,11NPSWRD_WQX-CRLA_LTLMP_SP20,Chaski Slide Area Spring # 20,Spring,This station is inside the boundary of Crater Lake National Park and is located at a large volume spring west of waterfall inside the caldera rim in the Chaski Slide area. Locational notes provided by park staff indicate that after 1985 the site is referred to as spring #20 but had previously been called #1by Crater Lake National Park staff and is marked with a stake.,18010201,,,,,42.9095000000,-122.1180000000,24000,,,Interpolation-Digital Map Source (Tiger),WGS84,,,,,,,US,41,035,,,,,,,,,,STORET
11NPSWRD_WQX,National Park Service Water Resources Division,11NPSWRD_WQX-CRLA_LTLMP_SP38,Rim Village Area Spring # 38,Spring,This station is inside the boundary of Crater Lake National Park and is located at a spring east of Sinnott Memorial inside the caldera rim in the Rim Village area.  Locational notes provided by park staff indicate that after 1985 the site is referred to as spring #38 but had previously been called #19 by Crater Lake National Park staff and is marked with a white flag and a stake.,18010201,,,,,42.9130000000,-122.1420000000,24000,,,Interpolation-Digital Map Source (Tiger),WGS84,,,,,,,US,41,035,,,,,,,,,,STORET
11NPSWRD_WQX,National Park Service Water Resources Division,11NPSWRD_WQX-CRLA_LTLMP_SP39,Rim Village Area Spring # 39,Spring,This station is inside the boundary of Crater Lake National Park and is located at a spring east of Sinnott Memorial inside the caldera rim in the Rim Village area.  Locational notes provided by park staff indicate that after 1985 the site is referred to as spring #39 but had previously been called #21 by Crater Lake National Park staff and is marked with a white flag and a stake.,18010201,,,,,42.9135000000,-122.1420000000,24000,,,Interpolation-Digital Map Source (Tiger),WGS84,,,,,,,US,41,035,,,,,,,,,,STORET
11NPSWRD_WQX,National Park Service Water Resources Division,11NPSWRD_WQX-CRLA_LTLMP_SP42,Rim Village Area Spring # 42,Spring,This station is inside the boundary of Crater Lake National Park and is located at a spring just west from old water level gauge inside the caldera rim in the Rim Village area.  Locational notes provided by park staff indicate that after 1985 the site is referred to as spring #42 but had previously been called #24 and #58 by Crater Lake National Park staff and is marked with a white flag and a stake.,18010201,,,,,42.9151000000,-122.1480000000,24000,,,Interpolation-Digital Map Source (Tiger),WGS84,,,,,,,US,41,035,,,,,,,,,,STORET
11NPSWRD_WQX,National Park Service Water Resources Division,11NPSWRD_WQX-CRLA_LTLMP_SP48,Discovery Point Area Spring # 48,Spring,This station is inside the boundary of Crater Lake National Park and is located at a voluminous water fall spring inside the caldera rim in the Discovery Point area.  Locational notes provided by park staff indicate that after 1985 the site is referred to as spring #48 and is marked with a stake.  The site had previously not been sampled by Crater Lake National Park staff.,18010201,,,,,42.9378000000,-122.1660000000,24000,,,Interpolation-Digital Map Source (Tiger),WGS84,,,,,,,US,41,035,,,,,,,,,,STORET
11NPSWRD_WQX,National Park Service Water Resources Division,11NPSWRD_WQX-CRLA_LTLMP_ST13,"Crater Lake Station 13, Long Term Monitoring Program",Lake,The site is within the boundary of Crater Lake National Park and is located near the center of a one mile by one mile square oriented northsouth on the northeast portion of Crater Lake in one of the deep basins.,18010201,,,,,42.9558000000,-122.0830000000,24000,,,Interpolation-Digital Map Source (Tiger),WGS84,6178,ft,,,Topographic Map Interpolation,NGVD29,US,41,035,,,,,,,,,,STORET
11NPSWRD_WQX,National Park Service Water Resources Division,11NPSWRD_WQX-CRLA_LTLMP_ST17,"Crater Lake Station 17, Long Term Monitoring Program",Lake,The site is located in Crater Lake near the center of a one mile by one mile square oriented northsouth established by Hoffman in 1969.  The site is thought to be near the center of the lake east of Wizard Island.  Latitudelongitude coordinates are very approximate.,18010201,,,,,42.9419000000,-122.1160000000,24000,,,Interpolation-Digital Map Source (Tiger),NAD83,6178,ft,,,Topographic Map Interpolation,NGVD29,US,41,035,,,,,,,,,,STORET
11NPSWRD_WQX,National Park Service Water Resources Division,11NPSWRD_WQX-CRLA_WQ01,Monitoring Location CRLA_WQ01,River/Stream Perennial,,18010201,,,,,42.8546000000,-121.9880000000,0,,,Interpolation-Digital Map Source,WGS84,,,,,,,US,41,035,,,,,,,,,,STORET
11NPSWRD_WQX,National Park Service Water Resources Division,11NPSWRD_WQX-CRLA_WQ02,Monitoring Location CRLA_WQ02,River/Stream Perennial,,18010203,,,,,42.8279000000,-122.0470000000,0,,,Interpolation-Digital Map Source,WGS84,,,,,,,US,41,035,,,,,,,,,,STORET
11NPSWRD_WQX,National Park Service Water Resources Division,11NPSWRD_WQX-CRLA_WQ03,Monitoring Location CRLA_WQ03,River/Stream Perennial,,18010203,,,,,42.8656000000,-122.0860000000,0,,,Interpolation-Digital Map Source,WGS84,,,,,,,US,41,035,,,,,,,,,,STORET
