OrganizationIdentifier,OrganizationFormalName,MonitoringLocationIdentifier,MonitoringLocationName,MonitoringLocationTypeName,MonitoringLocationDescriptionText,HUCEightDigitCode,DrainageAreaMeasure/MeasureValue,DrainageAreaMeasure/MeasureUnitCode,ContributingDrainageAreaMeasure/MeasureValue,ContributingDrainageAreaMeasure/MeasureUnitCode,LatitudeMeasure,LongitudeMeasure,SourceMapScaleNumeric,HorizontalAccuracyMeasure/MeasureValue,HorizontalAccuracyMeasure/MeasureUnitCode,HorizontalCollectionMethodName,HorizontalCoordinateReferenceSystemDatumName,VerticalMeasure/MeasureValue,VerticalMeasure/MeasureUnitCode,VerticalAccuracyMeasure/MeasureValue,VerticalAccuracyMeasure/MeasureUnitCode,VerticalCollectionMethodName,VerticalCoordinateReferenceSystemDatumName,CountryCode,StateCode,CountyCode,AquiferName,LocalAqfrName,FormationTypeText,AquiferTypeName,ConstructionDateText,WellDepthMeasure/MeasureValue,WellDepthMeasure/MeasureUnitCode,WellHoleDepthMeasure/MeasureValue,WellHoleDepthMeasure/MeasureUnitCode,ProviderName
USGS-OH,USGS Ohio Water Science Center,USGS-04206000,Cuyahoga River at Old Portage OH,Stream,,04110002,404,sq mi,404,sq mi,41.13561120000000,-81.5470622000000,,1,seconds,Interpolated from MAP.,NAD83,739.35,feet,.11,feet,Differentially corrected Global Positioning System.,NAVD88,US,39,153,,,,,,,,,,NWIS
USGS-OH,USGS Ohio Water Science Center,USGS-04206250,Cuyahoga River at Ira OH,Stream,,04110002,478,sq mi,,,41.18144429000000,-81.5831753000000,,1,seconds,Interpolated from MAP.,NAD83,,,,,,,US,39,153,,,,,,,,,,NWIS
USGS-OH,USGS Ohio Water Science Center,USGS-04206425,Cuyahoga River at Jaite OH,Stream,,04110002,555,sq mi,,,41.28894396000000,-81.5651192900000,,1,seconds,Interpolated from MAP.,NAD83,629.85,feet,.1,feet,Differentially corrected Global Positioning System.,NAVD88,US,39,153,,,,,,,,,,NWIS
USGS-OH,USGS Ohio Water Science Center,USGS-04208000,Cuyahoga River at Independence OH,Stream,,04110002,707,sq mi,707,sq mi,41.39533087000000,-81.6298478000000,,1,seconds,Interpolated from MAP.,NAD83,582.66,feet,.11,feet,Differentially corrected Global Positioning System.,NAVD88,US,39,035,,,,,,,,,,NWIS
USGS-OH,USGS Ohio Water Science Center,USGS-411202081385600,SU-23,Well,,04110002,,,,,41.20050000000000,-81.6488056000000,24000,1,seconds,Interpolated from Digital MAP.,NAD83,1115,feet,1.6,feet,Interpolated from Digital Elevation Model,NAVD88,US,39,153,,,,,19950916,95,ft,95,ft,NWIS
USGS-OH,USGS Ohio Water Science Center,USGS-411433081330000,Cuyahoga River near Lock 29 near Peninsula OH,Stream,,04110002,,,,,41.24250000000000,-81.5500000000000,,.5,seconds,Interpolated from MAP.,NAD83,,,,,,,US,39,153,,,,,,,,,,NWIS
USGS-OH,USGS Ohio Water Science Center,USGS-412226081344500,TINKERS C AT DUNHAM RD NR INDEPENDENCE OH,Stream,,04110002,,,,,41.37394275000000,-81.5790112000000,,1,seconds,Interpolated from MAP.,NAD83,,,,,,,US,39,035,,,,,,,,,,NWIS
21OHDGW_WQX,Division of Drinking and Ground Water (Ohio),21OHDGW_WQX-39SUM00178,Hudson Water Plant,Well,,04110002,,,,,41.2312150000,-81.4761070000,,,,GPS Carrier Phase Kinematic Relative Position,NAD83,993.0,ft,,,Other,OTHER,US,39,153,,,,,,,,141.0,ft,STORET
21OHIO_WQX,Division of Surface water (Ohio),21OHIO_WQX-200037,"CUYAHOGA R. AT CUYAHOGA FALLS, UPST. WATERWORKS PARK",River/Stream,CUYAHOGA RIVER RM 48.7,04110002,,,,,41.1492000000,-81.4567000000,24000,,,Interpolation-Map,NAD27,,,,,,,US,39,153,,,,,,,,,,STORET
21OHIO_WQX,Division of Surface water (Ohio),21OHIO_WQX-200038,CUYAHOGA R. AT CUYAHOGA FALLS @ WATERWORKS PARK,River/Stream,CUYAHOGA RIVER RM 48,04110002,,,,,41.1461000000,-81.4625000000,24000,,,Interpolation-Map,NAD27,,,,,,,US,39,153,,,,,,,,,,STORET
21OHIO_WQX,Division of Surface water (Ohio),21OHIO_WQX-200042,"CUYAHOGA R. AT AKRON, 0.5 MI. DST. OLD PORTAGE TRAIL",River/Stream,CUYAHOGA RIVER RM 39.7,04110002,,,,,41.1386000000,-81.5528000000,24000,,,Interpolation-Map,NAD27,,,,,,,US,39,153,,,,,,,,,,STORET
21OHIO_WQX,Division of Surface water (Ohio),21OHIO_WQX-200078,"TINKERS CREEK UPST. BEDFORD HEIGHTS WWTP, UPST. RICHMOND RD.",River/Stream,TINKERS CREEK RM 9,04110002,,,,,41.3750000000,-81.4858000000,24000,,,Interpolation-Map,NAD27,,,,,,,US,39,035,,,,,,,,,,STORET
21OHIO_WQX,Division of Surface water (Ohio),21OHIO_WQX-200081,"TINKERS CREEK NEAR TWINSBURG, 0.36 MI. UPST. RTS. 82 & 14",River/Stream,TINKERS CREEK RM 18,04110002,,,,,41.3081440000,-81.4368930000,24000,,,Interpolation-Map,NAD27,,,,,,,US,39,153,,,,,,,,,,STORET
21OHIO_WQX,Division of Surface water (Ohio),21OHIO_WQX-200083,TINKERS CREEK NEAR HUDSON @ RAVENNA RD,River/Stream,TINKERS CREEK RM 24.5,04110002,,,,,41.2692000000,-81.3931000000,24000,,,Interpolation-Map,NAD27,,,,,,,US,39,153,,,,,,,,,,STORET
21OHIO_WQX,Division of Surface water (Ohio),21OHIO_WQX-200101,FURNACE RUN NEAR EVERETT @ EVERETT RD.,River/Stream,FURNACE RUN RM .9,04110002,,,,,41.2036380000,-81.5829740000,24000,,,Interpolation-Map,NAD27,,,,,,,US,39,153,,,,,,,,,,STORET
21OHIO_WQX,Division of Surface water (Ohio),21OHIO_WQX-200102,"TRIB. TO FURNACE RUN (7.90) N OF RICHFIELD, NEAR MOUTH",River/Stream,TRIB. TO FURNACE RUN (RM 7.90) RM .2,04110002,,,,,41.2673780000,-81.6401580000,24000,,,Interpolation-Map,NAD27,,,,,,,US,39,153,,,,,,,,,,STORET
21OHIO_WQX,Division of Surface water (Ohio),21OHIO_WQX-300085,ROCK CREEK UPST. ELM GROVE BRIDGE,River/Stream,ROCK CREEK RM .2,04110002,,,,,41.2683440000,-81.6382650000,24000,,,Interpolation-Map,WGS84,,,,,,,US,39,153,,,,,,,,,,STORET
21OHIO_WQX,Division of Surface water (Ohio),21OHIO_WQX-300088,FURNACE RUN DST. CONFLUENCE WITH ROCK CREEK,River/Stream,FURNACE RUN RM 7.25,04110002,,,,,41.2600000000,-81.6371000000,24000,,,Interpolation-Map,WGS84,,,,,,,US,39,153,,,,,,,,,,STORET
21OHIO_WQX,Division of Surface water (Ohio),21OHIO_WQX-300089,FURNACE RUN @ BRUSH RD.,River/Stream,FURNACE RUN RM 6.5,04110002,,,,,41.2531940000,-81.6295000000,24000,,,Interpolation-Map,WGS84,,,,,,,US,39,153,,,,,,,,,,STORET
21OHIO_WQX,Division of Surface water (Ohio),21OHIO_WQX-300509,CUYAHOGA R. NEAR BRECKSVILLE @ ST. RT. 82 (DST DAM),River/Stream,CUYAHOGA RIVER RM 20.67,04110002,,,,,41.3215800000,-81.5873100000,24000,,,Interpolation-Map,NAD83,,,,,,,US,39,035,,,,,,,,,,STORET
21OHIO_WQX,Division of Surface water (Ohio),21OHIO_WQX-300510,CUYAHOGA R. NEAR OLD CARRIAGE TRAIL,River/Stream,CUYAHOGA RIVER RM 22.4,04110002,,,,,41.3017720000,-81.5760870000,24000,,,Interpolation-Map,NAD83,,,,,,,US,39,035,,,,,,,,,,STORET
21OHIO_WQX,Division of Surface water (Ohio),21OHIO_WQX-300550,"TINKERS CREEK NEAR BEDFORD, UPST. FALLS",River/Stream,TINKERS CREEK RM 6.5,04110002,,,,,41.3852120000,-81.5237530000,24000,,,Interpolation-Map,WGS84,,,,,,,US,39,035,,,,,,,,,,STORET
21OHIO_WQX,Division of Surface water (Ohio),21OHIO_WQX-300797,FURNACE RUN @ ST. RT. 21,River/Stream,FURNACE RUN RM 6.95,04110002,,,,,41.2578080000,-81.6334190000,24000,,,Interpolation-Map,NAD27,,,,,,,US,39,153,,,,,,,,,,STORET
21OHIO_WQX,Division of Surface water (Ohio),21OHIO_WQX-300880,TRIB. TO TINKERS CREEK (25.44/0.18/0.93) DST. I-80,River/Stream,TRIB. TO TINKERS CREEK (25.44/0.18/0.93) RM .6,04110002,,,,,41.2541610000,-81.4187920000,24000,,,Interpolation-Map,NAD27,,,,,,,US,39,153,,,,,,,,,,STORET
21OHIO_WQX,Division of Surface water (Ohio),21OHIO_WQX-301225,BATH CREEK SW OF BATH @ DERRWOOD RD.,River/Stream,BATH CREEK RM 1.8,04110002,,,,,41.1769100000,-81.6588990000,24000,,,Interpolation-Map,NAD27,,,,,,,US,39,153,,,,,,,,,,STORET
21OHIO_WQX,Division of Surface water (Ohio),21OHIO_WQX-301226,"BATH CREEK SW OF BATH, WITHIN RESTORATION AREA (POST-CONST.)",River/Stream,BATH CREEK RM 2.1,04110002,,,,,41.1828700000,-81.6599700000,24000,,,Interpolation-Map,NAD27,,,,,,,US,39,153,,,,,,,,,,STORET
21OHIO_WQX,Division of Surface water (Ohio),21OHIO_WQX-301227,"BATH CREEK SW OF BATH, UPST. RESTORATION AREA",River/Stream,BATH CREEK RM 2.3,04110002,,,,,41.1850500000,-81.6610600000,24000,,,Interpolation-Map,NAD27,,,,,,,US,39,153,,,,,,,,,,STORET
21OHIO_WQX,Division of Surface water (Ohio),21OHIO_WQX-301419,BRANDYWINE CREEK @ BRANDYWINE GORGE TRAIL BRIDGE,River/Stream,BRANDYWINE CREEK RM 1.5,04110002,,,,,41.2778000000,-81.5454000000,24000,,,Interpolation-Map,NAD27,,,,,,,US,39,153,,,,,,,,,,STORET
21OHIO_WQX,Division of Surface water (Ohio),21OHIO_WQX-301420,YELLOW CREEK DST. NORTH FORK @ WYE RD.,River/Stream,YELLOW CREEK RM 4.6,04110002,,,,,41.1576000000,-81.6369000000,24000,,,Interpolation-Map,NAD27,,,,,,,US,39,153,,,,,,,,,,STORET
21OHIO_WQX,Division of Surface water (Ohio),21OHIO_WQX-301421,TRIB. TO SALT RUN (1.65) UPST. VIRGINIA KENDALL LAKE,River/Stream,TRIB. TO SALT RUN (RM 1.65) RM .4,04110002,,,,,41.2184000000,-81.5228000000,24000,,,Interpolation-Map,NAD27,,,,,,,US,39,153,,,,,,,,,,STORET
