OrganizationIdentifier,OrganizationFormalName,ActivityIdentifier,ActivityTypeCode,ActivityMediaName,ActivityMediaSubdivisionName,ActivityStartDate,ActivityStartTime/Time,ActivityStartTime/TimeZoneCode,ActivityEndDate,ActivityEndTime/Time,ActivityEndTime/TimeZoneCode,ActivityRelativeDepthName,ActivityDepthHeightMeasure/MeasureValue,ActivityDepthHeightMeasure/MeasureUnitCode,ActivityDepthAltitudeReferencePointText,ActivityTopDepthHeightMeasure/MeasureValue,ActivityTopDepthHeightMeasure/MeasureUnitCode,ActivityBottomDepthHeightMeasure/MeasureValue,ActivityBottomDepthHeightMeasure/MeasureUnitCode,ProjectIdentifier,ActivityConductingOrganizationText,MonitoringLocationIdentifier,ActivityCommentText,SampleAquifer,HydrologicCondition,HydrologicEvent,ActivityLocation/LatitudeMeasure,ActivityLocation/LongitudeMeasure,ActivityLocation/SourceMapScaleNumeric,ActivityLocation/HorizontalAccuracyMeasure/MeasureValue,ActivityLocation/HorizontalAccuracyMeasure/MeasureUnitCode,ActivityLocation/HorizontalCollectionMethodName,ActivityLocation/HorizontalCoordinateReferenceSystemDatumName,AssemblageSampledName,CollectionDuration/MeasureValue,CollectionDuration/MeasureUnitCode,SamplingComponentName,SamplingComponentPlaceInSeriesNumeric,ReachLengthMeasure/MeasureValue,ReachLengthMeasure/MeasureUnitCode,ReachWidthMeasure/MeasureValue,ReachWidthMeasure/MeasureUnitCode,PassCount,NetTypeName,NetSurfaceAreaMeasure/MeasureValue,NetSurfaceAreaMeasure/MeasureUnitCode,NetMeshSizeMeasure/MeasureValue,NetMeshSizeMeasure/MeasureUnitCode,BoatSpeedMeasure/MeasureValue,BoatSpeedMeasure/MeasureUnitCode,CurrentSpeedMeasure/MeasureValue,CurrentSpeedMeasure/MeasureUnitCode,ToxicityTestType,SampleCollectionMethod/MethodIdentifier,SampleCollectionMethod/MethodIdentifierContext,SampleCollectionMethod/MethodName,SampleCollectionMethod/MethodQualifierTypeName,SampleCollectionMethod/MethodDescriptionText,SampleCollectionEquipmentName,SampleCollectionMethod/SampleCollectionEquipmentCommentText,SamplePreparationMethod/MethodIdentifier,SamplePreparationMethod/MethodIdentifierContext,SamplePreparationMethod/MethodName,SamplePreparationMethod/MethodQualifierTypeName,SamplePreparationMethod/MethodDescriptionText,SampleContainerTypeName,SampleContainerColorName,ChemicalPreservativeUsedName,ThermalPreservativeUsedName,SampleTransportStorageDescription,DataLoggerLine,ResultDetectionConditionText,MethodSpecificationName,CharacteristicName,ResultSampleFractionText,ResultMeasureValue,ResultMeasure/MeasureUnitCode,MeasureQualifierCode,ResultStatusIdentifier,StatisticalBaseCode,ResultValueTypeName,ResultWeightBasisText,ResultTimeBasisText,ResultTemperatureBasisText,ResultParticleSizeBasisText,PrecisionValue,DataQuality/BiasValue,ConfidenceIntervalValue,UpperConfidenceLimitValue,LowerConfidenceLimitValue,ResultCommentText,USGSPCode,ResultDepthHeightMeasure/MeasureValue,ResultDepthHeightMeasure/MeasureUnitCode,ResultDepthAltitudeReferencePointText,ResultSamplingPointName,BiologicalIntentName,BiologicalIndividualIdentifier,SubjectTaxonomicName,UnidentifiedSpeciesIdentifier,SampleTissueAnatomyName,GroupSummaryCountWeight/MeasureValue,GroupSummaryCountWeight/MeasureUnitCode,CellFormName,CellShapeName,HabitName,VoltismName,TaxonomicPollutionTolerance,TaxonomicPollutionToleranceScaleText,TrophicLevelName,FunctionalFeedingGroupName,TaxonomicDetailsCitation/ResourceTitleName,TaxonomicDetailsCitation/ResourceCreatorName,TaxonomicDetailsCitation/ResourceSubjectText,TaxonomicDetailsCitation/ResourcePublisherName,TaxonomicDetailsCitation/ResourceDate,TaxonomicDetailsCitation/ResourceIdentifier,FrequencyClassDescriptorCode,FrequencyClassDescriptorUnitCode,LowerClassBoundValue,UpperClassBoundValue,ResultAnalyticalMethod/MethodIdentifier,ResultAnalyticalMethod/MethodIdentifierContext,ResultAnalyticalMethod/MethodName,ResultAnalyticalMethod/MethodQualifierTypeName,MethodDescriptionText,LaboratoryName,AnalysisStartDate,AnalysisStartTime/Time,AnalysisStartTime/TimeZoneCode,AnalysisEndDate,AnalysisEndTime/Time,AnalysisEndTime/TimeZoneCode,ResultLaboratoryCommentCode,ResultLaboratoryCommentText,DetectionQuantitationLimitTypeName,DetectionQuantitationLimitMeasure/MeasureValue,DetectionQuantitationLimitMeasure/MeasureUnitCode,LaboratoryAccreditationIndicator,LaboratoryAccreditationAuthorityName,TaxonomistAccreditationIndicator,TaxonomistAccreditationAuthorityName,LabSamplePreparationMethod/MethodIdentifier,LabSamplePreparationMethod/MethodIdentifierContext,LabSamplePreparationMethod/MethodName,LabSamplePreparationMethod/MethodQualifierTypeName,LabSamplePreparationMethod/MethodDescriptionText,PreparationStartDate,PreparationStartTime/Time,PreparationStartTime/TimeZoneCode,PreparationEndDate,PreparationEndTime/Time,PreparationEndTime/TimeZoneCode,SubstitutionDilutionFactorNumeric,ProviderName
21FLWQA_WQX,FDEP Watershed Assessment Section (WAS),21FLWQA_WQX-DRTO - GARDEN KEY HARB-09/18/22-FP1,Field Msr/Obs,Water,Surface Water,2022-09-18,14:58:00,EST,2022-09-18,14:58:00,EST,,7.1,m,,,,,,APNUTR,FDEP COUPON BIGHT AQUATIC PRESERVE,21FLWQA_WQX-G5AP0025,,,,,24.6268999860,-82.8723000000,,,,,,,,,,,,,,,,,,,,,,,,,,Field Test-Discrete,21FLWQA_WQX,Field Testing- Discrete,,"Single field measurement obtained from a calibrated instrument (e.g., field testing meter, data sonde, ruler, Secchi disk), either manually or electronically.",Miscellaneous (Other),,,,,,,,,,,,,,,"Temperature, water",,30.7,deg C,,Final,,Actual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FDEP FT1400,21FLWQA_WQX,FDEP FT1400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,STORET
21FLWQA_WQX,FDEP Watershed Assessment Section (WAS),21FLWQA_WQX-DRTO - GARDEN KEY HARB-09/18/22-FP1,Field Msr/Obs,Water,Surface Water,2022-09-18,14:58:00,EST,2022-09-18,14:58:00,EST,,7.1,m,,,,,,APNUTR,FDEP COUPON BIGHT AQUATIC PRESERVE,21FLWQA_WQX-G5AP0025,,,,,24.6268999860,-82.8723000000,,,,,,,,,,,,,,,,,,,,,,,,,,Field Test-Discrete,21FLWQA_WQX,Field Testing- Discrete,,"Single field measurement obtained from a calibrated instrument (e.g., field testing meter, data sonde, ruler, Secchi disk), either manually or electronically.",Miscellaneous (Other),,,,,,,,,,,,,,,Salinity,,35.33,ppth,,Final,,Actual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FDEP FT1300,21FLWQA_WQX,FDEP FT1300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,STORET
21FLWQA_WQX,FDEP Watershed Assessment Section (WAS),21FLWQA_WQX-DRTO - LOGGERHEAD FORE-09/18/22-FP1,Field Msr/Obs,Water,Surface Water,2022-09-18,12:56:00,EST,2022-09-18,12:56:00,EST,,14.2,m,,,,,,APNUTR,FDEP COUPON BIGHT AQUATIC PRESERVE,21FLWQA_WQX-G5AP0022,,,,,24.6623999860,-82.9274000000,,,,,,,,,,,,,,,,,,,,,,,,,,Field Test-Discrete,21FLWQA_WQX,Field Testing- Discrete,,"Single field measurement obtained from a calibrated instrument (e.g., field testing meter, data sonde, ruler, Secchi disk), either manually or electronically.",Miscellaneous (Other),,,,,,,,,,,,,,,Dissolved oxygen saturation,,98.4,%,,Final,,Actual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FDEP FT1500,21FLWQA_WQX,FDEP FT1500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,STORET
21FLWQA_WQX,FDEP Watershed Assessment Section (WAS),21FLWQA_WQX-DRTO - BIRD KEY REED-09/18/22-FP1,Field Msr/Obs,Water,Surface Water,2022-09-18,14:09:00,EST,2022-09-18,14:09:00,EST,,9.5,m,,,,,,APNUTR,FDEP COUPON BIGHT AQUATIC PRESERVE,21FLWQA_WQX-G5AP0023,,,,,24.6116999860,-82.8702000000,,,,,,,,,,,,,,,,,,,,,,,,,,Field Test-Discrete,21FLWQA_WQX,Field Testing- Discrete,,"Single field measurement obtained from a calibrated instrument (e.g., field testing meter, data sonde, ruler, Secchi disk), either manually or electronically.",Miscellaneous (Other),,,,,,,,,,,,,,,pH,,8.1,None,,Final,,Actual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FDEP FT1100,21FLWQA_WQX,FDEP FT1100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,STORET
21FLWQA_WQX,FDEP Watershed Assessment Section (WAS),21FLWQA_WQX-DRTO - BIRD KEY REED-09/18/22-FP1,Field Msr/Obs,Water,Surface Water,2022-09-18,14:09:00,EST,2022-09-18,14:09:00,EST,,9.5,m,,,,,,APNUTR,FDEP COUPON BIGHT AQUATIC PRESERVE,21FLWQA_WQX-G5AP0023,,,,,24.6116999860,-82.8702000000,,,,,,,,,,,,,,,,,,,,,,,,,,Field Test-Discrete,21FLWQA_WQX,Field Testing- Discrete,,"Single field measurement obtained from a calibrated instrument (e.g., field testing meter, data sonde, ruler, Secchi disk), either manually or electronically.",Miscellaneous (Other),,,,,,,,,,,,,,,Specific conductance,,53700,umho/cm,,Final,,Actual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FDEP FT1200,21FLWQA_WQX,FDEP FT1200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,STORET
21FLWQA_WQX,FDEP Watershed Assessment Section (WAS),21FLWQA_WQX-DRTO - BIRD KEY REED-09/18/22-FP1,Field Msr/Obs,Water,Surface Water,2022-09-18,14:09:00,EST,2022-09-18,14:09:00,EST,,9.5,m,,,,,,APNUTR,FDEP COUPON BIGHT AQUATIC PRESERVE,21FLWQA_WQX-G5AP0023,,,,,24.6116999860,-82.8702000000,,,,,,,,,,,,,,,,,,,,,,,,,,Field Test-Discrete,21FLWQA_WQX,Field Testing- Discrete,,"Single field measurement obtained from a calibrated instrument (e.g., field testing meter, data sonde, ruler, Secchi disk), either manually or electronically.",Miscellaneous (Other),,,,,,,,,,,,,,,"Temperature, water",,30.4,deg C,,Final,,Actual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FDEP FT1400,21FLWQA_WQX,FDEP FT1400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,STORET
21FLWQA_WQX,FDEP Watershed Assessment Section (WAS),21FLWQA_WQX-DRTO - LOGGERHEAD FORE-09/18/22,Sample-Routine,Water,Surface Water,2022-09-18,12:56:00,EST,2022-09-18,12:56:00,EST,,14.2,m,,,,,,APNUTR,FDEP COUPON BIGHT AQUATIC PRESERVE,21FLWQA_WQX-G5AP0022,,,,,24.6623999860,-82.9274000000,,,,,,,,,,,,,,,,,,,,,,,,,,Direct Grab,21FLWQA_WQX,Direct Grab,,"An individual sample collected at one time period, generally not exceeding 15 minutes.  Grab samples represent the conditions that exist at the moment the sample is collected.  Use sample container to directly collect the sample.  For Aqueous matrices, all sample containers for individual analytes or analyte groups must be filled from the sampling location or source within the 15-minute window.",Water Bottle,,,,,,,,,,,,,,as P,Phosphorus,Total,0.005,mg/L,,Final,,Actual,,,,,,,,,,**I**,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,365.1,USEPA,Phosphorus by Colorimetry,,https://www.nemi.gov/methods/method_summary/4823/,E31780,2022-09-23,0001-01-01 14:22:00,EST,,,,,,Practical Quantitation Limit,.01,mg/L,,NELAC,,,,,,,,,,,,,,,STORET
21FLWQA_WQX,FDEP Watershed Assessment Section (WAS),21FLWQA_WQX-DRTO - LOGGERHEAD FORE-09/18/22-FP1,Field Msr/Obs,Water,Surface Water,2022-09-18,12:56:00,EST,2022-09-18,12:56:00,EST,,14.2,m,,,,,,APNUTR,FDEP COUPON BIGHT AQUATIC PRESERVE,21FLWQA_WQX-G5AP0022,,,,,24.6623999860,-82.9274000000,,,,,,,,,,,,,,,,,,,,,,,,,,Field Test-Discrete,21FLWQA_WQX,Field Testing- Discrete,,"Single field measurement obtained from a calibrated instrument (e.g., field testing meter, data sonde, ruler, Secchi disk), either manually or electronically.",Miscellaneous (Other),,,,,,,,,,,,,,,Specific conductance,,53959,umho/cm,,Final,,Actual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FDEP FT1200,21FLWQA_WQX,FDEP FT1200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,STORET
21FLWQA_WQX,FDEP Watershed Assessment Section (WAS),21FLWQA_WQX-DRTO - BIRD KEY REED-09/18/22,Sample-Routine,Water,Surface Water,2022-09-18,14:09:00,EST,2022-09-18,14:09:00,EST,,9.5,m,,,,,,APNUTR,FDEP COUPON BIGHT AQUATIC PRESERVE,21FLWQA_WQX-G5AP0023,,,,,24.6116999860,-82.8702000000,,,,,,,,,,,,,,,,,,,,,,,,,,Direct Grab,21FLWQA_WQX,Direct Grab,,"An individual sample collected at one time period, generally not exceeding 15 minutes.  Grab samples represent the conditions that exist at the moment the sample is collected.  Use sample container to directly collect the sample.  For Aqueous matrices, all sample containers for individual analytes or analyte groups must be filled from the sampling location or source within the 15-minute window.",Water Bottle,,,,,,,,,,,,,,as N,Total Kjeldahl nitrogen (Organic N & NH3),Total,0.16,mg/L,,Final,,Actual,,,,,,,,,,**U**,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,351.2,USEPA,351.2 ~ EPA; Total Kjeldahl Nitrogen by Colorimetry,,https://www.nemi.gov/methods/method_summary/9626/,E31780,2022-09-26,0001-01-01 14:27:00,EST,,,,,,Practical Quantitation Limit,.4,mg/L,,NELAC,,,,,,,,,,,,,,,STORET
21FLWQA_WQX,FDEP Watershed Assessment Section (WAS),21FLWQA_WQX-DRTO - GARDEN KEY HARB-09/18/22-FP1,Field Msr/Obs,Water,Surface Water,2022-09-18,14:58:00,EST,2022-09-18,14:58:00,EST,,7.1,m,,,,,,APNUTR,FDEP COUPON BIGHT AQUATIC PRESERVE,21FLWQA_WQX-G5AP0025,,,,,24.6268999860,-82.8723000000,,,,,,,,,,,,,,,,,,,,,,,,,,Field Test-Discrete,21FLWQA_WQX,Field Testing- Discrete,,"Single field measurement obtained from a calibrated instrument (e.g., field testing meter, data sonde, ruler, Secchi disk), either manually or electronically.",Miscellaneous (Other),,,,,,,,,,,,,,,Dissolved oxygen saturation,,116.3,%,,Final,,Actual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FDEP FT1500,21FLWQA_WQX,FDEP FT1500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,STORET
