OrganizationIdentifier,OrganizationFormalName,ActivityIdentifier,ActivityTypeCode,ActivityMediaName,ActivityMediaSubdivisionName,ActivityStartDate,ActivityStartTime/Time,ActivityStartTime/TimeZoneCode,ActivityEndDate,ActivityEndTime/Time,ActivityEndTime/TimeZoneCode,ActivityRelativeDepthName,ActivityDepthHeightMeasure/MeasureValue,ActivityDepthHeightMeasure/MeasureUnitCode,ActivityDepthAltitudeReferencePointText,ActivityTopDepthHeightMeasure/MeasureValue,ActivityTopDepthHeightMeasure/MeasureUnitCode,ActivityBottomDepthHeightMeasure/MeasureValue,ActivityBottomDepthHeightMeasure/MeasureUnitCode,ProjectIdentifier,ProjectName,ActivityConductingOrganizationText,MonitoringLocationIdentifier,MonitoringLocationName,ActivityCommentText,SampleAquifer,HydrologicCondition,HydrologicEvent,ActivityLocation/LatitudeMeasure,ActivityLocation/LongitudeMeasure,SampleCollectionMethod/MethodIdentifier,SampleCollectionMethod/MethodIdentifierContext,SampleCollectionMethod/MethodName,SampleCollectionMethod/MethodDescriptionText,SampleCollectionEquipmentName,ResultIdentifier,ResultDetectionConditionText,MethodSpeciationName,CharacteristicName,ResultSampleFractionText,ResultMeasureValue,ResultMeasure/MeasureUnitCode,MeasureQualifierCode,ResultStatusIdentifier,StatisticalBaseCode,ResultValueTypeName,ResultWeightBasisText,ResultTimeBasisText,ResultTemperatureBasisText,ResultParticleSizeBasisText,DataQuality/PrecisionValue,DataQuality/BiasValue,DataQuality/ConfidenceIntervalValue,DataQuality/UpperConfidenceLimitValue,DataQuality/LowerConfidenceLimitValue,ResultCommentText,USGSPCode,ResultDepthHeightMeasure/MeasureValue,ResultDepthHeightMeasure/MeasureUnitCode,ResultDepthAltitudeReferencePointText,SubjectTaxonomicName,SampleTissueAnatomyName,BinaryObjectFileName,BinaryObjectFileTypeCode,ResultFileUrl,ResultAnalyticalMethod/MethodIdentifier,ResultAnalyticalMethod/MethodIdentifierContext,ResultAnalyticalMethod/MethodName,ResultAnalyticalMethod/MethodUrl,ResultAnalyticalMethod/MethodDescriptionText,LaboratoryName,AnalysisStartDate,ResultLaboratoryCommentText,ResultDetectionQuantitationLimitUrl,DetectionQuantitationLimitTypeName,DetectionQuantitationLimitMeasure/MeasureValue,DetectionQuantitationLimitMeasure/MeasureUnitCode,LabSamplePreparationUrl,LastUpdated,ProviderName
21FLWQA_WQX,FDEP Watershed Assessment Section (WAS),21FLWQA_WQX-DRTO - GARDEN KEY HARB-09/18/22-FP1,Field Msr/Obs,Water,Surface Water,2022-09-18,14:58:00,EST,2022-09-18,14:58:00,EST,,7.1,m,,,,,,APNUTR,APNUTR,FDEP COUPON BIGHT AQUATIC PRESERVE,21FLWQA_WQX-G5AP0025,DRTO - Garden Key Harbor,,,,,24.6268999860,-82.8723000000,Field Test-Discrete,21FLWQA_WQX,Field Testing- Discrete,"Single field measurement obtained from a calibrated instrument (e.g., field testing meter, data sonde, ruler, Secchi disk), either manually or electronically.",Miscellaneous (Other),STORET-968950091,,,"Temperature, water",,30.7,deg C,,Final,,Actual,,,,,,,,,,,,,,,,,,,,FDEP FT1400,21FLWQA_WQX,FDEP FT1400,,,,,,,,,,,2023-03-01T12:12:11,STORET
21FLWQA_WQX,FDEP Watershed Assessment Section (WAS),21FLWQA_WQX-DRTO - GARDEN KEY HARB-09/18/22-FP1,Field Msr/Obs,Water,Surface Water,2022-09-18,14:58:00,EST,2022-09-18,14:58:00,EST,,7.1,m,,,,,,APNUTR,APNUTR,FDEP COUPON BIGHT AQUATIC PRESERVE,21FLWQA_WQX-G5AP0025,DRTO - Garden Key Harbor,,,,,24.6268999860,-82.8723000000,Field Test-Discrete,21FLWQA_WQX,Field Testing- Discrete,"Single field measurement obtained from a calibrated instrument (e.g., field testing meter, data sonde, ruler, Secchi disk), either manually or electronically.",Miscellaneous (Other),STORET-968950093,,,Salinity,,35.33,ppth,,Final,,Actual,,,,,,,,,,,,,,,,,,,,FDEP FT1300,21FLWQA_WQX,FDEP FT1300,,,,,,,,,,,2023-03-01T12:12:11,STORET
21FLWQA_WQX,FDEP Watershed Assessment Section (WAS),21FLWQA_WQX-DRTO - LOGGERHEAD FORE-09/18/22-FP1,Field Msr/Obs,Water,Surface Water,2022-09-18,12:56:00,EST,2022-09-18,12:56:00,EST,,14.2,m,,,,,,APNUTR,APNUTR,FDEP COUPON BIGHT AQUATIC PRESERVE,21FLWQA_WQX-G5AP0022,DRTO - Loggerhead Forest,,,,,24.6623999860,-82.9274000000,Field Test-Discrete,21FLWQA_WQX,Field Testing- Discrete,"Single field measurement obtained from a calibrated instrument (e.g., field testing meter, data sonde, ruler, Secchi disk), either manually or electronically.",Miscellaneous (Other),STORET-968949930,,,Dissolved oxygen saturation,,98.4,%,,Final,,Actual,,,,,,,,,,,,,,,,,,,,FDEP FT1500,21FLWQA_WQX,FDEP FT1500,,,,,,,,,,,2023-03-01T12:12:09,STORET
21FLWQA_WQX,FDEP Watershed Assessment Section (WAS),21FLWQA_WQX-DRTO - BIRD KEY REED-09/18/22-FP1,Field Msr/Obs,Water,Surface Water,2022-09-18,14:09:00,EST,2022-09-18,14:09:00,EST,,9.5,m,,,,,,APNUTR,APNUTR,FDEP COUPON BIGHT AQUATIC PRESERVE,21FLWQA_WQX-G5AP0023,DRTO - Bird Key Reef,,,,,24.6116999860,-82.8702000000,Field Test-Discrete,21FLWQA_WQX,Field Testing- Discrete,"Single field measurement obtained from a calibrated instrument (e.g., field testing meter, data sonde, ruler, Secchi disk), either manually or electronically.",Miscellaneous (Other),STORET-968952668,,,pH,,8.1,None,,Final,,Actual,,,,,,,,,,,,,,,,,,,,FDEP FT1100,21FLWQA_WQX,FDEP FT1100,,,,,,,,,,,2023-03-01T12:12:40,STORET
21FLWQA_WQX,FDEP Watershed Assessment Section (WAS),21FLWQA_WQX-DRTO - BIRD KEY REED-09/18/22-FP1,Field Msr/Obs,Water,Surface Water,2022-09-18,14:09:00,EST,2022-09-18,14:09:00,EST,,9.5,m,,,,,,APNUTR,APNUTR,FDEP COUPON BIGHT AQUATIC PRESERVE,21FLWQA_WQX-G5AP0023,DRTO - Bird Key Reef,,,,,24.6116999860,-82.8702000000,Field Test-Discrete,21FLWQA_WQX,Field Testing- Discrete,"Single field measurement obtained from a calibrated instrument (e.g., field testing meter, data sonde, ruler, Secchi disk), either manually or electronically.",Miscellaneous (Other),STORET-968952669,,,Specific conductance,,53700,umho/cm,,Final,,Actual,,,,,,,,,,,,,,,,,,,,FDEP FT1200,21FLWQA_WQX,FDEP FT1200,,,,,,,,,,,2023-03-01T12:12:40,STORET
21FLWQA_WQX,FDEP Watershed Assessment Section (WAS),21FLWQA_WQX-DRTO - BIRD KEY REED-09/18/22-FP1,Field Msr/Obs,Water,Surface Water,2022-09-18,14:09:00,EST,2022-09-18,14:09:00,EST,,9.5,m,,,,,,APNUTR,APNUTR,FDEP COUPON BIGHT AQUATIC PRESERVE,21FLWQA_WQX-G5AP0023,DRTO - Bird Key Reef,,,,,24.6116999860,-82.8702000000,Field Test-Discrete,21FLWQA_WQX,Field Testing- Discrete,"Single field measurement obtained from a calibrated instrument (e.g., field testing meter, data sonde, ruler, Secchi disk), either manually or electronically.",Miscellaneous (Other),STORET-968952667,,,"Temperature, water",,30.4,deg C,,Final,,Actual,,,,,,,,,,,,,,,,,,,,FDEP FT1400,21FLWQA_WQX,FDEP FT1400,,,,,,,,,,,2023-03-01T12:12:40,STORET
21FLWQA_WQX,FDEP Watershed Assessment Section (WAS),21FLWQA_WQX-DRTO - LOGGERHEAD FORE-09/18/22,Sample-Routine,Water,Surface Water,2022-09-18,12:56:00,EST,2022-09-18,12:56:00,EST,,14.2,m,,,,,,APNUTR,APNUTR,FDEP COUPON BIGHT AQUATIC PRESERVE,21FLWQA_WQX-G5AP0022,DRTO - Loggerhead Forest,,,,,24.6623999860,-82.9274000000,Direct Grab,21FLWQA_WQX,Direct Grab,"An individual sample collected at one time period, generally not exceeding 15 minutes.  Grab samples represent the conditions that exist at the moment the sample is collected.  Use sample container to directly collect the sample.  For Aqueous matrices, all sample containers for individual analytes or analyte groups must be filled from the sampling location or source within the 15-minute window.",Water Bottle,STORET-968945816,,as P,Phosphorus,Total,0.005,mg/L,,Final,,Actual,,,,,,,,,,**I**,,,,,,,,,,365.1,USEPA,Phosphorus by Colorimetry,,https://www.nemi.gov/methods/method_summary/4823/,E31780,2022-09-23,,https://www.waterqualitydata.us/data/providers/STORET/organizations/21FLWQA_WQX/activities/21FLWQA_WQX-DRTO%20-%20LOGGERHEAD%20FORE-09%2F18%2F22/results/968945816/resdetectqntlmts,Practical Quantitation Limit,.01,mg/L,,2023-03-01T12:11:17,STORET
21FLWQA_WQX,FDEP Watershed Assessment Section (WAS),21FLWQA_WQX-DRTO - LOGGERHEAD FORE-09/18/22-FP1,Field Msr/Obs,Water,Surface Water,2022-09-18,12:56:00,EST,2022-09-18,12:56:00,EST,,14.2,m,,,,,,APNUTR,APNUTR,FDEP COUPON BIGHT AQUATIC PRESERVE,21FLWQA_WQX-G5AP0022,DRTO - Loggerhead Forest,,,,,24.6623999860,-82.9274000000,Field Test-Discrete,21FLWQA_WQX,Field Testing- Discrete,"Single field measurement obtained from a calibrated instrument (e.g., field testing meter, data sonde, ruler, Secchi disk), either manually or electronically.",Miscellaneous (Other),STORET-968949932,,,Specific conductance,,53959,umho/cm,,Final,,Actual,,,,,,,,,,,,,,,,,,,,FDEP FT1200,21FLWQA_WQX,FDEP FT1200,,,,,,,,,,,2023-03-01T12:12:09,STORET
21FLWQA_WQX,FDEP Watershed Assessment Section (WAS),21FLWQA_WQX-DRTO - BIRD KEY REED-09/18/22,Sample-Routine,Water,Surface Water,2022-09-18,14:09:00,EST,2022-09-18,14:09:00,EST,,9.5,m,,,,,,APNUTR,APNUTR,FDEP COUPON BIGHT AQUATIC PRESERVE,21FLWQA_WQX-G5AP0023,DRTO - Bird Key Reef,,,,,24.6116999860,-82.8702000000,Direct Grab,21FLWQA_WQX,Direct Grab,"An individual sample collected at one time period, generally not exceeding 15 minutes.  Grab samples represent the conditions that exist at the moment the sample is collected.  Use sample container to directly collect the sample.  For Aqueous matrices, all sample containers for individual analytes or analyte groups must be filled from the sampling location or source within the 15-minute window.",Water Bottle,STORET-968944589,,as N,Total Kjeldahl nitrogen (Organic N & NH3),Total,0.16,mg/L,,Final,,Actual,,,,,,,,,,**U**,,,,,,,,,,351.2,USEPA,351.2 ~ EPA; Total Kjeldahl Nitrogen by Colorimetry,,https://www.nemi.gov/methods/method_summary/9626/,E31780,2022-09-26,,https://www.waterqualitydata.us/data/providers/STORET/organizations/21FLWQA_WQX/activities/21FLWQA_WQX-DRTO%20-%20BIRD%20KEY%20REED-09%2F18%2F22/results/968944589/resdetectqntlmts,Practical Quantitation Limit,.4,mg/L,,2023-03-01T12:11:01,STORET
21FLWQA_WQX,FDEP Watershed Assessment Section (WAS),21FLWQA_WQX-DRTO - GARDEN KEY HARB-09/18/22-FP1,Field Msr/Obs,Water,Surface Water,2022-09-18,14:58:00,EST,2022-09-18,14:58:00,EST,,7.1,m,,,,,,APNUTR,APNUTR,FDEP COUPON BIGHT AQUATIC PRESERVE,21FLWQA_WQX-G5AP0025,DRTO - Garden Key Harbor,,,,,24.6268999860,-82.8723000000,Field Test-Discrete,21FLWQA_WQX,Field Testing- Discrete,"Single field measurement obtained from a calibrated instrument (e.g., field testing meter, data sonde, ruler, Secchi disk), either manually or electronically.",Miscellaneous (Other),STORET-968950095,,,Dissolved oxygen saturation,,116.3,%,,Final,,Actual,,,,,,,,,,,,,,,,,,,,FDEP FT1500,21FLWQA_WQX,FDEP FT1500,,,,,,,,,,,2023-03-01T12:12:11,STORET
