OrganizationIdentifier,OrganizationFormalName,ActivityIdentifier,ActivityTypeCode,ActivityMediaName,ActivityMediaSubdivisionName,ActivityStartDate,ActivityStartTime/Time,ActivityStartTime/TimeZoneCode,ActivityEndDate,ActivityEndTime/Time,ActivityEndTime/TimeZoneCode,ActivityRelativeDepthName,ActivityDepthHeightMeasure/MeasureValue,ActivityDepthHeightMeasure/MeasureUnitCode,ActivityDepthAltitudeReferencePointText,ActivityTopDepthHeightMeasure/MeasureValue,ActivityTopDepthHeightMeasure/MeasureUnitCode,ActivityBottomDepthHeightMeasure/MeasureValue,ActivityBottomDepthHeightMeasure/MeasureUnitCode,ProjectIdentifier,ActivityConductingOrganizationText,MonitoringLocationIdentifier,ActivityCommentText,SampleAquifer,HydrologicCondition,HydrologicEvent,ActivityLocation/LatitudeMeasure,ActivityLocation/LongitudeMeasure,ActivityLocation/SourceMapScaleNumeric,ActivityLocation/HorizontalAccuracyMeasure/MeasureValue,ActivityLocation/HorizontalAccuracyMeasure/MeasureUnitCode,ActivityLocation/HorizontalCollectionMethodName,ActivityLocation/HorizontalCoordinateReferenceSystemDatumName,AssemblageSampledName,CollectionDuration/MeasureValue,CollectionDuration/MeasureUnitCode,SamplingComponentName,SamplingComponentPlaceInSeriesNumeric,ReachLengthMeasure/MeasureValue,ReachLengthMeasure/MeasureUnitCode,ReachWidthMeasure/MeasureValue,ReachWidthMeasure/MeasureUnitCode,PassCount,NetTypeName,NetSurfaceAreaMeasure/MeasureValue,NetSurfaceAreaMeasure/MeasureUnitCode,NetMeshSizeMeasure/MeasureValue,NetMeshSizeMeasure/MeasureUnitCode,BoatSpeedMeasure/MeasureValue,BoatSpeedMeasure/MeasureUnitCode,CurrentSpeedMeasure/MeasureValue,CurrentSpeedMeasure/MeasureUnitCode,ToxicityTestType,SampleCollectionMethod/MethodIdentifier,SampleCollectionMethod/MethodIdentifierContext,SampleCollectionMethod/MethodName,SampleCollectionMethod/MethodQualifierTypeName,SampleCollectionMethod/MethodDescriptionText,SampleCollectionEquipmentName,SampleCollectionMethod/SampleCollectionEquipmentCommentText,SamplePreparationMethod/MethodIdentifier,SamplePreparationMethod/MethodIdentifierContext,SamplePreparationMethod/MethodName,SamplePreparationMethod/MethodQualifierTypeName,SamplePreparationMethod/MethodDescriptionText,SampleContainerTypeName,SampleContainerColorName,ChemicalPreservativeUsedName,ThermalPreservativeUsedName,SampleTransportStorageDescription,DataLoggerLine,ResultDetectionConditionText,MethodSpecificationName,CharacteristicName,ResultSampleFractionText,ResultMeasureValue,ResultMeasure/MeasureUnitCode,MeasureQualifierCode,ResultStatusIdentifier,StatisticalBaseCode,ResultValueTypeName,ResultWeightBasisText,ResultTimeBasisText,ResultTemperatureBasisText,ResultParticleSizeBasisText,PrecisionValue,DataQuality/BiasValue,ConfidenceIntervalValue,UpperConfidenceLimitValue,LowerConfidenceLimitValue,ResultCommentText,USGSPCode,ResultDepthHeightMeasure/MeasureValue,ResultDepthHeightMeasure/MeasureUnitCode,ResultDepthAltitudeReferencePointText,ResultSamplingPointName,BiologicalIntentName,BiologicalIndividualIdentifier,SubjectTaxonomicName,UnidentifiedSpeciesIdentifier,SampleTissueAnatomyName,GroupSummaryCountWeight/MeasureValue,GroupSummaryCountWeight/MeasureUnitCode,CellFormName,CellShapeName,HabitName,VoltismName,TaxonomicPollutionTolerance,TaxonomicPollutionToleranceScaleText,TrophicLevelName,FunctionalFeedingGroupName,TaxonomicDetailsCitation/ResourceTitleName,TaxonomicDetailsCitation/ResourceCreatorName,TaxonomicDetailsCitation/ResourceSubjectText,TaxonomicDetailsCitation/ResourcePublisherName,TaxonomicDetailsCitation/ResourceDate,TaxonomicDetailsCitation/ResourceIdentifier,FrequencyClassDescriptorCode,FrequencyClassDescriptorUnitCode,LowerClassBoundValue,UpperClassBoundValue,ResultAnalyticalMethod/MethodIdentifier,ResultAnalyticalMethod/MethodIdentifierContext,ResultAnalyticalMethod/MethodName,ResultAnalyticalMethod/MethodQualifierTypeName,MethodDescriptionText,LaboratoryName,AnalysisStartDate,AnalysisStartTime/Time,AnalysisStartTime/TimeZoneCode,AnalysisEndDate,AnalysisEndTime/Time,AnalysisEndTime/TimeZoneCode,ResultLaboratoryCommentCode,ResultLaboratoryCommentText,DetectionQuantitationLimitTypeName,DetectionQuantitationLimitMeasure/MeasureValue,DetectionQuantitationLimitMeasure/MeasureUnitCode,LaboratoryAccreditationIndicator,LaboratoryAccreditationAuthorityName,TaxonomistAccreditationIndicator,TaxonomistAccreditationAuthorityName,LabSamplePreparationMethod/MethodIdentifier,LabSamplePreparationMethod/MethodIdentifierContext,LabSamplePreparationMethod/MethodName,LabSamplePreparationMethod/MethodQualifierTypeName,LabSamplePreparationMethod/MethodDescriptionText,PreparationStartDate,PreparationStartTime/Time,PreparationStartTime/TimeZoneCode,PreparationEndDate,PreparationEndTime/Time,PreparationEndTime/TimeZoneCode,SubstitutionDilutionFactorNumeric,ProviderName
R4ATHENS_WQX,EPA Region 4 Athens Lab (Georgia),R4ATHENS_WQX-030-SW-14 C150312-CJ,Sample-Routine,Water,,2014-09-04,15:05:00,EDT,,,,,,,,,,,,14-0413,,R4ATHENS_WQX-14-0413-030,,,,,25.3692230000,-80.8118800000,,,,,,,,,,,,,,,,,,,,,,,,,,FBQSTP,R4ATHENS_WQX,EPA R4 SESD FBQSTP,US EPA REGION 4 SESD,"Field Branches Quality System
and Technical Procedures, 
US-EPA, Region 4, SESD, Athens, Georgia",Miscellaneous (Other),Refer to Collection Method and Final Report for details on types of equipment used,,,,,,,,,,,,,as NO2+NO3,Inorganic nitrogen (nitrate and nitrite) ***retired***use Nitrate + Nitrite,Total,0.0049,mg/L,J,Final,,Actual,,,,,,,,,,"EPA R4 Result Qualifiers: J,Q-2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Contract SOW,R4ATHENS_WQX,Contract SOW,,,,2014-09-05,,,,,,,,,,,,,,,,,,,,,,,,,,,STORET
R4ATHENS_WQX,EPA Region 4 Athens Lab (Georgia),R4ATHENS_WQX-030-SW-14 C150312-CJ,Sample-Routine,Water,,2014-09-04,15:05:00,EDT,,,,,,,,,,,,14-0413,,R4ATHENS_WQX-14-0413-030,,,,,25.3692230000,-80.8118800000,,,,,,,,,,,,,,,,,,,,,,,,,,FBQSTP,R4ATHENS_WQX,EPA R4 SESD FBQSTP,US EPA REGION 4 SESD,"Field Branches Quality System
and Technical Procedures, 
US-EPA, Region 4, SESD, Athens, Georgia",Miscellaneous (Other),Refer to Collection Method and Final Report for details on types of equipment used,,,,,,,,,,,,,as P,Phosphorus,Total,0.0062,mg/L,,Final,,Actual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Contract SOW,R4ATHENS_WQX,Contract SOW,,,,2014-09-11,,,,,,,,,,,,,,,,,,,,,,,,,,,STORET
R4ATHENS_WQX,EPA Region 4 Athens Lab (Georgia),R4ATHENS_WQX-030-SW-14 C150312-CJ,Sample-Routine,Water,,2014-09-04,15:05:00,EDT,,,,,,,,,,,,14-0413,,R4ATHENS_WQX-14-0413-030,,,,,25.3692230000,-80.8118800000,,,,,,,,,,,,,,,,,,,,,,,,,,FBQSTP,R4ATHENS_WQX,EPA R4 SESD FBQSTP,US EPA REGION 4 SESD,"Field Branches Quality System
and Technical Procedures, 
US-EPA, Region 4, SESD, Athens, Georgia",Miscellaneous (Other),Refer to Collection Method and Final Report for details on types of equipment used,,,,,,,,,,,,Not Detected,,Mercury,Total,,,J;U,Final,,Actual,,,,,,,,,,"EPA R4 Result Qualifiers: U,J,QC-1,B-4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Contract SOW,R4ATHENS_WQX,Contract SOW,,,,2014-10-01,,,,,,,,Lower Reporting Limit,0.5,ng/L,,,,,,,,,,,,,,,,,STORET
R4ATHENS_WQX,EPA Region 4 Athens Lab (Georgia),R4ATHENS_WQX-030-SW-14 C150312-CJ,Sample-Routine,Water,,2014-09-04,15:05:00,EDT,,,,,,,,,,,,14-0413,,R4ATHENS_WQX-14-0413-030,,,,,25.3692230000,-80.8118800000,,,,,,,,,,,,,,,,,,,,,,,,,,FBQSTP,R4ATHENS_WQX,EPA R4 SESD FBQSTP,US EPA REGION 4 SESD,"Field Branches Quality System
and Technical Procedures, 
US-EPA, Region 4, SESD, Athens, Georgia",Miscellaneous (Other),Refer to Collection Method and Final Report for details on types of equipment used,,,,,,,,,,,,,,Chlorophyll a,,3.6,ug/L,,Final,,Actual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Contract SOW,R4ATHENS_WQX,Contract SOW,,,,2014-09-14,,,,,,,,,,,,,,,,,,,,,,,,,,,STORET
R4ATHENS_WQX,EPA Region 4 Athens Lab (Georgia),R4ATHENS_WQX-030-SW-14 C150312-CJ,Sample-Routine,Water,,2014-09-04,15:05:00,EDT,,,,,,,,,,,,14-0413,,R4ATHENS_WQX-14-0413-030,,,,,25.3692230000,-80.8118800000,,,,,,,,,,,,,,,,,,,,,,,,,,FBQSTP,R4ATHENS_WQX,EPA R4 SESD FBQSTP,US EPA REGION 4 SESD,"Field Branches Quality System
and Technical Procedures, 
US-EPA, Region 4, SESD, Athens, Georgia",Miscellaneous (Other),Refer to Collection Method and Final Report for details on types of equipment used,,,,,,,,,,,,,as NH3,Ammonia,Total,0.012,mg/L,J,Final,,Actual,,,,,,,,,,"EPA R4 Result Qualifiers: J,Q-2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Contract SOW,R4ATHENS_WQX,Contract SOW,,,,2014-09-05,,,,,,,,,,,,,,,,,,,,,,,,,,,STORET
R4ATHENS_WQX,EPA Region 4 Athens Lab (Georgia),R4ATHENS_WQX-030-SW-14 C150312-CJ,Sample-Routine,Water,,2014-09-04,15:05:00,EDT,,,,,,,,,,,,14-0413,,R4ATHENS_WQX-14-0413-030,,,,,25.3692230000,-80.8118800000,,,,,,,,,,,,,,,,,,,,,,,,,,FBQSTP,R4ATHENS_WQX,EPA R4 SESD FBQSTP,US EPA REGION 4 SESD,"Field Branches Quality System
and Technical Procedures, 
US-EPA, Region 4, SESD, Athens, Georgia",Miscellaneous (Other),Refer to Collection Method and Final Report for details on types of equipment used,,,,,,,,,,,,,as N,"Total Nitrogen, mixed forms",Total,0.43,mg/L,,Final,,Actual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Contract SOW,R4ATHENS_WQX,Contract SOW,,,,2014-09-06,,,,,,,,,,,,,,,,,,,,,,,,,,,STORET
R4ATHENS_WQX,EPA Region 4 Athens Lab (Georgia),R4ATHENS_WQX-030-SW-14 C150312-CJ,Sample-Routine,Water,,2014-09-04,15:05:00,EDT,,,,,,,,,,,,14-0413,,R4ATHENS_WQX-14-0413-030,,,,,25.3692230000,-80.8118800000,,,,,,,,,,,,,,,,,,,,,,,,,,FBQSTP,R4ATHENS_WQX,EPA R4 SESD FBQSTP,US EPA REGION 4 SESD,"Field Branches Quality System
and Technical Procedures, 
US-EPA, Region 4, SESD, Athens, Georgia",Miscellaneous (Other),Refer to Collection Method and Final Report for details on types of equipment used,,,,,,,,,,,,Not Detected,,Methylmercury(1+),Total,,,U,Final,,Actual,,,,,,,,,,EPA R4 Result Qualifiers: U,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Contract SOW,R4ATHENS_WQX,Contract SOW,,,,2014-10-03,,,,,,,,Lower Reporting Limit,0.06,ng/L,,,,,,,,,,,,,,,,,STORET
R4ATHENS_WQX,EPA Region 4 Athens Lab (Georgia),R4ATHENS_WQX-030-SW-14 C150312-CJ,Sample-Routine,Water,,2014-09-04,15:05:00,EDT,,,,,,,,,,,,14-0413,,R4ATHENS_WQX-14-0413-030,,,,,25.3692230000,-80.8118800000,,,,,,,,,,,,,,,,,,,,,,,,,,FBQSTP,R4ATHENS_WQX,EPA R4 SESD FBQSTP,US EPA REGION 4 SESD,"Field Branches Quality System
and Technical Procedures, 
US-EPA, Region 4, SESD, Athens, Georgia",Miscellaneous (Other),Refer to Collection Method and Final Report for details on types of equipment used,,,,,,,,,,,,,as SRP,Soluble Reactive Phosphorus (SRP),Total,0.0032,mg/L,J,Final,,Actual,,,,,,,,,,"EPA R4 Result Qualifiers: J,Q-2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Contract SOW,R4ATHENS_WQX,Contract SOW,,,,2014-09-05,,,,,,,,,,,,,,,,,,,,,,,,,,,STORET
R4ATHENS_WQX,EPA Region 4 Athens Lab (Georgia),R4ATHENS_WQX-030-SW-14 C150312-CJ,Sample-Routine,Water,,2014-09-04,15:05:00,EDT,,,,,,,,,,,,14-0413,,R4ATHENS_WQX-14-0413-030,,,,,25.3692230000,-80.8118800000,,,,,,,,,,,,,,,,,,,,,,,,,,FBQSTP,R4ATHENS_WQX,EPA R4 SESD FBQSTP,US EPA REGION 4 SESD,"Field Branches Quality System
and Technical Procedures, 
US-EPA, Region 4, SESD, Athens, Georgia",Miscellaneous (Other),Refer to Collection Method and Final Report for details on types of equipment used,,,,,,,,,,,,,as NO3,Nitrate,Total,0.0038,mg/L,J,Final,,Actual,,,,,,,,,,"EPA R4 Result Qualifiers: J,CR",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Contract SOW,R4ATHENS_WQX,Contract SOW,,,,2014-09-05,,,,,,,,,,,,,,,,,,,,,,,,,,,STORET
R4ATHENS_WQX,EPA Region 4 Athens Lab (Georgia),R4ATHENS_WQX-030-SW-14 C150312-CJ,Sample-Routine,Water,,2014-09-04,15:05:00,EDT,,,,,,,,,,,,14-0413,,R4ATHENS_WQX-14-0413-030,,,,,25.3692230000,-80.8118800000,,,,,,,,,,,,,,,,,,,,,,,,,,FBQSTP,R4ATHENS_WQX,EPA R4 SESD FBQSTP,US EPA REGION 4 SESD,"Field Branches Quality System
and Technical Procedures, 
US-EPA, Region 4, SESD, Athens, Georgia",Miscellaneous (Other),Refer to Collection Method and Final Report for details on types of equipment used,,,,,,,,,,,,,as NO2,Nitrite,Total,0.0011,mg/L,J,Final,,Actual,,,,,,,,,,"EPA R4 Result Qualifiers: J,Q-2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Contract SOW,R4ATHENS_WQX,Contract SOW,,,,2014-09-05,,,,,,,,,,,,,,,,,,,,,,,,,,,STORET
