OrganizationIdentifier,OrganizationFormalName,ActivityIdentifier,ActivityTypeCode,ActivityMediaName,ActivityMediaSubdivisionName,ActivityStartDate,ActivityStartTime/Time,ActivityStartTime/TimeZoneCode,ActivityEndDate,ActivityEndTime/Time,ActivityEndTime/TimeZoneCode,ActivityRelativeDepthName,ActivityDepthHeightMeasure/MeasureValue,ActivityDepthHeightMeasure/MeasureUnitCode,ActivityDepthAltitudeReferencePointText,ActivityTopDepthHeightMeasure/MeasureValue,ActivityTopDepthHeightMeasure/MeasureUnitCode,ActivityBottomDepthHeightMeasure/MeasureValue,ActivityBottomDepthHeightMeasure/MeasureUnitCode,ProjectIdentifier,ProjectName,ActivityConductingOrganizationText,MonitoringLocationIdentifier,MonitoringLocationName,ActivityCommentText,SampleAquifer,HydrologicCondition,HydrologicEvent,ActivityLocation/LatitudeMeasure,ActivityLocation/LongitudeMeasure,SampleCollectionMethod/MethodIdentifier,SampleCollectionMethod/MethodIdentifierContext,SampleCollectionMethod/MethodName,SampleCollectionMethod/MethodDescriptionText,SampleCollectionEquipmentName,ResultIdentifier,ResultDetectionConditionText,MethodSpeciationName,CharacteristicName,ResultSampleFractionText,ResultMeasureValue,ResultMeasure/MeasureUnitCode,MeasureQualifierCode,ResultStatusIdentifier,StatisticalBaseCode,ResultValueTypeName,ResultWeightBasisText,ResultTimeBasisText,ResultTemperatureBasisText,ResultParticleSizeBasisText,DataQuality/PrecisionValue,DataQuality/BiasValue,DataQuality/ConfidenceIntervalValue,DataQuality/UpperConfidenceLimitValue,DataQuality/LowerConfidenceLimitValue,ResultCommentText,USGSPCode,ResultDepthHeightMeasure/MeasureValue,ResultDepthHeightMeasure/MeasureUnitCode,ResultDepthAltitudeReferencePointText,SubjectTaxonomicName,SampleTissueAnatomyName,BinaryObjectFileName,BinaryObjectFileTypeCode,ResultFileUrl,ResultAnalyticalMethod/MethodIdentifier,ResultAnalyticalMethod/MethodIdentifierContext,ResultAnalyticalMethod/MethodName,ResultAnalyticalMethod/MethodUrl,ResultAnalyticalMethod/MethodDescriptionText,LaboratoryName,AnalysisStartDate,ResultLaboratoryCommentText,ResultDetectionQuantitationLimitUrl,DetectionQuantitationLimitTypeName,DetectionQuantitationLimitMeasure/MeasureValue,DetectionQuantitationLimitMeasure/MeasureUnitCode,LabSamplePreparationUrl,LastUpdated,ProviderName
R4ATHENS_WQX,EPA Region 4 Athens Lab (Georgia),R4ATHENS_WQX-030-SW-14 C150312-CJ,Sample-Routine,Water,,2014-09-04,15:05:00,EDT,,,,,,,,,,,,14-0413,South Florida Ecosystem Assessment (SESD Project No: 14-0413),,R4ATHENS_WQX-14-0413-030,030,,,,,25.3692230000,-80.8118800000,FBQSTP,R4ATHENS_WQX,EPA R4 SESD FBQSTP,"Field Branches Quality System
and Technical Procedures, 
US-EPA, Region 4, SESD, Athens, Georgia",Miscellaneous (Other),STORET-941893635,,as NO2+NO3,Inorganic nitrogen (nitrate and nitrite) ***retired***use Nitrate + Nitrite,Total,0.0049,mg/L,J,Final,,Actual,,,,,,,,,,"EPA R4 Result Qualifiers: J,Q-2",,,,,,,,,,Contract SOW,R4ATHENS_WQX,Contract SOW,,,,2014-09-05,,,,,,,2022-06-09T09:25:34,STORET
R4ATHENS_WQX,EPA Region 4 Athens Lab (Georgia),R4ATHENS_WQX-030-SW-14 C150312-CJ,Sample-Routine,Water,,2014-09-04,15:05:00,EDT,,,,,,,,,,,,14-0413,South Florida Ecosystem Assessment (SESD Project No: 14-0413),,R4ATHENS_WQX-14-0413-030,030,,,,,25.3692230000,-80.8118800000,FBQSTP,R4ATHENS_WQX,EPA R4 SESD FBQSTP,"Field Branches Quality System
and Technical Procedures, 
US-EPA, Region 4, SESD, Athens, Georgia",Miscellaneous (Other),STORET-941893642,,as P,Phosphorus,Total,0.0062,mg/L,,Final,,Actual,,,,,,,,,,,,,,,,,,,,Contract SOW,R4ATHENS_WQX,Contract SOW,,,,2014-09-11,,,,,,,2022-06-09T09:25:34,STORET
R4ATHENS_WQX,EPA Region 4 Athens Lab (Georgia),R4ATHENS_WQX-030-SW-14 C150312-CJ,Sample-Routine,Water,,2014-09-04,15:05:00,EDT,,,,,,,,,,,,14-0413,South Florida Ecosystem Assessment (SESD Project No: 14-0413),,R4ATHENS_WQX-14-0413-030,030,,,,,25.3692230000,-80.8118800000,FBQSTP,R4ATHENS_WQX,EPA R4 SESD FBQSTP,"Field Branches Quality System
and Technical Procedures, 
US-EPA, Region 4, SESD, Athens, Georgia",Miscellaneous (Other),STORET-941893634,Not Detected,,Mercury,Total,,,J;U,Final,,Actual,,,,,,,,,,"EPA R4 Result Qualifiers: U,J,QC-1,B-4",,,,,,,,,,Contract SOW,R4ATHENS_WQX,Contract SOW,,,,2014-10-01,,https://www.waterqualitydata.us/data/providers/STORET/organizations/R4ATHENS_WQX/activities/R4ATHENS_WQX-030-SW-14%20C150312-CJ/results/941893634/resdetectqntlmts,Lower Reporting Limit,0.5,ng/L,,2022-06-09T09:25:34,STORET
R4ATHENS_WQX,EPA Region 4 Athens Lab (Georgia),R4ATHENS_WQX-030-SW-14 C150312-CJ,Sample-Routine,Water,,2014-09-04,15:05:00,EDT,,,,,,,,,,,,14-0413,South Florida Ecosystem Assessment (SESD Project No: 14-0413),,R4ATHENS_WQX-14-0413-030,030,,,,,25.3692230000,-80.8118800000,FBQSTP,R4ATHENS_WQX,EPA R4 SESD FBQSTP,"Field Branches Quality System
and Technical Procedures, 
US-EPA, Region 4, SESD, Athens, Georgia",Miscellaneous (Other),STORET-941893633,,,Chlorophyll a,,3.6,ug/L,,Final,,Actual,,,,,,,,,,,,,,,,,,,,Contract SOW,R4ATHENS_WQX,Contract SOW,,,,2014-09-14,,,,,,,2022-06-09T09:25:34,STORET
R4ATHENS_WQX,EPA Region 4 Athens Lab (Georgia),R4ATHENS_WQX-030-SW-14 C150312-CJ,Sample-Routine,Water,,2014-09-04,15:05:00,EDT,,,,,,,,,,,,14-0413,South Florida Ecosystem Assessment (SESD Project No: 14-0413),,R4ATHENS_WQX-14-0413-030,030,,,,,25.3692230000,-80.8118800000,FBQSTP,R4ATHENS_WQX,EPA R4 SESD FBQSTP,"Field Branches Quality System
and Technical Procedures, 
US-EPA, Region 4, SESD, Athens, Georgia",Miscellaneous (Other),STORET-941893639,,as NH3,Ammonia,Total,0.012,mg/L,J,Final,,Actual,,,,,,,,,,"EPA R4 Result Qualifiers: J,Q-2",,,,,,,,,,Contract SOW,R4ATHENS_WQX,Contract SOW,,,,2014-09-05,,,,,,,2022-06-09T09:25:34,STORET
R4ATHENS_WQX,EPA Region 4 Athens Lab (Georgia),R4ATHENS_WQX-030-SW-14 C150312-CJ,Sample-Routine,Water,,2014-09-04,15:05:00,EDT,,,,,,,,,,,,14-0413,South Florida Ecosystem Assessment (SESD Project No: 14-0413),,R4ATHENS_WQX-14-0413-030,030,,,,,25.3692230000,-80.8118800000,FBQSTP,R4ATHENS_WQX,EPA R4 SESD FBQSTP,"Field Branches Quality System
and Technical Procedures, 
US-EPA, Region 4, SESD, Athens, Georgia",Miscellaneous (Other),STORET-941893637,,as N,"Total Nitrogen, mixed forms",Total,0.43,mg/L,,Final,,Actual,,,,,,,,,,,,,,,,,,,,Contract SOW,R4ATHENS_WQX,Contract SOW,,,,2014-09-06,,,,,,,2022-06-09T09:25:34,STORET
R4ATHENS_WQX,EPA Region 4 Athens Lab (Georgia),R4ATHENS_WQX-030-SW-14 C150312-CJ,Sample-Routine,Water,,2014-09-04,15:05:00,EDT,,,,,,,,,,,,14-0413,South Florida Ecosystem Assessment (SESD Project No: 14-0413),,R4ATHENS_WQX-14-0413-030,030,,,,,25.3692230000,-80.8118800000,FBQSTP,R4ATHENS_WQX,EPA R4 SESD FBQSTP,"Field Branches Quality System
and Technical Procedures, 
US-EPA, Region 4, SESD, Athens, Georgia",Miscellaneous (Other),STORET-941893640,Not Detected,,Methylmercury(1+),Total,,,U,Final,,Actual,,,,,,,,,,EPA R4 Result Qualifiers: U,,,,,,,,,,Contract SOW,R4ATHENS_WQX,Contract SOW,,,,2014-10-03,,https://www.waterqualitydata.us/data/providers/STORET/organizations/R4ATHENS_WQX/activities/R4ATHENS_WQX-030-SW-14%20C150312-CJ/results/941893640/resdetectqntlmts,Lower Reporting Limit,0.06,ng/L,,2022-06-09T09:25:34,STORET
R4ATHENS_WQX,EPA Region 4 Athens Lab (Georgia),R4ATHENS_WQX-030-SW-14 C150312-CJ,Sample-Routine,Water,,2014-09-04,15:05:00,EDT,,,,,,,,,,,,14-0413,South Florida Ecosystem Assessment (SESD Project No: 14-0413),,R4ATHENS_WQX-14-0413-030,030,,,,,25.3692230000,-80.8118800000,FBQSTP,R4ATHENS_WQX,EPA R4 SESD FBQSTP,"Field Branches Quality System
and Technical Procedures, 
US-EPA, Region 4, SESD, Athens, Georgia",Miscellaneous (Other),STORET-941893636,,as SRP,Soluble Reactive Phosphorus (SRP),Total,0.0032,mg/L,J,Final,,Actual,,,,,,,,,,"EPA R4 Result Qualifiers: J,Q-2",,,,,,,,,,Contract SOW,R4ATHENS_WQX,Contract SOW,,,,2014-09-05,,,,,,,2022-06-09T09:25:34,STORET
R4ATHENS_WQX,EPA Region 4 Athens Lab (Georgia),R4ATHENS_WQX-030-SW-14 C150312-CJ,Sample-Routine,Water,,2014-09-04,15:05:00,EDT,,,,,,,,,,,,14-0413,South Florida Ecosystem Assessment (SESD Project No: 14-0413),,R4ATHENS_WQX-14-0413-030,030,,,,,25.3692230000,-80.8118800000,FBQSTP,R4ATHENS_WQX,EPA R4 SESD FBQSTP,"Field Branches Quality System
and Technical Procedures, 
US-EPA, Region 4, SESD, Athens, Georgia",Miscellaneous (Other),STORET-941893638,,as NO3,Nitrate,Total,0.0038,mg/L,J,Final,,Actual,,,,,,,,,,"EPA R4 Result Qualifiers: J,CR",,,,,,,,,,Contract SOW,R4ATHENS_WQX,Contract SOW,,,,2014-09-05,,,,,,,2022-06-09T09:25:34,STORET
R4ATHENS_WQX,EPA Region 4 Athens Lab (Georgia),R4ATHENS_WQX-030-SW-14 C150312-CJ,Sample-Routine,Water,,2014-09-04,15:05:00,EDT,,,,,,,,,,,,14-0413,South Florida Ecosystem Assessment (SESD Project No: 14-0413),,R4ATHENS_WQX-14-0413-030,030,,,,,25.3692230000,-80.8118800000,FBQSTP,R4ATHENS_WQX,EPA R4 SESD FBQSTP,"Field Branches Quality System
and Technical Procedures, 
US-EPA, Region 4, SESD, Athens, Georgia",Miscellaneous (Other),STORET-941893641,,as NO2,Nitrite,Total,0.0011,mg/L,J,Final,,Actual,,,,,,,,,,"EPA R4 Result Qualifiers: J,Q-2",,,,,,,,,,Contract SOW,R4ATHENS_WQX,Contract SOW,,,,2014-09-05,,,,,,,2022-06-09T09:25:34,STORET
