OrganizationIdentifier,OrganizationFormalName,MonitoringLocationIdentifier,MonitoringLocationName,MonitoringLocationTypeName,MonitoringLocationDescriptionText,HUCEightDigitCode,DrainageAreaMeasure/MeasureValue,DrainageAreaMeasure/MeasureUnitCode,ContributingDrainageAreaMeasure/MeasureValue,ContributingDrainageAreaMeasure/MeasureUnitCode,LatitudeMeasure,LongitudeMeasure,SourceMapScaleNumeric,HorizontalAccuracyMeasure/MeasureValue,HorizontalAccuracyMeasure/MeasureUnitCode,HorizontalCollectionMethodName,HorizontalCoordinateReferenceSystemDatumName,VerticalMeasure/MeasureValue,VerticalMeasure/MeasureUnitCode,VerticalAccuracyMeasure/MeasureValue,VerticalAccuracyMeasure/MeasureUnitCode,VerticalCollectionMethodName,VerticalCoordinateReferenceSystemDatumName,CountryCode,StateCode,CountyCode,AquiferName,LocalAqfrName,FormationTypeText,AquiferTypeName,ConstructionDateText,WellDepthMeasure/MeasureValue,WellDepthMeasure/MeasureUnitCode,WellHoleDepthMeasure/MeasureValue,WellHoleDepthMeasure/MeasureUnitCode,ProviderName
USGS-FL,USGS Florida Water Science Center,USGS-022908205,"NORTH RIVER UPSTREAM OF CUTOFF NEAR FLAMINGO, FL",Stream,,03090202,,,,,25.33867220000000,-80.9132167000000,24000,1,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,,,,,,,US,12,087,,,,,,,,,,NWIS
USGS-FL,USGS Florida Water Science Center,USGS-02290829502,MO  -199,Well,,03090202,,,,,25.46797778000000,-80.8545278000000,24000,1,minutes,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,1,feet,4.3,feet,Interpolated from Digital Elevation Model,NAVD88,US,12,086,Biscayne aquifer,,Biscayne Limestone Aquifer,,,10.1,ft,,,NWIS
USGS-FL,USGS Florida Water Science Center,USGS-252820080505401,MO  - 215,Well,,03090202,,,,,25.47222220000000,-80.8483333000000,24000,.1,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,1,feet,4.3,feet,Interpolated from Digital Elevation Model,NAVD88,US,12,086,Biscayne aquifer,,Biscayne Limestone Aquifer,,20121206,10.7,ft,,,NWIS
USGS-FL,USGS Florida Water Science Center,USGS-253047080555600,UPSTREAM BROAD RIVER NEAR EVERGLADES CITY FL,Stream,,03090202,,,,,25.50129167000000,-80.9322222000000,,1,minutes,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,,,,,,,US,12,087,,,,,,,,,,NWIS
21FLFTM_WQX,"FL Dept. of Environmental Protection, South District",21FLFTM_WQX-G5SD0032,ENRE14 #3 Shark River at Tarpon Bay,Estuary,,03090202,,,,,25.4167270000,-81.0017020000,,,,GPS-Unspecified,WGS84,,,,,,,US,12,087,,,,,,,,,,STORET
21FLSFWM_WQX,South Florida Water Management District,21FLSFWM_WQX-15468,P35,Wetland Undifferentiated,S SHARK SL HEADWATERS TIDAL MARSH      SAWGRASS  USGS #02290830,03090202,,,,,25.4613377780,-80.8645983330,,Unknown,seconds,Interpolation-Photo,NAD83,,,,,,,US,12,086,,,,,,,,,,STORET
21FLSFWM_WQX,South Florida Water Management District,21FLSFWM_WQX-6631,FLAB38,Estuary,Tarpon Bay-0.5 nautical mile E of ENP Marker 9,03090202,,,,,25.4172805560,-80.9984305560,,Unknown,seconds,Interpolation-Photo,NAD83,,,,,,,US,12,087,,,,,,,,,,STORET
21FLSFWM_WQX,South Florida Water Management District,21FLSFWM_WQX-6632,FLAB39,Estuary,Shark River at Gunboat Island,03090202,,,,,25.3789194440,-81.0307305560,,Unknown,seconds,Interpolation-Photo,NAD83,,,,,,,US,12,087,,,,,,,,,,STORET
21FLSFWM_WQX,South Florida Water Management District,21FLSFWM_WQX-6637,FLAB44,Estuary,Watson River Chickee,03090202,,,,,25.3318694440,-80.9837000000,,Unknown,seconds,Interpolation-Photo,NAD83,,,,,,,US,12,087,,,,,,,,,,STORET
21FLSFWM_WQX,South Florida Water Management District,21FLSFWM_WQX-6640,FLAB47,Estuary,Roberts River Mouth,03090202,,,,,25.2796500000,-80.9307694440,,Unknown,seconds,Interpolation-Photo,NAD83,,,,,,,US,12,087,,,,,,,,,,STORET
21FLSFWM_WQX,South Florida Water Management District,21FLSFWM_WQX-P35,S SHARK SL HEADWATERS TIDAL MARSH      SAWGRASS  USGS #02290,Wetland Palustrine-Emergent,S SHARK SL HEADWATERS TIDAL MARSH      SAWGRASS  USGS #02290,03090202,,,,,25.4613889000,-80.8647222000,,,,GPS Code (Pseudo Range) Differential,NAD83,,,,,,,US,12,086,,,,,,,,,,STORET
21FLWPB_WQX,"FL Dept. of Environmental Protection, Southeast District",21FLWPB_WQX-52010042,TarponBay-0.5 Naut. Mi.E of ENP Mrkr-9,Estuary,"The sample site is located in the Western end of Tarpon Bay in Everglades National Park, Monroe County, WBID# 3289R.",03090202,,,,,25.4172810000,-80.9984310000,,,,GPS-Unspecified,UNKWN,,,,,,,US,12,087,,,,,,,,,,STORET
NARS_WQX,EPA National Aquatic Resources Survey (NARS),NARS_WQX-NCA_FL-10255,NCA_FL-10255,Ocean,,03090202,,,,,25.3231423000,-81.0086234700,,,,GPS-Unspecified,NAD83,1.6,m,,,Unknown,UNKWN,US,12,087,,,,,,,,,,STORET
NARS_WQX,EPA National Aquatic Resources Survey (NARS),NARS_WQX-NCA_FL-10292,NCA_FL-10292,Ocean,,03090202,,,,,25.2394085900,-80.9270130500,,,,GPS-Unspecified,NAD83,1.3,m,,,Unknown,UNKWN,US,12,087,,,,,,,,,,STORET
