OrganizationIdentifier,OrganizationFormalName,MonitoringLocationIdentifier,MonitoringLocationName,MonitoringLocationTypeName,MonitoringLocationDescriptionText,HUCEightDigitCode,DrainageAreaMeasure/MeasureValue,DrainageAreaMeasure/MeasureUnitCode,ContributingDrainageAreaMeasure/MeasureValue,ContributingDrainageAreaMeasure/MeasureUnitCode,LatitudeMeasure,LongitudeMeasure,SourceMapScaleNumeric,HorizontalAccuracyMeasure/MeasureValue,HorizontalAccuracyMeasure/MeasureUnitCode,HorizontalCollectionMethodName,HorizontalCoordinateReferenceSystemDatumName,VerticalMeasure/MeasureValue,VerticalMeasure/MeasureUnitCode,VerticalAccuracyMeasure/MeasureValue,VerticalAccuracyMeasure/MeasureUnitCode,VerticalCollectionMethodName,VerticalCoordinateReferenceSystemDatumName,CountryCode,StateCode,CountyCode,AquiferName,LocalAqfrName,FormationTypeText,AquiferTypeName,ConstructionDateText,WellDepthMeasure/MeasureValue,WellDepthMeasure/MeasureUnitCode,WellHoleDepthMeasure/MeasureValue,WellHoleDepthMeasure/MeasureUnitCode,ProviderName
USGS-IL,USGS Illinois Water Science Center,USGS-383847090003501,2N8W-5.3b1,Well,,07140101,,,,,38.64638889000000,-90.0097778000000,24000,.1,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,445,feet,5,feet,Interpolated from topographic map.,NGVD29,US,17,163,Sand and gravel aquifers (glaciated regions),,Quaternary System,Unconfined single aquifer,20040929,60.0,ft,60.0,ft,NWIS
USGS-IL,USGS Illinois Water Science Center,USGS-383932090012601,3N 8W-31.1a3,Well,,07140101,,,,,38.65952778000000,-90.0238889000000,24000,.1,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,424,feet,5,feet,Interpolated from topographic map.,NGVD29,US,17,119,Sand and gravel aquifers (glaciated regions),,Quaternary System,Unconfined single aquifer,1955,102,ft,104,ft,NWIS
USGS-MO,USGS Missouri Water Science Center,USGS-07010000,"Mississippi River at St. Louis, MO",Stream,,07140101,697000,sq mi,,,38.62900000000000,-90.1797778000000,24000,.5,seconds,Interpolated from Digital MAP.,NAD83,379.58,feet,.05,feet,Level or other surveyed method.,NAVD88,US,29,510,,,,,,,,,,NWIS
EPA_R7_WQX,EPA R7,EPA_R7_WQX-BR22,Miss River at St. Louis,River/Stream,,07140101,,,,,38.6216620000,-90.1846200000,,,,GPS-Unspecified,WGS84,,,,,,,US,29,510,,,,,,,,,,STORET
EPA_R7_WQX,EPA R7,EPA_R7_WQX-Jefferson Lake,Jefferson Lake,Lake,,07140101,,,,,38.6344800000,-90.2694800000,,,,GPS-Unspecified,NAD83,,,,,,,US,29,510,,,,,,,,,,STORET
IDAGMN_WQX,Illinois Department of Agriculture,IDAGMN_WQX-133-5-53-2498,3 miles NW of Columbia,Well,,07140101,,,,,38.4865280000,-90.2292220000,,,,GPS-Unspecified,NAD83,,,,,,,US,17,133,,,,,,,,,,STORET
IL_EPA_WQX,illinois epa,IL_EPA_WQX-JMA-02,Canal No 1,River/Stream,Triple Lakes Rd,07140101,,,,,38.5474700000,-90.1603500000,,,,Interpolation-Digital Map Source,NAD83,,,,,,,US,17,163,,,,,,,,,,STORET
IL_EPA_WQX,illinois epa,IL_EPA_WQX-JMAA-02,Prairie Dupont Creek,River/Stream,2.5 mi SE of Centerville at Imbs Station Rd,07140101,,,,,38.5195560000,-90.1427220000,,,,Interpolation-Digital Map Source,NAD83,,,,,,,US,17,163,,,,,,,,,,STORET
IL_EPA_WQX,illinois epa,IL_EPA_WQX-JMAC-02,Harding Ditch,River/Stream,Lake Dr in Frank Holten State Park East St Louis,07140101,,,,,38.5950300000,-90.0884000000,,,,Interpolation-Digital Map Source,NAD83,,,,,,,US,17,163,,,,,,,,,,STORET
IL_EPA_WQX,illinois epa,IL_EPA_WQX-JN-02,Cahokia Canal,River/Stream,Sand Prairie Lane SE Horseshoe Lake 4 mi W Collinsville,07140101,,,,,38.6669400000,-90.0655600000,,,,Interpolation-Digital Map Source,NAD83,,,,,,,US,17,119,,,,,,,,,,STORET
IL_EPA_WQX,illinois epa,IL_EPA_WQX-JNA-01,Canteen Creek,River/Stream,Sand Prairie Lane SE Horseshoe Lake 0.5 mi NW Monks Mound,07140101,,,,,38.6661100000,-90.0655600000,,,,Interpolation-Digital Map Source,NAD83,,,,,,,US,17,119,,,,,,,,,,STORET
IL_EPA_WQX,illinois epa,IL_EPA_WQX-JNA-02,Canteen Creek,River/Stream,Rt 157 Caseyville,07140101,,,,,38.6434700000,-90.0171800000,,,,Interpolation-Digital Map Source,NAD83,,,,,,,US,17,163,,,,,,,,,,STORET
IL_EPA_WQX,illinois epa,IL_EPA_WQX-RJC-1,Horseshoe,Lake,2000 FT E LEVEE,07140101,,,,,38.6980200000,-90.0925800000,,,,GPS-Unspecified,WGS84,,,,,,,US,17,119,,,,,,,,,,STORET
IL_EPA_WQX,illinois epa,IL_EPA_WQX-RJC-2,Horseshoe,Lake,1000 FT E N END ISLAND,07140101,,,,,38.6979200000,-90.0714200000,,,,GPS-Unspecified,WGS84,,,,,,,US,17,119,,,,,,,,,,STORET
IL_EPA_WQX,illinois epa,IL_EPA_WQX-RJC-3,Horseshoe,Lake,2800 FT NE RR BR,07140101,,,,,38.6844500000,-90.1147700000,,,,GPS-Unspecified,WGS84,,,,,,,US,17,119,,,,,,,,,,STORET
IL_EPA_WQX,illinois epa,IL_EPA_WQX-RJC-4,Horseshoe,Lake,900 FT W S TIP ISLAND,07140101,,,,,38.6814700000,-90.0877300000,,,,GPS-Unspecified,WGS84,,,,,,,US,17,119,,,,,,,,,,STORET
IL_EPA_WQX,illinois epa,IL_EPA_WQX-RJC-5,Horseshoe,Lake,,07140101,,,,,38.6916300000,-90.1074200000,,,,GPS-Unspecified,WGS84,,,,,,,US,17,119,,,,,,,,,,STORET
IL_EPA_WQX,illinois epa,IL_EPA_WQX-RJK-99,Frank Holten #1,Lake,,07140101,,,,,38.6017000000,-90.1012000000,,,,GPS-Unspecified,WGS84,,,,,,,US,17,163,,,,,,,,,,STORET
ILRIVERWATCH,Illinois RiverWatch Network (Volunteer),ILRIVERWATCH-R0720703,LCCC Rocky Fork,River/Stream,,07140101,,,,,38.5478000000,-90.2017970000,,,,GPS-Unspecified,NAD83,,,,,,,US,17,163,,,,,,,,,,STORET
ILRIVERWATCH,Illinois RiverWatch Network (Volunteer),ILRIVERWATCH-R0722901,Gartside Cr,River/Stream,,07140101,,,,,38.5319000000,-90.0682600000,,,,GPS-Unspecified,NAD83,,,,,,,US,17,163,,,,,,,,,,STORET
MDNR,Missouri Dept. of Natural Resources,MDNR-1708/1.4/1.1/0.5,Watkins Cr. Trib. @Lilac Ave.,River/Stream,,07140101,,,,,38.7684035665,-90.2049994452,24000,12,m,Interpolation-Map,NAD83,,,,,,,US,29,189,,,,,,,,,,STORET
MDNR,Missouri Dept. of Natural Resources,MDNR-1712/0.1,Gravois Cr.nr mouth,River/Stream,Gravois Cr. @Weber Ave at Tennessee St.,07140101,,,,,38.5480991797,-90.2723990591,24000,12,m,Interpolation-Map,NAD83,,,,,,,US,29,189,,,,,,,,,,STORET
MDNR,Missouri Dept. of Natural Resources,MDNR-1713/1.7,"Gravois Cr.@Green Park Rd, Mehlville",River/Stream,Gravois Cr. 3.7 miles above mouth,07140101,,,,,38.5266704803,-90.2994394796,24000,12,m,Interpolation-Map,NAD83,,,,,,,US,29,189,,,,,,,,,,STORET
MDNR,Missouri Dept. of Natural Resources,MDNR-3826/0.7,Deer Cr. @Big Bend Blvd,River/Stream,"Deer Cr.@Big Bend Rd.bridge, 0.6mi.ab.River des Peres",07140101,,,,,38.6011095249,-90.3261114985,24000,12,m,Interpolation-Map,NAD83,,,,,,,US,29,189,,,,,,,,,,STORET
MDNR,Missouri Dept. of Natural Resources,MDNR-4098/0.5,Watkins Cr. Trib. @Lilac Ave.,River/Stream,,07140101,,,,,38.7684035665,-90.2049994452,24000,12,m,Interpolation-Map,NAD83,,,,,,,US,29,189,,,,,,,,,,STORET
MEC,Midwest Envir. Consultants,MEC-1707.02/11.6,Mississippi R. US of River des Peres ab. Lemay,River/Stream,,07140101,,,,,38.5349781690,-90.2554106962,24000,12,m,Interpolation-Map,NAD83,,,,,,,US,17,163,,,,,,,,,,STORET
MEC,Midwest Envir. Consultants,MEC-1707.02/19.3,Mississippi R. at St. Louis,River/Stream,"Mississippi R. @Eads Bridge, just downstream of west pier",07140101,,,,,38.6290004827,-90.1809979215,24000,12,m,Interpolation-Map,NAD83,,,,,,,US,29,510,,,,,,,,,,STORET
MEC,Midwest Envir. Consultants,MEC-1707.02/24.7,Mississippi R. ab. St. Louis,River/Stream,"Mississippi R. mid channel, west side of Mosenthein Island, at S. end of island",07140101,,,,,38.7008339826,-90.2080589120,24000,12,m,Interpolation-Map,NAD83,,,,,,,US,17,119,,,,,,,,,,STORET
MEC,Midwest Envir. Consultants,MEC-1709/0.5,Maline Cr.@Bellefontaine Rd.,River/Stream,Maline Cr. 1 mi.ab. Mouth,07140101,,,,,38.7365045930,-90.2263051616,24000,12,m,Interpolation-Map,NAD83,,,,,,,US,29,189,,,,,,,,,,STORET
MEC,Midwest Envir. Consultants,MEC-1710/2.6,River des Peres @St. Louis,River/Stream,River des Peres @Morgan Ford bridge,07140101,,,,,38.5592970027,-90.2827962151,24000,12,m,Interpolation-Map,NAD83,,,,,,,US,29,510,,,,,,,,,,STORET
MEC,Midwest Envir. Consultants,MEC-3972/1.0,River des Peres @Heman Park,River/Stream,"River des Peres 0.5mi.ab. Mercy High School, Univ. City",07140101,,,,,38.6686136665,-90.3238881144,24000,12,m,Interpolation-Map,NAD83,,,,,,,US,29,189,,,,,,,,,,STORET
SLU_WQX,St. Louis University,SLU_WQX-Ferguson 2,Meadowcrest,Storm Sewer,,07140101,,,,,38.7390000000,-90.2910000000,,,,GPS-Unspecified,NAD83,,,,,,,US,29,189,,,,,,,,,,STORET
SLU_WQX,St. Louis University,SLU_WQX-Ferguson 3,Forestwood,Storm Sewer,,07140101,,,,,38.7400000000,-90.2870000000,,,,GPS-Unspecified,NAD83,,,,,,,US,29,189,,,,,,,,,,STORET
SLU_WQX,St. Louis University,SLU_WQX-Jennings 1,Wiedle,Storm Sewer,,07140101,,,,,38.7320000000,-90.2610000000,,,,GPS-Unspecified,NAD83,,,,,,,US,29,189,,,,,,,,,,STORET
SLU_WQX,St. Louis University,SLU_WQX-Jennings 2,Sumter,Storm Sewer,,07140101,,,,,38.7350000000,-90.2570000000,,,,GPS-Unspecified,NAD83,,,,,,,US,29,189,,,,,,,,,,STORET
SLU_WQX,St. Louis University,SLU_WQX-Jennings 3,Tyrell,Storm Sewer,,07140101,,,,,38.7320000000,-90.2610000000,,,,GPS-Unspecified,NAD83,,,,,,,US,29,189,,,,,,,,,,STORET
SLU_WQX,St. Louis University,SLU_WQX-Jennings 4,Fairhaven,Storm Sewer,,07140101,,,,,38.7250000000,-90.2500000000,,,,GPS-Unspecified,NAD83,,,,,,,US,29,189,,,,,,,,,,STORET
