OrganizationIdentifier,OrganizationFormalName,ActivityIdentifier,ActivityTypeCode,ActivityMediaName,ActivityMediaSubdivisionName,ActivityStartDate,ActivityStartTime/Time,ActivityStartTime/TimeZoneCode,ActivityEndDate,ActivityEndTime/Time,ActivityEndTime/TimeZoneCode,ActivityRelativeDepthName,ActivityDepthHeightMeasure/MeasureValue,ActivityDepthHeightMeasure/MeasureUnitCode,ActivityDepthAltitudeReferencePointText,ActivityTopDepthHeightMeasure/MeasureValue,ActivityTopDepthHeightMeasure/MeasureUnitCode,ActivityBottomDepthHeightMeasure/MeasureValue,ActivityBottomDepthHeightMeasure/MeasureUnitCode,ProjectIdentifier,ActivityConductingOrganizationText,MonitoringLocationIdentifier,ActivityCommentText,SampleAquifer,HydrologicCondition,HydrologicEvent,ActivityLocation/LatitudeMeasure,ActivityLocation/LongitudeMeasure,ActivityLocation/SourceMapScaleNumeric,ActivityLocation/HorizontalAccuracyMeasure/MeasureValue,ActivityLocation/HorizontalAccuracyMeasure/MeasureUnitCode,ActivityLocation/HorizontalCollectionMethodName,ActivityLocation/HorizontalCoordinateReferenceSystemDatumName,AssemblageSampledName,CollectionDuration/MeasureValue,CollectionDuration/MeasureUnitCode,SamplingComponentName,SamplingComponentPlaceInSeriesNumeric,ReachLengthMeasure/MeasureValue,ReachLengthMeasure/MeasureUnitCode,ReachWidthMeasure/MeasureValue,ReachWidthMeasure/MeasureUnitCode,PassCount,NetTypeName,NetSurfaceAreaMeasure/MeasureValue,NetSurfaceAreaMeasure/MeasureUnitCode,NetMeshSizeMeasure/MeasureValue,NetMeshSizeMeasure/MeasureUnitCode,BoatSpeedMeasure/MeasureValue,BoatSpeedMeasure/MeasureUnitCode,CurrentSpeedMeasure/MeasureValue,CurrentSpeedMeasure/MeasureUnitCode,ToxicityTestType,SampleCollectionMethod/MethodIdentifier,SampleCollectionMethod/MethodIdentifierContext,SampleCollectionMethod/MethodName,SampleCollectionMethod/MethodQualifierTypeName,SampleCollectionMethod/MethodDescriptionText,SampleCollectionEquipmentName,SampleCollectionMethod/SampleCollectionEquipmentCommentText,SamplePreparationMethod/MethodIdentifier,SamplePreparationMethod/MethodIdentifierContext,SamplePreparationMethod/MethodName,SamplePreparationMethod/MethodQualifierTypeName,SamplePreparationMethod/MethodDescriptionText,SampleContainerTypeName,SampleContainerColorName,ChemicalPreservativeUsedName,ThermalPreservativeUsedName,SampleTransportStorageDescription,DataLoggerLine,ResultDetectionConditionText,MethodSpecificationName,CharacteristicName,ResultSampleFractionText,ResultMeasureValue,ResultMeasure/MeasureUnitCode,MeasureQualifierCode,ResultStatusIdentifier,StatisticalBaseCode,ResultValueTypeName,ResultWeightBasisText,ResultTimeBasisText,ResultTemperatureBasisText,ResultParticleSizeBasisText,PrecisionValue,DataQuality/BiasValue,ConfidenceIntervalValue,UpperConfidenceLimitValue,LowerConfidenceLimitValue,ResultCommentText,USGSPCode,ResultDepthHeightMeasure/MeasureValue,ResultDepthHeightMeasure/MeasureUnitCode,ResultDepthAltitudeReferencePointText,ResultSamplingPointName,BiologicalIntentName,BiologicalIndividualIdentifier,SubjectTaxonomicName,UnidentifiedSpeciesIdentifier,SampleTissueAnatomyName,GroupSummaryCountWeight/MeasureValue,GroupSummaryCountWeight/MeasureUnitCode,CellFormName,CellShapeName,HabitName,VoltismName,TaxonomicPollutionTolerance,TaxonomicPollutionToleranceScaleText,TrophicLevelName,FunctionalFeedingGroupName,TaxonomicDetailsCitation/ResourceTitleName,TaxonomicDetailsCitation/ResourceCreatorName,TaxonomicDetailsCitation/ResourceSubjectText,TaxonomicDetailsCitation/ResourcePublisherName,TaxonomicDetailsCitation/ResourceDate,TaxonomicDetailsCitation/ResourceIdentifier,FrequencyClassDescriptorCode,FrequencyClassDescriptorUnitCode,LowerClassBoundValue,UpperClassBoundValue,ResultAnalyticalMethod/MethodIdentifier,ResultAnalyticalMethod/MethodIdentifierContext,ResultAnalyticalMethod/MethodName,ResultAnalyticalMethod/MethodQualifierTypeName,MethodDescriptionText,LaboratoryName,AnalysisStartDate,AnalysisStartTime/Time,AnalysisStartTime/TimeZoneCode,AnalysisEndDate,AnalysisEndTime/Time,AnalysisEndTime/TimeZoneCode,ResultLaboratoryCommentCode,ResultLaboratoryCommentText,DetectionQuantitationLimitTypeName,DetectionQuantitationLimitMeasure/MeasureValue,DetectionQuantitationLimitMeasure/MeasureUnitCode,LaboratoryAccreditationIndicator,LaboratoryAccreditationAuthorityName,TaxonomistAccreditationIndicator,TaxonomistAccreditationAuthorityName,LabSamplePreparationMethod/MethodIdentifier,LabSamplePreparationMethod/MethodIdentifierContext,LabSamplePreparationMethod/MethodName,LabSamplePreparationMethod/MethodQualifierTypeName,LabSamplePreparationMethod/MethodDescriptionText,PreparationStartDate,PreparationStartTime/Time,PreparationStartTime/TimeZoneCode,PreparationEndDate,PreparationEndTime/Time,PreparationEndTime/TimeZoneCode,SubstitutionDilutionFactorNumeric,ProviderName
11NPSWRD_WQX,National Park Service Water Resources Division,11NPSWRD_WQX-GLAC_NPS_03A-201807180942SRE,Sample-Routine,Water,,2018-07-18,09:42:00,MDT,,,,,,,,,,,,GLAC0002,,11NPSWRD_WQX-GLAC_NPS_03A,Organization ActivityID=GLAC_NPS_03A-201807180942SRE,,,,48.6285700000,-113.8698300000,,,,,,,,,,,,,,,,,,,,,,,,,,NPS_3P_WSAMPLE,11NPSWRD_WQX,"EPA/NPS-EC Sampling for Pesticides, PPCPs & Waste Indicators",,"A summary for collecting a subsurface water sample used by the EPA/NPS Emerging Contaminants program is as follows. Contact the laboratory before sampling to notify the lab when samples will arrive. At the sampling site, lower an amber glass container to the desired depth (at least 18 inches if possible) with the lid on. Remove the lid under water. Rinse the container two times with sample water and then sample from a similar depth as above. Fill the container completely. Avoid collecting disturbed sediment. Replace the lid and lift the container out of the water. Dry the container thoroughly and label with project name, sample ID, sample date, sampled by, sample time, preservative (ice), grab sample, and analysis requested (pest/PPCP, waste). Repeat the above procedure until the appropriate number of samples have been collected. Use new or clean gloves when collecting each additional sample. Prepare or collect duplicate samples as necessary for quality control. After collection all samples will be immediately placed in a cooler with wet or Blue ice and kept cool until delivered to the laboratory. If samples must be stored temporarily, they should be refrigerated at 4.5º C or lower to prevent microbial degradation. Samples will be shipped via UPS overnight service to the laboratory. Samples should be shipped to the laboratory as soon as possible after collection and should be received by the laboratory 7 or less days after the time of collection.  National Park Service - Water Resources Division and Inventory & Monitoring Program; 2017; Quality Assurance Project Plan for Surface Water Sampling for Pesticides, Pharmaceuticals, Personal Care Products in the National Park Service's Northern Colorado Plateau, Southern Colorado Plateau, Sierra Nevada, Great Lakes, Heartland, Sonoran Desert, and Southern Plains Inventory and Monitoring Networks: Describing Operations for the Year 2017; National Park Service - Water Resources Division and Inventory & Monitoring Program, Fort Collins, CO; 89 pp.",Water Bottle,,NPS_3P_ICE,11NPSWRD_WQX,EPA/NPS-EC Ice Preservation,,,Unspecified,Amber,,Wet Ice (4 deg C),"For the EPA/NPS Emerging Contaminants program, all samples were immediately placed in a cooler with wet or Blue ice and kept cool until delivered to the laboratory. If samples were stored temporarily, they were refrigerated at 4.5º C or lower to prevent microbial degradation. Samples were shipped to the laboratory as soon as possible after collection and received by the laboratory 7 or less days after the time of collection.",,Not Detected,,Bentazon,Dissolved,,ng/L,,Final,,Actual,,,,,,,,,,"The lab number was 1807007-19, and the batch number was 1800146.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NPS_M8321,11NPSWRD_WQX,EPA/NPS-EC Pesticides in Water by Liquid Chromatography-Mass Spectrometry Using Modified EPA 8321A,,,"U.S. Environmental Protection Agency Region 8 Laboratory, CO",2018-07-21,0001-01-01 04:05:39,MDT,,,,,,Method Detection Level,10,ng/L,N,,,,,,,,,,,,,,,,STORET
11NPSWRD_WQX,National Park Service Water Resources Division,11NPSWRD_WQX-GLAC_NPS_01C-201807180938SRE,Sample-Routine,Water,,2018-07-18,09:38:00,MDT,,,,,,,,,,,,GLAC0002,,11NPSWRD_WQX-GLAC_NPS_01C,Organization ActivityID=GLAC_NPS_01C-201807180938SRE,,,,48.6394500000,-113.8755900000,,,,,,,,,,,,,,,,,,,,,,,,,,NPS_3P_WSAMPLE,11NPSWRD_WQX,"EPA/NPS-EC Sampling for Pesticides, PPCPs & Waste Indicators",,"A summary for collecting a subsurface water sample used by the EPA/NPS Emerging Contaminants program is as follows. Contact the laboratory before sampling to notify the lab when samples will arrive. At the sampling site, lower an amber glass container to the desired depth (at least 18 inches if possible) with the lid on. Remove the lid under water. Rinse the container two times with sample water and then sample from a similar depth as above. Fill the container completely. Avoid collecting disturbed sediment. Replace the lid and lift the container out of the water. Dry the container thoroughly and label with project name, sample ID, sample date, sampled by, sample time, preservative (ice), grab sample, and analysis requested (pest/PPCP, waste). Repeat the above procedure until the appropriate number of samples have been collected. Use new or clean gloves when collecting each additional sample. Prepare or collect duplicate samples as necessary for quality control. After collection all samples will be immediately placed in a cooler with wet or Blue ice and kept cool until delivered to the laboratory. If samples must be stored temporarily, they should be refrigerated at 4.5º C or lower to prevent microbial degradation. Samples will be shipped via UPS overnight service to the laboratory. Samples should be shipped to the laboratory as soon as possible after collection and should be received by the laboratory 7 or less days after the time of collection.  National Park Service - Water Resources Division and Inventory & Monitoring Program; 2017; Quality Assurance Project Plan for Surface Water Sampling for Pesticides, Pharmaceuticals, Personal Care Products in the National Park Service's Northern Colorado Plateau, Southern Colorado Plateau, Sierra Nevada, Great Lakes, Heartland, Sonoran Desert, and Southern Plains Inventory and Monitoring Networks: Describing Operations for the Year 2017; National Park Service - Water Resources Division and Inventory & Monitoring Program, Fort Collins, CO; 89 pp.",Water Bottle,,NPS_3P_ICE,11NPSWRD_WQX,EPA/NPS-EC Ice Preservation,,,Unspecified,Amber,,Wet Ice (4 deg C),"For the EPA/NPS Emerging Contaminants program, all samples were immediately placed in a cooler with wet or Blue ice and kept cool until delivered to the laboratory. If samples were stored temporarily, they were refrigerated at 4.5º C or lower to prevent microbial degradation. Samples were shipped to the laboratory as soon as possible after collection and received by the laboratory 7 or less days after the time of collection.",,Not Detected,,Lamotrigine,Dissolved,,ng/L,,Final,,Actual,,,,,,,,,,"The lab number was 1807007-15, and the batch number was 1800169.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NPS_1694P,11NPSWRD_WQX,"EPA/NPS-EC PPCPs in Water by Liquid Chromatography-Mass Spectrometry Using EPA 1694, Positive Mode",,,"U.S. Environmental Protection Agency Region 8 Laboratory, CO",2018-07-21,0001-01-01 06:27:00,MDT,,,,,,Method Detection Level,10,ng/L,N,,,,,,,,,,,,,,,,STORET
11NPSWRD_WQX,National Park Service Water Resources Division,11NPSWRD_WQX-GLAC_NPS_03A-201807180942SRE,Sample-Routine,Water,,2018-07-18,09:42:00,MDT,,,,,,,,,,,,GLAC0002,,11NPSWRD_WQX-GLAC_NPS_03A,Organization ActivityID=GLAC_NPS_03A-201807180942SRE,,,,48.6285700000,-113.8698300000,,,,,,,,,,,,,,,,,,,,,,,,,,NPS_3P_WSAMPLE,11NPSWRD_WQX,"EPA/NPS-EC Sampling for Pesticides, PPCPs & Waste Indicators",,"A summary for collecting a subsurface water sample used by the EPA/NPS Emerging Contaminants program is as follows. Contact the laboratory before sampling to notify the lab when samples will arrive. At the sampling site, lower an amber glass container to the desired depth (at least 18 inches if possible) with the lid on. Remove the lid under water. Rinse the container two times with sample water and then sample from a similar depth as above. Fill the container completely. Avoid collecting disturbed sediment. Replace the lid and lift the container out of the water. Dry the container thoroughly and label with project name, sample ID, sample date, sampled by, sample time, preservative (ice), grab sample, and analysis requested (pest/PPCP, waste). Repeat the above procedure until the appropriate number of samples have been collected. Use new or clean gloves when collecting each additional sample. Prepare or collect duplicate samples as necessary for quality control. After collection all samples will be immediately placed in a cooler with wet or Blue ice and kept cool until delivered to the laboratory. If samples must be stored temporarily, they should be refrigerated at 4.5º C or lower to prevent microbial degradation. Samples will be shipped via UPS overnight service to the laboratory. Samples should be shipped to the laboratory as soon as possible after collection and should be received by the laboratory 7 or less days after the time of collection.  National Park Service - Water Resources Division and Inventory & Monitoring Program; 2017; Quality Assurance Project Plan for Surface Water Sampling for Pesticides, Pharmaceuticals, Personal Care Products in the National Park Service's Northern Colorado Plateau, Southern Colorado Plateau, Sierra Nevada, Great Lakes, Heartland, Sonoran Desert, and Southern Plains Inventory and Monitoring Networks: Describing Operations for the Year 2017; National Park Service - Water Resources Division and Inventory & Monitoring Program, Fort Collins, CO; 89 pp.",Water Bottle,,NPS_3P_ICE,11NPSWRD_WQX,EPA/NPS-EC Ice Preservation,,,Unspecified,Amber,,Wet Ice (4 deg C),"For the EPA/NPS Emerging Contaminants program, all samples were immediately placed in a cooler with wet or Blue ice and kept cool until delivered to the laboratory. If samples were stored temporarily, they were refrigerated at 4.5º C or lower to prevent microbial degradation. Samples were shipped to the laboratory as soon as possible after collection and received by the laboratory 7 or less days after the time of collection.",,Not Detected,,Monuron,Dissolved,,ng/L,,Final,,Actual,,,,,,,,,,"The lab number was 1807007-19, and the batch number was 1800145.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NPS_M8321,11NPSWRD_WQX,EPA/NPS-EC Pesticides in Water by Liquid Chromatography-Mass Spectrometry Using Modified EPA 8321A,,,"U.S. Environmental Protection Agency Region 8 Laboratory, CO",2018-07-20,0001-01-01 18:50:12,MDT,,,,,,Method Detection Level,10,ng/L,N,,,,,,,,,,,,,,,,STORET
11NPSWRD_WQX,National Park Service Water Resources Division,11NPSWRD_WQX-GLAC_NPS_03A-201807201227FDS_01,Field Msr/Obs,Water,,2018-07-20,12:27:00,MDT,,,,,11.3,ft,,,,,,GLAC0002,,11NPSWRD_WQX-GLAC_NPS_03A,Organization ActivityID=GLAC_NPS_03A-201807201227FDS,,,,48.6285700000,-113.8698300000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pH,,-39.938,mV,,Final,,Actual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NPS_INSITU_AT600,11NPSWRD_WQX,Field Measurements by In-Situ Aqua TROLL 600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,STORET
11NPSWRD_WQX,National Park Service Water Resources Division,11NPSWRD_WQX-GLAC_NPS_03A-201807201225FDS_01,Field Msr/Obs,Water,,2018-07-20,12:25:00,MDT,,,,,28.1,ft,,,,,,GLAC0002,,11NPSWRD_WQX-GLAC_NPS_03A,Organization ActivityID=GLAC_NPS_03A-201807201225FDS,,,,48.6285700000,-113.8698300000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Temperature, water",,13.582,deg C,,Final,,Actual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NPS_INSITU_AT600,11NPSWRD_WQX,Field Measurements by In-Situ Aqua TROLL 600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,STORET
11NPSWRD_WQX,National Park Service Water Resources Division,11NPSWRD_WQX-GLAC_NPS_03A-201807201227FDS_01,Field Msr/Obs,Water,,2018-07-20,12:27:00,MDT,,,,,11.3,ft,,,,,,GLAC0002,,11NPSWRD_WQX-GLAC_NPS_03A,Organization ActivityID=GLAC_NPS_03A-201807201227FDS,,,,48.6285700000,-113.8698300000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Salinity,,0.047,PSU,,Final,,Actual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NPS_INSITU_AT600,11NPSWRD_WQX,Field Measurements by In-Situ Aqua TROLL 600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,STORET
11NPSWRD_WQX,National Park Service Water Resources Division,11NPSWRD_WQX-GLAC_NPS_01C-201809191249SRRR,Sample-Routine,Water,,2018-09-19,12:49:00,MDT,,,,,,,,,,,,GLAC0002,,11NPSWRD_WQX-GLAC_NPS_01C,Organization ActivityID=GLAC_NPS_01C-201809191249SRRR,,,,48.6394500000,-113.8755900000,,,,,,,,,,,,,,,,,,,,,,,,,,GLAC_GEOT_BP,11NPSWRD_WQX,GLAC Water Samples at 10-Meters Depth by Geotech 1.66-Inch Bladder Pump,11NPSWRD_WQX,"Glacier National Park water samples were collected at 10-meters depth by a Geotech Portable, 1.66-Inch Bladder Pump and its associated equipment. Water samples were distributed into various bottles and vials, with or without chemical preservatives, and shipped or transported on ice to the analytical labs.  Unknown; 19--; No Cite - Method Not Cited; Unknown; Vol --",Pump/Bladder,,GLAC_HCL_1,11NPSWRD_WQX,GLAC HCl & Ice Preserve 1,,,Unspecified,Unspecified,Hydrochloric Acid,Wet Ice (4 deg C),Glacier National Park samples in VOA vials were acidified with hydrochloric acid and shipped or transported on ice in a cooler to the analytical lab.,,Not Detected,,Tribromomethane,Total,,ug/L,,Final,,Actual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8260C,USEPA,8260 C ~ Volatile Organic Compounds by GC/MS,,,"RTI Laboratories - Environmental Sciences Division, MI",2018-10-02,0001-01-01 23:25:00,EDT,,,,,,Method Detection Level,0.25,ug/L,N,,,,,,,,,,,,,,,,STORET
11NPSWRD_WQX,National Park Service Water Resources Division,11NPSWRD_WQX-ROMN_GLAC_S04_20180625_WATER_0,Sample-Routine,Water,,2018-06-25,,,,,,,,,,,,,,ROMN_SEI,,11NPSWRD_WQX-ROMN_GLAC_S04,,,,,48.6912000000,-113.7170000000,,,,,,,,,,,,,,,,,,,,,,,,,,ROMN_GRAB,11NPSWRD_WQX,Rocky Mountain Network Grab Sample Procedure,,Water and sediment samples are collected at the downstream end of the sample reach using modified USGS/NPS procedures. All bottles are triple rinsed with stream water prior to filling. All crew wear nitrile gloves. Water is collected in the thalweg with a isokinetic technique with bottles filled facing upstream and plunged in a smooth even motion from the surface to the bottom substrate. Filtration is conducted on site or within 24 hours as needed. Fine mineral sediment is composited from 7 to 11 representative areas near the location where water is sampled. Samples are preserved and frozen or refrigerated within 24 hours as needed.,Water Bottle,,,,,,,,,,,,,,,Organic carbon,Dissolved,0.55,mg/L,,Accepted,,Actual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5310-B,APHA,5310 B ~ Total Organic Carbon by Combustion-Infrared Method,,https://www.nemi.gov/methods/method_summary/5717/,Oregon State University Cooperative Chemical Analytical Labo,2018-06-25,,,,,,,,Lower Quantitation Limit,0.16,mg/L,,,,,,,,,,,,,,,,,STORET
11NPSWRD_WQX,National Park Service Water Resources Division,11NPSWRD_WQX-GLAC_NPS_03A-201807180942SRE,Sample-Routine,Water,,2018-07-18,09:42:00,MDT,,,,,,,,,,,,GLAC0002,,11NPSWRD_WQX-GLAC_NPS_03A,Organization ActivityID=GLAC_NPS_03A-201807180942SRE,,,,48.6285700000,-113.8698300000,,,,,,,,,,,,,,,,,,,,,,,,,,NPS_3P_WSAMPLE,11NPSWRD_WQX,"EPA/NPS-EC Sampling for Pesticides, PPCPs & Waste Indicators",,"A summary for collecting a subsurface water sample used by the EPA/NPS Emerging Contaminants program is as follows. Contact the laboratory before sampling to notify the lab when samples will arrive. At the sampling site, lower an amber glass container to the desired depth (at least 18 inches if possible) with the lid on. Remove the lid under water. Rinse the container two times with sample water and then sample from a similar depth as above. Fill the container completely. Avoid collecting disturbed sediment. Replace the lid and lift the container out of the water. Dry the container thoroughly and label with project name, sample ID, sample date, sampled by, sample time, preservative (ice), grab sample, and analysis requested (pest/PPCP, waste). Repeat the above procedure until the appropriate number of samples have been collected. Use new or clean gloves when collecting each additional sample. Prepare or collect duplicate samples as necessary for quality control. After collection all samples will be immediately placed in a cooler with wet or Blue ice and kept cool until delivered to the laboratory. If samples must be stored temporarily, they should be refrigerated at 4.5º C or lower to prevent microbial degradation. Samples will be shipped via UPS overnight service to the laboratory. Samples should be shipped to the laboratory as soon as possible after collection and should be received by the laboratory 7 or less days after the time of collection.  National Park Service - Water Resources Division and Inventory & Monitoring Program; 2017; Quality Assurance Project Plan for Surface Water Sampling for Pesticides, Pharmaceuticals, Personal Care Products in the National Park Service's Northern Colorado Plateau, Southern Colorado Plateau, Sierra Nevada, Great Lakes, Heartland, Sonoran Desert, and Southern Plains Inventory and Monitoring Networks: Describing Operations for the Year 2017; National Park Service - Water Resources Division and Inventory & Monitoring Program, Fort Collins, CO; 89 pp.",Water Bottle,,NPS_3P_ICE,11NPSWRD_WQX,EPA/NPS-EC Ice Preservation,,,Unspecified,Amber,,Wet Ice (4 deg C),"For the EPA/NPS Emerging Contaminants program, all samples were immediately placed in a cooler with wet or Blue ice and kept cool until delivered to the laboratory. If samples were stored temporarily, they were refrigerated at 4.5º C or lower to prevent microbial degradation. Samples were shipped to the laboratory as soon as possible after collection and received by the laboratory 7 or less days after the time of collection.",,Not Detected,,Dimethenamid ESA,Dissolved,,ng/L,,Final,,Actual,,,,,,,,,,"The lab number was 1807007-19, and the batch number was 1800146.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NPS_M8321,11NPSWRD_WQX,EPA/NPS-EC Pesticides in Water by Liquid Chromatography-Mass Spectrometry Using Modified EPA 8321A,,,"U.S. Environmental Protection Agency Region 8 Laboratory, CO",2018-07-21,0001-01-01 04:05:39,MDT,,,,,,Method Detection Level,20,ng/L,N,,,,,,,,,,,,,,,,STORET
11NPSWRD_WQX,National Park Service Water Resources Division,11NPSWRD_WQX-GLAC_NPS_01C-201807180938SRE,Sample-Routine,Water,,2018-07-18,09:38:00,MDT,,,,,,,,,,,,GLAC0002,,11NPSWRD_WQX-GLAC_NPS_01C,Organization ActivityID=GLAC_NPS_01C-201807180938SRE,,,,48.6394500000,-113.8755900000,,,,,,,,,,,,,,,,,,,,,,,,,,NPS_3P_WSAMPLE,11NPSWRD_WQX,"EPA/NPS-EC Sampling for Pesticides, PPCPs & Waste Indicators",,"A summary for collecting a subsurface water sample used by the EPA/NPS Emerging Contaminants program is as follows. Contact the laboratory before sampling to notify the lab when samples will arrive. At the sampling site, lower an amber glass container to the desired depth (at least 18 inches if possible) with the lid on. Remove the lid under water. Rinse the container two times with sample water and then sample from a similar depth as above. Fill the container completely. Avoid collecting disturbed sediment. Replace the lid and lift the container out of the water. Dry the container thoroughly and label with project name, sample ID, sample date, sampled by, sample time, preservative (ice), grab sample, and analysis requested (pest/PPCP, waste). Repeat the above procedure until the appropriate number of samples have been collected. Use new or clean gloves when collecting each additional sample. Prepare or collect duplicate samples as necessary for quality control. After collection all samples will be immediately placed in a cooler with wet or Blue ice and kept cool until delivered to the laboratory. If samples must be stored temporarily, they should be refrigerated at 4.5º C or lower to prevent microbial degradation. Samples will be shipped via UPS overnight service to the laboratory. Samples should be shipped to the laboratory as soon as possible after collection and should be received by the laboratory 7 or less days after the time of collection.  National Park Service - Water Resources Division and Inventory & Monitoring Program; 2017; Quality Assurance Project Plan for Surface Water Sampling for Pesticides, Pharmaceuticals, Personal Care Products in the National Park Service's Northern Colorado Plateau, Southern Colorado Plateau, Sierra Nevada, Great Lakes, Heartland, Sonoran Desert, and Southern Plains Inventory and Monitoring Networks: Describing Operations for the Year 2017; National Park Service - Water Resources Division and Inventory & Monitoring Program, Fort Collins, CO; 89 pp.",Water Bottle,,NPS_3P_ICE,11NPSWRD_WQX,EPA/NPS-EC Ice Preservation,,,Unspecified,Amber,,Wet Ice (4 deg C),"For the EPA/NPS Emerging Contaminants program, all samples were immediately placed in a cooler with wet or Blue ice and kept cool until delivered to the laboratory. If samples were stored temporarily, they were refrigerated at 4.5º C or lower to prevent microbial degradation. Samples were shipped to the laboratory as soon as possible after collection and received by the laboratory 7 or less days after the time of collection.",,Not Detected,,(+/-)11-nor-9-carboxy-delta-THC,Dissolved,,ng/L,,Final,,Actual,,,,,,,,,,"The lab number was 1807007-15, and the batch number was 1800170.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NPS_1694N,11NPSWRD_WQX,"EPA/NPS-EC PPCPs in Water by Liquid Chromatography-Mass Spectrometry Using EPA 1694, Negative Mode",,,"U.S. Environmental Protection Agency Region 8 Laboratory, CO",2018-07-20,0001-01-01 18:49:00,MDT,,,,,,Method Detection Level,10,ng/L,N,,,,,,,,,,,,,,,,STORET
