OrganizationIdentifier,OrganizationFormalName,MonitoringLocationIdentifier,MonitoringLocationName,MonitoringLocationTypeName,MonitoringLocationDescriptionText,HUCEightDigitCode,DrainageAreaMeasure/MeasureValue,DrainageAreaMeasure/MeasureUnitCode,ContributingDrainageAreaMeasure/MeasureValue,ContributingDrainageAreaMeasure/MeasureUnitCode,LatitudeMeasure,LongitudeMeasure,SourceMapScaleNumeric,HorizontalAccuracyMeasure/MeasureValue,HorizontalAccuracyMeasure/MeasureUnitCode,HorizontalCollectionMethodName,HorizontalCoordinateReferenceSystemDatumName,VerticalMeasure/MeasureValue,VerticalMeasure/MeasureUnitCode,VerticalAccuracyMeasure/MeasureValue,VerticalAccuracyMeasure/MeasureUnitCode,VerticalCollectionMethodName,VerticalCoordinateReferenceSystemDatumName,CountryCode,StateCode,CountyCode,AquiferName,LocalAqfrName,FormationTypeText,AquiferTypeName,ConstructionDateText,WellDepthMeasure/MeasureValue,WellDepthMeasure/MeasureUnitCode,WellHoleDepthMeasure/MeasureValue,WellHoleDepthMeasure/MeasureUnitCode,ProviderName
USGS-MT,USGS Montana Water Science Center,USGS-05014300,Swiftcurrent Cr ab Swiftcurrent Lk at Many Glacier,Stream,,09040001,15.8,sq mi,,,48.79544440000000,-113.6805833000000,,.1,seconds,Interpolated from Digital MAP.,NAD83,4920,feet,20,feet,Interpolated from topographic map.,NAVD88,US,30,035,,,,,,,,,,NWIS
11NPSWRD_WQX,National Park Service Water Resources Division,11NPSWRD_WQX-GLAC_NPS_01A,"Lake McDonald near Kelly Camp, North Site",Lake,"This station is at Lake McDonald near Kelly Camp, north site. Coordinate methods were GPS, map interpolation, and random choice; datum were NAD83 and WGS84. At this station samples were collected by grab, bladder pump (10-meter depth), and 50-meter horizontal tow. For the first horizontal tow at 1551, the start coordinates were 48.63171N, 113.89569W, and the end coordinates were 48.63117N, 113.89628W. For the second tow at 1555, the start coordinates were 48.63199N, 113.89526W, and the end coordinates were 48.63134N, 113.89604W.",17010207,,,,,48.6315300000,-113.8958400000,,,,Unknown,OTHER,,,,,,,US,30,029,,,,,,,,,,STORET
11NPSWRD_WQX,National Park Service Water Resources Division,11NPSWRD_WQX-GLAC_NPS_01B,"Lake McDonald near Kelly Camp, South Site",Lake,"This station is at Lake McDonald near Kelly Camp, south site. Coordinate methods were GPS, map interpolation, and random choice; datum were NAD83 and WGS84. At this station samples were collected by grab, bladder pump (10-meter depth), and 50-meter horizontal tow. For the first horizontal tow at 1531, the start coordinates were 48.62515N, 113.90401W, and the end coordinates were 48.62445N, 113.90408W. For the second tow at 1542, the start coordinates were 48.62513N, 113.90388W, and the end coordinates were 48.62452N, 113.90404W.",17010207,,,,,48.6248800000,-113.9041500000,,,,Unknown,OTHER,,,,,,,US,30,029,,,,,,,,,,STORET
11NPSWRD_WQX,National Park Service Water Resources Division,11NPSWRD_WQX-GLAC_NPS_01C,Lake McDonald near Ranger Station,Lake,"This station is at Lake McDonald near the Ranger Station. Coordinate methods were GPS, map interpolation, and random choice; datum were NAD83 and WGS84. At this station samples were collected by grab, bladder pump (10-meter depth), and 50-meter horizontal tow. For the first horizontal tow at 1605, the start coordinates were 48.63939N, 113.87518W, and the end coordinates were 48.63961N, 113.8762W. For the second tow at 1610, the start coordinates were 48.63934N, 113.87498W, and the end coordinates were 48.63943N, 113.87589W.",17010207,,,,,48.6394500000,-113.8755900000,,,,Unknown,OTHER,,,,,,,US,30,029,,,,,,,,,,STORET
11NPSWRD_WQX,National Park Service Water Resources Division,11NPSWRD_WQX-GLAC_NPS_03A,"Lake McDonald near Lake McDonald Lodge, North Site",Lake,"This station is at Lake McDonald near Lake McDonald Lodge, north site. Coordinate methods were GPS, map interpolation, and random choice; datum were NAD83 and WGS84. At this station samples were collected by grab, bladder pump (10-meter depth), and 50-meter horizontal tow. For the first horizontal tow at 1620, the start coordinates were 48.62841N, 113.86993W, and the end coordinates were 48.62903N, 113.86964W. For the second tow at 1625, the start coordinates were 48.62863N, 113.86993W, and the end coordinates were 48.6292N, 113.86993W.",17010207,,,,,48.6285700000,-113.8698300000,,,,Unknown,OTHER,,,,,,,US,30,029,,,,,,,,,,STORET
11NPSWRD_WQX,National Park Service Water Resources Division,11NPSWRD_WQX-GLAC_NPS_03B,"Lake McDonald near Lake McDonald Lodge, South Site",Lake,"This station is at Lake McDonald near Lake McDonald Lodge, south site. Coordinate methods were GPS, map interpolation, and random choice; datum were NAD83 and WGS84. At this station samples were collected by grab, bladder pump (10-meter depth), and 50-meter horizontal tow. For the first horizontal tow at 1633, the start coordinates were 48.61938N, 113.8771W, and the end coordinates were 48.61964N, 113.87632W. For the second tow at 1638, the start coordinates were 48.6194N, 113.87711W, and the end coordinates were 48.61961N, 113.87634W.",17010207,,,,,48.6195100000,-113.8766400000,,,,Unknown,OTHER,,,,,,,US,30,029,,,,,,,,,,STORET
11NPSWRD_WQX,National Park Service Water Resources Division,11NPSWRD_WQX-GLAC_NPS_05,"Lake McDonald, North Mid-Lake Site",Lake,"This station is at Lake McDonald, north mid-lake site. Coordinate methods were GPS, map interpolation, and random choice; datum were NAD83 and WGS84. At this station samples were collected by grab, bladder pump (10-meter depth), 50-meter horizontal tow, and 50-meter vertical tow. For the first vertical tow at 1655, the coordinates were 48.60109N, 113.90349W. For the second vertical tow at 1704, the coordinates were 48.60096N, 113.90355W.",17010207,,,,,48.6010100000,-113.9035700000,,,,Unknown,OTHER,,,,,,,US,30,029,,,,,,,,,,STORET
11NPSWRD_WQX,National Park Service Water Resources Division,11NPSWRD_WQX-ROMN_GLAC_S01,Swiftcurrent Creek,River/Stream,,09040001,,,,,48.7953000000,-113.6810000000,0,,,GPS-Unspecified,NAD83,,,,,,,US,30,035,,,,,,,,,,STORET
11NPSWRD_WQX,National Park Service Water Resources Division,11NPSWRD_WQX-ROMN_GLAC_S04,Reynolds Creek,River/Stream,,09040001,,,,,48.6912000000,-113.7170000000,0,,,GPS-Unspecified,NAD83,,,,,,,US,30,035,,,,,,,,,,STORET
NALMS,North American Lake Management Society,NALMS-F775913,"Rogers Lake, Flathead County, MT, USA",Lake,Lake,17010206,,,,,48.6610000000,-113.9380000000,,,,GPS-Unspecified,NAD83,,,,,,,US,30,029,,,,,,,,,,STORET
NALMS,North American Lake Management Society,NALMS-F783444,"Fish Lake, Flathead County, MT, USA, 48.600497, -113.8600822",Lake,Lake,17010207,,,,,48.6010000000,-113.8600000000,,,,GPS-Unspecified,NAD83,,,,,,,US,30,029,,,,,,,,,,STORET
NARS_WQX,EPA National Aquatic Resources Survey (NARS),NARS_WQX-MTSS-1297,Sprague Creek,River/Stream,SmallStreams,17010207,,,,,48.6030100000,-113.8529000000,,,,GPS-Unspecified,NAD83,1175.49,m,,,Unknown,UNKWN,US,30,029,,,,,,,,,,STORET
NARS_WQX,EPA National Aquatic Resources Survey (NARS),NARS_WQX-NRS_MT-10442,Sprague Creek,River/Stream,SmallStreams,17010207,,,,,48.6030042700,-113.8529123000,,,,GPS-Unspecified,NAD83,1175.49,m,,,Unknown,UNKWN,US,30,029,,,,,,,,,,STORET
