OrganizationIdentifier,OrganizationFormalName,ActivityIdentifier,ActivityTypeCode,ActivityMediaName,ActivityMediaSubdivisionName,ActivityStartDate,ActivityStartTime/Time,ActivityStartTime/TimeZoneCode,ActivityEndDate,ActivityEndTime/Time,ActivityEndTime/TimeZoneCode,ActivityRelativeDepthName,ActivityDepthHeightMeasure/MeasureValue,ActivityDepthHeightMeasure/MeasureUnitCode,ActivityDepthAltitudeReferencePointText,ActivityTopDepthHeightMeasure/MeasureValue,ActivityTopDepthHeightMeasure/MeasureUnitCode,ActivityBottomDepthHeightMeasure/MeasureValue,ActivityBottomDepthHeightMeasure/MeasureUnitCode,ProjectIdentifier,ProjectName,ActivityConductingOrganizationText,MonitoringLocationIdentifier,MonitoringLocationName,ActivityCommentText,SampleAquifer,HydrologicCondition,HydrologicEvent,ActivityLocation/LatitudeMeasure,ActivityLocation/LongitudeMeasure,SampleCollectionMethod/MethodIdentifier,SampleCollectionMethod/MethodIdentifierContext,SampleCollectionMethod/MethodName,SampleCollectionMethod/MethodDescriptionText,SampleCollectionEquipmentName,ResultIdentifier,ResultDetectionConditionText,MethodSpeciationName,CharacteristicName,ResultSampleFractionText,ResultMeasureValue,ResultMeasure/MeasureUnitCode,MeasureQualifierCode,ResultStatusIdentifier,StatisticalBaseCode,ResultValueTypeName,ResultWeightBasisText,ResultTimeBasisText,ResultTemperatureBasisText,ResultParticleSizeBasisText,DataQuality/PrecisionValue,DataQuality/BiasValue,DataQuality/ConfidenceIntervalValue,DataQuality/UpperConfidenceLimitValue,DataQuality/LowerConfidenceLimitValue,ResultCommentText,USGSPCode,ResultDepthHeightMeasure/MeasureValue,ResultDepthHeightMeasure/MeasureUnitCode,ResultDepthAltitudeReferencePointText,SubjectTaxonomicName,SampleTissueAnatomyName,BinaryObjectFileName,BinaryObjectFileTypeCode,ResultFileUrl,ResultAnalyticalMethod/MethodIdentifier,ResultAnalyticalMethod/MethodIdentifierContext,ResultAnalyticalMethod/MethodName,ResultAnalyticalMethod/MethodUrl,ResultAnalyticalMethod/MethodDescriptionText,LaboratoryName,AnalysisStartDate,ResultLaboratoryCommentText,ResultDetectionQuantitationLimitUrl,DetectionQuantitationLimitTypeName,DetectionQuantitationLimitMeasure/MeasureValue,DetectionQuantitationLimitMeasure/MeasureUnitCode,LabSamplePreparationUrl,LastUpdated,ProviderName
USGS-AZ,USGS Arizona Water Science Center,nwisaz.01.02100194,Sample-Routine,Water,Groundwater,2021-04-28,15:30:00,MST,,,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-360410112055700,,,,Not applicable,Not applicable,,,USGS,USGS,USGS,,Unknown,NWIS-121072242,,,"Temperature, water",,17.8,deg C,,Accepted,,Actual,,,,,,,,,,,00010,,,,,,,,,THM01,USGS,"Temperature, water, thermistor",,"USGS National Field Manual, Chapter A6.1",U.S. Geological Survey-Water Resources Discipline,,,,,,,,,NWIS
USGS-AZ,USGS Arizona Water Science Center,nwisaz.01.02100194,Sample-Routine,Water,Groundwater,2021-04-28,15:30:00,MST,,,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-360410112055700,,,,Not applicable,Not applicable,,,USGS,USGS,USGS,,Unknown,NWIS-121072243,,,Barometric pressure,,658,mm/Hg,,Accepted,,Actual,,,,,,,,,,,00025,,,,,,,,,BAROM,USGS,"Atmospheric pressure, barometer",,USGS National Field Manual,U.S. Geological Survey-Water Resources Discipline,,,,,,,,,NWIS
USGS-AZ,USGS Arizona Water Science Center,nwisaz.01.02100194,Sample-Routine,Water,Groundwater,2021-04-28,15:30:00,MST,,,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-360410112055700,,,,Not applicable,Not applicable,,,USGS,USGS,USGS,,Unknown,NWIS-121072244,,,"Stream flow, instantaneous",,0.00262,ft3/s,,Accepted,,Actual,,,,,,,,,,,00061,,,,,,,,,QVOLM,USGS,"Disch., meas., volumetric",,USGS TWRI 3-A8,U.S. Geological Survey-Water Resources Discipline,,,,,,,,,NWIS
USGS-AZ,USGS Arizona Water Science Center,nwisaz.01.02100194,Sample-Routine,Water,Groundwater,2021-04-28,15:30:00,MST,,,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-360410112055700,,,,Not applicable,Not applicable,,,USGS,USGS,USGS,,Unknown,NWIS-121072245,,,Specific conductance,Total,520,uS/cm @25C,,Accepted,,Actual,,,25 deg C,,,,,,,,00095,,,,,,,,,SC001,USGS,Specific conductance sensor,,"USGS National Field Manual, Chapter A6.3",U.S. Geological Survey-Water Resources Discipline,,,,,,,,,NWIS
USGS-AZ,USGS Arizona Water Science Center,nwisaz.01.02100194,Sample-Routine,Water,Groundwater,2021-04-28,15:30:00,MST,,,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-360410112055700,,,,Not applicable,Not applicable,,,USGS,USGS,USGS,,Unknown,NWIS-121072246,,,"Acidity, (H+)",Total,0.00004,mg/l,,Accepted,,Actual,,,,,,,,,,,00191,,,,,,,,,ALGOR,USGS,Computation by NWIS algorithm,,"NWIS User's Manual, QW System, Section 3.6.7",,,,,,,,,,NWIS
USGS-AZ,USGS Arizona Water Science Center,nwisaz.01.02100194,Sample-Routine,Water,Groundwater,2021-04-28,15:30:00,MST,,,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-360410112055700,,,,Not applicable,Not applicable,,,USGS,USGS,USGS,,Unknown,NWIS-121072247,,,Oxygen,Dissolved,7.7,mg/l,,Accepted,,Actual,,,,,,,,,,,00300,,,,,,,,,LUMIN,USGS,"Diss oxygen, luminescence sensor",,ASTM,U.S. Geological Survey-Water Resources Discipline,,,,,,,,,NWIS
USGS-AZ,USGS Arizona Water Science Center,nwisaz.01.02100194,Sample-Routine,Water,Groundwater,2021-04-28,15:30:00,MST,,,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-360410112055700,,,,Not applicable,Not applicable,,,USGS,USGS,USGS,,Unknown,NWIS-121072248,,,Oxygen,Dissolved,94,% saturatn,,Accepted,,Actual,,,,,,,,,,,00301,,,,,,,,,ALGOR,USGS,Computation by NWIS algorithm,,"NWIS User's Manual, QW System, Section 3.6.7",,,,,,,,,,NWIS
USGS-AZ,USGS Arizona Water Science Center,nwisaz.01.02100194,Sample-Routine,Water,Groundwater,2021-04-28,15:30:00,MST,,,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-360410112055700,,,,Not applicable,Not applicable,,,USGS,USGS,USGS,,Unknown,NWIS-121072249,,,pH,Total,7.4,std units,,Accepted,,Actual,,,,,,,,,,,00400,,,,,,,,,PROBE,USGS,"pH, field, electrometric",,"USGS National Field Manual, Chapter A6.4",U.S. Geological Survey-Water Resources Discipline,,,,,,,,,NWIS
USGS-AZ,USGS Arizona Water Science Center,nwisaz.01.02100194,Sample-Routine,Water,Groundwater,2021-04-28,15:30:00,MST,,,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-360410112055700,,,,Not applicable,Not applicable,,,USGS,USGS,USGS,,Unknown,NWIS-121072250,,,Carbon dioxide,Total,15,mg/l,,Accepted,,Actual,,,,,,,,,,,00405,,,,,,,,,ALGOR,USGS,Computation by NWIS algorithm,,"NWIS User's Manual, QW System, Section 3.6.7",,,,,,,,,,NWIS
USGS-AZ,USGS Arizona Water Science Center,nwisaz.01.02100194,Sample-Routine,Water,Groundwater,2021-04-28,15:30:00,MST,,,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-360410112055700,,,,Not applicable,Not applicable,,,USGS,USGS,USGS,,Unknown,NWIS-121072251,,,Carbonate,Dissolved,0.5,mg/l,,Accepted,,Actual,,,,,,,,,,,00452,,,,,,,,,ASM01,USGS,"Alkalinity, IPT, Hach, ASM",,"Rounds, 2007, Alkalinity calculation methods",U.S. Geological Survey-Water Resources Discipline,,,,,,,,,NWIS
