OrganizationIdentifier,OrganizationFormalName,MonitoringLocationIdentifier,MonitoringLocationName,MonitoringLocationTypeName,MonitoringLocationDescriptionText,HUCEightDigitCode,DrainageAreaMeasure/MeasureValue,DrainageAreaMeasure/MeasureUnitCode,ContributingDrainageAreaMeasure/MeasureValue,ContributingDrainageAreaMeasure/MeasureUnitCode,LatitudeMeasure,LongitudeMeasure,SourceMapScaleNumeric,HorizontalAccuracyMeasure/MeasureValue,HorizontalAccuracyMeasure/MeasureUnitCode,HorizontalCollectionMethodName,HorizontalCoordinateReferenceSystemDatumName,VerticalMeasure/MeasureValue,VerticalMeasure/MeasureUnitCode,VerticalAccuracyMeasure/MeasureValue,VerticalAccuracyMeasure/MeasureUnitCode,VerticalCollectionMethodName,VerticalCoordinateReferenceSystemDatumName,CountryCode,StateCode,CountyCode,AquiferName,LocalAqfrName,FormationTypeText,AquiferTypeName,ConstructionDateText,WellDepthMeasure/MeasureValue,WellDepthMeasure/MeasureUnitCode,WellHoleDepthMeasure/MeasureValue,WellHoleDepthMeasure/MeasureUnitCode,ProviderName
USGS-AZ,USGS Arizona Water Science Center,USGS-09402450,"COTTONWOOD SPR ABV COTTONWOOD CR, NR GRAND CYN, AZ",Stream,,15010001,,,,,36.02359480000000,-111.9882199000000,24000,5,seconds,Interpolated from MAP.,NAD83,3920.,feet,20,feet,Interpolated from topographic map.,NGVD29,US,04,005,,,,,,,,,,NWIS
USGS-AZ,USGS Arizona Water Science Center,USGS-09402500,"COLORADO RIVER NEAR GRAND CANYON, AZ",Stream,,15010001,141600,sq mi,137641,sq mi,36.10137176000000,-112.0862795000000,,10,seconds,Interpolated from MAP.,NAD83,2418.70,feet,20,feet,Interpolated from topographic map.,NGVD29,US,04,005,,,,,,,,,,NWIS
USGS-AZ,USGS Arizona Water Science Center,USGS-09403013,"PUMP HOUSE WASH SPRING NEAR GRAND CANYON, AZ",Stream,,15010002,,,,,36.07859390000000,-112.1260026000000,24000,5,seconds,Interpolated from MAP.,NAD83,3800.,feet,40,feet,Interpolated from topographic map.,NGVD29,US,04,005,,,,,,,,,,NWIS
USGS-AZ,USGS Arizona Water Science Center,USGS-09403043,"HERMIT CREEK ABOVE TONTO TRAIL NR GRAND CANYON, AZ",Stream,,15010002,,,,,36.08081566000000,-112.2137829000000,24000,5,seconds,Interpolated from MAP.,NAD83,2920.,feet,20,feet,Interpolated from topographic map.,NGVD29,US,04,005,,,,,,,,,,NWIS
USGS-AZ,USGS Arizona Water Science Center,USGS-355153112052500,Owl Tank,"Lake, Reservoir, Impoundment",,15010004,,,,,35.86471037000000,-112.0909990000000,24000,1,seconds,Interpolated from MAP.,NAD83,6410,feet,10,feet,Interpolated from topographic map.,NGVD29,US,04,005,,,,,,,,,,NWIS
USGS-AZ,USGS Arizona Water Science Center,USGS-355254112054901,A-29-03 20CBA1 [PINYON PLAIN MINE PERCHED GW WELL],Well,,15010004,,,,,35.88154444000000,-112.0968139000000,24000,.01,seconds,Differentially corrected Global Positioning System.,NAD83,6495,feet,1.6,feet,Interpolated from Digital Elevation Model,NAVD88,US,04,005,Other aquifers,,Coconino Sandstone,Confined single aquifer,,1150,ft,1160,ft,NWIS
USGS-AZ,USGS Arizona Water Science Center,USGS-355258112054900,CANYON MINE DETENTION POND,"Lake, Reservoir, Impoundment",,15010004,,,,,35.88276528000000,-112.0976660000000,24000,1,seconds,Interpolated from MAP.,NAD83,6511.,feet,5,feet,Interpolated from topographic map.,NGVD29,US,04,005,,,,,,,,,,NWIS
USGS-AZ,USGS Arizona Water Science Center,USGS-355300112054501,A-29-03 20BDC1 [CANYON MINE SHAFT],"Subsurface: Tunnel, shaft, or mine",,15010004,,,,,35.88332080000000,-112.0965549000000,24000,1,seconds,Interpolated from MAP.,NAD83,6505,feet,5,feet,Interpolated from topographic map.,NGVD29,US,04,005,,,Kaibab Limestone,Unconfined single aquifer,20130627,,,150,ft,NWIS
USGS-AZ,USGS Arizona Water Science Center,USGS-355308112054101,A-29-03 20BCD1[PINYON PLAIN MINE REGIONAL GW WELL],Well,,15010004,,,,,35.88370000000000,-112.0973889000000,24000,.01,seconds,Interpolated from Digital MAP.,NAD83,6535,feet,020,feet,Interpolated from topographic map.,NGVD29,US,04,005,Other aquifers,,Muav Limestone,Confined single aquifer,19861116,3086,ft,3086,ft,NWIS
USGS-AZ,USGS Arizona Water Science Center,USGS-360025111571501,A-30-04 10ABB1 [JT SPRING],Spring,,15010001,,,,,36.00427880000000,-111.9517290000000,24000,.01,seconds,Differentially corrected Global Positioning System.,NAD83,4360.,feet,020,feet,Differentially corrected Global Positioning System.,NGVD29,US,04,005,,,,,,,,,,NWIS
