OrganizationIdentifier,OrganizationFormalName,ActivityIdentifier,ActivityTypeCode,ActivityMediaName,ActivityMediaSubdivisionName,ActivityStartDate,ActivityStartTime/Time,ActivityStartTime/TimeZoneCode,ActivityEndDate,ActivityEndTime/Time,ActivityEndTime/TimeZoneCode,ActivityRelativeDepthName,ActivityDepthHeightMeasure/MeasureValue,ActivityDepthHeightMeasure/MeasureUnitCode,ActivityDepthAltitudeReferencePointText,ActivityTopDepthHeightMeasure/MeasureValue,ActivityTopDepthHeightMeasure/MeasureUnitCode,ActivityBottomDepthHeightMeasure/MeasureValue,ActivityBottomDepthHeightMeasure/MeasureUnitCode,ProjectIdentifier,ActivityConductingOrganizationText,MonitoringLocationIdentifier,ActivityCommentText,SampleAquifer,HydrologicCondition,HydrologicEvent,ActivityLocation/LatitudeMeasure,ActivityLocation/LongitudeMeasure,ActivityLocation/SourceMapScaleNumeric,ActivityLocation/HorizontalAccuracyMeasure/MeasureValue,ActivityLocation/HorizontalAccuracyMeasure/MeasureUnitCode,ActivityLocation/HorizontalCollectionMethodName,ActivityLocation/HorizontalCoordinateReferenceSystemDatumName,AssemblageSampledName,CollectionDuration/MeasureValue,CollectionDuration/MeasureUnitCode,SamplingComponentName,SamplingComponentPlaceInSeriesNumeric,ReachLengthMeasure/MeasureValue,ReachLengthMeasure/MeasureUnitCode,ReachWidthMeasure/MeasureValue,ReachWidthMeasure/MeasureUnitCode,PassCount,NetTypeName,NetSurfaceAreaMeasure/MeasureValue,NetSurfaceAreaMeasure/MeasureUnitCode,NetMeshSizeMeasure/MeasureValue,NetMeshSizeMeasure/MeasureUnitCode,BoatSpeedMeasure/MeasureValue,BoatSpeedMeasure/MeasureUnitCode,CurrentSpeedMeasure/MeasureValue,CurrentSpeedMeasure/MeasureUnitCode,ToxicityTestType,SampleCollectionMethod/MethodIdentifier,SampleCollectionMethod/MethodIdentifierContext,SampleCollectionMethod/MethodName,SampleCollectionMethod/MethodQualifierTypeName,SampleCollectionMethod/MethodDescriptionText,SampleCollectionEquipmentName,SampleCollectionMethod/SampleCollectionEquipmentCommentText,SamplePreparationMethod/MethodIdentifier,SamplePreparationMethod/MethodIdentifierContext,SamplePreparationMethod/MethodName,SamplePreparationMethod/MethodQualifierTypeName,SamplePreparationMethod/MethodDescriptionText,SampleContainerTypeName,SampleContainerColorName,ChemicalPreservativeUsedName,ThermalPreservativeUsedName,SampleTransportStorageDescription,DataLoggerLine,ResultDetectionConditionText,MethodSpecificationName,CharacteristicName,ResultSampleFractionText,ResultMeasureValue,ResultMeasure/MeasureUnitCode,MeasureQualifierCode,ResultStatusIdentifier,StatisticalBaseCode,ResultValueTypeName,ResultWeightBasisText,ResultTimeBasisText,ResultTemperatureBasisText,ResultParticleSizeBasisText,PrecisionValue,DataQuality/BiasValue,ConfidenceIntervalValue,UpperConfidenceLimitValue,LowerConfidenceLimitValue,ResultCommentText,USGSPCode,ResultDepthHeightMeasure/MeasureValue,ResultDepthHeightMeasure/MeasureUnitCode,ResultDepthAltitudeReferencePointText,ResultSamplingPointName,BiologicalIntentName,BiologicalIndividualIdentifier,SubjectTaxonomicName,UnidentifiedSpeciesIdentifier,SampleTissueAnatomyName,GroupSummaryCountWeight/MeasureValue,GroupSummaryCountWeight/MeasureUnitCode,CellFormName,CellShapeName,HabitName,VoltismName,TaxonomicPollutionTolerance,TaxonomicPollutionToleranceScaleText,TrophicLevelName,FunctionalFeedingGroupName,TaxonomicDetailsCitation/ResourceTitleName,TaxonomicDetailsCitation/ResourceCreatorName,TaxonomicDetailsCitation/ResourceSubjectText,TaxonomicDetailsCitation/ResourcePublisherName,TaxonomicDetailsCitation/ResourceDate,TaxonomicDetailsCitation/ResourceIdentifier,FrequencyClassDescriptorCode,FrequencyClassDescriptorUnitCode,LowerClassBoundValue,UpperClassBoundValue,ResultAnalyticalMethod/MethodIdentifier,ResultAnalyticalMethod/MethodIdentifierContext,ResultAnalyticalMethod/MethodName,ResultAnalyticalMethod/MethodQualifierTypeName,MethodDescriptionText,LaboratoryName,AnalysisStartDate,AnalysisStartTime/Time,AnalysisStartTime/TimeZoneCode,AnalysisEndDate,AnalysisEndTime/Time,AnalysisEndTime/TimeZoneCode,ResultLaboratoryCommentCode,ResultLaboratoryCommentText,DetectionQuantitationLimitTypeName,DetectionQuantitationLimitMeasure/MeasureValue,DetectionQuantitationLimitMeasure/MeasureUnitCode,LaboratoryAccreditationIndicator,LaboratoryAccreditationAuthorityName,TaxonomistAccreditationIndicator,TaxonomistAccreditationAuthorityName,LabSamplePreparationMethod/MethodIdentifier,LabSamplePreparationMethod/MethodIdentifierContext,LabSamplePreparationMethod/MethodName,LabSamplePreparationMethod/MethodQualifierTypeName,LabSamplePreparationMethod/MethodDescriptionText,PreparationStartDate,PreparationStartTime/Time,PreparationStartTime/TimeZoneCode,PreparationEndDate,PreparationEndTime/Time,PreparationEndTime/TimeZoneCode,SubstitutionDilutionFactorNumeric,ProviderName
1119USBR_WQX,Bureau of Reclamation,1119USBR_WQX-2106038-BK,Field Msr/Obs,Water,,2021-06-23,10:07:00,MST,,,,,,,,,,,,WQDATA,,1119USBR_WQX-JAC015,,,,,43.8586021400,-110.7175215000,,,,,,,,,,,,,,,,,,,,,,,,,,GRAB,1119USBR_WQX,Grab,1119USBR_WQX,,Water Bottle,,,,,,,,,,,,,,,Depth,Dissolved,13.0,m,,Final,,Actual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,1119USBR_WQX,"Depth, Secchi disk depth",,,,2021-06-23,,,,,,,,Method Detection Level,0.1,m,,,,,,,,,,,,,,,,,STORET
1119USBR_WQX,Bureau of Reclamation,1119USBR_WQX-2201021-32,Sample-Routine,Water,,2021-08-25,09:43:00,MST,,,,,,,,,,,,WQDATA,,1119USBR_WQX-JAC015,,,,,43.8586021400,-110.7175215000,,,,,,,,,,,,,,,,,,,,,,,,,,GRAB,1119USBR_WQX,Grab,1119USBR_WQX,,Water Bottle,,,,,,,,,,,,,,,Depth,Dissolved,1.00,m,,Final,,Actual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,1119USBR_WQX,"Depth, Secchi disk depth",,,,2021-08-25,,,,,,,,Method Detection Level,0.1,m,,,,,,,,,,,,,,,,,STORET
1119USBR_WQX,Bureau of Reclamation,1119USBR_WQX-2106038-BI,Field Msr/Obs,Water,,2021-06-23,10:05:00,MST,,,,,,,,,,,,WQDATA,,1119USBR_WQX-JAC015,,,,,43.8586021400,-110.7175215000,,,,,,,,,,,,,,,,,,,,,,,,,,GRAB,1119USBR_WQX,Grab,1119USBR_WQX,,Water Bottle,,,,,,,,,,,,,,,Conductivity,Dissolved,146,uS/cm,,Final,,Actual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2510B,APHA,2510 B ~ Conductivity - Laboratory Method,,https://www.nemi.gov/methods/method_summary/5702/,,2021-06-23,,,,,,,,Method Detection Level,2,uS/cm,,,,,,,,,,,,,,,,,STORET
1119USBR_WQX,Bureau of Reclamation,1119USBR_WQX-2201021-05,Sample-Routine,Water,,2021-10-20,09:24:00,MST,,,,,,,,,,,,WQDATA,,1119USBR_WQX-JAC015,,,,,43.8586021400,-110.7175215000,,,,,,,,,,,,,,,,,,,,,,,,,,GRAB,1119USBR_WQX,Grab,1119USBR_WQX,,Water Bottle,,,,,,,,,,,,,,,pH,Dissolved,7.00,None,,Final,,Actual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4500-H+B,APHA,"4500 H+B ~ pH in Water by Potentiometry, pH Value in Water by Potentiometry Using a Standard Hydrogen Electrode",,https://www.nemi.gov/methods/method_summary/4707/,,2021-10-20,,,,,,,,Method Detection Level,0.1,None,,,,,,,,,,,,,,,,,STORET
1119USBR_WQX,Bureau of Reclamation,1119USBR_WQX-2201021-32,Sample-Routine,Water,,2021-08-25,09:43:00,MST,,,,,,,,,,,,WQDATA,,1119USBR_WQX-JAC015,,,,,43.8586021400,-110.7175215000,,,,,,,,,,,,,,,,,,,,,,,,,,GRAB,1119USBR_WQX,Grab,1119USBR_WQX,,Water Bottle,,,,,,,,,,,,,,,"Temperature, water",Dissolved,15.6,deg C,,Final,,Actual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2550,APHA,Temperature of Water by Thermometer,,,,2021-08-25,,,,,,,,Method Detection Level,0.1,deg C,,,,,,,,,,,,,,,,,STORET
1119USBR_WQX,Bureau of Reclamation,1119USBR_WQX-2201021-01,Sample-Routine,Water,,2021-10-20,09:21:00,MST,,,,,,,,,,,,WQDATA,,1119USBR_WQX-JAC015,,,,,43.8586021400,-110.7175215000,,,,,,,,,,,,,,,,,,,,,,,,,,GRAB,1119USBR_WQX,Grab,1119USBR_WQX,,Water Bottle,,,,,,,,,,,,,,,Depth,Dissolved,1.00,m,,Final,,Actual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,1119USBR_WQX,"Depth, Secchi disk depth",,,,2021-10-20,,,,,,,,Method Detection Level,0.1,m,,,,,,,,,,,,,,,,,STORET
1119USBR_WQX,Bureau of Reclamation,1119USBR_WQX-2201021-37,Sample-Routine,Water,,2021-08-25,09:46:00,MST,,,,,,,,,,,,WQDATA,,1119USBR_WQX-JAC015,,,,,43.8586021400,-110.7175215000,,,,,,,,,,,,,,,,,,,,,,,,,,GRAB,1119USBR_WQX,Grab,1119USBR_WQX,,Water Bottle,,,,,,,,,,,,,,,Dissolved oxygen (DO),Dissolved,8.00,mg/L,,Final,,Actual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,360.1,USEPA,Dissolved Oxygen Using an ISE,,https://www.nemi.gov/methods/method_summary/5252/,,2021-08-25,,,,,,,,Method Detection Level,0.1,mg/L,,,,,,,,,,,,,,,,,STORET
1119USBR_WQX,Bureau of Reclamation,1119USBR_WQX-2106038-BL,Field Msr/Obs,Water,,2021-06-23,10:07:00,MST,,,,,,,,,,,,WQDATA,,1119USBR_WQX-JAC015,,,,,43.8586021400,-110.7175215000,,,,,,,,,,,,,,,,,,,,,,,,,,GRAB,1119USBR_WQX,Grab,1119USBR_WQX,,Water Bottle,,,,,,,,,,,,,,,"Temperature, water",Dissolved,7.9,deg C,,Final,,Actual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2550,APHA,Temperature of Water by Thermometer,,,,2021-06-23,,,,,,,,Method Detection Level,0.1,deg C,,,,,,,,,,,,,,,,,STORET
1119USBR_WQX,Bureau of Reclamation,1119USBR_WQX-2201021-72,Sample-Routine,Water,,2021-09-21,09:59:00,MST,,,,,,,,,,,,WQDATA,,1119USBR_WQX-JAC015,,,,,43.8586021400,-110.7175215000,,,,,,,,,,,,,,,,,,,,,,,,,,GRAB,1119USBR_WQX,Grab,1119USBR_WQX,,Water Bottle,,,,,,,,,,,,,,,"Temperature, water",Dissolved,11.9,deg C,,Final,,Actual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2550,APHA,Temperature of Water by Thermometer,,,,2021-09-21,,,,,,,,Method Detection Level,0.1,deg C,,,,,,,,,,,,,,,,,STORET
1119USBR_WQX,Bureau of Reclamation,1119USBR_WQX-2201021-73,Sample-Routine,Water,,2021-09-21,09:59:00,MST,,,,,,,,,,,,WQDATA,,1119USBR_WQX-JAC015,,,,,43.8586021400,-110.7175215000,,,,,,,,,,,,,,,,,,,,,,,,,,GRAB,1119USBR_WQX,Grab,1119USBR_WQX,,Water Bottle,,,,,,,,,,,,,,,pH,Dissolved,7.78,None,,Final,,Actual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4500-H+B,APHA,"4500 H+B ~ pH in Water by Potentiometry, pH Value in Water by Potentiometry Using a Standard Hydrogen Electrode",,https://www.nemi.gov/methods/method_summary/4707/,,2021-09-21,,,,,,,,Method Detection Level,0.1,None,,,,,,,,,,,,,,,,,STORET
