OrganizationIdentifier,OrganizationFormalName,MonitoringLocationIdentifier,MonitoringLocationName,MonitoringLocationTypeName,MonitoringLocationDescriptionText,HUCEightDigitCode,DrainageAreaMeasure/MeasureValue,DrainageAreaMeasure/MeasureUnitCode,ContributingDrainageAreaMeasure/MeasureValue,ContributingDrainageAreaMeasure/MeasureUnitCode,LatitudeMeasure,LongitudeMeasure,SourceMapScaleNumeric,HorizontalAccuracyMeasure/MeasureValue,HorizontalAccuracyMeasure/MeasureUnitCode,HorizontalCollectionMethodName,HorizontalCoordinateReferenceSystemDatumName,VerticalMeasure/MeasureValue,VerticalMeasure/MeasureUnitCode,VerticalAccuracyMeasure/MeasureValue,VerticalAccuracyMeasure/MeasureUnitCode,VerticalCollectionMethodName,VerticalCoordinateReferenceSystemDatumName,CountryCode,StateCode,CountyCode,AquiferName,LocalAqfrName,FormationTypeText,AquiferTypeName,ConstructionDateText,WellDepthMeasure/MeasureValue,WellDepthMeasure/MeasureUnitCode,WellHoleDepthMeasure/MeasureValue,WellHoleDepthMeasure/MeasureUnitCode,ProviderName
USGS-CO,USGS Colorado Water Science Center,USGS-434236110451300,"GARNET CANYON SNOW SITE, WY",Land,,17040101,,,,,43.71000000000000,-110.7536111000000,,1,minutes,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,7131,feet,50,feet,Global Positioning System.,NAVD88,US,56,039,,,,,,,,,,NWIS
1119USBR_WQX,Bureau of Reclamation,1119USBR_WQX-JAC001,"JACKSON Lake,700 FT U/S OF DAM,SOUTHBANK",Reservoir,,17040101,,,,,43.8566667000,-110.5900000000,,,,GPS-Unspecified,UNKWN,,,,,,,US,56,039,,,,,,,,,,STORET
1119USBR_WQX,Bureau of Reclamation,1119USBR_WQX-JAC002,Signal Marina North,Lake,,17040101,,,,,43.8466988000,-110.6110001000,,,,GPS-Unspecified,UNKWN,,,,,,,US,56,039,,,,,,,,,,STORET
1119USBR_WQX,Bureau of Reclamation,1119USBR_WQX-JAC006,Colter South Dock,Lake,,17040101,,,,,43.9004400000,-110.6445000000,,,,GPS-Unspecified,UNKWN,,,,,,,US,56,039,,,,,,,,,,STORET
1119USBR_WQX,Bureau of Reclamation,1119USBR_WQX-JAC007,Colter North Dock,Lake,,17040101,,,,,43.9018929700,-110.6448161000,,,,GPS-Unspecified,UNKWN,,,,,,,US,56,039,,,,,,,,,,STORET
1119USBR_WQX,Bureau of Reclamation,1119USBR_WQX-JAC010,Jackson lake near boat ramp,Reservoir,,17040101,,,,,43.8450000000,-110.6120000000,,,,GPS-Unspecified,UNKWN,,,,,,,US,56,039,,,,,,,,,,STORET
1119USBR_WQX,Bureau of Reclamation,1119USBR_WQX-JAC011,Leeks Marina North,Lake,,17040101,,,,,43.9332008000,-110.6429977000,,,,GPS-Unspecified,UNKWN,,,,,,,US,56,039,,,,,,,,,,STORET
1119USBR_WQX,Bureau of Reclamation,1119USBR_WQX-JAC014,Inlet Arizona Island,Lake,,17040101,,,,,43.9417500000,-110.6923000000,,,,GPS-Unspecified,UNKWN,,,,,,,US,56,039,,,,,,,,,,STORET
1119USBR_WQX,Bureau of Reclamation,1119USBR_WQX-JAC015,Moran Bay,Lake,,17040101,,,,,43.8586021400,-110.7175215000,,,,GPS-Unspecified,UNKWN,,,,,,,US,56,039,,,,,,,,,,STORET
1119USBR_WQX,Bureau of Reclamation,1119USBR_WQX-JAC101,SNAKE R BELOW JACKSON LK DAM,River/Stream,,17040101,,,,,43.8591667000,-110.5897222000,,,,GPS-Unspecified,UNKWN,,,,,,,US,56,039,,,,,,,,,,STORET
11NPSWRD_WQX,National Park Service Water Resources Division,11NPSWRD_WQX-GRTE_BCPL,Beaver Creek Powerlines,River/Stream,,17040101,,,,,43.6895814200,-110.7349133620,,,,Interpolation-Other,WGS84,,,,,,,US,56,039,,,,,,,,,,STORET
11NPSWRD_WQX,National Park Service Water Resources Division,11NPSWRD_WQX-GRTE_BCSH,Beaver Creek North of Shade House,River/Stream,,17040101,,,,,43.6903067900,-110.7380461820,,,,Interpolation-Other,WGS84,,,,,,,US,56,039,,,,,,,,,,STORET
11NPSWRD_WQX,National Park Service Water Resources Division,11NPSWRD_WQX-GRTE_BCTPR,Beaver Creek at Teton Park Road,River/Stream,,17040101,,,,,43.6867109100,-110.7314640420,,,,Interpolation-Other,WGS84,,,,,,,US,56,039,,,,,,,,,,STORET
11NPSWRD_WQX,National Park Service Water Resources Division,11NPSWRD_WQX-GRTE_BUF,Buffalo Fork River,River/Stream,"Adjacent to the Highway bridge, nearest access to the thalweg/ majority of flow",17040101,,,,,43.8384290000,-110.5128310000,,,,Interpolation-Other,WGS84,,,,,,,US,56,039,,,,,,,,,,STORET
11NPSWRD_WQX,National Park Service Water Resources Division,11NPSWRD_WQX-GRTE_CAC,Cascade Canyon,River/Stream,"Near mouth of stream, ~200 meters upstream from Jenny Lake",17040101,,,,,43.7658480000,-110.7430590000,,,,Interpolation-Other,WGS84,,,,,,,US,56,039,,,,,,,,,,STORET
11NPSWRD_WQX,National Park Service Water Resources Division,11NPSWRD_WQX-GRTE_CBSB,Colter Bay Swim Beach,Reservoir,,17040101,,,,,43.9058365000,-110.6477576630,,,,Interpolation-Other,WGS84,,,,,,,US,56,039,,,,,,,,,,STORET
11NPSWRD_WQX,National Park Service Water Resources Division,11NPSWRD_WQX-GRTE_CC,Cottonwood Creek,River/Stream,,17040101,,,,,43.6765660600,-110.7061761740,,,,Interpolation-Other,WGS84,,,,,,,US,56,039,,,,,,,,,,STORET
11NPSWRD_WQX,National Park Service Water Resources Division,11NPSWRD_WQX-GRTE_GAC,Garnet Canyon,River/Stream,Mouth of stream a few meters from Bradley Lake's waters,17040101,,,,,43.7153650000,-110.7520790000,,,,Interpolation-Other,WGS84,,,,,,,US,56,039,,,,,,,,,,STORET
11NPSWRD_WQX,National Park Service Water Resources Division,11NPSWRD_WQX-GRTE_HAC,Hanging Canyon,River/Stream,"Mouth of stream, a few meters from Jenny Lake's waters",17040101,,,,,43.7694160000,-110.7430300000,,,,Interpolation-Other,WGS84,,,,,,,US,56,039,,,,,,,,,,STORET
11NPSWRD_WQX,National Park Service Water Resources Division,11NPSWRD_WQX-GRTE_JLO,Jenny Lake Outlet,Lake,,17040101,,,,,43.7514850600,-110.7256867870,,,,Interpolation-Other,WGS84,,,,,,,US,56,039,,,,,,,,,,STORET
