OrganizationIdentifier,OrganizationFormalName,ActivityIdentifier,ActivityTypeCode,ActivityMediaName,ActivityMediaSubdivisionName,ActivityStartDate,ActivityStartTime/Time,ActivityStartTime/TimeZoneCode,ActivityEndDate,ActivityEndTime/Time,ActivityEndTime/TimeZoneCode,ActivityRelativeDepthName,ActivityDepthHeightMeasure/MeasureValue,ActivityDepthHeightMeasure/MeasureUnitCode,ActivityDepthAltitudeReferencePointText,ActivityTopDepthHeightMeasure/MeasureValue,ActivityTopDepthHeightMeasure/MeasureUnitCode,ActivityBottomDepthHeightMeasure/MeasureValue,ActivityBottomDepthHeightMeasure/MeasureUnitCode,ProjectIdentifier,ProjectName,ActivityConductingOrganizationText,MonitoringLocationIdentifier,MonitoringLocationName,ActivityCommentText,SampleAquifer,HydrologicCondition,HydrologicEvent,ActivityLocation/LatitudeMeasure,ActivityLocation/LongitudeMeasure,SampleCollectionMethod/MethodIdentifier,SampleCollectionMethod/MethodIdentifierContext,SampleCollectionMethod/MethodName,SampleCollectionMethod/MethodDescriptionText,SampleCollectionEquipmentName,ResultIdentifier,ResultDetectionConditionText,MethodSpeciationName,CharacteristicName,ResultSampleFractionText,ResultMeasureValue,ResultMeasure/MeasureUnitCode,MeasureQualifierCode,ResultStatusIdentifier,StatisticalBaseCode,ResultValueTypeName,ResultWeightBasisText,ResultTimeBasisText,ResultTemperatureBasisText,ResultParticleSizeBasisText,DataQuality/PrecisionValue,DataQuality/BiasValue,DataQuality/ConfidenceIntervalValue,DataQuality/UpperConfidenceLimitValue,DataQuality/LowerConfidenceLimitValue,ResultCommentText,USGSPCode,ResultDepthHeightMeasure/MeasureValue,ResultDepthHeightMeasure/MeasureUnitCode,ResultDepthAltitudeReferencePointText,SubjectTaxonomicName,SampleTissueAnatomyName,BinaryObjectFileName,BinaryObjectFileTypeCode,ResultFileUrl,ResultAnalyticalMethod/MethodIdentifier,ResultAnalyticalMethod/MethodIdentifierContext,ResultAnalyticalMethod/MethodName,ResultAnalyticalMethod/MethodUrl,ResultAnalyticalMethod/MethodDescriptionText,LaboratoryName,AnalysisStartDate,ResultLaboratoryCommentText,ResultDetectionQuantitationLimitUrl,DetectionQuantitationLimitTypeName,DetectionQuantitationLimitMeasure/MeasureValue,DetectionQuantitationLimitMeasure/MeasureUnitCode,LabSamplePreparationUrl,LastUpdated,ProviderName
USGS-NV,USGS Nevada Water Science Center,nwisnv.01.01300705,Sample-Routine,Water,Wet Fall Material,2013-06-06,12:00:00,PDT,2013-10-25,12:00:59,PDT,,,,,,,,,,,,USGS-385409114185401,,,,Not applicable,Routine sample,,,USGS,USGS,USGS,,Unknown,NWIS-105136890,,,Precipitation,,7.75,in,,Preliminary,,Actual,,,,,,,,,,,00193,,,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,,,,,,,,,NWIS
USGS-NV,USGS Nevada Water Science Center,nwisnv.01.01800009,Sample-Routine,Water,Surface Water,2017-10-04,12:00:00,PDT,,,,,,,,,,,,,,,USGS-10243230,,,,Not applicable,Not applicable,,,USGS,USGS,USGS,,Unknown,NWIS-109228846,,,Chloride,Dissolved,0.89,mg/l,,Accepted,,Actual,,,,,,,,,,,00940,,,,,,,,,IC022,USGS,"Anions, wf, IC",,"Standard Methods (22d ed), 2012, p 4-5 - 4-7","USGS-National Water Quality Lab, Denver, CO",2017-11-23,,,Detection limit by DQCALC,0.02,mg/l,,,NWIS
USGS-NV,USGS Nevada Water Science Center,nwisnv.01.01800009,Sample-Routine,Water,Surface Water,2017-10-04,12:00:00,PDT,,,,,,,,,,,,,,,USGS-10243230,,,,Not applicable,Not applicable,,,USGS,USGS,USGS,,Unknown,NWIS-109228847,,,Deuterium/Hydrogen ratio,Total,-111,per mil,,Accepted,,Actual,,,,,,,,,,,82082,,,,,,,,,MS007,USGS,"Deuterium/Protium, wu, MS",,USGS TMR 10-C1,"USGS-NRP, Stable Isotope Lab, Reston, VA",2018-01-29,,,,,,,,NWIS
USGS-NV,USGS Nevada Water Science Center,nwisnv.01.01800009,Sample-Routine,Water,Surface Water,2017-10-04,12:00:00,PDT,,,,,,,,,,,,,,,USGS-10243230,,,,Not applicable,Not applicable,,,USGS,USGS,USGS,,Unknown,NWIS-109228848,,,Oxygen-18/Oxygen-16 ratio,Total,-15.09,per mil,,Accepted,,Actual,,,,,,,,,,,82085,,,,,,,,,MS020,USGS,"Oxygen-18/16, wu, by MS",,USGS TMR 10-C1,"USGS-NRP, Stable Isotope Lab, Reston, VA",2018-01-29,,,,,,,,NWIS
USGS-NV,USGS Nevada Water Science Center,nwisnv.01.01800009,Sample-Routine,Water,Surface Water,2017-10-04,12:00:00,PDT,,,,,,,,,,,,,,,USGS-10243230,,,,Not applicable,Not applicable,,,USGS,USGS,USGS,,Unknown,NWIS-109228849,,,Specific conductance,Total,112,uS/cm @25C,,Accepted,,Actual,,,25 deg C,,,,,,,The holding time for the processing of this sample has been exceeded,90095,,,,,,,,,WHT03,USGS,"Specific cond, lab, autom bridge",,"USGS TWRI 5-A1/1989, p 461","USGS-National Water Quality Lab, Denver, CO",2017-11-16,holding time exceededsee result laboratory comment,,Lower Reporting Limit,5,uS/cm @25C,,,NWIS
USGS-NV,USGS Nevada Water Science Center,nwisnv.01.01800717,Sample-Routine,Water,Surface Water,2018-08-20,11:30:00,PDT,,,,,,,,,,,,,,,USGS-10243230,,L-2428703 Samples were received chilled at the WHOI lab.,,Not applicable,Not applicable,,,USGS,USGS,USGS,,Unknown,NWIS-111834207,,,Oxygen,Dissolved,9.8,mg/l,,Accepted,,Actual,,,,,,,,,,,00300,,,,,,,,,,,,,,,,,,,,,,,NWIS
USGS-NV,USGS Nevada Water Science Center,nwisnv.01.01800717,Sample-Routine,Water,Surface Water,2018-08-20,11:30:00,PDT,,,,,,,,,,,,,,,USGS-10243230,,L-2428703 Samples were received chilled at the WHOI lab.,,Not applicable,Not applicable,,,USGS,USGS,USGS,,Unknown,NWIS-111834204,,,"Temperature, water",,11.7,deg C,,Accepted,,Actual,,,,,,,,,,,00010,,,,,,,,,,,,,,,,,,,,,,,NWIS
USGS-NV,USGS Nevada Water Science Center,nwisnv.01.01800717,Sample-Routine,Water,Surface Water,2018-08-20,11:30:00,PDT,,,,,,,,,,,,,,,USGS-10243230,,L-2428703 Samples were received chilled at the WHOI lab.,,Not applicable,Not applicable,,,USGS,USGS,USGS,,Unknown,NWIS-111834205,,,Specific conductance,Total,113,uS/cm @25C,,Accepted,,Actual,,,25 deg C,,,,,,,,00095,,,,,,,,,,,,,,,,,,,,,,,NWIS
USGS-NV,USGS Nevada Water Science Center,nwisnv.01.01800717,Sample-Routine,Water,Surface Water,2018-08-20,11:30:00,PDT,,,,,,,,,,,,,,,USGS-10243230,,L-2428703 Samples were received chilled at the WHOI lab.,,Not applicable,Not applicable,,,USGS,USGS,USGS,,Unknown,NWIS-111834206,,,"Acidity, (H+)",Total,0.00001,mg/l,,Accepted,,Actual,,,,,,,,,,,00191,,,,,,,,,ALGOR,USGS,Computation by NWIS algorithm,,"NWIS User's Manual, QW System, Section 3.6.7",,,,,,,,,,NWIS
USGS-NV,USGS Nevada Water Science Center,nwisnv.01.01800717,Sample-Routine,Water,Surface Water,2018-08-20,11:30:00,PDT,,,,,,,,,,,,,,,USGS-10243230,,L-2428703 Samples were received chilled at the WHOI lab.,,Not applicable,Not applicable,,,USGS,USGS,USGS,,Unknown,NWIS-111834208,,,pH,Total,8.2,std units,,Accepted,,Actual,,,,,,,,,,,00400,,,,,,,,,,,,,,,,,,,,,,,NWIS
