OrganizationIdentifier,OrganizationFormalName,MonitoringLocationIdentifier,MonitoringLocationName,MonitoringLocationTypeName,MonitoringLocationDescriptionText,HUCEightDigitCode,DrainageAreaMeasure/MeasureValue,DrainageAreaMeasure/MeasureUnitCode,ContributingDrainageAreaMeasure/MeasureValue,ContributingDrainageAreaMeasure/MeasureUnitCode,LatitudeMeasure,LongitudeMeasure,SourceMapScaleNumeric,HorizontalAccuracyMeasure/MeasureValue,HorizontalAccuracyMeasure/MeasureUnitCode,HorizontalCollectionMethodName,HorizontalCoordinateReferenceSystemDatumName,VerticalMeasure/MeasureValue,VerticalMeasure/MeasureUnitCode,VerticalAccuracyMeasure/MeasureValue,VerticalAccuracyMeasure/MeasureUnitCode,VerticalCollectionMethodName,VerticalCoordinateReferenceSystemDatumName,CountryCode,StateCode,CountyCode,AquiferName,LocalAqfrName,FormationTypeText,AquiferTypeName,ConstructionDateText,WellDepthMeasure/MeasureValue,WellDepthMeasure/MeasureUnitCode,WellHoleDepthMeasure/MeasureValue,WellHoleDepthMeasure/MeasureUnitCode,ProviderName
USGS-NV,USGS Nevada Water Science Center,USGS-10243230,"SNAKE CK ABV PIPELINE NR BAKER, NV",Stream,,16020301,30,sq mi,,,38.92161430000000,-114.2244382000000,24000,1,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,7620.,feet,20,feet,Global Positioning System.,NGVD29,US,32,033,,,,,,,,,,NWIS
USGS-NV,USGS Nevada Water Science Center,USGS-10243233,"SNAKE CK BLW SPRING CK NR GARRISON, UT",Stream,,16020301,,,,,38.91844855000000,-114.1010730000000,24000,.1,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,5815,feet,10,feet,Interpolated from topographic map.,NGVD29,US,32,033,,,,,,,,,,NWIS
USGS-NV,USGS Nevada Water Science Center,USGS-10243260,"LEHMAN CK NR BAKER, NV",Stream,,16020301,11,sq mi,,,39.01161290000000,-114.2144392000000,24000,1,seconds,Interpolated from MAP.,NAD83,6687.97,feet,.06,feet,GNSS2 - Level 2 Quality Survey Grade Global Navigation Satellite System,NAVD88,US,32,033,,,,,,,,,,NWIS
USGS-NV,USGS Nevada Water Science Center,USGS-10243265,"ROWLAND SPGS AT GREAT BASIN NAT PK NR BAKER, NV",Stream,,16020301,,,,,39.00855740000000,-114.2077723000000,24000,1,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,6580.,feet,20,feet,Interpolated from topographic map.,NGVD29,US,32,033,,,,,,,,,,NWIS
USGS-NV,USGS Nevada Water Science Center,USGS-385226114060801,BIG WASH BLW HDN CYN RNCH 4.4 MI BLW CONF NR BAKER,Stream,,16020301,,,,,38.87392500000000,-114.1021444000000,24000,.1,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,6056,feet,10,feet,Interpolated from Digital Elevation Model,NAVD88,US,32,033,,,,,,,,,,NWIS
USGS-NV,USGS Nevada Water Science Center,USGS-385227114061801,195  N12 E70 34BADA1    HCR,Well,,16020301,,,,,38.87403056000000,-114.1050694000000,24000,.5,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,6079,feet,4.3,feet,Interpolated from Digital Elevation Model,NAVD88,US,32,033,Basin and Range carbonate-rock aquifers,,,Confined single aquifer,19961204,120,ft,120,ft,NWIS
USGS-NV,USGS Nevada Water Science Center,USGS-385234114070601,BIG WASH AT HDN CYN RNCH 3.5 MI BLW CONFL NR BAKER,Stream,,16020301,,,,,38.87600278000000,-114.1184528000000,,.1,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,6195,feet,10,feet,Interpolated from Digital Elevation Model,NAVD88,US,32,033,,,,,,,,,,NWIS
USGS-NV,USGS Nevada Water Science Center,USGS-385240114074301,BIG WASH ABV HDN CYN RNCH 2.9 MI BLW CONF NR BAKER,Stream,,16020301,,,,,38.87766389000000,-114.1284722000000,24000,.1,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,6273,feet,10,feet,Interpolated from Digital Elevation Model,NAVD88,US,32,033,,,,,,,,,,NWIS
USGS-NV,USGS Nevada Water Science Center,USGS-385254114114801,195  N12 E69 26DBC 1    BW2,Spring,,16020301,,,,,38.88178610000000,-114.1965528000000,24000,.1,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,7030,feet,10,feet,Interpolated from Digital Elevation Model,NAVD88,US,32,033,,,,,,,,,,NWIS
USGS-NV,USGS Nevada Water Science Center,USGS-385256114090201,BIG WASH BLW GREAT BSN NAT PK BDY 1.6 MI BLW CONFL,Stream,,16020301,,,,,38.88228889000000,-114.1504472000000,24000,.1,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,6475,feet,10,feet,Interpolated from Digital Elevation Model,NAVD88,US,32,033,,,,,,,,,,NWIS
USGS-NV,USGS Nevada Water Science Center,USGS-385310114094401,BIG WASH BLW GREAT BSN NAT PK BDY 1 MI BLW CONFL,Stream,,16020301,,,,,38.88610556000000,-114.1621110000000,24000,.1,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,6585,feet,10,feet,Interpolated from Digital Elevation Model,NAVD88,US,32,033,,,,,,,,,,NWIS
USGS-NV,USGS Nevada Water Science Center,USGS-385357114201001,MT WHEELER MINE ADIT,Stream,,16060008,,,,,38.89907500000000,-114.3362306000000,24000,.1,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,7908,feet,10,feet,Interpolated from Digital Elevation Model,NAVD88,US,32,033,,,,,,,,,,NWIS
USGS-NV,USGS Nevada Water Science Center,USGS-385409114185401,BULK PRECIPITATION - MT WASHINGTON,Atmosphere,,16060008,,,,,38.90244756000000,-114.3158295000000,,Unknown,Unknown,Interpolated from MAP.,NAD83,10440,feet,10,feet,Interpolated from topographic map.,NGVD29,US,32,033,,,,,,,,,,NWIS
USGS-NV,USGS Nevada Water Science Center,USGS-385433114063901,195  N12 E70 15CBCD1    SPRING CK SPRING AT SOURCE,Spring,,16020301,,,,,38.90913889000000,-114.1126667000000,24000,.1,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,6143.,feet,10,feet,Interpolated from Digital Elevation Model,NAVD88,US,32,033,Basin and Range carbonate-rock aquifers,,Pogonip Group,Confined multiple aquifers,,,,,,NWIS
USGS-NV,USGS Nevada Water Science Center,USGS-385442114094801,"SNAKE CK 0.5 MI BLW PIPELINE OUTLET NR BAKER, NV",Stream,,16020301,,,,,38.91166667000000,-114.1633333000000,24000,1,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,6632,feet,10,feet,Interpolated from Digital Elevation Model,NAVD88,US,32,033,,,,,,,,,,NWIS
USGS-NV,USGS Nevada Water Science Center,USGS-385445114101702,"SNAKE CK AT COTTONWOOD8 WELL NR BAKER, NV",Stream,,16020301,,,,,38.91250000000000,-114.1713889000000,24000,1,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,6753,feet,10,feet,Interpolated from Digital Elevation Model,NAVD88,US,32,033,,,,,,,,,,NWIS
