OrganizationIdentifier,OrganizationFormalName,ActivityIdentifier,ActivityTypeCode,ActivityMediaName,ActivityMediaSubdivisionName,ActivityStartDate,ActivityStartTime/Time,ActivityStartTime/TimeZoneCode,ActivityEndDate,ActivityEndTime/Time,ActivityEndTime/TimeZoneCode,ActivityRelativeDepthName,ActivityDepthHeightMeasure/MeasureValue,ActivityDepthHeightMeasure/MeasureUnitCode,ActivityDepthAltitudeReferencePointText,ActivityTopDepthHeightMeasure/MeasureValue,ActivityTopDepthHeightMeasure/MeasureUnitCode,ActivityBottomDepthHeightMeasure/MeasureValue,ActivityBottomDepthHeightMeasure/MeasureUnitCode,ProjectIdentifier,ActivityConductingOrganizationText,MonitoringLocationIdentifier,ActivityCommentText,SampleAquifer,HydrologicCondition,HydrologicEvent,ActivityLocation/LatitudeMeasure,ActivityLocation/LongitudeMeasure,ActivityLocation/SourceMapScaleNumeric,ActivityLocation/HorizontalAccuracyMeasure/MeasureValue,ActivityLocation/HorizontalAccuracyMeasure/MeasureUnitCode,ActivityLocation/HorizontalCollectionMethodName,ActivityLocation/HorizontalCoordinateReferenceSystemDatumName,AssemblageSampledName,CollectionDuration/MeasureValue,CollectionDuration/MeasureUnitCode,SamplingComponentName,SamplingComponentPlaceInSeriesNumeric,ReachLengthMeasure/MeasureValue,ReachLengthMeasure/MeasureUnitCode,ReachWidthMeasure/MeasureValue,ReachWidthMeasure/MeasureUnitCode,PassCount,NetTypeName,NetSurfaceAreaMeasure/MeasureValue,NetSurfaceAreaMeasure/MeasureUnitCode,NetMeshSizeMeasure/MeasureValue,NetMeshSizeMeasure/MeasureUnitCode,BoatSpeedMeasure/MeasureValue,BoatSpeedMeasure/MeasureUnitCode,CurrentSpeedMeasure/MeasureValue,CurrentSpeedMeasure/MeasureUnitCode,ToxicityTestType,SampleCollectionMethod/MethodIdentifier,SampleCollectionMethod/MethodIdentifierContext,SampleCollectionMethod/MethodName,SampleCollectionMethod/MethodQualifierTypeName,SampleCollectionMethod/MethodDescriptionText,SampleCollectionEquipmentName,SampleCollectionMethod/SampleCollectionEquipmentCommentText,SamplePreparationMethod/MethodIdentifier,SamplePreparationMethod/MethodIdentifierContext,SamplePreparationMethod/MethodName,SamplePreparationMethod/MethodQualifierTypeName,SamplePreparationMethod/MethodDescriptionText,SampleContainerTypeName,SampleContainerColorName,ChemicalPreservativeUsedName,ThermalPreservativeUsedName,SampleTransportStorageDescription,DataLoggerLine,ResultDetectionConditionText,MethodSpecificationName,CharacteristicName,ResultSampleFractionText,ResultMeasureValue,ResultMeasure/MeasureUnitCode,MeasureQualifierCode,ResultStatusIdentifier,StatisticalBaseCode,ResultValueTypeName,ResultWeightBasisText,ResultTimeBasisText,ResultTemperatureBasisText,ResultParticleSizeBasisText,PrecisionValue,DataQuality/BiasValue,ConfidenceIntervalValue,UpperConfidenceLimitValue,LowerConfidenceLimitValue,ResultCommentText,USGSPCode,ResultDepthHeightMeasure/MeasureValue,ResultDepthHeightMeasure/MeasureUnitCode,ResultDepthAltitudeReferencePointText,ResultSamplingPointName,BiologicalIntentName,BiologicalIndividualIdentifier,SubjectTaxonomicName,UnidentifiedSpeciesIdentifier,SampleTissueAnatomyName,GroupSummaryCountWeight/MeasureValue,GroupSummaryCountWeight/MeasureUnitCode,CellFormName,CellShapeName,HabitName,VoltismName,TaxonomicPollutionTolerance,TaxonomicPollutionToleranceScaleText,TrophicLevelName,FunctionalFeedingGroupName,TaxonomicDetailsCitation/ResourceTitleName,TaxonomicDetailsCitation/ResourceCreatorName,TaxonomicDetailsCitation/ResourceSubjectText,TaxonomicDetailsCitation/ResourcePublisherName,TaxonomicDetailsCitation/ResourceDate,TaxonomicDetailsCitation/ResourceIdentifier,FrequencyClassDescriptorCode,FrequencyClassDescriptorUnitCode,LowerClassBoundValue,UpperClassBoundValue,ResultAnalyticalMethod/MethodIdentifier,ResultAnalyticalMethod/MethodIdentifierContext,ResultAnalyticalMethod/MethodName,ResultAnalyticalMethod/MethodQualifierTypeName,MethodDescriptionText,LaboratoryName,AnalysisStartDate,AnalysisStartTime/Time,AnalysisStartTime/TimeZoneCode,AnalysisEndDate,AnalysisEndTime/Time,AnalysisEndTime/TimeZoneCode,ResultLaboratoryCommentCode,ResultLaboratoryCommentText,DetectionQuantitationLimitTypeName,DetectionQuantitationLimitMeasure/MeasureValue,DetectionQuantitationLimitMeasure/MeasureUnitCode,LaboratoryAccreditationIndicator,LaboratoryAccreditationAuthorityName,TaxonomistAccreditationIndicator,TaxonomistAccreditationAuthorityName,LabSamplePreparationMethod/MethodIdentifier,LabSamplePreparationMethod/MethodIdentifierContext,LabSamplePreparationMethod/MethodName,LabSamplePreparationMethod/MethodQualifierTypeName,LabSamplePreparationMethod/MethodDescriptionText,PreparationStartDate,PreparationStartTime/Time,PreparationStartTime/TimeZoneCode,PreparationEndDate,PreparationEndTime/Time,PreparationEndTime/TimeZoneCode,SubstitutionDilutionFactorNumeric,ProviderName
CORIVWCH_WQX,Colorado River Watch,CORIVWCH_WQX-1001.019M,Sample-Routine,Water,Surface Water,2011-11-18,12:45:00,MST,,,,,,,,,,,,1,,CORIVWCH_WQX-1001,,,,,37.8091000000,-105.5067000000,,,,,,,,,,,,,,,,,,,,,,,,,,SM 1060B,CORIVWCH_WQX,SM 1060B,,,Water Bottle,,,,,,,,,,,,,,,Arsenic,Total,0,ug/L,U,Validated,,Actual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200.15,USEPA,Metals in Water by Nebulization and ICP-AES,,,,2012-02-15,0001-01-01 11:08:00,MST,,,,,,,,,,,,,,,,,,,,,,,,,STORET
CORIVWCH_WQX,Colorado River Watch,CORIVWCH_WQX-1001.006,Sample-Routine,Water,Surface Water,2011-03-30,11:00:00,MST,,,,,,,,,,,,1,,CORIVWCH_WQX-1001,,,,,37.8091000000,-105.5067000000,,,,,,,,,,,,,,,,,,,,,,,,,,SM 1060B,CORIVWCH_WQX,SM 1060B,,,Water Bottle,,,,,,,,,,,,,,,Dissolved oxygen saturation,,69,%,,Validated,,Actual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,360.2,USEPA,Dissolved Oxygen by Winkler Technique,,https://www.nemi.gov/methods/method_summary/5253/,,2011-03-30,0001-01-01 11:00:00,MST,,,,,,,,,,,,,,,,,,,,,,,,,STORET
CORIVWCH_WQX,Colorado River Watch,CORIVWCH_WQX-1001.012M,Sample-Routine,Water,Surface Water,2011-07-01,14:00:00,MST,,,,,,,,,,,,1,,CORIVWCH_WQX-1001,,,,,37.8091000000,-105.5067000000,,,,,,,,,,,,,,,,,,,,,,,,,,SM 1060B,CORIVWCH_WQX,SM 1060B,,,Water Bottle,,,,,,,,,,,,,,,Iron,Dissolved,31,ug/L,,Validated,,Actual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200.15,USEPA,Metals in Water by Nebulization and ICP-AES,,,,2012-02-14,0001-01-01 12:50:00,MST,,,,,,,,,,,,,,,,,,,,,,,,,STORET
CORIVWCH_WQX,Colorado River Watch,CORIVWCH_WQX-1003.012SC1,Field Msr/Obs-Habitat Assessment,Water,Surface Water,2011-07-02,13:15:00,MST,,,,,,,,,,,,1,,CORIVWCH_WQX-1003,Sub Samp,,,,37.7956000000,-105.5047000000,,,,,,,,,,,,,,,,,,,,,,,,,,Modified RBA3,CORIVWCH_WQX,Modified RBA3,,,Visual Sighting,,,,,,,,,,,,,,,Slow Riffle,,NO,None,,Validated,,Actual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2011-07-02,0001-01-01 13:15:00,MST,,,,,,,,,,,,,,,,,,,,,,,,,STORET
CORIVWCH_WQX,Colorado River Watch,CORIVWCH_WQX-1003.012SC1,Field Msr/Obs-Habitat Assessment,Water,Surface Water,2011-07-02,13:15:00,MST,,,,,,,,,,,,1,,CORIVWCH_WQX-1003,Sub Samp,,,,37.7956000000,-105.5047000000,,,,,,,,,,,,,,,,,,,,,,,,,,Modified RBA3,CORIVWCH_WQX,Modified RBA3,,,Visual Sighting,,,,,,,,,,,,,,,Kick Depth,,0.62,ft,,Validated,,Actual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2011-07-02,0001-01-01 13:15:00,MST,,,,,,,,,,,,,,,,,,,,,,,,,STORET
21COL001_WQX,Colorado Dept. of Public Health & Environment-WQCD,21COL001_WQX-201120240_20110216_S-ROUTINE,Sample-Routine,Water,Surface Water,2011-02-16,10:59:00,MST,,,,,,,,,,,,SWMN,CDPHE-WQCD,21COL001_WQX-8530,Collection Number:201120240,,,,37.8429300000,-105.5833500000,,,,,,,,,,,,,,,,,,,,,,,,,,STREAM_1,21COL001_WQX,WQCD Stream Sampling Procedure,,,Water Sampler (Other),,,,,,,,,,,,,Not Detected,as N,Kjeldahl nitrogen,Total,,mg/L,U,Final,,Actual,,,,,,,,,,ENV-2011001864-001-A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,351.2,USEPA,351.2 ~ EPA; Total Kjeldahl Nitrogen by Colorimetry,,https://www.nemi.gov/methods/method_summary/9626/,LSD,2011-02-16,0001-01-01 10:59:00,MST,,,,,,Lower Reporting Limit,0.2,mg/L,,,,,,,,,,,,,,,,,STORET
21COL001_WQX,Colorado Dept. of Public Health & Environment-WQCD,21COL001_WQX-8530-20110706-S-ROUTINE,Sample-Routine,Water,Surface Water,2011-07-06,00:00:00,MDT,,,,,,,,,,,,BIOHAB,CDPHE-WQCD,21COL001_WQX-8530,,,,,37.8429300000,-105.5833500000,,,,,,,,,,,,,,,,,,,,,,,,,,STREAM_1_WQX,21COL001_WQX,WQCD Stream Sampling Procedure,,,Water Sampler (Other),,,,,,,,,,,,,,,Ash Free Dry Mass,None,0.59,mg/cm2,,Final,,Actual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10300-D,APHA,10300 D ~ Periphyton Primary Productivity,,,CU-CIRES,,,,,,,,,,,,,,,,,,,,,,,,,,,,STORET
CORIVWCH_WQX,Colorado River Watch,CORIVWCH_WQX-1003.017,Sample-Routine,Water,Surface Water,2011-10-21,12:00:00,MST,,,,,,,,,,,,1,,CORIVWCH_WQX-1003,,,,,37.7956000000,-105.5047000000,,,,,,,,,,,,,,,,,,,,,,,,,,SM 1060B,CORIVWCH_WQX,SM 1060B,,,Water Bottle,,,,,,,,,,,,,,,pH,,7.72,None,,Validated,,Actual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,150.1,USEPA,pH,,https://www.nemi.gov/methods/method_summary/4685/,,2011-10-21,0001-01-01 12:00:00,MST,,,,,,,,,,,,,,,,,,,,,,,,,STORET
CORIVWCH_WQX,Colorado River Watch,CORIVWCH_WQX-1003.011M,Sample-Routine,Water,Surface Water,2011-06-10,14:15:00,MST,,,,,,,,,,,,1,,CORIVWCH_WQX-1003,,,,,37.7956000000,-105.5047000000,,,,,,,,,,,,,,,,,,,,,,,,,,SM 1060B,CORIVWCH_WQX,SM 1060B,,,Water Bottle,,,,,,,,,,,,,,,Manganese,Total,33.3,ug/L,,Validated,,Actual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200.15,USEPA,Metals in Water by Nebulization and ICP-AES,,,,2012-02-15,0001-01-01 13:40:00,MST,,,,,,,,,,,,,,,,,,,,,,,,,STORET
CORIVWCH_WQX,Colorado River Watch,CORIVWCH_WQX-1003.012SC4,Field Msr/Obs-Habitat Assessment,Water,Surface Water,2011-07-02,13:15:00,MST,,,,,,,,,,,,1,,CORIVWCH_WQX-1003,Sub Samp,,,,37.7956000000,-105.5047000000,,,,,,,,,,,,,,,,,,,,,,,,,,Modified RBA3,CORIVWCH_WQX,Modified RBA3,,,Visual Sighting,,,,,,,,,,,,,,,"RBP2, Substrate, inorganic, sand, 0.06-2.0 mm",,5,%,,Validated,,Actual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2011-07-02,0001-01-01 13:15:00,MST,,,,,,,,,,,,,,,,,,,,,,,,,STORET
