OrganizationIdentifier,OrganizationFormalName,ActivityIdentifier,ActivityTypeCode,ActivityMediaName,ActivityMediaSubdivisionName,ActivityStartDate,ActivityStartTime/Time,ActivityStartTime/TimeZoneCode,ActivityEndDate,ActivityEndTime/Time,ActivityEndTime/TimeZoneCode,ActivityRelativeDepthName,ActivityDepthHeightMeasure/MeasureValue,ActivityDepthHeightMeasure/MeasureUnitCode,ActivityDepthAltitudeReferencePointText,ActivityTopDepthHeightMeasure/MeasureValue,ActivityTopDepthHeightMeasure/MeasureUnitCode,ActivityBottomDepthHeightMeasure/MeasureValue,ActivityBottomDepthHeightMeasure/MeasureUnitCode,ProjectIdentifier,ProjectName,ActivityConductingOrganizationText,MonitoringLocationIdentifier,MonitoringLocationName,ActivityCommentText,SampleAquifer,HydrologicCondition,HydrologicEvent,ActivityLocation/LatitudeMeasure,ActivityLocation/LongitudeMeasure,SampleCollectionMethod/MethodIdentifier,SampleCollectionMethod/MethodIdentifierContext,SampleCollectionMethod/MethodName,SampleCollectionMethod/MethodDescriptionText,SampleCollectionEquipmentName,ResultIdentifier,ResultDetectionConditionText,MethodSpeciationName,CharacteristicName,ResultSampleFractionText,ResultMeasureValue,ResultMeasure/MeasureUnitCode,MeasureQualifierCode,ResultStatusIdentifier,StatisticalBaseCode,ResultValueTypeName,ResultWeightBasisText,ResultTimeBasisText,ResultTemperatureBasisText,ResultParticleSizeBasisText,DataQuality/PrecisionValue,DataQuality/BiasValue,DataQuality/ConfidenceIntervalValue,DataQuality/UpperConfidenceLimitValue,DataQuality/LowerConfidenceLimitValue,ResultCommentText,USGSPCode,ResultDepthHeightMeasure/MeasureValue,ResultDepthHeightMeasure/MeasureUnitCode,ResultDepthAltitudeReferencePointText,SubjectTaxonomicName,SampleTissueAnatomyName,BinaryObjectFileName,BinaryObjectFileTypeCode,ResultFileUrl,ResultAnalyticalMethod/MethodIdentifier,ResultAnalyticalMethod/MethodIdentifierContext,ResultAnalyticalMethod/MethodName,ResultAnalyticalMethod/MethodUrl,ResultAnalyticalMethod/MethodDescriptionText,LaboratoryName,AnalysisStartDate,ResultLaboratoryCommentText,ResultDetectionQuantitationLimitUrl,DetectionQuantitationLimitTypeName,DetectionQuantitationLimitMeasure/MeasureValue,DetectionQuantitationLimitMeasure/MeasureUnitCode,LabSamplePreparationUrl,LastUpdated,ProviderName
CORIVWCH_WQX,Colorado River Watch,CORIVWCH_WQX-1001.019M,Sample-Routine,Water,Surface Water,2011-11-18,12:45:00,MST,,,,,,,,,,,,1,Colorado River Watch,,CORIVWCH_WQX-1001,little Medano Cr - Control,,,,,37.8091000000,-105.5067000000,SM 1060B,CORIVWCH_WQX,SM 1060B,,Water Bottle,STORET-913800883,,,Arsenic,Total,0,ug/L,U,Validated,,Actual,,,,,,,,,,,,,,,,,,,,200.15,USEPA,Metals in Water by Nebulization and ICP-AES,,,,2012-02-15,,,,,,,2021-09-22T20:38:50,STORET
CORIVWCH_WQX,Colorado River Watch,CORIVWCH_WQX-1001.006,Sample-Routine,Water,Surface Water,2011-03-30,11:00:00,MST,,,,,,,,,,,,1,Colorado River Watch,,CORIVWCH_WQX-1001,little Medano Cr - Control,,,,,37.8091000000,-105.5067000000,SM 1060B,CORIVWCH_WQX,SM 1060B,,Water Bottle,STORET-913160555,,,Dissolved oxygen saturation,,69,%,,Validated,,Actual,,,,,,,,,,,,,,,,,,,,360.2,USEPA,Dissolved Oxygen by Winkler Technique,,https://www.nemi.gov/methods/method_summary/5253/,,2011-03-30,,,,,,,2021-09-22T18:32:17,STORET
CORIVWCH_WQX,Colorado River Watch,CORIVWCH_WQX-1001.012M,Sample-Routine,Water,Surface Water,2011-07-01,14:00:00,MST,,,,,,,,,,,,1,Colorado River Watch,,CORIVWCH_WQX-1001,little Medano Cr - Control,,,,,37.8091000000,-105.5067000000,SM 1060B,CORIVWCH_WQX,SM 1060B,,Water Bottle,STORET-913800714,,,Iron,Dissolved,31,ug/L,,Validated,,Actual,,,,,,,,,,,,,,,,,,,,200.15,USEPA,Metals in Water by Nebulization and ICP-AES,,,,2012-02-14,,,,,,,2021-09-22T20:38:49,STORET
CORIVWCH_WQX,Colorado River Watch,CORIVWCH_WQX-1003.012SC1,Field Msr/Obs-Habitat Assessment,Water,Surface Water,2011-07-02,13:15:00,MST,,,,,,,,,,,,1,Colorado River Watch,,CORIVWCH_WQX-1003,Medano Cr - Site 2,Sub Samp,,,,37.7956000000,-105.5047000000,Modified RBA3,CORIVWCH_WQX,Modified RBA3,,Visual Sighting,STORET-914245928,,,Slow Riffle,,NO,None,,Validated,,Actual,,,,,,,,,,,,,,,,,,,,,,,,,,2011-07-02,,,,,,,2021-09-22T21:48:48,STORET
CORIVWCH_WQX,Colorado River Watch,CORIVWCH_WQX-1003.012SC1,Field Msr/Obs-Habitat Assessment,Water,Surface Water,2011-07-02,13:15:00,MST,,,,,,,,,,,,1,Colorado River Watch,,CORIVWCH_WQX-1003,Medano Cr - Site 2,Sub Samp,,,,37.7956000000,-105.5047000000,Modified RBA3,CORIVWCH_WQX,Modified RBA3,,Visual Sighting,STORET-914245935,,,Kick Depth,,0.62,ft,,Validated,,Actual,,,,,,,,,,,,,,,,,,,,,,,,,,2011-07-02,,,,,,,2021-09-22T21:48:48,STORET
21COL001_WQX,Colorado Dept. of Public Health & Environment-WQCD,21COL001_WQX-201120240_20110216_S-ROUTINE,Sample-Routine,Water,Surface Water,2011-02-16,10:59:00,MST,,,,,,,,,,,,SWMN,Data collected as part of the WQCD Surface Water Monitoring Program,CDPHE-WQCD,21COL001_WQX-8530,SAND CREEK NEAR LIBERTY,Collection Number:201120240,,,,37.8429300000,-105.5833500000,STREAM_1,21COL001_WQX,WQCD Stream Sampling Procedure,,Water Sampler (Other),STORET-949473591,Not Detected,as N,Kjeldahl nitrogen,Total,,mg/L,U,Final,,Actual,,,,,,,,,,ENV-2011001864-001-A,,,,,,,,,,351.2,USEPA,351.2 ~ EPA; Total Kjeldahl Nitrogen by Colorimetry,,https://www.nemi.gov/methods/method_summary/9626/,LSD,2011-02-16,,https://www.waterqualitydata.us/data/providers/STORET/organizations/21COL001_WQX/activities/21COL001_WQX-201120240_20110216_S-ROUTINE/results/949473591/resdetectqntlmts,Lower Reporting Limit,0.2,mg/L,,2022-08-23T14:13:18,STORET
21COL001_WQX,Colorado Dept. of Public Health & Environment-WQCD,21COL001_WQX-8530-20110706-S-ROUTINE,Sample-Routine,Water,Surface Water,2011-07-06,00:00:00,MDT,,,,,,,,,,,,BIOHAB,Biohabitat Assessment Water Quality Samples,CDPHE-WQCD,21COL001_WQX-8530,SAND CREEK NEAR LIBERTY,,,,,37.8429300000,-105.5833500000,STREAM_1_WQX,21COL001_WQX,WQCD Stream Sampling Procedure,,Water Sampler (Other),STORET-935347954,,,Ash Free Dry Mass,None,0.59,mg/cm2,,Final,,Actual,,,,,,,,,,,,,,,,,,,,10300-D,APHA,10300 D ~ Periphyton Primary Productivity,,,CU-CIRES,,,,,,,,2022-04-06T16:44:00,STORET
CORIVWCH_WQX,Colorado River Watch,CORIVWCH_WQX-1003.017,Sample-Routine,Water,Surface Water,2011-10-21,12:00:00,MST,,,,,,,,,,,,1,Colorado River Watch,,CORIVWCH_WQX-1003,Medano Cr - Site 2,,,,,37.7956000000,-105.5047000000,SM 1060B,CORIVWCH_WQX,SM 1060B,,Water Bottle,STORET-913160865,,,pH,,7.72,None,,Validated,,Actual,,,,,,,,,,,,,,,,,,,,150.1,USEPA,pH,,https://www.nemi.gov/methods/method_summary/4685/,,2011-10-21,,,,,,,2021-09-22T18:32:19,STORET
CORIVWCH_WQX,Colorado River Watch,CORIVWCH_WQX-1003.011M,Sample-Routine,Water,Surface Water,2011-06-10,14:15:00,MST,,,,,,,,,,,,1,Colorado River Watch,,CORIVWCH_WQX-1003,Medano Cr - Site 2,,,,,37.7956000000,-105.5047000000,SM 1060B,CORIVWCH_WQX,SM 1060B,,Water Bottle,STORET-913801633,,,Manganese,Total,33.3,ug/L,,Validated,,Actual,,,,,,,,,,,,,,,,,,,,200.15,USEPA,Metals in Water by Nebulization and ICP-AES,,,,2012-02-15,,,,,,,2021-09-22T20:38:54,STORET
CORIVWCH_WQX,Colorado River Watch,CORIVWCH_WQX-1003.012SC4,Field Msr/Obs-Habitat Assessment,Water,Surface Water,2011-07-02,13:15:00,MST,,,,,,,,,,,,1,Colorado River Watch,,CORIVWCH_WQX-1003,Medano Cr - Site 2,Sub Samp,,,,37.7956000000,-105.5047000000,Modified RBA3,CORIVWCH_WQX,Modified RBA3,,Visual Sighting,STORET-914245967,,,"RBP2, Substrate, inorganic, sand, 0.06-2.0 mm",,5,%,,Validated,,Actual,,,,,,,,,,,,,,,,,,,,,,,,,,2011-07-02,,,,,,,2021-09-22T21:48:48,STORET
