OrganizationIdentifier,OrganizationFormalName,MonitoringLocationIdentifier,MonitoringLocationName,MonitoringLocationTypeName,MonitoringLocationDescriptionText,HUCEightDigitCode,DrainageAreaMeasure/MeasureValue,DrainageAreaMeasure/MeasureUnitCode,ContributingDrainageAreaMeasure/MeasureValue,ContributingDrainageAreaMeasure/MeasureUnitCode,LatitudeMeasure,LongitudeMeasure,SourceMapScaleNumeric,HorizontalAccuracyMeasure/MeasureValue,HorizontalAccuracyMeasure/MeasureUnitCode,HorizontalCollectionMethodName,HorizontalCoordinateReferenceSystemDatumName,VerticalMeasure/MeasureValue,VerticalMeasure/MeasureUnitCode,VerticalAccuracyMeasure/MeasureValue,VerticalAccuracyMeasure/MeasureUnitCode,VerticalCollectionMethodName,VerticalCoordinateReferenceSystemDatumName,CountryCode,StateCode,CountyCode,AquiferName,LocalAqfrName,FormationTypeText,AquiferTypeName,ConstructionDateText,WellDepthMeasure/MeasureValue,WellDepthMeasure/MeasureUnitCode,WellHoleDepthMeasure/MeasureValue,WellHoleDepthMeasure/MeasureUnitCode,ProviderName
21COL001_WQX,Colorado Dept. of Public Health & Environment-WQCD,21COL001_WQX-8529,MEDANO CREEK AT FLUME AT SAND DUNES NP,River/Stream,At Flume Crossing,13010003,,,,,37.7977170000,-105.5026850000,0,,,GPS Code (Pseudo Range) Standard Position (SA Off),NAD83,,,,,,,US,08,109,,,,,,,,,,STORET
21COL001_WQX,Colorado Dept. of Public Health & Environment-WQCD,21COL001_WQX-8530,SAND CREEK NEAR LIBERTY,River/Stream,South of Liberty and just to the north of the boundary for Great Sand Dunes National Park,13010003,,,,,37.8429300000,-105.5833500000,0,,,GPS Code (Pseudo Range) Standard Position (SA Off),NAD83,,,,,,,US,08,109,,,,,,,,,,STORET
21COL001_WQX,Colorado Dept. of Public Health & Environment-WQCD,21COL001_WQX-8531B,JONES CREEK 60 M ABOVE CONFLUENCE WITH MAIN STEM,River/Stream,,13010003,,,,,37.8932270000,-105.4973830000,0,,,GPS Code (Pseudo Range) Standard Position (SA Off),NAD83,,,,,,,US,08,109,,,,,,,,,,STORET
21COL001_WQX,Colorado Dept. of Public Health & Environment-WQCD,21COL001_WQX-8531C,LITTLE SAND CREEK .5 MILE ABOVE CONFLUENCE WITH MAIN STEM,River/Stream,,13010003,,,,,37.8927450000,-105.5039430000,0,,,GPS Code (Pseudo Range) Standard Position (SA Off),NAD83,,,,,,,US,08,109,,,,,,,,,,STORET
21COL001_WQX,Colorado Dept. of Public Health & Environment-WQCD,21COL001_WQX-8531D,"MCKENNEY CREEK 90 M ABOVE CONFLUENCE WITH MAIN STEM, ABOVE TRAIL CROSSING",River/Stream,,13010003,,,,,37.8805500000,-105.5172870000,0,,,GPS Code (Pseudo Range) Standard Position (SA Off),NAD83,,,,,,,US,08,109,,,,,,,,,,STORET
21COL001_WQX,Colorado Dept. of Public Health & Environment-WQCD,21COL001_WQX-8531E,SMITH CREEK 50 M ABOVE CONFLUENCE WITH MAIN STEM,River/Stream,,13010003,,,,,37.8793190000,-105.5165540000,0,,,GPS Code (Pseudo Range) Standard Position (SA Off),NAD83,,,,,,,US,08,109,,,,,,,,,,STORET
CORIVWCH_WQX,Colorado River Watch,CORIVWCH_WQX-1001,little Medano Cr - Control,River/Stream,"From south Entrance Station at Great Sand Dunes National Park, drive north 1.58 miles on main Park road to intersection of Primitive Medano Pass Rd (4WD required).  Follow this road, which will cross Medano Creek at just over 4 miles. Go another 0.16 miles to an administrative road (Closed to Public), which heads in a westerly direction. Park.  Follow this road on foot 0.96 miles to the crossing of the Sand Ramp Trail and Little Medano Creek -- this is the sample site.",13010003,,,,,37.8091000000,-105.5067000000,160000,,,Interpolation-Map,NAD83,8760,ft,,,Topographic Map Interpolation,SEALV,US,08,109,,,,,,,,,,STORET
CORIVWCH_WQX,Colorado River Watch,CORIVWCH_WQX-1002,Medano Cr - Site 1,River/Stream,"From south Entrance Station at Great Sand Dunes National Park, drive north 1.58 miles on main Park road to intersection of Primitive Medano Pass Rd (4WD required).  Follow this road, which will cross Medano Creek at just over 4 miles. Go another 2.05 miles, crossing the creek 3 additional times.  The sample site is the segment of the stream in the severely burned riparian area, which is west of the road about 100 feet below a beaver dam.",13010003,,,,,37.8115000000,-105.4759000000,160000,,,Interpolation-Map,NAD83,8800,ft,,,Topographic Map Interpolation,SEALV,US,08,109,,,,,,,,,,STORET
CORIVWCH_WQX,Colorado River Watch,CORIVWCH_WQX-1003,Medano Cr - Site 2,River/Stream,"From south Entrance Station at Great Sand Dunes National Park, drive north 1.58 miles on main Park road to intersection of Primitive Medano Pass Rd (4WD required).  Follow this road to the first crossing of Medano Creek at just over 4 miles. Sample site is about 100' upstream of the crossing.",13010003,,,,,37.7956000000,-105.5047000000,160000,,,Interpolation-Map,NAD83,8440,ft,,,Topographic Map Interpolation,SEALV,US,08,109,,,,,,,,,,STORET
CORIVWCH_WQX,Colorado River Watch,CORIVWCH_WQX-4858,Medano Cr - Medano Lane,River/Stream,,13010003,,,,,37.7217000000,-105.6908000000,160000,,,Interpolation-Map,NAD83,7562,ft,,,Topographic Map Interpolation,SEALV,US,08,003,,,,,,,,,,STORET
CORIVWCH_WQX,Colorado River Watch,CORIVWCH_WQX-4860,Little Spring Cr - Near Little Spring Cr,Seep,Little Spring Cr adjacent to GRSA-404. Very heavily grazed by bison.,13010003,,,,,37.7076000000,-105.6369000000,160000,,,Interpolation-Map,NAD83,7612,ft,,,Topographic Map Interpolation,SEALV,US,08,003,,,,,,,,,,STORET
NARS_WQX,EPA National Aquatic Resources Survey (NARS),NARS_WQX-NRS_CO-10503,Sand Creek,River/Stream,SmallStreams,13010003,,,,,37.8492600000,-105.5785400000,,,,GPS-Unspecified,NAD83,2498.82,m,,,Unknown,UNKWN,US,08,109,,,,,,,,,,STORET
