OrganizationIdentifier,OrganizationFormalName,MonitoringLocationIdentifier,MonitoringLocationName,MonitoringLocationTypeName,MonitoringLocationDescriptionText,HUCEightDigitCode,DrainageAreaMeasure/MeasureValue,DrainageAreaMeasure/MeasureUnitCode,ContributingDrainageAreaMeasure/MeasureValue,ContributingDrainageAreaMeasure/MeasureUnitCode,LatitudeMeasure,LongitudeMeasure,SourceMapScaleNumeric,HorizontalAccuracyMeasure/MeasureValue,HorizontalAccuracyMeasure/MeasureUnitCode,HorizontalCollectionMethodName,HorizontalCoordinateReferenceSystemDatumName,VerticalMeasure/MeasureValue,VerticalMeasure/MeasureUnitCode,VerticalAccuracyMeasure/MeasureValue,VerticalAccuracyMeasure/MeasureUnitCode,VerticalCollectionMethodName,VerticalCoordinateReferenceSystemDatumName,CountryCode,StateCode,CountyCode,AquiferName,LocalAqfrName,FormationTypeText,AquiferTypeName,ConstructionDateText,WellDepthMeasure/MeasureValue,WellDepthMeasure/MeasureUnitCode,WellHoleDepthMeasure/MeasureValue,WellHoleDepthMeasure/MeasureUnitCode,ProviderName
USGS-NC,USGS North Carolina Water Science Center,USGS-03510664,"SWEET HEIFER CR HDWTRS MT KEPHART NR SMOKEMONT, NC",Stream,,06010203,0.01,sq mi,,,35.62968889000000,-83.3878388900000,,1,seconds,Interpolated from Digital MAP.,NAD83,,,,,,,US,37,173,,,,,,,,,,NWIS
USGS-NC,USGS North Carolina Water Science Center,USGS-353405083202101,"SW-048 NR CHEROKEE, NC QUARTZITE",Well,,06010203,,,,,35.56800556000000,-83.3391472000000,,Unknown,Unknown,Reported.,NAD83,2505,feet,10,feet,Interpolated from topographic map.,NAVD88,US,37,173,Piedmont and Blue Ridge crystalline-rock aquifers,,Quartzite,,19670612,148,ft,148,ft,NWIS
USGS-NY,USGS New York Water Science Center,USGS-353352083284701,AT 21098 NOLAND CREEK NC,Stream,,06010203,,,,,35.56469444000000,-83.4798306000000,24000,.01,seconds,Interpolated from Digital MAP.,NAD83,5536,feet,4.3,feet,Interpolated from Digital Elevation Model,NAVD88,US,37,173,,,,,,,,,,NWIS
USGS-NY,USGS New York Water Science Center,USGS-353629083261801,AT 21097 BEECH FLAT PRONG TN,Stream,,06010203,,,,,35.60813889000000,-83.4383888900000,24000,.01,seconds,Interpolated from Digital MAP.,NAD83,4949,feet,1.6,feet,Interpolated from Digital Elevation Model,NAVD88,US,37,173,,,,,,,,,,NWIS
USGS-NY,USGS New York Water Science Center,USGS-353635083270301,AT 21011 ROAD PRONG TN,Stream,,06010107,,,,,35.60981944000000,-83.4508361000000,24000,.01,seconds,Interpolated from Digital MAP.,NAD83,5023,feet,1.6,feet,Interpolated from Digital Elevation Model,NAVD88,US,47,155,,,,,,,,,,NWIS
USGS-TN,USGS Tennessee Water Science Center,USGS-03469251,"WEST PRONG LITTLE PIGEON R NR GATLINBURG, TN",Stream,,06010107,31.5,sq mi,,,35.69953660000000,-83.5271088000000,,1,seconds,Interpolated from MAP.,NAD83,1352.77,feet,.16,feet,GNSS2 - Level 2 Quality Survey Grade Global Navigation Satellite System,NAVD88,US,47,155,,,,,,,,,,NWIS
USGS-TN,USGS Tennessee Water Science Center,USGS-03469408,"W PRONG L PIGEON R BLW NORTON CR NR GATLINGBURG,TN",Stream,,06010107,,,,,35.73933889000000,-83.5233250000000,24000,1,seconds,Interpolated from Digital MAP.,NAD83,,,,,,,US,47,155,,,,,,,,,,NWIS
USGS-TN,USGS Tennessee Water Science Center,USGS-03497133,"UNNAMED TRIB TO SPY BRANCH AT DOUBLE SPRING GAP,TN",Stream,,06010201,,,,,35.56658889000000,-83.5428806000000,24000,1,seconds,Interpolated from Digital MAP.,NAD83,,,,,,,US,47,155,,,,,,,,,,NWIS
USGS-TN,USGS Tennessee Water Science Center,USGS-03497172,"LITTLE RIVER SE OF ELKMONT,TN",Stream,,06010201,,,,,35.64979167000000,-83.5632417000000,24000,1,seconds,Interpolated from Digital MAP.,NAD83,,,,,,,US,47,155,,,,,,,,,,NWIS
USGS-TN,USGS Tennessee Water Science Center,USGS-03497185,"LITTLE RIVER BL      LAUREL BR NR GATLINBURG, TN",Stream,,06010201,41.6,sq mi,,,35.66481320000000,-83.6037782000000,,1,seconds,Interpolated from MAP.,NAD83,,,,,,,US,47,155,,,,,,,,,,NWIS
